,Concept_ID,uz,de
0,Auge::N,ko'z,Auge
1,Ohr::N,quloq,Ohr
2,Nase::N,burun,Nase
3,Mund::N,og'iz,Mund
4,Zahn::N,tish,Zahn
5,Zunge::N,til,Zunge
6,Lippe::N,dudoq,Lippe
7,Wange::N,bet,Wange
8,Gesicht::N,yuz,Gesicht
9,Stirn::N,manglay,Stirn
10,Haar::N,soch,Haar
11,Schnurrbart::N,mo'ylov,Schnurrbart
12,Bart::N,soqol,Bart
13,Kinn::N,ängak,Kinn
14,Kiefer[Anatomie]::N,iyak,Kiefer
15,Kehle::N,bo'g'iz,Kehle
16,Hals::N,bo'yin,Hals
17,Genick::N,gardan,Genick
18,Kopf::N,bosh,Kopf
19,Rücken::N,orqa,Rücken
20,Bauch::N,qorin,Bauch
21,Nabel::N,kindik,Nabel
22,Busen::N,ämchak,Busen
23,Brust::N,ko'krak,Brust
24,Schulter::N,elka,Schulter
25,Arm::N,bilak,Arm
26,Ellenbogen::N,tirsak,Ellenbogen
27,Hand::N,qo'l,Hand
28,Handfläche::N,kaft,Handfläche
29,Finger::N,barmoq,Finger
30,Fingernagel::N,tirnoq,Fingernagel
31,Nagel[Anatomie]::N,tirnoq,Nagel
32,Zeh::N,oyoq barmog'i,Zeh
33,Fuß::N,oyoq,Fuß
34,Ferse::N,tovon,Ferse
35,Knie::N,tiz,Knie
36,Oberschenkel::N,son,Oberschenkel
37,Bein::N,oyoq,Bein
38,Körper::N,badna,Körper
39,Haut::N,teri,Haut
40,Blut::N,qon,Blut
41,Ader::N,qon tomir,Ader
42,Sehne::N,tomir,Sehne
43,Knochen::N,suyak,Knochen
44,Gehirn::N,miya,Gehirn
45,Herz::N,qalb,Herz
46,Magen::N,oshqozon,Magen
47,Leber::N,bag'ir,Leber
48,Atem::N,dam,Atem
49,Hunger::N,ochlik,Hunger
50,Träne::N,yosh,Träne
51,Geschmack::N,tam,Geschmack
52,Geruch::N,jid,Geruch
53,Schlaf::N,uyqu,Schlaf
54,Traum::N,tush,Traum
55,Himmel::N,osmon,Himmel
56,Sonne::N,quyosh,Sonne
57,Mond::N,oy,Mond
58,Stern::N,yulduz,Stern
59,Luft::N,havo,Luft
60,Wind::N,el,Wind
61,Welle::N,to'lqin,Welle
62,Wasser::N,suv,Wasser
63,Stein::N,tosh,Stein
64,Boden::N,tuproq,Boden
65,Erde::N,er,Erde
66,Staub::N,chang,Staub
67,Rauch::N,tutun,Rauch
68,Funke::N,yalt,Funke
