,Concept_ID,lv,cv
0,Auge::N,син,куҫ
1,Auge::N,acs,куҫ
2,Ohr::N,пель,хӑлха
3,Ohr::N,auss,хӑлха
4,Nase::N,ныр,сӑмса
5,Nase::N,deguns,сӑмса
6,Mund::N,вом,ҫӑвар
7,Mund::N,mute,ҫӑвар
8,Zahn::N,пинь,шӑл
9,Zahn::N,zobs,шӑл
10,Zunge::N,кыв,чӗлхе
11,Zunge::N,mēle,чӗлхе
12,Lippe::N,вом дор,тута
13,Lippe::N,lūpa,тута
14,Wange::N,бан,пит ҫӑмарти
15,Wange::N,vaigs,пит ҫӑмарти
16,Gesicht::N,чужӧм,пит
17,Gesicht::N,чужӧм,пит-куҫ
18,Gesicht::N,seja,пит
19,Gesicht::N,seja,пит-куҫ
20,Gesicht::N,ģīmis,пит
21,Gesicht::N,ģīmis,пит-куҫ
22,Stirn::N,плеш,ҫамка
23,Stirn::N,кымӧс,ҫамка
24,Stirn::N,piere,ҫамка
25,Haar::N,си,ҫӳҫ
26,Haar::N,юрси,ҫӳҫ
27,Haar::N,mats,ҫӳҫ
28,Schnurrbart::N,ус,усси
29,Schnurrbart::N,пыртсим,усси
30,Schnurrbart::N,ūsas,усси
31,Bart::N,тош,сухал
32,Bart::N,bārda,сухал
33,Kinn::N,тшӧка,янах
34,Kinn::N,zods,янах
35,Kinn::N,smakrs,янах
36,Kiefer[Anatomie]::N,черлы,янах
37,Kiefer[Anatomie]::N,алака лы,янах
38,Kiefer[Anatomie]::N,вомкӧтш лы,янах
39,Kiefer[Anatomie]::N,žoklis,янах
40,Kehle::N,голя,пыр
41,Kehle::N,голя,карланкӑ
42,Kehle::N,rīkle,пыр
43,Kehle::N,rīkle,карланкӑ
44,Hals::N,сьылі,пыр
45,Hals::N,kakls,пыр
46,Genick::N,юрбӧр,ӗнсе
47,Genick::N,балябӧж,ӗнсе
48,Genick::N,sprands,ӗнсе
49,Kopf::N,юр,пуҫ
50,Kopf::N,galva,пуҫ
51,Rücken::N,мыш,ҫурӑм
52,Rücken::N,mugura,ҫурӑм
53,Bauch::N,рушку,
54,Bauch::N,vēders,
55,Nabel::N,гӧг,кӑвапа
56,Nabel::N,naba,кӑвапа
57,Busen::N,морӧс,кӑкӑр
58,Busen::N,krūts,кӑкӑр
59,Brust::N,морӧс,умӗ
60,Brust::N,krūts,умӗ
61,Schulter::N,пельпом,хул пуҫҫи
62,Schulter::N,plecs,хул пуҫҫи
63,Arm::N,ки,алӑ
64,Arm::N,roka,алӑ
65,Arm::N,delms,алӑ
66,Ellenbogen::N,гырддза,чавса
67,Ellenbogen::N,elkonis,чавса
68,Hand::N,ки,алӑ сыппи
69,Hand::N,roka,алӑ сыппи
70,Hand::N,plauksta,алӑ сыппи
71,Handfläche::N,ки пыдӧс,ал лаппи
72,Handfläche::N,delna,ал лаппи
73,Handfläche::N,plauksta,ал лаппи
74,Finger::N,чунь,пӳрне
75,Finger::N,pirksts,пӳрне
76,Fingernagel::N,гыж,чӗрне
77,Fingernagel::N,nags,чӗрне
78,Nagel[Anatomie]::N,гыж,чӗрне
79,Nagel[Anatomie]::N,nags,чӗрне
80,Zeh::N,кок чунь,пӳрне
81,Zeh::N,pirksts,пӳрне
82,Fuß::N,кок,ура лаппи
83,Fuß::N,kāja,ура лаппи
84,Ferse::N,кокбӧр,кӗле
85,Ferse::N,papēdis,кӗле
86,Knie::N,пидзӧс,чӗркуҫҫи
87,Knie::N,celis,чӗркуҫҫи
88,Oberschenkel::N,лядьвей,пӗҫӗ
89,Oberschenkel::N,бек,пӗҫӗ
90,Oberschenkel::N,ciska,пӗҫӗ
91,Oberschenkel::N,augšstilbs,пӗҫӗ
92,Bein::N,кок,ура
93,Bein::N,kāja,ура
94,Körper::N,туша,ӳт
95,Körper::N,туша,ӳт-пӳ
96,Körper::N,вывтыр,ӳт
97,Körper::N,вывтыр,ӳт-пӳ
98,Körper::N,miesa,ӳт
99,Körper::N,miesa,ӳт-пӳ
100,Körper::N,ķermenis,ӳт
101,Körper::N,ķermenis,ӳт-пӳ
102,Haut::N,ку,тир
103,Haut::N,āda,тир
104,Blut::N,вир,юн
105,Blut::N,asins,юн
106,Ader::N,сӧн,вена
107,Ader::N,asinsvads,вена
108,Sehne::N,вез,шӑнӑр
109,Sehne::N,dzīsla,шӑнӑр
110,Knochen::N,лы,шӑмӑ
111,Knochen::N,kauls,шӑмӑ
112,Gehirn::N,вем,миме
113,Gehirn::N,smadzenes,миме
114,Herz::N,сьӧлӧм,чӗре
115,Herz::N,sirds,чӗре
116,Magen::N,кынӧм,хырӑмлӑх
117,Magen::N,kuņģis,хырӑмлӑх
118,Leber::N,мус,пӗвер
119,Leber::N,aknas,пӗвер
120,Atem::N,лов,сывлав
121,Atem::N,elpa,сывлав
122,Hunger::N,тшыг,выҫлӑх
123,Hunger::N,bads,выҫлӑх
124,Hunger::N,izsalkums,выҫлӑх
125,Träne::N,синва,куҫҫуль
126,Träne::N,asara,куҫҫуль
127,Geschmack::N,кӧр,техӗм
128,Geschmack::N,чӧсмӧс,техӗм
129,Geschmack::N,garša,техӗм
130,Geruch::N,зын,шӑршӑ
131,Geruch::N,дук,шӑршӑ
132,Geruch::N,smaka,шӑршӑ
133,Schlaf::N,узьӧм,ыйхӑ
134,Schlaf::N,miegs,ыйхӑ
135,Traum::N,вӧт,тӗлӗк
136,Traum::N,вӧтасьӧм,тӗлӗк
137,Traum::N,sapnis,тӗлӗк
138,Himmel::N,енэж,пӗлӗт
139,Himmel::N,debess,пӗлӗт
140,Sonne::N,шонді,хӗвел
141,Sonne::N,saule,хӗвел
142,Mond::N,тӧлысь,уйӑх
143,Mond::N,mēness,уйӑх
144,Stern::N,кодзув,ҫӑлтӑр
145,Stern::N,zvaigzne,ҫӑлтӑр
146,Luft::N,сынӧд,сывлӑш
147,Luft::N,gaiss,сывлӑш
148,Wind::N,тӧв,ҫил
149,Wind::N,vējš,ҫил
150,Welle::N,гы,хум
151,Welle::N,vilnis,хум
152,Wasser::N,ва,шыв
153,Wasser::N,ва,шыв-шур
154,Wasser::N,ūdens,шыв
155,Wasser::N,ūdens,шыв-шур
156,Stein::N,из,чул
157,Stein::N,akmens,чул
158,Boden::N,му,тӑпра
159,Boden::N,augsne,тӑпра
160,Erde::N,му,ҫӗр
161,Erde::N,му-ва,ҫӗр
162,Erde::N,zeme,ҫӗр
163,Staub::N,бус,тусан
164,Staub::N,putekļi,тусан
165,Rauch::N,тшын,тӗтӗм
166,Rauch::N,dūmi,тӗтӗм
167,Funke::N,кинь,хӗм
168,Funke::N,би кинь,хӗм
169,Funke::N,dzirkstele,хӗм
170,Feuer::N,би,вут
171,Feuer::N,би,ҫулӑм
172,Feuer::N,uguns,вут
173,Feuer::N,uguns,ҫулӑм
174,Licht::N,югӧр,ҫутӑ
175,Licht::N,gaisma,ҫутӑ
176,Schatten::N,вуджӧр,сулхӑн
177,Schatten::N,ēna,сулхӑн
178,Wetter::N,поводдя,ҫанталӑк
179,Wetter::N,laiks,ҫанталӑк
180,Nebel::N,ру,тӗтре
181,Nebel::N,онь,тӗтре
182,Nebel::N,migla,тӗтре
183,Wolke::N,кымӧр,пӗлӗт
184,Wolke::N,mākonis,пӗлӗт
185,Regen::N,зэр,ҫумӑр
186,Regen::N,lietus,ҫумӑр
187,Schnee::N,лым,юр
188,Schnee::N,sniegs,юр
189,Eis::N,йи,пӑр
190,Eis::N,ledus,пӑр
191,Frost::N,кӧдзыд,сивӗ
192,Frost::N,sals,сивӗ
193,Kälte::N,кӧдзыд,сивӗ
194,Kälte::N,saltums,сивӗ
195,Kälte::N,aukstums,сивӗ
196,Hitze::N,пӧсь,вӗри
197,Hitze::N,пӧсь,шӑрӑх
198,Hitze::N,гожӧд,вӗри
199,Hitze::N,гожӧд,шӑрӑх
200,Hitze::N,karstums,вӗри
201,Hitze::N,karstums,шӑрӑх
202,Raureif::N,пуж,пас
203,Raureif::N,гыӧр,пас
204,Raureif::N,sarma,пас
205,Regenbogen::N,ӧшкамӧшка,асамат кӗперӗ
206,Regenbogen::N,varavīksne,асамат кӗперӗ
207,Donner::N,гым,аслати
208,Donner::N,pērkons,аслати
209,Strömung::N,ва ныр,юхӑ
210,Strömung::N,визувтӧм,юхӑ
211,Strömung::N,straume,юхӑ
212,Strömung::N,strāvojums,юхӑ
213,Tropfen::N,войт,тумлам
214,Tropfen::N,lāse,тумлам
215,Schaum::N,быг,кӑпӑк
216,Schaum::N,быгзьӧм,кӑпӑк
217,Schaum::N,putas,кӑпӑк
218,Schmutz::N,няйт,пылчӑк
219,Schmutz::N,dubļi,пылчӑк
220,See::N,ты,кӳлӗ
221,See::N,ezers,кӳлӗ
222,Sumpf::N,гыбад,шур
223,Sumpf::N,гыбад,шурлӑх
224,Sumpf::N,кад,шур
225,Sumpf::N,кад,шурлӑх
226,Sumpf::N,dumbrājs,шур
227,Sumpf::N,dumbrājs,шурлӑх
228,Sumpf::N,staignājs,шур
229,Sumpf::N,staignājs,шурлӑх
230,Moor::N,нюр,торфлӑ шурлӑх
231,Moor::N,purvs,торфлӑ шурлӑх
232,Moor::N,muklājs,торфлӑ шурлӑх
233,Wiese::N,видз,улӑх
234,Wiese::N,видз,ҫаран
235,Wiese::N,pļava,улӑх
236,Wiese::N,pļava,ҫаран
237,Wald::N,вӧр,вӑрман
238,Wald::N,mežs,вӑрман
239,Hügel::N,дзиб,сӑрт
240,Hügel::N,дзиб,тӗмеске
241,Hügel::N,мыльк,сӑрт
242,Hügel::N,мыльк,тӗмеске
243,Hügel::N,нӧрыс,сӑрт
244,Hügel::N,нӧрыс,тӗмеске
245,Hügel::N,paugurs,сӑрт
246,Hügel::N,paugurs,тӗмеске
247,Anhöhe::N,мыльк,сӑрт
248,Anhöhe::N,нӧрыс,сӑрт
249,Anhöhe::N,paugurs,сӑрт
250,Berg::N,чой,ту
251,Berg::N,керӧс,ту
252,Berg::N,kalns,ту
253,Gipfel::N,чук,тӳпе
254,Gipfel::N,virsotne,тӳпе
255,Höhle::N,рудӧг,ҫӗр хӑвӑлӗ
256,Höhle::N,ala,ҫӗр хӑвӑлӗ
257,Abhang::N,ньывк,тӑвайкки
258,Abhang::N,бокша,тӑвайкки
259,Abhang::N,nogāze,тӑвайкки
260,Quelle::N,ӧшмӧс,ҫӑл куҫ
261,Quelle::N,avots,ҫӑл куҫ
262,Bach::N,шор,пӗчӗк шыв
263,Bach::N,urga,пӗчӗк шыв
264,Bach::N,strauts,пӗчӗк шыв
265,Fluss::N,ю,юхан шыв
266,Fluss::N,upe,юхан шыв
