,Concept_ID,ga,ta
0,Auge::N,súil,கண்
1,Ohr::N,cluas,காது
2,Nase::N,soc,மூக்கு
3,Mund::N,béal,வாய்
4,Zahn::N,fiacail,பல்
5,Zunge::N,teanga,நாக்கு
6,Lippe::N,liopa,உதடு
7,Wange::N,grua,கன்னம்
8,Wange::N,leiceann,கன்னம்
9,Gesicht::N,éadan,முகம்
10,Gesicht::N,aghaidh,முகம்
11,Stirn::N,baithis,முன்னெற்றி
12,Stirn::N,clár éadain,முன்னெற்றி
13,Haar::N,gruaig,முடி
14,Schnurrbart::N,croiméal,மீசை
15,Bart::N,féasóg,தாடி
16,Kinn::N,smig,கீழதாடை
17,Kiefer[Anatomie]::N,giall,தாடை
18,Kehle::N,scornach,தொண்டை
19,Hals::N,muinéal,கழுத்து
20,Genick::N,baic,கழுத்து
21,Kopf::N,ceann,தலை
22,Rücken::N,droim,முதுகு
23,Bauch::N,bolg,வயிறு
24,Nabel::N,imleacán,தொப்புள்
25,Busen::N,cíoch,மார்பகம்
26,Brust::N,brollach, மார்பு
27,Schulter::N,gualainn,தோள்பட்டை
28,Arm::N,lámh,கரம்
29,Ellenbogen::N,uillinn,முழங்கை
30,Hand::N,lámh,கை
31,Handfläche::N,bos,உள்ளங்கை
32,Finger::N,méar,விரல்
33,Fingernagel::N,ionga,விரல் நகம்
34,Nagel[Anatomie]::N,ionga,நகம்
35,Zeh::N,ladhar,கால்விரல்
36,Fuß::N,cos,கால்
37,Fuß::N,troigh,கால்
38,Ferse::N,sáil,குதிகால்
39,Knie::N,glúin,முழங்கால்
40,Oberschenkel::N,ceathrú,தொடை
41,Bein::N,cos,கால்
42,Körper::N,corp,உடல்
43,Körper::N,colainn,உடல்
44,Haut::N,cneas,சருமம்
45,Haut::N,craiceann,சருமம்
46,Blut::N,fuil,இரத்தம்
47,Sehne::N,teannán,தசைநார்
48,Sehne::N,féitheog,தசைநார்
49,Knochen::N,cnámh,எலுமபு
50,Gehirn::N,inchinn,மூனை
51,Herz::N,croí,இதயம
52,Magen::N,bolg,வயிறு
53,Magen::N,goile,வயிறு
54,Leber::N,ae,கல்லீரல்
55,Atem::N,anáil,மூச்சு
56,Hunger::N,ocras,பசி
57,Träne::N,deoir,கண்ணீர்
58,Geschmack::N,blas,நறுமணம்
59,Geruch::N,boladh,துர்நாற்றம்
60,Schlaf::N,suan,தூக்கம்
61,Schlaf::N,codladh,தூக்கம்
62,Traum::N,taibhreamh,கனவு
63,Himmel::N,spéir,வானம்
64,Sonne::N,grian,சூரியன்
65,Mond::N,ré,சந்திரன்
66,Mond::N,gealach,சந்திரன்
67,Stern::N,rinn,நட்சத்திரம்
68,Stern::N,réalta,நட்சத்திரம்
69,Luft::N,aer,காறறு
70,Wind::N,gaoth,காற்று
71,Welle::N,tonn,அலை
72,Wasser::N,uisce,நீர்
73,Stein::N,cloch,கல்
74,Boden::N,talamh,தரை
75,Erde::N,cré,மண்
76,Erde::N,ithir,மண்
77,Staub::N,dusta,தூசி
78,Staub::N,deannach,தூசி
79,Rauch::N,toit,புகை
80,Rauch::N,deatach,புகை
81,Funke::N,drithle,தீப்பொறி
82,Feuer::N,tine,தீ
83,Licht::N,solas,வெளிச்சம்
84,Schatten::N,scáth,நிழல்
85,Wetter::N,aimsir,வானிலை
86,Nebel::N,ceo,பனிமூட்டம்
87,Wolke::N,néal,மேகம்
88,Wolke::N,scamall,மேகம்
89,Regen::N,báisteach,மழை
90,Regen::N,fearthainn,மழை
91,Schnee::N,sneachta,உறைபனி
92,Eis::N,oighear,பனிக்கட்டி
93,Frost::N,sioc,உறைபனி
94,Kälte::N,fuacht,குளிர்ந்த
95,Hitze::N,teas,சூடு
96,Hitze::N,teocht,சூடு
97,Raureif::N,sioc bán,உறைபனி வெண்திரை
98,Regenbogen::N,stua ceatha,வானவில்
99,Regenbogen::N,bogha báistí,வானவில்
100,Donner::N,toirneach,இடி
101,Strömung::N,sruth,நீரோட்டம்
102,Tropfen::N,deoir,துளி
103,Schaum::N,cúr,நுரை
104,Schmutz::N,salachar,அழுக்கு
105,See::N,loch,ஏரி
106,Sumpf::N,portach,சதுப்பு நிலம்
107,Moor::N,caorán,முட்புதற்காடு
108,Moor::N,móinteán,முட்புதற்காடு
109,Wiese::N,cluain,பசும் புல்தரை
110,Wiese::N,móinéar,பசும் புல்தரை
111,Wald::N,coill,காடு
112,Wald::N,foraois,காடு
113,Hügel::N,ard,குன்று
114,Anhöhe::N,ard,பதுக்கை
115,Anhöhe::N,ardán,பதுக்கை
116,Berg::N,sliabh,மலை
117,Gipfel::N,barr,உச்சி மாநாடு
118,Gipfel::N,mullach,உச்சி மாநாடு
119,Höhle::N,uaimh,குகை
120,Höhle::N,pluais,குகை
121,Abhang::N,fána,சரிவு
122,Quelle::N,foinse,மூலம்
123,Bach::N,sruthán,ஓடை
124,Fluss::N,abhainn,ஆறு
125,Ufer::N,bruach,நீர்க்கரை
126,Küste::N,cósta,கடற்கரை
127,Küste::N,cladach,கடற்கரை
128,Festland::N,míntír,நிலம்
129,Meer::N,muir,கடல்
130,Meer::N,farraige,கடல்
131,Bucht::N,bá,சிறுகுடா
132,Bucht::N,cuan,சிறுகுடா
133,Insel::N,inis,தீவு
134,Insel::N,oileán,தீவு
135,Blume::N,bláth,பூ
136,Gras::N,féar,புல்தரை
137,Wurzel::N,rúta,வேர்
138,Wurzel::N,fréamh,வேர்
139,Baum::N,crann,மரம்
140,Stamm::N,stoc,அடிமரம்
141,Stamm::N,tamhan,அடிமரம்
142,Rinde::N,coirt,பட்டை
143,Rinde::N,coirt,மரப்பட்டை
144,Rinde::N,craiceann,பட்டை
145,Rinde::N,craiceann,மரப்பட்டை
146,Ast::N,géag,கினை
147,Zweig::N,géag,குச்சி
148,Zweig::N,craobh,குச்சி
149,Blatt::N,duille,இலை
150,Blatt::N,duilleog,இலை
151,Birke::N,beith,பிர்ச் மரம்
152,Birke::N,crann beithe,பிர்ச் மரம்
153,Kiefer[Baum]::N,péine,தேவதாரு மரம்
154,Weide[Baum]::N,saileach,மர வகைகளுள் ஒன்று
155,Tanne::N,giúis,சாதிக்கய்
156,Horn::N,adharc,கொம்பு
157,Feder::N,cleite,இறகு
158,Fell::N,clúmh,மென்முடி
159,Flügel::N,eite,இறக்கை
160,Flügel::N,sciathán,இறக்கை
161,Klaue::N,crúb,நகம்
162,Klaue::N,crobh,நகம்
163,Kralle::N,crobh,நகம்
164,Schwanz::N,eireaball,வால்
165,Ei::N,ubh,முட்டை
166,Nest::N,nead,கூடு
167,Bau::N,brocais,குகை
168,Tier::N,ainmhí,விலங்கு
169,Tier::N,beithíoch,விலங்கு
170,Herde::N,tréad,கூட்டம்
171,Kuh::N,bó,பசு
172,Bulle::N,tarbh,காளை
173,Pferd::N,each,குதிரை
174,Pferd::N,capall,குதிரை
175,Schaf::N,caora,செம்மறிஆடு
176,Schwein::N,muc,பன்றி
177,Hund::N,madra,நாய்
178,Katze::N,cat,பூனை
179,Bär::N,béar,கரடி
180,Eichhörnchen::N,iora,அணில்
181,Elch::N,eilc,கடம்பை
182,Fuchs::N,sionnach,நரி
183,Fuchs::N,madra rua,நரி
184,Hase::N,giorria,முயல்
185,Maus::N,luch,எலி
186,Wolf::N,mac tíre,ஓநாய்
187,Vogel::N,éan,பறவை
188,Schwarm::N,saithe,தொகுதி
189,Huhn::N,cearc,கோழிக்குஞசு
190,Hahn::N,coileach,சேவல்
191,Gans::N,gé,பெண் வாத்து
192,Adler::N,iolar,பருநது
193,Ente::N,lacha,வாத்து
194,Eule::N,ulchabhán,ஆந்தை
195,Kranich::N,grús,நாரை
196,Krähe::N,caróg,காகம்
197,Krähe::N,préachán,காகம்
198,Kuckuck::N,cuach,குயில்
199,Schwan::N,eala,அன்னம்
200,Fisch::N,iasc,மீன்
201,Barsch::N,péirse,பேர்ச்
202,Hecht::N,liús,கோலாச்சி மீன்
203,Schlange[Tier]::N,nathair,பாம்பு
204,Wurm::N,péist,புழு
205,Spinne::N,damhán alla,சிலந்தி
206,Ameise::N,seangán,எறும்பு
207,Laus::N,míol,பேன்
208,Mücke::N,muiscít,கொசுவினப்பூச்சி
209,Mücke::N,corrmhíol,கொசுவினப்பூச்சி
210,Fliege::N,cuil,ஈ
211,Fliege::N,cuileog,ஈ
212,Schmetterling::N,féileacán,வண்ணத்துப்பூச்சி
213,Beere::N,caor,சதைப்பழம்
214,Apfel::N,úll,ஆப்பிள பழம்
215,Pilz::N,beacán,காளான்
216,Pilz::N,muisiriún,காளான்
217,Zwiebel::N,oinniún,வெங்காயம்
218,Saat::N,síol,விதை
219,Korn::N,gráinne,தானியம்
220,Heu::N,féar,வைக்கோல்
221,Schale::N,scaimh,தோல்
222,Grube::N,poll,குழி
223,Falle::N,gaiste,பொறி
224,Schlinge::N,sealán,கண்ணி
225,Spur::N,rian,சுவடு
226,Asche::N,luaith,சாம்பல்
227,Dreck::N,salachar,அழுக்கு
228,Eisen::N,iarann,இரும்பு
229,Gold::N,ór,தங்கம்
230,Silber::N,airgead,வெள்ளி
231,Kohle::N,gual,நிலக்கரி
232,Glas::N,gloine,கண்ணாடி
233,Lehm::N,cré,களிமண்
234,Sand::N,gaineamh,மணல்
235,Mensch::N,duine,மனிதர்கள்
236,Mann::N,fear,மனிதன்
237,Frau::N,bean,பெண்
238,Kind::N,gasúr,குழந்தை
239,Kind::N,páiste,குழந்தை
240,Junge::N,buachaill,பையன்
241,Mädchen::N,cailín,சிறுமி
242,Familie::N,teaghlach,குடும்பம்
243,Familie::N,comhluadar,குடும்பம்
244,Großvater::N,seanathair,தாத்தா
245,Großmutter::N,seanmháthair,பாட்டி
246,Eltern::N,tuismitheoirí,பெற்றோர்
247,Vater::N,athair,தந்தை
248,Mutter::N,máthair,தாய்
249,Sohn::N,mac,மகன்
250,Tochter::N,iníon,மகள்
251,Bruder::N,deartháir,சகோதரன்
252,Schwester::N,deirfiúr,அக்கா
253,Onkel::N,uncail,தாய் மாமன்
254,Tante::N,aintín,அத்தை
255,Ehemann::N,fear céile,கணவன்
256,Ehefrau::N,bean chéile,மனைவி
257,Freude::N,áthas,கொண்டாட்டம்
258,Gelächter::N,gáire,சிரிப்பு
259,Glück::N,séan,மகிழ்ச்சி
260,Glück::N,sonas,மகிழ்ச்சி
261,Kummer::N,brón,துயரம்
262,Kummer::N,buairt,துயரம்
263,Wunsch::N,guí,விருப்பம்
264,Wunsch::N,achainí,விருப்பம்
265,Lust::N,fonn,விருப்பம்
266,Geist::N,meon,ஆன்மா
267,Geist::N,spiorad,ஆன்மா
268,Gedanke::N,smaoineamh,எண்ணம்
269,Gedächtnis::N,cuimhne,ஞாபகம்
270,Verstand::N,ciall,மனம்
271,Verstand::N,intinn,மனம்
272,Sinn::N,brí,அர்த்தம்
273,Sinn::N,ciall,அர்த்தம்
274,Grund::N,fáth,காரணம்
275,Wahrheit::N,fírinne,உண்நை
276,Gespräch::N,comhrá,பெசு
277,Märchen::N,scéal,நம்பத்தகாத கதை
278,Erzählung::N,scéal,கதை
279,Nachricht::N,teachtaireacht,செய்தி
280,Neuigkeit::N,scéala,செய்தி
281,Name::N,ainm,பெயர்
282,Rätsel::N,tomhas,புதிர்
283,Rede::N,óráid,பேச்சு
284,Rede::N,aitheasc,பேச்சு
285,Sprache::N,teanga,மொழி
286,Stimme::N,guth,குரல்
287,Wort::N,focal,வார்த்தை
288,Zeichen::N,comhartha,குறி
289,Ruf::N,glaoch,அழைப்பு
290,Lärm::N,torann,சத்தம்
291,Laut::N,fuaim,ஒலி
292,Ton::N,ton,குரல்
293,Lied::N,amhrán,பாட்டு
294,Ruhe::N,suaimhneas,அமைதி
295,Leute::N,muintir,மக்கள்
296,Volk::N,pobal,மக்கள்
297,Arbeit::N,obair,வேலை
298,Gast::N,aoi,விருந்தாளி
