,Concept_ID,ca,udm
0,Auge::N,ull,син
1,Ohr::N,orella,пель
2,Nase::N,nas,ныр
3,Mund::N,boca,ым
4,Zahn::N,dent,пинь
5,Zunge::N,llēngua,кыл
6,Lippe::N,llavi,ымдур
7,Wange::N,galta,бам
8,Gesicht::N,cara,ымныр
9,Stirn::N,front,кымес
10,Haar::N,cabēll,йырси
11,Schnurrbart::N,bigoti,мыйык
12,Bart::N,barba,туш
13,Kinn::N,mentó,ангес
14,Kinn::N,barbeta,ангес
15,Kiefer[Anatomie]::N,queix,ан
16,Kiefer[Anatomie]::N,queix,анлы
17,Kiefer[Anatomie]::N,mandíbula,ан
18,Kiefer[Anatomie]::N,mandíbula,анлы
19,Kehle::N,gola,гульым
20,Kehle::N,gorja,гульым
21,Hals::N,coll,чырты
22,Genick::N,nuca,йырбер
23,Kopf::N,cap,йыр
24,Rücken::N,esquena,мыш
25,Bauch::N,panxa,кӧт
26,Nabel::N,llombrígol,гогы
27,Busen::N,pit,ноны
28,Busen::N,mama,ноны
29,Brust::N,pit,мӧля
30,Schulter::N,espatlla,пельпум
31,Arm::N,braç,суй
32,Ellenbogen::N,colze,гырпум
33,Hand::N,mà,ки
34,Handfläche::N,palma,ки пыдэс
35,Handfläche::N,palma,кырым пыдэс
36,Finger::N,dit,чиньы
37,Fingernagel::N,ungla,гижы
38,Fingernagel::N,ungla,гиждӥнь
39,Nagel[Anatomie]::N,ungla,гижы
40,Zeh::N,dit del peu,пыдчиньы
41,Fuß::N,peu,пыд
42,Ferse::N,taló,пыдбер
43,Knie::N,genoll,пыдес
44,Oberschenkel::N,cuixa,макес
45,Bein::N,cama,пыд
46,Körper::N,cos,мугор
47,Körper::N,cos,вылтыр
48,Haut::N,pell,ку
49,Blut::N,sang,вир
50,Ader::N,vena,вирсэр
51,Sehne::N,tendó,вуж
52,Knochen::N,os,лы
53,Gehirn::N,cervell,вим
54,Herz::N,cor,сюлэм
55,Magen::N,estómac,ӝуш
56,Leber::N,fetge,мус
57,Atem::N,alè,лул
58,Atem::N,alè,шокан
59,Atem::N,hàlit,лул
60,Atem::N,hàlit,шокан
61,Hunger::N,fam,кӧтсюман
62,Hunger::N,gana,кӧтсюман
63,Träne::N,llàgrima,синкыли
64,Geschmack::N,gust,шӧм
65,Geschmack::N,sabor,шӧм
66,Geruch::N,olor,зын
67,Schlaf::N,son,вӧт
68,Traum::N,somni,уйвӧт
69,Himmel::N,celm,ин
70,Sonne::N,sol,шунды
71,Mond::N,lluna,толэзь
72,Stern::N,estel,кизили
73,Stern::N,estrella,кизили
74,Luft::N,aire,омыр
75,Wind::N,vent,тӧл
76,Welle::N,ona,тулкым
77,Wasser::N,āigua,ву
78,Stein::N,pedra,из
79,Boden::N,sòl,музъем
80,Erde::N,terra,му
81,Staub::N,pols,пыль
82,Rauch::N,fum,ӵын
83,Funke::N,guspira,гизьы
84,Funke::N,centella,гизьы
85,Feuer::N,foc,тыл
86,Licht::N,llum,тыл
87,Schatten::N,ombra,вужер
88,Wetter::N,temps,куазь
89,Nebel::N,boira,бус
90,Wolke::N,núvol,пилем
91,Regen::N,pluja,зор
92,Schnee::N,neu,лымы
93,Eis::N,gel,йӧ
94,Eis::N,glaç,йӧ
95,Frost::N,glaçada,кезьыт
96,Kälte::N,fred,кезьыт
97,Hitze::N,calor,пӧсь
98,Raureif::N,gebre,гӧр
99,Regenbogen::N,arc iris,вуюись
100,Donner::N,tro,гудыри
101,Strömung::N,corrent,бызён
102,Tropfen::N,gota,шапык
103,Schaum::N,escuma,шукы
104,Schmutz::N,brutícia,нӧд
105,Schmutz::N,brutícia,дэри
106,See::N,llac,ты
107,Sumpf::N,pantà,нюр
108,Moor::N,pantà,нюр
109,Wiese::N,prat,возь
110,Wiese::N,prat,возьвыл
111,Wiese::N,prada,возь
112,Wiese::N,prada,возьвыл
113,Wald::N,bosc,сик
114,Wald::N,bosc,нюлэс
115,Hügel::N,puig,выр
116,Hügel::N,puig,вырйыл
117,Hügel::N,pujol,выр
118,Hügel::N,pujol,вырйыл
119,Anhöhe::N,turó,выр
120,Anhöhe::N,turó,вырйыл
121,Berg::N,muntanya,гурезь
122,Gipfel::N,cim,йыл
123,Höhle::N,cova,гу
124,Abhang::N,coster,бам
125,Quelle::N,font,ошмес
126,Bach::N,riera,пичи шур
127,Fluss::N,riu,шур
128,Ufer::N,riba,ярдур
129,Küste::N,costa,вудур
130,Festland::N,terra ferma,мувыр
131,Meer::N,mar,зарезь
132,Bucht::N,cala,вукож
133,Bucht::N,badia,вукож
134,Insel::N,illa,вумуӵ
135,Insel::N,illa,шормуӵ
136,Blume::N,flor,сяська
137,Gras::N,herba,турын
138,Wurzel::N,rel,выжы
139,Wurzel::N,arrel,выжы
140,Baum::N,arbre,пу
141,Stamm::N,tronc,модос
142,Rinde::N,escorça,сул
143,Ast::N,branca,ул
144,Zweig::N,ram,вай
145,Blatt::N,fulla,куар
146,Birke::N,bedoll,кызьпу
147,Kiefer[Baum]::N,pi,пужым
148,Weide[Baum]::N,salze,бадьпу
149,Tanne::N,avet,кыз
150,Horn::N,corn,сюр
151,Horn::N,banya,сюр
152,Feder::N,ploma,тылы
153,Fell::N,pell,ку
154,Flügel::N,ala,бурд
155,Klaue::N,urpa,гижы
156,Kralle::N,grapa,пыд
157,Schwanz::N,cua,быж
158,Ei::N,ou,пуз
159,Ei::N,ou,кукей
160,Nest::N,niu,кар
161,Nest::N,niu,пузкар
162,Bau::N,cau,кар
163,Bau::N,cau,гу
164,Tier::N,animāl,пӧйшур
165,Herde::N,ramat,уллё
166,Kuh::N,vaca,скал
167,Bulle::N,toro,ош
168,Bulle::N,toro,пороз
169,Pferd::N,cavāll,вал
170,Schaf::N,be,ыж
171,Schaf::N,ovella,ыж
172,Schwein::N,bacó,парсь
173,Hund::N,ca,пуны
174,Hund::N,gos,пуны
175,Katze::N,gat,коӵыш
176,Bär::N,ós,гондыр
177,Eichhörnchen::N,esquirol,коньы
178,Elch::N,ant,койык
179,Fuchs::N,guilla,ӟичы
180,Hase::N,llebre,кеч
181,Maus::N,ratolí,шыр
182,Wolf::N,llop,кион
183,Vogel::N,au,тылобурдо
184,Vogel::N,ocēll,тылобурдо
185,Schwarm::N,bandada,уллё
186,Huhn::N,gallina,курег
187,Hahn::N,gall,атас
188,Gans::N,oca,ӟазег
189,Adler::N,àguila,ӧрзи
190,Ente::N,ànec,ӵӧж
191,Eule::N,òliba,кучыран
192,Eule::N,mussol,кучыран
193,Kranich::N,grua,тури
194,Krähe::N,cornella,куака
195,Kuckuck::N,cucut,кикы
196,Schwan::N,cigne,юсь
197,Fisch::N,peix,чорыг
198,Barsch::N,perca,юш
199,Hecht::N,lluç,чипей
200,Schlange[Tier]::N,serp,кый
201,Wurm::N,cuc,нумыр
202,Spinne::N,aranya,чонари
203,Ameise::N,formiga,кузьыли
204,Laus::N,poll,тэй
205,Mücke::N,mosquit,нымы
206,Mücke::N,mosquit,чибинь
207,Fliege::N,mosca,кут
208,Schmetterling::N,papallona,бубыли
209,Beere::N,baia,узы-боры
210,Apfel::N,poma,яблок
211,Pilz::N,bolet,губи
212,Zwiebel::N,ceba,сугон
213,Saat::N,sembra,кидыс
214,Korn::N,gra,тысь
215,Heu::N,fenc,турын
216,Schale::N,closca,кыд
217,Grube::N,sot,гу
218,Grube::N,sot,гоп
219,Grube::N,clot,гу
220,Grube::N,clot,гоп
221,Falle::N,trampa,налик
222,Schlinge::N,baga,гиӟ
223,Schlinge::N,baga,герд
224,Spur::N,traça,пытьы
225,Spur::N,traça,бервыл
226,Asche::N,cendra,пень
227,Dreck::N,llot,дэри
228,Eisen::N,ferro,корт
229,Gold::N,or,зарни
230,Silber::N,plata,азвесь
231,Kohle::N,carbó,эгыр
232,Glas::N,vidre,стекло
233,Glas::N,vidre,пияла
234,Lehm::N,fang,сюй
235,Lehm::N,argila,сюй
236,Sand::N,arena,луо
237,Mensch::N,humà,мурт
238,Mensch::N,humà,адями
239,Mensch::N,persona,мурт
240,Mensch::N,persona,адями
241,Mann::N,home,воргорон
242,Frau::N,dona,кышномурт
243,Kind::N,nen,нуны
244,Kind::N,nen,пинал
245,Junge::N,noi,пи
246,Mädchen::N,noia,ныл
247,Familie::N,família,семья
248,Großvater::N,avi,песятай
249,Großvater::N,avi,пересь атай
250,Großmutter::N,àvia,песянай
251,Großmutter::N,àvia,пересь анай
252,Eltern::N,pares,атай-анай
253,Eltern::N,pares,бубы-мумы
254,Vater::N,pare,айы
255,Vater::N,pare,атай
256,Mutter::N,mare,мумы
257,Sohn::N,fill,пи
258,Tochter::N,filla,ныл
259,Bruder::N,germà,агай
260,Schwester::N,germana,апа
261,Schwester::N,germana,сузэр
262,Onkel::N,oncle,агай
263,Tante::N,tia,апа
264,Tante::N,tia,кенак
265,Ehemann::N,espòs,карт
266,Ehefrau::N,muller,кышно
267,Freude::N,goig,шумпотон
268,Freude::N,alegria,шумпотон
269,Gelächter::N,riallada,горем
270,Glück::N,felicitat,шуд
271,Kummer::N,pena,кайгу
272,Kummer::N,pena,куректон
273,Wunsch::N,desig,мылпотон
274,Lust::N,ganes,потон
275,Geist::N,ment,лул
276,Geist::N,esperit,лул
277,Gedanke::N,pensament,малпан
278,Gedächtnis::N,memòria,йырсазь
279,Gedächtnis::N,memòria,тодэваён
280,Verstand::N,raó,йырвизь
281,Verstand::N,seny,йырвизь
282,Sinn::N,solta,смысл
283,Sinn::N,sentit,смысл
284,Grund::N,raó,муг
285,Grund::N,raó,ньӧм
286,Grund::N,causa,муг
287,Grund::N,causa,ньӧм
288,Wahrheit::N,veritāt,зэм
289,Wahrheit::N,veritāt,шонер
290,Gespräch::N,conversa,вераськон
291,Märchen::N,conte,выжыкыл
292,Erzählung::N,narració,верос
293,Nachricht::N,missatge,ивор
294,Neuigkeit::N,novetat,выльивор
295,Name::N,nom,ним
296,Rätsel::N,endevinalla,мадькыл
297,Rede::N,discurs,верам
298,Sprache::N,llēngua,кыл
299,Stimme::N,veu,куара
300,Wort::N,mot,кыл
301,Wort::N,paraula,кыл
302,Zeichen::N,signe,пус
303,Zeichen::N,signe,тодмет
304,Zeichen::N,senyal,пус
305,Zeichen::N,senyal,тодмет
306,Ruf::N,crida,ӧтён
307,Ruf::N,crida,чортон
308,Lärm::N,sorōll,ӵашетон
309,Laut::N,so,куара
310,Ton::N,to,куара
311,Lied::N,cançó,кырӟан
312,Ruhe::N,calma,чалмыт улон
313,Ruhe::N,silenci,чалмыт улон
314,Leute::N,gent,адямиос
315,Volk::N,poble,калык
316,Arbeit::N,labor,уж
317,Arbeit::N,treball,уж
318,Gast::N,hoste,куно
319,Geschenk::N,regal,салам
320,Geschenk::N,regal,кузьым
321,Geschenk::N,obsequi,салам
322,Geschenk::N,obsequi,кузьым
323,Spiel::N,joc,шудон
324,Gesellschaft::N,companyia,калык
325,Hilfe::N,ajut,юрттон
326,Freund::N,amīc,эш
327,Freund::N,amīc,юлтош
328,Kamerad::N,company,тодмо
329,Kamerad::N,camarada,тодмо
330,Angelegenheit::N,afer,уж
331,Angelegenheit::N,assumpte,уж
332,Anzahl::N,nombre,лыд
333,Anzahl::N,quantitat,лыд
334,Art::N,tipus,тус
335,Art::N,classe,тус
336,Stück::N,peça,юдэс
337,Teil::N,part,люкет
338,Hälfte::N,meitat,ӝыны
339,Kreis::N,cercle,котырес
340,Kreuz::N,creu,крест
341,Linie::N,línia,гож
342,Strich::N,traç,гож
343,Strich::N,ratlla,гож
344,Abstand::N,distància,вис
345,Abstand::N,distància,кусып
346,Entfernung::N,distància,кусып
347,Gegend::N,regió,инты
348,Gegend::N,contrada,инты
349,Platz::N,cabuda,инты
350,Ort::N,lloc,инты
351,Ort::N,lloc,места
352,Seite::N,banda,пал
353,Seite::N,costāt,пал
354,Mitte::N,mig,шор
355,Mitte::N,centre,шор
356,Gegenstand::N,objecte,арбери
357,Sache::N,cosa,котыр
358,Rand::N,vora,дур
359,Rand::N,vora,шаер
360,Rand::N,marge,дур
361,Rand::N,marge,шаер
362,Kante::N,caire,дур
363,Kante::N,cantell,дур
364,Ecke::N,cantonada,сэрег
365,Spitze::N,punta,йыл
366,Ende::N,cap,пум
367,Loch::N,forāt,пась
368,Winkel::N,racó,сэрег
369,Muster::N,dibuix,пужы
370,Muster::N,disseny,пужы
371,Größe::N,grandària,быдӟала
372,Länge::N,longitud,кузьдала
373,Höhe::N,altura,ӝуждала
374,Höhe::N,altitud,ӝуждала
375,Gewicht::N,pes,сектала
376,Gewicht::N,pes,секытлык
377,Menge::N,quantitat,лыд
378,Menge::N,quantitat,лыдпус
379,Haufen::N,pila,люк
380,Reihe::N,fila,чур
381,Boot::N,bot,пыж
382,Boot::N,bot,лодка
383,Boot::N,barca,пыж
384,Boot::N,barca,лодка
385,Ruder::N,rem,полыс
386,Schlitten::N,trineu,додьы
387,Ski::N,esquí,куас
388,Lagerfeuer::N,foc de campament,тылскем
389,Last::N,càrrega,секыт
390,Gang::N,marxa,ветлон
391,Schritt::N,pas,вамыш
392,Norden::N,nord,уйпал
393,Süden::N,sud,лымшор
394,Westen::N,oest,шунды пуксён
395,Westen::N,occident,шунды пуксён
396,Osten::N,est,шунды ӝужан
397,Osten::N,orient,шунды ӝужан
398,Holz::N,fusta,пу
399,Brett::N,taula,пул
400,Platte::N,placa,плита
401,Stütze::N,suport,пыкет
402,Stange::N,vara,пуӵ
403,Stock::N,pal,боды
404,Stab::N,bastó,пуӵ
405,Stab::N,bastó,боды
406,Rohr::N,tub,труба
407,Haus::N,casa,юрт
408,Heim::N,llar,корка
409,Ofen::N,estufa,гур
410,Fußboden::N,terra,выж
411,Tisch::N,taula,ӝӧк
412,Stuhl::N,cadira,пукон
413,Wiege::N,bressol,кӧкы
414,Wiege::N,bressol,зыбка
415,Bett::N,llit,валес
416,Regal::N,prestatgeria,ӝажы
417,Kiste::N,caixa,ящик
418,Fenster::N,finestra,укно
419,Fenster::N,finestra,косяк
420,Tür::N,porta,ӧс
421,Tor::N,portal,ӟезьы
422,Zaun::N,tanca,забор
423,Dach::N,teulada,липет
424,Leiter::N,escala,падӟа
425,Leiter::N,escala de mà,падӟа
426,Besen::N,escombra,ӵужон
427,Besen::N,escombra,исьнер
428,Spaten::N,pala,лопатка
429,Schaufel::N,pala,ютырон
430,Gabel::N,forquilla,тэчы
431,Gabel::N,forquilla,вилка
432,Löffel::N,cullera,пуньы
433,Messer::N,coltell,пурт
434,Nagel::N,clau,кортӵог
435,Netz::N,filat,сеть
436,Haken::N,ganxo,курик
437,Griff::N,puny,ныд
438,Griff::N,mànec,ныд
439,Schloss::N,pany,тунгон
440,Bild::N,imatge,суред
441,Figur::N,figura,фигура
442,Puppe::N,nina,мунё
443,Beutel::N,bossa,пуйы
444,Bündel::N,feix,керттэт
445,Bündel::N,paquet,керттэт
446,Tasche::N,bossa,пуйы
447,Tasche::N,bossa,сумка
448,Eimer::N,galleda,ведра
449,Deckel::N,tapa,ӵоксэт
450,Deckel::N,tapadora,ӵоксэт
451,Geschirr::N,vaixella,тусьты-пуньы
452,Sack::N,sac,пуйы
453,Sack::N,saca,пуйы
454,Tasse::N,tassa,ӵаша
455,Topf::N,pot,миска
456,Topf::N,olla,миска
457,Kessel::N,caldera,пурты
458,Essen::N,àpat,сиськон
459,Essen::N,menjada,сиськон
460,Nahrung::N,aliment,сион
461,Speise::N,plat,сиён
462,Fleisch::N,carn,сӥль
463,Getreide::N,cereals,ю тысь
464,Brei::N,puré,ӝук
465,Brot::N,pa,нянь
466,Scheibe::N,tall,шорем
467,Scheibe::N,llesca,шорем
468,Fett::N,greix,кӧй
469,Butter::N,mantega,вӧй
470,Öl::N,oli,вӧй
471,Salz::N,sal,сылал
472,Suppe::N,sopa,шыд
473,Honig::N,mel,чечы
474,Milch::N,llet,йӧл
475,Tee::N,te,чай
476,Leder::N,cuir,сурон
477,Wolle::N,llana,гон
478,Wolle::N,llana,ыжгон
479,Stoff::N,tela,куэм
480,Nadel::N,agulla,вень
481,Faden::N,fil,сӥньыс
