,Concept_ID,is,ce
0,Auge::N,auga,бӏаьрг
1,Ohr::N,eyra,лерг
2,Nase::N,nef,мара
3,Mund::N,munnur,бага
4,Zahn::N,tönn,церг
5,Zunge::N,tunga,мотт
6,Lippe::N,vör,балда
7,Wange::N,kinn,бесни
8,Wange::N,vangi,бесни
9,Gesicht::N,andlit,юьхь
10,Stirn::N,enni,хьаж
11,Haar::N,hár,мас
12,Schnurrbart::N,yfirskegg,мекх
13,Bart::N,skegg,маж
14,Kinn::N,haka,чӏениг
15,Kiefer[Anatomie]::N,kjálki,мочхал
16,Kiefer[Anatomie]::N,skoltur,мочхал
17,Kehle::N,kverk,къамкъарг
18,Hals::N,háls,ворта
19,Genick::N,hnakki,кӏесаркӏаг
20,Kopf::N,höfuð,корта
21,Rücken::N,hryggur,букъ
22,Bauch::N,kviður,кийра
23,Nabel::N,nafli,цӏонга
24,Busen::N,barmur,зударийн накха
25,Brust::N,brjóst,накха
26,Schulter::N,öxl,белш
27,Arm::N,armur,пхьарс
28,Ellenbogen::N,olnbogi,пхьаьрсан гола
29,Hand::N,hönd,куьг
30,Handfläche::N,lófi,кераюкъ
31,Finger::N,fingur,пӏелг
32,Fingernagel::N,fingurnögl,мӏара
33,Nagel[Anatomie]::N,nögl,мӏара
34,Zeh::N,tá,кога пӏелг
35,Fuß::N,fótur,ког
36,Ferse::N,hæll,кӏажа
37,Knie::N,kné,гола
38,Oberschenkel::N,læri,варе
39,Bein::N,fótleggur,ког
40,Körper::N,búkur,хӏума
41,Körper::N,líkami,хӏума
42,Haut::N,húð,чкъор
43,Haut::N,skinn,чкъор
44,Blut::N,blóð,цӏий
45,Ader::N,æð,пха
46,Sehne::N,sin,хьорзам
47,Knochen::N,bein,даьӏахк
48,Gehirn::N,heili,хье
49,Herz::N,hjarta,дог
50,Magen::N,magi,зорх
51,Leber::N,lifur,доӏах
52,Atem::N,andi,садеӏар
53,Atem::N,andardráttur,садеӏар
54,Hunger::N,hungur,мацалла
55,Träne::N,tár,бӏаьрхи
56,Geschmack::N,smekkur,чам
57,Geruch::N,lykt,хьожа
58,Schlaf::N,svefn,наб
59,Traum::N,draumur,гӏан
60,Himmel::N,himinn,стигал
61,Sonne::N,sól,малх
62,Mond::N,tungl,бутт
63,Stern::N,stjarna,седа
64,Luft::N,loft,xӏаваъ
65,Wind::N,vindur,мох
66,Welle::N,alda,тулгӏе
