,Concept_ID,el,ga
0,Auge::N,μάτι,súil
1,Auge::N,οφθαλμός,súil
2,Ohr::N,αυτί,cluas
3,Nase::N,μύτη,soc
4,Mund::N,στόμα,béal
5,Zahn::N,δόντι,fiacail
6,Zunge::N,γλώσσα,teanga
7,Lippe::N,χείλος,liopa
8,Wange::N,παρειά,grua
9,Wange::N,παρειά,leiceann
10,Wange::N,μάγουλο,grua
11,Wange::N,μάγουλο,leiceann
12,Gesicht::N,πρόσωπο,éadan
13,Gesicht::N,πρόσωπο,aghaidh
14,Stirn::N,μέτωπο,baithis
15,Stirn::N,μέτωπο,clár éadain
16,Haar::N,μαλλιά,gruaig
17,Schnurrbart::N,μουστάκι,croiméal
18,Bart::N,γένια,féasóg
19,Kinn::N,πιγούνι,smig
20,Kiefer[Anatomie]::N,σαγόνι,giall
21,Kehle::N,λαρύγγι,scornach
22,Hals::N,λαιμός,muinéal
23,Genick::N,σβέρκος,baic
24,Kopf::N,κεφάλι,ceann
25,Rücken::N,ράχη,droim
26,Bauch::N,κοιλιά,bolg
27,Nabel::N,αφαλός,imleacán
28,Busen::N,στήθος,cíoch
29,Brust::N,στήθος,brollach
30,Schulter::N,ώμος,gualainn
31,Arm::N,χέρι,lámh
32,Arm::N,μπράτςο,lámh
33,Ellenbogen::N,αγκώνας,uillinn
34,Hand::N,χέρι,lámh
35,Handfläche::N,παλάμη,bos
36,Finger::N,δάχτυλο,méar
37,Fingernagel::N,νύχι,ionga
38,Nagel[Anatomie]::N,νύχι,ionga
39,Zeh::N,δάχτυλο του ποδιού,ladhar
40,Fuß::N,πόδι,cos
41,Fuß::N,πόδι,troigh
42,Ferse::N,φτέρνα,sáil
43,Knie::N,γόνατο,glúin
44,Oberschenkel::N,μηρός,ceathrú
45,Bein::N,πόδι,cos
46,Körper::N,σώμα,corp
47,Körper::N,σώμα,colainn
48,Körper::N,κορμί,corp
49,Körper::N,κορμί,colainn
50,Haut::N,πετσί,cneas
51,Haut::N,πετσί,craiceann
52,Blut::N,αίμα,fuil
53,Ader::N,φλέβα,
54,Sehne::N,νεύρο,teannán
55,Sehne::N,νεύρο,féitheog
56,Sehne::N,τένοντας,teannán
57,Sehne::N,τένοντας,féitheog
58,Knochen::N,οστό,cnámh
59,Knochen::N,κόκκαλο,cnámh
60,Gehirn::N,μυαλό,inchinn
61,Gehirn::N,εγκέφαλος,inchinn
62,Herz::N,καρδιά,croí
63,Magen::N,στομάχι,bolg
64,Magen::N,στομάχι,goile
65,Leber::N,ήπαρ,ae
66,Leber::N,συκωτί,ae
67,Atem::N,αναπνοή,anáil
68,Hunger::N,πείνα,ocras
69,Träne::N,δάκρυ,deoir
70,Geschmack::N,γεύση,blas
71,Geruch::N,οσμή,boladh
72,Geruch::N,μυρωδία,boladh
73,Schlaf::N,ύπνος,suan
74,Schlaf::N,ύπνος,codladh
75,Traum::N,όνειρο,taibhreamh
76,Himmel::N,ουρανός,spéir
77,Sonne::N,ήλιος,grian
78,Mond::N,σελήνη,ré
79,Mond::N,σελήνη,gealach
80,Mond::N,φεγγάρι,ré
81,Mond::N,φεγγάρι,gealach
82,Stern::N,άστρο,rinn
83,Stern::N,άστρο,réalta
84,Stern::N,αστέρι,rinn
85,Stern::N,αστέρι,réalta
86,Luft::N,αέρας,aer
87,Wind::N,αέρας,gaoth
