,Concept_ID,sk,ru
0,Auge::N,oko,глаз
1,Ohr::N,ucho,ухо
2,Nase::N,nos,нос
3,Mund::N,ústa,рот
4,Zahn::N,zub,зуб
5,Zunge::N,jazyk,язык
6,Lippe::N,pera,губа
7,Wange::N,líce,щека
8,Gesicht::N,tvár,лицо
9,Gesicht::N,obličaj,лицо
10,Stirn::N,čelo,лоб
11,Haar::N,vlas,волос
12,Haar::N,vlas,волосы
13,Schnurrbart::N,fúzy,ус
14,Schnurrbart::N,fúzy,усы
15,Bart::N,brada,борода
16,Kinn::N,brada,подбородок
17,Kiefer[Anatomie]::N,čeľusť,челюсть
18,Kehle::N,hrdlo,горло
19,Hals::N,krk,шея
20,Genick::N,väzy,затылок
21,Kopf::N,hlava,голова
22,Rücken::N,chrbát,спина
23,Bauch::N,brucho,живот
24,Nabel::N,pupok,пупок
25,Busen::N,prsia,женская грудь
26,Brust::N,hruď,грудь
27,Schulter::N,plece,плечо
28,Arm::N,rameno,рука
29,Ellenbogen::N,lakeť,локоть
30,Hand::N,ruka,кисть
31,Handfläche::N,dlaň,ладонь
32,Finger::N,prst,палец
33,Fingernagel::N,necht,ноготь
34,Nagel[Anatomie]::N,necht,ноготь
35,Zeh::N,prst na nohe,палец
36,Fuß::N,noha,ступня
37,Ferse::N,päta,пята
38,Ferse::N,päta,пятка
39,Knie::N,koleno,колено
40,Oberschenkel::N,stehno,бедро
41,Bein::N,noha,нога
42,Körper::N,telo,тело
43,Haut::N,koža,кожа
44,Blut::N,krv,кровь
45,Ader::N,žila,вена
46,Ader::N,žila,сосуд
47,Sehne::N,šľacha,жила
48,Sehne::N,šľacha,тетива
49,Sehne::N,šľacha,сухожилие
50,Knochen::N,kosť,кость
51,Gehirn::N,mozog,мозг
52,Herz::N,srdce,сердце
53,Magen::N,žalúdok,желудок
54,Leber::N,pečeň,печень
55,Atem::N,dych,дух
56,Atem::N,dych,дыхание
57,Hunger::N,hlad,голод
58,Träne::N,slza,слеза
59,Geschmack::N,chuť,вкус
60,Geruch::N,pach,запах
61,Schlaf::N,spánok,сон
62,Traum::N,sen,сновидение
63,Himmel::N,nebo,небо
64,Sonne::N,slnko,солнце
65,Mond::N,mesiac,луна
66,Stern::N,hviezda,звезда
67,Luft::N,vzduch,воздух
68,Wind::N,vietor,ветер
69,Welle::N,vlna,волна
70,Wasser::N,voda,вода
71,Stein::N,kameň,камень
72,Boden::N,zem,почва
73,Boden::N,pôda,почва
74,Erde::N,zem,земля
75,Staub::N,prach,пыль
76,Rauch::N,dym,дым
77,Funke::N,iskra,искра
78,Feuer::N,oheň,огонь
79,Licht::N,svetlo,свет
80,Schatten::N,tieň,тень
81,Wetter::N,počasie,погода
82,Nebel::N,hmla,туман
83,Wolke::N,oblak,облако
84,Wolke::N,mračno,облако
85,Regen::N,dážď,дождь
86,Schnee::N,sneh,снег
87,Eis::N,ľad,лед
