,Concept_ID,be,el
0,Auge::N,вока,μάτι
1,Auge::N,вока,οφθαλμός
2,Ohr::N,вуха,αυτί
3,Nase::N,нос,μύτη
4,Mund::N,рот,στόμα
5,Zahn::N,зуб,δόντι
6,Zunge::N,язык,γλώσσα
7,Lippe::N,губа,χείλος
8,Wange::N,шчака,παρειά
9,Wange::N,шчака,μάγουλο
10,Gesicht::N,твар,πρόσωπο
11,Stirn::N,лоб,μέτωπο
12,Haar::N,волас,μαλλιά
13,Haar::N,валасы,μαλλιά
14,Schnurrbart::N,вус,μουστάκι
15,Schnurrbart::N,вусы,μουστάκι
16,Bart::N,барада,γένια
17,Kinn::N,падбародак,πιγούνι
18,Kiefer[Anatomie]::N,сківіца,σαγόνι
19,Kehle::N,горла,λαρύγγι
20,Hals::N,шыя,λαιμός
21,Genick::N,патыліца,σβέρκος
22,Kopf::N,галава,κεφάλι
23,Rücken::N,спіна,ράχη
24,Bauch::N,жывот,κοιλιά
25,Nabel::N,пупок,αφαλός
26,Busen::N,грудзі,στήθος
27,Brust::N,грудзі,στήθος
28,Schulter::N,плячо,ώμος
29,Arm::N,рука,χέρι
30,Arm::N,рука,μπράτςο
31,Ellenbogen::N,локаць,αγκώνας
32,Hand::N,кісць,χέρι
33,Handfläche::N,далонь,παλάμη
34,Finger::N,палец,δάχτυλο
35,Fingernagel::N,ногаць,νύχι
36,Nagel[Anatomie]::N,ногаць,νύχι
37,Zeh::N,палец,δάχτυλο του ποδιού
38,Fuß::N,нага,πόδι
39,Ferse::N,пята,φτέρνα
40,Ferse::N,пятка,φτέρνα
41,Knie::N,калена,γόνατο
42,Oberschenkel::N,бядро,μηρός
43,Oberschenkel::N,сцягно,μηρός
44,Bein::N,нага,πόδι
45,Körper::N,цела,σώμα
46,Körper::N,цела,κορμί
47,Haut::N,скура,πετσί
48,Blut::N,кроў,αίμα
49,Ader::N,вена,φλέβα
50,Ader::N,сасуд,φλέβα
51,Sehne::N,жыла,νεύρο
52,Sehne::N,жыла,τένοντας
53,Sehne::N,цеціва,νεύρο
54,Sehne::N,цеціва,τένοντας
55,Sehne::N,сухажылле,νεύρο
56,Sehne::N,сухажылле,τένοντας
57,Knochen::N,косць,οστό
58,Knochen::N,косць,κόκκαλο
59,Gehirn::N,мозг,μυαλό
60,Gehirn::N,мозг,εγκέφαλος
61,Herz::N,сэрца,καρδιά
62,Magen::N,страўнік,στομάχι
63,Leber::N,печань,ήπαρ
64,Leber::N,печань,συκωτί
65,Atem::N,дыханне,αναπνοή
66,Hunger::N,голад,πείνα
67,Träne::N,сляза,δάκρυ
68,Geschmack::N,смак,γεύση
69,Geruch::N,пах,οσμή
70,Geruch::N,пах,μυρωδία
71,Schlaf::N,сон,ύπνος
72,Traum::N,сон,όνειρο
73,Himmel::N,неба,ουρανός
