,Concept_ID,en,bg
0,Auge::N,eye,око
1,Ohr::N,ear,ухо
2,Nase::N,nose,нос
3,Mund::N,mouth,уста
4,Zahn::N,tooth,зъб
5,Zunge::N,tongue,език
6,Lippe::N,lip,устна
7,Wange::N,cheek,буза
8,Gesicht::N,face,лице
9,Gesicht::N,face,образ
10,Stirn::N,forehead,чело
11,Haar::N,hair,коса
12,Haar::N,hair,косъм
13,Schnurrbart::N,moustache,мустаци
14,Bart::N,beard,брада
15,Kinn::N,chin,брада
16,Kinn::N,chin,брадичка
17,Kiefer[Anatomie]::N,jaw,челюст
18,Kehle::N,throat,гърло
19,Hals::N,neck,врат
20,Genick::N,nape,тил
21,Kopf::N,head,глава
22,Rücken::N,back,гръб
23,Rücken::N,spine,гръб
24,Bauch::N,belly,корем
25,Nabel::N,navel,пъп
26,Busen::N,bosom,бозка
27,Brust::N,chest,гръд
28,Brust::N,breast,гръд
29,Schulter::N,shoulder,рамо
30,Schulter::N,shoulder,плещи
31,Arm::N,arm,ръка
32,Ellenbogen::N,elbow,лакът
33,Hand::N,hand,ръка
34,Hand::N,hand,китка
35,Handfläche::N,palm,длан
36,Finger::N,finger,пръст
37,Fingernagel::N,fingernail,нокът
38,Nagel[Anatomie]::N,nail,нокът
39,Zeh::N,toe,пръст на крак
40,Fuß::N,foot,крак
41,Fuß::N,foot,нога
42,Ferse::N,heel,пета
43,Knie::N,knee,коляно
44,Oberschenkel::N,thigh,бедро
45,Bein::N,leg,крак
46,Bein::N,leg,нога
47,Körper::N,body,тяло
48,Haut::N,skin,кожа
49,Blut::N,blood,кръв
50,Ader::N,vein,вена
51,Ader::N,vein,артерия
52,Sehne::N,sinew,жила
53,Sehne::N,sinew,сухожилие
54,Knochen::N,bone,кост
55,Gehirn::N,brain,мозък
56,Herz::N,heart,сърце
57,Magen::N,stomach,стомах
58,Leber::N,liver,черен дроб
59,Atem::N,breath,дишане
60,Hunger::N,hunger,глад
61,Träne::N,tear,сълза
62,Geschmack::N,flavour,вкус
63,Geschmack::N,flavor,вкус
64,Geruch::N,odour,миризма
65,Geruch::N,odor,миризма
66,Schlaf::N,sleep,сън
67,Traum::N,dream,сън
68,Himmel::N,sky,небе
69,Sonne::N,sun,слънце
70,Mond::N,moon,луна
71,Mond::N,moon,месец
72,Stern::N,star,звезда
73,Luft::N,air,въздух
74,Wind::N,wind,вятър
75,Welle::N,wave,вълна
76,Wasser::N,water,вода
77,Stein::N,stone,камък
78,Boden::N,soil,земя
79,Boden::N,soil,почва
80,Boden::N,ground,земя
81,Boden::N,ground,почва
82,Erde::N,earth,земя
83,Erde::N,earth,почва
84,Staub::N,dust,прах
85,Rauch::N,smoke,дим
86,Rauch::N,smoke,пушек
87,Funke::N,spark,искра
88,Feuer::N,fire,огън
89,Licht::N,light,светлина
90,Schatten::N,shadow,сянка
91,Wetter::N,weather,време
92,Nebel::N,fog,мъгла
93,Wolke::N,cloud,облак
94,Regen::N,rain,дъжд
95,Schnee::N,snow,сняг
96,Eis::N,ice,лед
97,Frost::N,frost,мраз
98,Kälte::N,chill,студ
99,Hitze::N,heat,жега
100,Hitze::N,heat,горещина
101,Raureif::N,hoarfrost,скреж
102,Raureif::N,hoarfrost,слана
103,Regenbogen::N,rainbow,дъга
104,Donner::N,thunder,гръм
105,Strömung::N,current,течение
106,Tropfen::N,drop,капка
107,Schaum::N,foam,пяна
108,Schmutz::N,dirt,кал
109,Schmutz::N,dirt,мръсотия
110,See::N,lake,езеро
111,Sumpf::N,swamp,блато
112,Moor::N,moor,мочурище
113,Wiese::N,meadow,ливада
114,Wald::N,forest,гора
115,Hügel::N,hill,рид
116,Hügel::N,hill,хълм
117,Anhöhe::N,elevation,могила
118,Anhöhe::N,elevation,възвишение
119,Berg::N,mountain,планина
120,Gipfel::N,summit,връх
121,Höhle::N,cave,пещера
122,Abhang::N,slope,склон
123,Abhang::N,slope,стръмнина
124,Quelle::N,source,извор
125,Bach::N,brook,поток
126,Fluss::N,river,река
127,Ufer::N,shore,бряг
128,Küste::N,coast,бряг
129,Küste::N,coast,крайбрежие
130,Festland::N,land,суша
131,Meer::N,sea,море
132,Bucht::N,cove,залив
133,Insel::N,island,остров
134,Blume::N,flower,цвете
135,Gras::N,grass,трева
136,Wurzel::N,root,корен
137,Baum::N,tree,дърво
138,Stamm::N,trunk,стъбло
139,Rinde::N,bark,кора
140,Ast::N,limb,клон
141,Zweig::N,branch,клон
142,Blatt::N,leaf,лист
143,Birke::N,birch,бреза
144,Kiefer[Baum]::N,pine,бор
145,Weide[Baum]::N,willow,върба
146,Tanne::N,fir,ела
147,Horn::N,horn,рог
148,Feder::N,feather,перо
149,Fell::N,fur,кожа
150,Flügel::N,wing,крило
151,Klaue::N,claw,нокът
152,Kralle::N,claw,нокът
153,Schwanz::N,tail,опашка
154,Ei::N,egg,яйце
155,Nest::N,nest,гнездо
156,Bau::N,lair,дупка
157,Tier::N,animal,животно
158,Herde::N,flock,стадо
159,Kuh::N,cow,крава
160,Bulle::N,bull,бик
161,Pferd::N,horse,кон
162,Schaf::N,sheep,овца
163,Schwein::N,pig,свиня
164,Hund::N,dog,куче
165,Katze::N,cat,котка
166,Bär::N,bear,мечка
167,Eichhörnchen::N,squirrel,катерица
168,Elch::N,elk,лос
