,Concept_ID,it,fi
0,Auge::N,occhio,silmä
1,Ohr::N,orecchio,korva
2,Nase::N,naso,nenä
3,Mund::N,bocca,suu
4,Zahn::N,dente,hammas
5,Zunge::N,lingua,kieli
6,Lippe::N,labbro,huuli
7,Wange::N,guancia,poski
8,Gesicht::N,viso,naama
9,Gesicht::N,viso,kasvot
10,Gesicht::N,faccia,naama
11,Gesicht::N,faccia,kasvot
12,Stirn::N,fronte,otsa
13,Haar::N,capello,hius
14,Haar::N,capello,tukka
15,Schnurrbart::N,baffi,viikset
16,Schnurrbart::N,mustacchi,viikset
17,Bart::N,barba,parta
18,Kinn::N,mento,leuka
19,Kiefer[Anatomie]::N,mascella,leukaluu
20,Kehle::N,gola,kurkku
21,Hals::N,collo,kaula
22,Genick::N,nuca,niska
23,Kopf::N,capo,pää
24,Kopf::N,testa,pää
25,Rücken::N,dorso,selkä
26,Rücken::N,schiena,selkä
27,Bauch::N,ventre,maha
28,Bauch::N,ventre,vatsa
29,Nabel::N,ombelico,napa
30,Busen::N,seno,rinta
31,Brust::N,petto,rinta
32,Schulter::N,spalla,olka
33,Schulter::N,spalla,hartia
34,Schulter::N,spalla,olkapää
35,Arm::N,braccio,käsivarsi
36,Ellenbogen::N,gomito,kyynärpää
37,Hand::N,mano,käsi
38,Handfläche::N,palma,kämmen
39,Finger::N,dito,sormi
40,Fingernagel::N,unghia,kynsi
41,Nagel[Anatomie]::N,unghia,kynsi
42,Zeh::N,dito del piede,varvas
43,Fuß::N,piede,jalka
44,Ferse::N,tallone,kantapää
45,Ferse::N,calcagno,kantapää
46,Knie::N,ginocchio,polvi
47,Oberschenkel::N,fèmore,reisi
48,Bein::N,gamba,jalka
49,Körper::N,corpo,keho
50,Körper::N,corpo,ruumis
51,Haut::N,pelle,iho
52,Blut::N,sangue,veri
53,Ader::N,vena,suoni
54,Sehne::N,tèndine,jänne
55,Knochen::N,osso,luu
56,Gehirn::N,cervello,aivot
57,Herz::N,cuore,sydän
58,Magen::N,stòmaco,maha
59,Magen::N,stòmaco,vatsa
60,Leber::N,fegato,maksa
61,Atem::N,fiato,henki
62,Atem::N,fiato,hengitys
63,Atem::N,respiro,henki
64,Atem::N,respiro,hengitys
65,Hunger::N,fame,nälkä
66,Träne::N,làcrima,kyynel
67,Geschmack::N,gusto,maku
68,Geschmack::N,sapore,maku
69,Geruch::N,odore,haju
70,Schlaf::N,sonno,uni
71,Traum::N,sogno,uni
72,Himmel::N,cielo,taivas
73,Sonne::N,sole,aurinko
74,Mond::N,luna,kuu
75,Stern::N,stella,tähti
76,Luft::N,aria,ilma
77,Wind::N,vento,tuuli
78,Welle::N,onda,aalto
79,Wasser::N,acqua,vesi
80,Stein::N,sasso,kivi
81,Stein::N,pietra,kivi
82,Boden::N,suolo,maa
83,Boden::N,suolo,maaperä
84,Boden::N,terreno,maa
85,Boden::N,terreno,maaperä
86,Erde::N,terra,maa
87,Staub::N,polvere,pöly
88,Rauch::N,fumo,savu
89,Funke::N,scintilla,kipinä
90,Feuer::N,fuoco,tuli
91,Licht::N,luce,valo
92,Schatten::N,ombra,varjo
93,Wetter::N,tempo,sää
94,Nebel::N,nebbia,sumu
95,Wolke::N,nube,pilvi
96,Wolke::N,nùvola,pilvi
97,Regen::N,pioggia,sade
98,Schnee::N,neve,lumi
99,Eis::N,ghiaccio,jää
100,Frost::N,gelo,halla
101,Frost::N,gelo,pakkanen
102,Kälte::N,freddo,vilu
103,Kälte::N,freddo,kylmyys
104,Hitze::N,caldo,helle
105,Hitze::N,caldo,kuumuus
106,Hitze::N,calura,helle
107,Hitze::N,calura,kuumuus
108,Raureif::N,brina,huurre
109,Regenbogen::N,arcobaleno,sateenkaari
110,Donner::N,tuono,jyrinä
111,Strömung::N,corrente,virtaus
112,Tropfen::N,goccia,tippa
113,Tropfen::N,goccia,pisara
114,Schaum::N,spuma,vaahto
115,Schaum::N,schiuma,vaahto
116,Schmutz::N,sudiciume,loka
117,See::N,lago,järvi
118,Sumpf::N,palude,suo
119,Moor::N,torbiera,räme
120,Wiese::N,prato,niitty
121,Wald::N,bosco,metsä
122,Wald::N,foresta,metsä
123,Hügel::N,colle,mäki
124,Hügel::N,colle,kumpu
125,Hügel::N,colle,kukkula
126,Hügel::N,collina,mäki
127,Hügel::N,collina,kumpu
128,Hügel::N,collina,kukkula
129,Anhöhe::N,altura,mäki
130,Anhöhe::N,altura,kumpare
131,Berg::N,monte,mäki
132,Berg::N,monte,vuori
133,Berg::N,montagna,mäki
134,Berg::N,montagna,vuori
135,Gipfel::N,cima,laki
136,Gipfel::N,cima,huippu
137,Höhle::N,grotta,luola
138,Höhle::N,caverna,luola
139,Abhang::N,pendìo,rinne
140,Quelle::N,sorgente,lähde
141,Bach::N,ruscello,puro
142,Fluss::N,fiume,joki
143,Ufer::N,riva,ranta
144,Küste::N,costa,rannikko
145,Festland::N,terraferma,manner
146,Meer::N,mare,meri
147,Bucht::N,cala,lahti
148,Insel::N,ìsola,saari
149,Blume::N,fiore,kukka
150,Gras::N,erba,ruoho
151,Wurzel::N,radice,juuri
152,Baum::N,àlbero,puu
153,Stamm::N,tronco,runko
154,Rinde::N,corteccia,kuori
155,Rinde::N,corteccia,parkki
156,Ast::N,ramo,oksa
157,Zweig::N,ramo,haara
158,Blatt::N,foglia,lehti
159,Birke::N,betulla,koivu
160,Kiefer[Baum]::N,pino,mänty
161,Kiefer[Baum]::N,pino,petäjä
162,Weide[Baum]::N,sàlice,paju
163,Tanne::N,abete,kuusi
164,Horn::N,corno,sarvi
165,Feder::N,penna,sulka
166,Feder::N,penna,höyhen
167,Fell::N,manto,talja
168,Fell::N,pelame,talja
169,Flügel::N,ala,siipi
170,Klaue::N,grinfia,kynsi
171,Kralle::N,unghia,kynsi
172,Kralle::N,artiglio,kynsi
173,Schwanz::N,coda,häntä
174,Schwanz::N,coda,pyrstö
175,Ei::N,uovo,muna
176,Nest::N,nido,pesä
177,Bau::N,covo,pesä
178,Tier::N,bestia,eläin
179,Tier::N,animale,eläin
180,Herde::N,gregge,lauma
181,Kuh::N,vacca,lehmä
182,Bulle::N,toro,sonni
183,Pferd::N,cavallo,hevonen
184,Schaf::N,pècora,lammas
185,Schwein::N,porco,sika
186,Schwein::N,maiale,sika
187,Hund::N,cane,koira
188,Katze::N,gatta,kissa
189,Bär::N,orso,karhu
190,Eichhörnchen::N,scoiàttolo,orava
191,Elch::N,alce,hirvi
192,Fuchs::N,volpe,kettu
193,Hase::N,lepre,jänis
194,Maus::N,topo,hiiri
195,Maus::N,sorcio,hiiri
196,Wolf::N,lupo,susi
197,Vogel::N,uccello,lintu
198,Schwarm::N,stormo,parvi
199,Huhn::N,gallina,kana
200,Hahn::N,gallo,kukko
201,Gans::N,oca,hanhi
202,Adler::N,àquila,kotka
203,Ente::N,ànatra,ankka
204,Eule::N,gufo,pöllö
205,Eule::N,civetta,pöllö
206,Kranich::N,gru,kurki
207,Krähe::N,cornacchia,varis
208,Kuckuck::N,cuccù,käki
209,Kuckuck::N,cùculo,käki
210,Schwan::N,cigno,joutsen
211,Fisch::N,pesce,kala
212,Barsch::N,pèrsico,ahven
213,Hecht::N,luccio,hauki
214,Schlange[Tier]::N,serpente,käärme
215,Wurm::N,baco,mato
216,Wurm::N,verme,mato
217,Spinne::N,ragno,hämähäkki
218,Ameise::N,formica,muurahainen
219,Laus::N,pidocchio,täi
220,Mücke::N,zanzara,sääski
221,Mücke::N,zanzara,hyttynen
222,Fliege::N,mosca,kärpänen
223,Schmetterling::N,farfalla,perhonen
224,Beere::N,bacca,marja
225,Apfel::N,mela,omena
226,Pilz::N,fungo,sieni
227,Zwiebel::N,cipolla,sipuli
228,Saat::N,semente,siemenet
229,Korn::N,grano,jyvä
230,Korn::N,grano,vilja
231,Heu::N,fieno,heinä
232,Schale::N,buccia,kuori
233,Grube::N,cava,kuoppa
234,Grube::N,fossa,kuoppa
235,Falle::N,tràppola,loukku
236,Schlinge::N,laccio,ansa
237,Spur::N,traccia,jälki
238,Asche::N,cenere,tuhka
239,Dreck::N,fango,lika
240,Eisen::N,ferro,rauta
241,Gold::N,oro,kulta
242,Silber::N,argento,hopea
243,Kohle::N,carbone,hiili
244,Glas::N,vetro,lasi
245,Lehm::N,argilla,savi
246,Sand::N,arena,hiekka
247,Sand::N,sabbia,hiekka
248,Mensch::N,uomo,ihminen
249,Mensch::N,èssere umano,ihminen
250,Mann::N,uomo,mies
251,Frau::N,donna,nainen
252,Kind::N,bambino,lapsi
253,Junge::N,ragazzo,poika
254,Mädchen::N,ragazza,tyttö
255,Familie::N,famiglia,perhe
256,Großvater::N,nonno,isoisä
257,Großmutter::N,nonna,isoäiti
258,Eltern::N,genitori,vanhemmat
259,Vater::N,padre,isä
260,Mutter::N,madre,äiti
261,Sohn::N,figlio,poika
262,Tochter::N,figlia,tytär
263,Bruder::N,fratello,veli
264,Schwester::N,sorella,sisko
265,Onkel::N,zio,eno
266,Onkel::N,zio,setä
267,Tante::N,zia,täti
268,Ehemann::N,marito,mies
269,Ehemann::N,marito,aviomies
270,Ehefrau::N,moglie,vaimo
271,Ehefrau::N,moglie,aviovaimo
272,Freude::N,gioia,ilo
273,Freude::N,gioia,riemu
274,Freude::N,piacere,ilo
275,Freude::N,piacere,riemu
276,Gelächter::N,risata,nauru
277,Glück::N,felicità,onni
278,Kummer::N,afflizione,suru
279,Kummer::N,afflizione,murhe
280,Wunsch::N,desiderio,toive
281,Wunsch::N,desiderio,toivomus
282,Lust::N,voglia,himo
283,Geist::N,mente,henki
284,Geist::N,spìrito,henki
285,Gedanke::N,idea,aate
286,Gedanke::N,idea,ajatus
287,Gedanke::N,pensiero,aate
288,Gedanke::N,pensiero,ajatus
289,Gedächtnis::N,memoria,muisti
290,Verstand::N,intelletto,äly
291,Verstand::N,intelletto,järki
292,Verstand::N,intelletto,ymmärrys
293,Sinn::N,senso,merkitys
294,Sinn::N,significato,merkitys
295,Grund::N,causa,syy
296,Grund::N,causa,peruste
297,Grund::N,motivo,syy
298,Grund::N,motivo,peruste
299,Grund::N,ragione,syy
300,Grund::N,ragione,peruste
301,Wahrheit::N,verità,tosi
302,Wahrheit::N,verità,totuus
303,Gespräch::N,discorso,puhelu
304,Gespräch::N,discorso,keskustelu
305,Gespräch::N,conversazione,puhelu
306,Gespräch::N,conversazione,keskustelu
307,Märchen::N,fiaba,satu
