,Concept_ID,tt,he
0,Auge::N,күз,עין
1,Ohr::N,колак,אזן
2,Nase::N,борын,אף
3,Nase::N,борын,חטם
4,Mund::N,авыз,פה
5,Mund::N,тамак,פה
6,Zahn::N,теш,שן
7,Zunge::N,тел,לשון
8,Lippe::N,ирен,שפה
9,Wange::N,яңак,לחי
10,Gesicht::N,йөз,פנים
11,Stirn::N,маңгай,מצח
12,Haar::N,чәч,שערה
13,Schnurrbart::N,мыек,שפם
14,Bart::N,сакал,זקן
15,Kinn::N,ияк,סנטר
16,Kiefer[Anatomie]::N,казналык,לסת
17,Kehle::N,тамак,גרון
18,Hals::N,бугаз,צואר
19,Genick::N,җилкә,ערף
20,Kopf::N,баш,ראש
21,Rücken::N,сырт,גב
22,Bauch::N,корсак,בטן
23,Nabel::N,кендек,טבור
24,Busen::N,түш,שד
25,Brust::N,имчәк,חזה
26,Brust::N,күкрәк,חזה
27,Schulter::N,иңбаш,כתף
28,Schulter::N,кулбаш,כתף
29,Arm::N,кул,זרוע
30,Ellenbogen::N,терсәк,מרפק
31,Hand::N,кул,יד
32,Handfläche::N,уч,כף יד
33,Finger::N,бармак,אצבע
34,Fingernagel::N,тырнак,צפרן
35,Nagel[Anatomie]::N,тырнак,צפרן
36,Zeh::N,бармак,אצבע
37,Fuß::N,табан,רגל
38,Ferse::N,үкчә,עקב
39,Knie::N,тез,ברך
40,Oberschenkel::N,бот,ירך
41,Bein::N,аяк,רגל
42,Körper::N,тән,גוף
43,Körper::N,җисем,גוף
44,Haut::N,тире,עור
45,Blut::N,кан,דם
46,Ader::N,тамыр,וריד
47,Sehne::N,сеңер,גיד
48,Knochen::N,сөяк,עצם
49,Gehirn::N,ми,מוח
50,Herz::N,йөрәк,לב
51,Magen::N,ашказаны,קבה
52,Leber::N,бавыр,כבד
53,Atem::N,сулыш,נשימה
54,Hunger::N,ачлык,רעב
55,Träne::N,яшь,דמעה
56,Geschmack::N,тәм,טעם
57,Geschmack::N,зәвык,טעם
58,Geruch::N,ис,ריח
59,Schlaf::N,йокы,שנה
60,Traum::N,төш,חלום
61,Himmel::N,күк,שמים
62,Sonne::N,кояш,שמש
63,Mond::N,ай,ירח
64,Stern::N,йолдыз,כוכב
65,Luft::N,һава,אויר
66,Wind::N,җил,רוח
67,Welle::N,дулкын,גל
68,Wasser::N,су,מים
69,Stein::N,таш,אבן
70,Boden::N,туфрак,קרקע
71,Erde::N,җир,אדמה
72,Staub::N,тузан,אבק
73,Rauch::N,төтен,עשן
74,Funke::N,очкын,ניצוץ
75,Feuer::N,ут,אש
76,Licht::N,якты,אור
77,Schatten::N,күләгә,צל
78,Wetter::N,һава,מזג אויר
79,Nebel::N,томан,ערפל
80,Wolke::N,болыт,ענן
81,Regen::N,яңгыр,גשם
82,Schnee::N,кар,שלג
83,Eis::N,боз,קרח
84,Frost::N,суык,צנה
85,Frost::N,салкын,צנה
86,Kälte::N,суык,קר
87,Kälte::N,салкын,קר
88,Hitze::N,эсселек,חם
89,Raureif::N,бәс,כפור
90,Raureif::N,сыкы,כפור
91,Regenbogen::N,салават күпере,קשת
92,Donner::N,күкрәү,רעם
93,Strömung::N,агыш'агым,זרימה
94,Tropfen::N,тамчы,טפה
95,Schaum::N,күбек,קצף
96,Schmutz::N,пычрак,לכלוך
97,See::N,күл,אגם
98,Sumpf::N,саз,בצה
99,Moor::N,торфлык,בצה
100,Wiese::N,болын,מרעה
101,Wald::N,урман,יער
102,Hügel::N,калку,תל
103,Anhöhe::N,үр,מעלה
104,Berg::N,тау,הר
105,Gipfel::N,оч,פסגה
106,Höhle::N,мәгарә,מערה
107,Abhang::N,кабырга,מדרון
108,Abhang::N,кабырга,שפוע
109,Quelle::N,чишмә,מעין
110,Bach::N,елга,נחל
111,Fluss::N,дәрья,נהר
112,Ufer::N,су кырые,גדה
113,Küste::N,яр буе,חוף
114,Festland::N,коры җир,יבשה
115,Meer::N,диңгез,ים
116,Bucht::N,бухта,מפרץ
117,Bucht::N,култык,מפרץ
118,Insel::N,атау,אי
119,Insel::N,утрау,אי
120,Blume::N,чәчкә,פרח
121,Gras::N,үлән,דשא
122,Wurzel::N,тамыр,שרש
123,Baum::N,агач,עץ
124,Stamm::N,кәүсә,גזע
125,Rinde::N,кабык,קלפת עץ
126,Ast::N,ботак,ענף
127,Zweig::N,ботак,ענף
128,Zweig::N,тармак,ענף
129,Blatt::N,яфрак,עלה
130,Birke::N,каен,שדר
131,Kiefer[Baum]::N,нарат,ארן
132,Weide[Baum]::N,тал,ערבה
133,Tanne::N,чыршы,אשוח
134,Horn::N,мөгез,קרן
135,Feder::N,йон,נוצה
136,Fell::N,тире,פרוה
137,Flügel::N,канат,כנף
138,Klaue::N,тырнак,טלף
139,Kralle::N,тырнак,טפר
140,Schwanz::N,койрык,זנב
141,Ei::N,күкәй,ביצה
142,Ei::N,йомырка,ביצה
143,Nest::N,оя,קן
144,Bau::N,өн,מחלה
145,Tier::N,хайван,חיה
146,Herde::N,көтү,עדר
147,Kuh::N,сыер,פרה
148,Bulle::N,үгез,פר
149,Pferd::N,ат,סוס
150,Schaf::N,сарык,כבשה
151,Schwein::N,дуңгыз,חזיר
152,Hund::N,эт,כלב
153,Katze::N,песи,חתול
154,Bär::N,аю,דב
155,Eichhörnchen::N,тиен,סנאי
156,Elch::N,поши,דישון
157,Fuchs::N,төлке,שועל
158,Hase::N,куян,ארנב
159,Maus::N,тычкан,עכבר
160,Wolf::N,бүре,זאב
161,Vogel::N,кош,צפור
162,Schwarm::N,көтү,נחיל
163,Schwarm::N,көтү,להקה
164,Huhn::N,тавык,תרנגלת
165,Hahn::N,әтәч,תרנגול
166,Gans::N,каз,אוז
167,Adler::N,каракош,עיט
168,Ente::N,үрдәк,ברוז
169,Eule::N,ябалак,ינשוף
170,Kranich::N,торна,עגור
171,Kranich::N,торна,כרוכיה
172,Krähe::N,карга,עורב
173,Kuckuck::N,күке,קוקיה
174,Kuckuck::N,кәккүк,קוקיה
175,Schwan::N,аккош,ברבור
176,Fisch::N,балык,דג
177,Barsch::N,алабуга,אוקונוס
178,Hecht::N,чуртан,זאב הים
179,Schlange[Tier]::N,елан,נחש
180,Wurm::N,корт,תולעת
181,Spinne::N,үрмәкүч,עכביש
182,Ameise::N,кырмыска,נמלה
183,Laus::N,бет,כנה
184,Mücke::N,черки,יתוש
185,Mücke::N,озынборын,יתוש
186,Fliege::N,чебен,זבוב
187,Schmetterling::N,күбәләк,פרפר
188,Beere::N,җиләк,ענבה
189,Apfel::N,алма,תפוח
190,Pilz::N,гөмбә,פטריה
191,Zwiebel::N,суган,בצל
192,Zwiebel::N,суганбаш,בצל
193,Saat::N,орлык,זרעים
194,Korn::N,иген,גרעין
195,Korn::N,орлык,גרעין
