,Concept_ID,mdf,bg
0,Auge::N,сельме,око
1,Ohr::N,пиле,ухо
2,Nase::N,шалхка,нос
3,Mund::N,курга,уста
4,Zahn::N,пей,зъб
5,Zunge::N,кяль,език
6,Lippe::N,търва́,устна
7,Wange::N,щёка,буза
8,Gesicht::N,шама,лице
9,Gesicht::N,шама,образ
10,Stirn::N,коня,чело
11,Haar::N,шя́ярь,коса
12,Haar::N,шя́ярь,косъм
13,Schnurrbart::N,уса́,мустаци
14,Bart::N,сакал,брада
15,Kinn::N,ула,брада
16,Kinn::N,ула,брадичка
17,Kiefer[Anatomie]::N,саласка,челюст
18,Kehle::N,кълдома,гърло
19,Kehle::N,кърга́парь,гърло
20,Hals::N,сялдаз,врат
21,Genick::N,шовонь,тил
22,Kopf::N,пря,глава
23,Rücken::N,копорь,гръб
24,Bauch::N,пеке,корем
25,Nabel::N,по́кон,пъп
26,Busen::N,потя,бозка
27,Brust::N,мяште,гръд
28,Schulter::N,лафту,рамо
29,Schulter::N,лафту,плещи
30,Arm::N,кядь,ръка
31,Ellenbogen::N,кенерьба́карь,лакът
32,Hand::N,кядь,ръка
33,Hand::N,кядь,китка
34,Handfläche::N,кядьлапш,длан
35,Finger::N,сур,пръст
36,Fingernagel::N,кенже,нокът
37,Nagel[Anatomie]::N,кенже,нокът
38,Zeh::N,пильгосу́р,пръст на крак
39,Fuß::N,пильге,крак
40,Fuß::N,пильге,нога
41,Fuß::N,пильгелапа,крак
42,Fuß::N,пильгелапа,нога
43,Ferse::N,кочкяря,пета
44,Knie::N,эль,коляно
45,Knie::N,пълма́нжа,коляно
46,Oberschenkel::N,пильгепукша,бедро
47,Bein::N,пильге,крак
48,Bein::N,пильге,нога
49,Körper::N,ро́нга,тяло
50,Körper::N,по́нда,тяло
51,Haut::N,киське,кожа
52,Blut::N,вер,кръв
53,Ader::N,сан,вена
54,Ader::N,сан,артерия
55,Ader::N,верза́н,вена
56,Ader::N,верза́н,артерия
57,Sehne::N,коське сан,жила
58,Sehne::N,коське сан,сухожилие
59,Knochen::N,пакарь,кост
60,Gehirn::N,уй,мозък
61,Herz::N,седи,сърце
62,Magen::N,коткърдазь,стомах
63,Leber::N,макса,черен дроб
64,Atem::N,лекома,дишане
65,Atem::N,ваймонь тарксема,дишане
66,Hunger::N,вачеши,глад
67,Träne::N,сельмове́дь,сълза
68,Geschmack::N,таньф,вкус
69,Geruch::N,шине,миризма
70,Schlaf::N,удома́,сън
71,Traum::N,он,сън
72,Himmel::N,менель,небе
73,Sonne::N,ши,слънце
74,Mond::N,ков,луна
75,Mond::N,ков,месец
76,Stern::N,тяште,звезда
77,Luft::N,кожф,въздух
78,Wind::N,варма,вятър
79,Welle::N,тавла,вълна
80,Wasser::N,ведь,вода
81,Stein::N,кев,камък
82,Boden::N,мода,земя
83,Boden::N,мода,почва
84,Boden::N,потмакс,земя
85,Boden::N,потмакс,почва
86,Erde::N,мода,земя
87,Erde::N,мода,почва
88,Erde::N,мастор,земя
89,Erde::N,мастор,почва
90,Staub::N,пуль,прах
91,Rauch::N,качам,дим
92,Rauch::N,качам,пушек
93,Funke::N,ця́тка,искра
94,Feuer::N,тол,огън
95,Licht::N,ва́лда,светлина
96,Schatten::N,цильф,сянка
97,Wetter::N,уша,време
98,Nebel::N,тума́н,мъгла
99,Wolke::N,ковол,облак
100,Regen::N,пизем,дъжд
101,Schnee::N,лов,сняг
102,Eis::N,эй,лед
103,Frost::N,ке́льме,мраз
104,Kälte::N,якшама,студ
105,Hitze::N,пси,жега
106,Hitze::N,пси,горещина
107,Raureif::N,леш,скреж
108,Raureif::N,леш,слана
109,Regenbogen::N,а́тямъёнга,дъга
110,Donner::N,атям,гръм
111,Strömung::N,шудема́,течение
112,Tropfen::N,путькс,капка
113,Tropfen::N,пътняфкс,капка
114,Schaum::N,шов,пяна
115,Schmutz::N,ърда́з,кал
116,Schmutz::N,ърда́з,мръсотия
117,See::N,эрьхке,езеро
118,Sumpf::N,шяй,блато
119,Moor::N,шяй,мочурище
120,Wiese::N,луга,ливада
121,Wald::N,вирь,гора
122,Hügel::N,губо́р,рид
123,Hügel::N,губо́р,хълм
124,Hügel::N,пандоня,рид
