,Concept_ID,bg,myv
0,Auge::N,око,сельме
1,Ohr::N,ухо,пиле
2,Nase::N,нос,судо
3,Mund::N,уста,курго
4,Zahn::N,зъб,пей
5,Zunge::N,език,кель
6,Lippe::N,устна,турва
7,Wange::N,буза,чамабока
8,Wange::N,буза,чамаумарь
9,Gesicht::N,лице,чама
10,Gesicht::N,образ,чама
11,Stirn::N,чело,коня
12,Haar::N,коса,черь
13,Haar::N,косъм,черь
14,Schnurrbart::N,мустаци,ус
15,Schnurrbart::N,мустаци,муюк
16,Bart::N,брада,сакал
17,Kinn::N,брада,уло
18,Kinn::N,брадичка,уло
19,Kiefer[Anatomie]::N,челюст,пейпакар
20,Kiefer[Anatomie]::N,челюст,пейловажа
21,Kehle::N,гърло,кирьгапарь
22,Hals::N,врат,кирьга
23,Genick::N,тил,човонь
24,Kopf::N,глава,пря
25,Rücken::N,гръб,копорь
26,Bauch::N,корем,пеке
27,Nabel::N,пъп,почо
28,Busen::N,бозка,поте
29,Brust::N,гръд,меште
30,Schulter::N,рамо,лавтов
31,Schulter::N,плещи,лавтов
32,Arm::N,ръка,кедь
33,Ellenbogen::N,лакът,кенерепакарь
34,Hand::N,ръка,кедь
35,Hand::N,китка,кедь
36,Handfläche::N,длан,кедькуншка
37,Handfläche::N,длан,кедьлапушка
38,Finger::N,пръст,сур
39,Fingernagel::N,нокът,кенже
40,Nagel[Anatomie]::N,нокът,кенже
41,Zeh::N,пръст на крак,пильге сур
42,Fuß::N,крак,пильге
43,Fuß::N,нога,пильге
44,Ferse::N,пета,кочкаря
45,Knie::N,коляно,эле
46,Knie::N,коляно,эзне
47,Knie::N,коляно,кумажа
48,Oberschenkel::N,бедро,качо
49,Bein::N,крак,пильге
50,Bein::N,нога,пильге
51,Körper::N,тяло,рунго
52,Haut::N,кожа,киське
53,Blut::N,кръв,верь
54,Ader::N,вена,сан
55,Ader::N,артерия,сан
56,Sehne::N,жила,коське сан
57,Sehne::N,сухожилие,коське сан
58,Knochen::N,кост,пакарь
59,Gehirn::N,мозък,удем
60,Herz::N,сърце,седей
61,Magen::N,стомах,пеке
62,Leber::N,черен дроб,максо
63,Atem::N,дишане,лексема
64,Atem::N,дишане,оймень таргсема
65,Hunger::N,глад,вачочи
66,Träne::N,сълза,селведь
67,Geschmack::N,вкус,тансть
68,Geruch::N,миризма,чине
69,Schlaf::N,сън,удома
70,Traum::N,сън,он
71,Himmel::N,небе,менель
72,Sonne::N,слънце,чи
73,Mond::N,луна,ков
74,Mond::N,месец,ков
75,Stern::N,звезда,теште
76,Luft::N,въздух,кошт
77,Wind::N,вятър,варма
78,Welle::N,вълна,толкун
79,Wasser::N,вода,ведь
80,Stein::N,камък,кев
81,Boden::N,земя,мода
82,Boden::N,почва,мода
83,Erde::N,земя,мастор
84,Erde::N,почва,мастор
85,Staub::N,прах,пуль
86,Rauch::N,дим,качамо
87,Rauch::N,пушек,качамо
88,Funke::N,искра,сятко
89,Feuer::N,огън,тол
90,Licht::N,светлина,валдо
91,Schatten::N,сянка,сулей
92,Schatten::N,сянка,сулейкс
93,Wetter::N,време,ушо
94,Nebel::N,мъгла,сув
95,Wolke::N,облак,пель
96,Regen::N,дъжд,пиземс
97,Schnee::N,сняг,лов
98,Eis::N,лед,эй
99,Frost::N,мраз,кельме
100,Kälte::N,студ,якшамо
101,Hitze::N,жега,пси
102,Hitze::N,горещина,пси
103,Raureif::N,скреж,лекш
104,Raureif::N,слана,лекш
105,Regenbogen::N,дъга,пурьгинечирьке
106,Regenbogen::N,дъга,пурьгинеёнкс
107,Donner::N,гръм,пурьгине
108,Strömung::N,течение,чудема
109,Strömung::N,течение,чудевкс
110,Tropfen::N,капка,петнявкс
111,Schaum::N,пяна,чов
112,Schmutz::N,кал,рудаз
113,Schmutz::N,мръсотия,рудаз
114,See::N,езеро,эрьке
115,Sumpf::N,блато,чей
116,Moor::N,мочурище,чей
117,Wiese::N,ливада,луга
118,Wald::N,гора,вирь
119,Hügel::N,рид,губорь
120,Hügel::N,рид,пандыне
121,Hügel::N,хълм,губорь
122,Hügel::N,хълм,пандыне
123,Anhöhe::N,могила,губорь
124,Anhöhe::N,могила,пандыне
125,Anhöhe::N,възвишение,губорь
126,Anhöhe::N,възвишение,пандыне
127,Berg::N,планина,пандо
128,Gipfel::N,връх,пря
129,Höhle::N,пещера,пещера
130,Abhang::N,склон,пандочама
131,Abhang::N,стръмнина,пандочама
132,Quelle::N,извор,ушодкс
133,Bach::N,поток,чудикерькс
134,Fluss::N,река,лей
135,Ufer::N,бряг,чире
136,Küste::N,бряг,лейчире
137,Küste::N,крайбрежие,лейчире
138,Festland::N,суша,мода
139,Meer::N,море,моря
140,Bucht::N,залив,усия
141,Insel::N,остров,усия
142,Blume::N,цвете,цеця
143,Gras::N,трева,тикше
144,Wurzel::N,корен,юр
145,Wurzel::N,корен,ундокс
146,Baum::N,дърво,чувто
147,Stamm::N,стъбло,рунго
148,Rinde::N,кора,суд
149,Rinde::N,кора,керь
150,Ast::N,клон,морго
151,Zweig::N,клон,тарад
152,Blatt::N,лист,лопа
153,Birke::N,бреза,килей
154,Kiefer[Baum]::N,бор,пиче
155,Weide[Baum]::N,върба,каль
156,Tanne::N,ела,куз
157,Horn::N,рог,сюро
158,Feder::N,перо,толга
159,Fell::N,кожа,пона
160,Flügel::N,крило,сёлмо
161,Klaue::N,нокът,кенже
162,Kralle::N,нокът,кенже
163,Schwanz::N,опашка,пуло
164,Ei::N,яйце,ал
165,Nest::N,гнездо,пизэ
166,Bau::N,дупка,варя
167,Bau::N,дупка,пизе
168,Tier::N,животно,ракша
169,Herde::N,стадо,стада
170,Kuh::N,крава,скал
171,Bulle::N,бик,бука
172,Pferd::N,кон,лишме
173,Schaf::N,овца,реве
174,Schwein::N,свиня,туво
175,Hund::N,куче,пине
176,Hund::N,куче,киска
177,Katze::N,котка,псака
178,Bär::N,мечка,овто
179,Eichhörnchen::N,катерица,ур
180,Elch::N,лос,сярдо
181,Fuchs::N,лисица,ривезь
182,Hase::N,заек,нумоло
183,Maus::N,мишка,чеерь
184,Wolf::N,вълк,верьгиз
185,Vogel::N,птица,нармунь
186,Schwarm::N,рой,полк
187,Schwarm::N,рой,стада
188,Schwarm::N,рояк,полк
189,Schwarm::N,рояк,стада
190,Huhn::N,кокошка,сараз
191,Hahn::N,петел,атякш
192,Gans::N,гъска,гала
193,Gans::N,гъска,мацей
194,Adler::N,орел,куцькан
195,Adler::N,орел,тумоатякш
196,Ente::N,патица,яксярго
197,Eule::N,сова,корж
198,Kranich::N,жерав,карго
199,Krähe::N,врана,варака
200,Kuckuck::N,кукувица,куко
201,Schwan::N,лебед,локсей
202,Fisch::N,риба,кал
203,Barsch::N,костур,окунь
204,Hecht::N,щука,щука
205,Schlange[Tier]::N,змия,гуй
206,Wurm::N,червей,сукс
207,Spinne::N,паяк,шанжав
208,Ameise::N,мравка,коткудав
209,Laus::N,въшка,сий
210,Mücke::N,комар,сеське
211,Fliege::N,муха,карво
212,Schmetterling::N,пеперуда,нимиляв
213,Beere::N,плод,умарь
214,Apfel::N,ябълка,умарь
215,Pilz::N,гъба,панго
216,Zwiebel::N,лук,чурька
217,Zwiebel::N,кромид,чурька
218,Saat::N,семе,видьметь
219,Korn::N,зърно,сюро
220,Heu::N,сено,тикше
221,Schale::N,кора,кедь
222,Schale::N,кора,ваткавкс
223,Grube::N,яма,латко
224,Grube::N,дупка,латко
225,Falle::N,примка,тувор
226,Falle::N,примка,кундамка
227,Schlinge::N,клуп,килькш
228,Spur::N,диря,челькс
229,Spur::N,диря,пильгеки
230,Spur::N,следа,челькс
231,Spur::N,следа,пильгеки
232,Asche::N,пепел,кулов
233,Dreck::N,кал,рудаз
234,Eisen::N,желязо,кшни
235,Gold::N,злато,сырне
236,Silber::N,сребро,сия
237,Kohle::N,въглища,сэдь
238,Kohle::N,въглища,уголия
239,Glas::N,стъкло,сулика
240,Lehm::N,глина,сёвонь
241,Sand::N,пясък,човар
242,Mensch::N,човек,ломань
243,Mann::N,мъж,аля
244,Mann::N,мъж,цёраломань
245,Frau::N,жена,ава
246,Kind::N,дете,эйкакш
247,Junge::N,момче,цёрыне
248,Mädchen::N,момиче,тейтерне
249,Familie::N,фамилия,семия
250,Familie::N,семейство,семия
251,Großvater::N,дядо,покштя
252,Großmutter::N,баба,баба
253,Eltern::N,родители,тетят-ават
254,Vater::N,баща,тетя
255,Mutter::N,майка,ава
256,Sohn::N,син,цёра
257,Tochter::N,дъщеря,тейтерь
258,Bruder::N,брат,леля
259,Bruder::N,брат,ялакс
260,Schwester::N,сестра,сазор
261,Onkel::N,чичо,леля
262,Onkel::N,вуйчо,леля
263,Tante::N,леля,патя
264,Ehemann::N,съпруг,мирде
265,Ehefrau::N,съпруга,ни
266,Freude::N,радост,кеняркс
267,Gelächter::N,смях,ракамо
268,Gelächter::N,смях,пейдема
269,Glück::N,щастие,уцяска
270,Kummer::N,тъга,рискс
271,Kummer::N,тъга,мелявкс
272,Wunsch::N,желание,мель
273,Wunsch::N,желание,бажамо
274,Lust::N,желание,бажамо
275,Geist::N,дух,ойме
276,Gedanke::N,мисъл,мель
277,Gedächtnis::N,памет,мель
278,Verstand::N,ум,прев
279,Verstand::N,разум,прев
280,Sinn::N,смисъл,толк
281,Sinn::N,смисъл,смысла
282,Grund::N,причина,тувтал
283,Wahrheit::N,правда,видечи
284,Gespräch::N,разговор,кортнема
285,Märchen::N,приказка,ёвкс
286,Erzählung::N,разказ,ёвтнема
287,Nachricht::N,вест,куля
288,Nachricht::N,известие,куля
289,Neuigkeit::N,новина,куля
290,Name::N,име,лем
291,Rätsel::N,гатанка,содамоёвкс
292,Rede::N,реч,кортамо
293,Rede::N,слово,кортамо
294,Sprache::N,език,кель
295,Stimme::N,глас,ваигель
296,Wort::N,дума,вал
297,Zeichen::N,знак,теште
298,Ruf::N,зов,тердема
299,Lärm::N,шум,шалнома
300,Lärm::N,глъчка,шалнома
301,Laut::N,звук,вайгель
302,Ton::N,тон,гайнема
303,Lied::N,песен,моро
304,Ruhe::N,тишина,оймамо
305,Ruhe::N,спокойствие,оймамо
306,Leute::N,хора,ломанть
307,Volk::N,народ,народ
308,Arbeit::N,труд,тев
309,Arbeit::N,работа,тев
310,Gast::N,гост,инже
311,Geschenk::N,дар,казне
312,Geschenk::N,подарък,казне
313,Spiel::N,игра,налксема
314,Gesellschaft::N,общество,община
315,Hilfe::N,помощ,лездамо
316,Freund::N,приятел,оя
317,Freund::N,приятел,ялга
318,Kamerad::N,другар,оя
319,Kamerad::N,другар,ялга
320,Angelegenheit::N,работа,тев
321,Anzahl::N,брой,ламоксчи
322,Anzahl::N,количество,ламоксчи
323,Art::N,вид,вид
324,Stück::N,къс,пакш
325,Stück::N,къс,пелькс
326,Stück::N,парче,пакш
327,Stück::N,парче,пелькс
328,Teil::N,дял,часть
329,Teil::N,дял,пелькс
330,Teil::N,част,часть
331,Teil::N,част,пелькс
332,Hälfte::N,половина,пель
333,Hälfte::N,половина,пелькс
334,Kreis::N,кръг,кирькс
335,Kreuz::N,кръст,крёст
336,Linie::N,черта,кикс
337,Strich::N,щрих,межа
338,Strich::N,черта,межа
339,Abstand::N,дистанция,ютко
