,Concept_ID,bn,sv
0,Auge::N,চক্ষু,öga
1,Ohr::N,কর্ণ,öra
2,Nase::N,নাক,näsa
3,Mund::N,মুখ,mun
4,Zahn::N,দাঁত,tand
5,Zunge::N,জিহবা,tunga
6,Lippe::N,অধর,läpp
7,Wange::N,গণ্ড,kind
8,Gesicht::N,মুখমণ্ডল,syn
9,Gesicht::N,মুখমণ্ডল,ansikte
10,Stirn::N,কপাল,panna
11,Haar::N,চুল,hår
12,Schnurrbart::N,গোঁফ,mustasch
13,Bart::N,শ্মশ্রু,skägg
14,Kinn::N,চিবুক,haka
15,Kiefer[Anatomie]::N,চোয়াল,käke
16,Kehle::N,কণ্ঠ,strupe
17,Hals::N,গল,hals
18,Genick::N,ঘাড়,nacke
19,Kopf::N,মাথা,huvud
20,Rücken::N,পৃষ্ঠ,rygg
21,Bauch::N,উদর,buk
22,Bauch::N,উদর,mage
23,Nabel::N,নাভি,navel
24,Busen::N,স্তন,barm
25,Brust::N,বুক,bröst
26,Schulter::N,স্কন্ধ,skuldra
27,Arm::N,বাহু,arm
28,Ellenbogen::N,কনুই,armbåge
29,Hand::N,হাত,hand
30,Handfläche::N,করতল,handflata
31,Finger::N,আঙ্গুল,finger
32,Fingernagel::N,হাতের নখ,fingernagel
33,Nagel[Anatomie]::N,নখ,nagel
34,Zeh::N,আঙ্গুল,tå
35,Fuß::N,পা,fot
36,Ferse::N,গোড়ালি,häl
37,Knie::N,হাঁটু,knä
38,Oberschenkel::N,ঊরু,lår
39,Bein::N,পা,ben
40,Körper::N,দেহ,kropp
41,Haut::N,ত্বক,hud
42,Haut::N,ত্বক,skinn
43,Blut::N,রক্ত,blod
44,Ader::N,শিরা,åder
45,Sehne::N,কণ্ডরা,sena
46,Knochen::N,অস্থি,ben
47,Gehirn::N,মস্তিষ্ক,hjärna
48,Herz::N,হৃৎপিণ্ড,hjärta
49,Magen::N,পাকস্থলী,mage
50,Leber::N,যকৃৎ,lever
51,Atem::N,শ্বাস,anda
52,Atem::N,শ্বাস,andedräkt
53,Hunger::N,ক্ষুধা,svält
54,Hunger::N,ক্ষুধা,hunger
55,Träne::N,অশ্রু,tår
56,Geschmack::N,স্বাদ,smak
57,Geruch::N,গন্ধ,lukt
58,Schlaf::N,ঘুম,sömn
59,Traum::N,স্বপ্ন,dröm
60,Himmel::N,আকাশ,himmel
61,Sonne::N,সূর্য,sol
62,Mond::N,চন্দ্র,måne
63,Stern::N,নক্ষত্র,stjärna
64,Luft::N,বায়ু,luft
65,Wind::N,বাতাস,vind
66,Welle::N,ঢেউ,våg
67,Welle::N,ঢেউ,bölja
68,Welle::N,তরঙ্গ,våg
69,Welle::N,তরঙ্গ,bölja
70,Wasser::N,জল,vatten
71,Stein::N,ঢিল,sten
72,Stein::N,প্রস্তর,sten
73,Boden::N,ভূতল,mark
74,Erde::N,ভূমি,jord
75,Staub::N,ধুলা,damm
76,Rauch::N,ধোঁয়া,rök
77,Funke::N,স্ফুলিঙ্গ,gnista
78,Feuer::N,অগ্নি,eld
79,Licht::N,আলো,ljus
80,Schatten::N,ছায়া,skugga
81,Wetter::N,আবহাওয়া,väder
82,Nebel::N,কুহেলিকা,dimma
83,Nebel::N,কুহেলিকা,töcken
84,Wolke::N,মেঘ,sky
85,Wolke::N,মেঘ,moln
86,Regen::N,বৃষ্টি,regn
87,Schnee::N,তুষার,snö
88,Eis::N,বরফ,is
89,Frost::N,তুষার,frost
90,Kälte::N,শৈত্য,köld
91,Hitze::N,তাপ,hetta
92,Raureif::N,তুহিন,rimfrost
93,Regenbogen::N,রামধনু,regnbåge
94,Donner::N,বজ্রধ্বনি,åska
95,Donner::N,বজ্রধ্বনি,dunder
96,Strömung::N,স্রোত,strömning
97,Tropfen::N,ফোঁটা,dropper
98,Schaum::N,ফেনা,skum
99,Schmutz::N,ধুলা,lort
100,Schmutz::N,ধুলা,smuts
101,See::N,হ্রদ,sjö
102,Sumpf::N,জলা,träsk
103,Moor::N,মাঠ,myr
104,Moor::N,মাঠ,mosse
105,Wiese::N,তৃণভূমি,äng
106,Wald::N,বন,skog
107,Hügel::N,পাহাড়,höjd
108,Hügel::N,পাহাড়,kulle
109,Anhöhe::N,টিলা,höjd
110,Anhöhe::N,টিলা,backe
111,Berg::N,পর্বত,berg
112,Berg::N,পর্বত,fjäll
113,Gipfel::N,শীর্ষ,topp
114,Höhle::N,গুহা,håla
115,Höhle::N,গুহা,grotta
116,Abhang::N,ঢাল,slänt
117,Abhang::N,ঢাল,sluttning
118,Quelle::N,উৎস,källa
119,Bach::N,ক্ষুদ্র নদী,bäck
120,Fluss::N,নদী,älv
121,Fluss::N,নদী,flod
122,Ufer::N,উপকূল,strand
123,Küste::N,তীর,kust
124,Festland::N,ভূমি,fastland
125,Meer::N,সমুদ্র,hav
126,Bucht::N,উপসাগর,vik
127,Bucht::N,উপসাগর,bukt
128,Insel::N,দ্বীপ,ö
129,Blume::N,ফুল,blomma
130,Blume::N,ফুল,blomster
131,Gras::N,ঘাস,gräs
132,Wurzel::N,শিকড়,rot
133,Baum::N,গাছ,träd
134,Stamm::N,স্কন্ধ,stam
135,Rinde::N,বল্কল,bark
136,Ast::N,শাখা,gren
137,Zweig::N,ডাল,kvist
138,Blatt::N,পর্ণ,löv
139,Blatt::N,পর্ণ,blad
140,Birke::N,ভুর্জ,björk
141,Kiefer[Baum]::N,পাইন গাছ,tall
142,Weide[Baum]::N,উইলো,pil
143,Weide[Baum]::N,উইলো,vide
144,Tanne::N,দেবদারূ গাছ,gran
145,Horn::N,শিং,horn
146,Feder::N,পালক,fjäder
147,Fell::N,রোম,fäll
148,Fell::N,রোম,skinn
149,Flügel::N,ডানা,vinge
150,Klaue::N,নখর,klöv
151,Kralle::N,নখর,klo
152,Schwanz::N,লেজ,svans
153,Schwanz::N,লেজ,stjärt
154,Ei::N,ডিম,ägg
155,Nest::N,কুলায়,rede
156,Nest::N,কুলায়,näste
157,Bau::N,ডেরা,bo
158,Tier::N,জন্তু,djur
159,Herde::N,ঝাঁক,flock
160,Kuh::N,গোরু,ko
161,Bulle::N,বৃষ,tjur
162,Pferd::N,ঘোড়া,häst
163,Schaf::N,ভেড়া,får
164,Schwein::N,শূকর,svin
165,Hund::N,কুকুর,hund
166,Katze::N,বেড়াল,katt
167,Bär::N,ভল্লুক,björn
168,Eichhörnchen::N,কাঠবিড়াল,ekorre
169,Elch::N,হরিণবিশেষ,älg
170,Fuchs::N,পাঁতিশিয়াল,räv
171,Hase::N,শশক,hare
172,Maus::N,নেংটি ইঁদুর,mus
173,Wolf::N,নেকড়ে,varg
174,Vogel::N,পক্ষী,fågel
175,Schwarm::N,ঝাঁক,svärm
176,Huhn::N,মোরগ,höns
177,Hahn::N,কুক্কুট,tupp
178,Gans::N,হংসী,gås
179,Adler::N,ইগল,örn
180,Ente::N,হংসী,anka
181,Eule::N,পেচক,uggla
182,Kranich::N,সারস,trana
183,Krähe::N,কাক,kråka
184,Kuckuck::N,কোকিল,gök
185,Schwan::N,মরাল,svan
186,Fisch::N,মাছ,fisk
187,Barsch::N,মৎন্যবিশেষ,abborre
188,Hecht::N,বানমাছ,gädda
189,Schlange[Tier]::N,সর্প,orm
190,Wurm::N,কীট,mask
191,Spinne::N,মাকড়সা,spindel
192,Ameise::N,পিপীলিকা,myra
193,Laus::N,উকুন,lus
194,Mücke::N,মশা,mygga
195,Fliege::N,মাছি,fluga
196,Schmetterling::N,প্রজাপতি,fjäril
197,Beere::N,বেরি,bär
198,Apfel::N,আপেল,äpple
199,Pilz::N,ছত্রক,svamp
200,Zwiebel::N,পিয়াজ,lök
201,Saat::N,বীজ,sådd
202,Korn::N,শস্য,korn
203,Heu::N,খড়,hö
204,Schale::N,খোসা,skal
205,Grube::N,গর্ত,grop
206,Falle::N,ফাঁদ,fälla
207,Schlinge::N,পাশ,snara
208,Spur::N,চিহ্ন,spår
209,Asche::N,ভস্ম,aska
210,Dreck::N,ময়লা,lort
211,Eisen::N,লোহা,järn
212,Gold::N,স্বর্ণ,guld
213,Silber::N,রৌপ্য,silver
214,Kohle::N,অঙ্গার,kol
215,Glas::N,কাচ,glas
216,Lehm::N,মৃত্তিকা,lera
217,Sand::N,বালি,sand
218,Mensch::N,নর,människa
219,Mensch::N,মানুষ,människa
220,Mann::N,মানুষ,man
221,Frau::N,নারী,kvinna
222,Kind::N,বাচ্চা,barn
223,Junge::N,ছেলে,pojke
224,Mädchen::N,মেয়ে,flicka
225,Familie::N,পরিবার,familj
226,Großvater::N,মাতামহ,morfar
227,Großmutter::N,মাতামহী,farmor
228,Eltern::N,মাতাপিতা,föräldrar
229,Vater::N,পিতা,far
230,Mutter::N,মাতা,mor
231,Sohn::N,ছেলে,son
232,Tochter::N,মেয়ে,dotter
233,Bruder::N,দাদা,bror
234,Schwester::N,বোন,syster
235,Schwester::N,দিদি,syster
236,Onkel::N,মামা,morbror
237,Tante::N,মাসী,tant
238,Ehemann::N,স্বামী,äkta man
239,Ehefrau::N,পত্নী,hustru
240,Freude::N,উল্লাস,fröjd
