,Concept_ID,et,ga
0,Auge::N,silm,súil
1,Ohr::N,kõrv,cluas
2,Nase::N,nina,soc
3,Mund::N,suu,béal
4,Zahn::N,hammas,fiacail
5,Zunge::N,keel,teanga
6,Lippe::N,huul,liopa
7,Wange::N,põsk,grua
8,Wange::N,põsk,leiceann
9,Gesicht::N,nägu,éadan
10,Gesicht::N,nägu,aghaidh
11,Stirn::N,otsmik,baithis
12,Stirn::N,otsmik,clár éadain
13,Haar::N,juus,gruaig
14,Schnurrbart::N,vurrud,croiméal
15,Schnurrbart::N,vuntsid,croiméal
16,Bart::N,habe,féasóg
17,Kinn::N,lõug,smig
18,Kiefer[Anatomie]::N,lõualuu,giall
19,Kehle::N,kõri,scornach
20,Hals::N,kael,muinéal
21,Genick::N,kukal,baic
22,Kopf::N,pea,ceann
23,Rücken::N,selg,droim
24,Bauch::N,kõht,bolg
25,Nabel::N,naba,imleacán
26,Busen::N,rind,cíoch
27,Brust::N,rind,brollach
28,Schulter::N,õlg,gualainn
29,Arm::N,käsivars,lámh
30,Ellenbogen::N,küünarnukk,uillinn
31,Hand::N,käsi,lámh
32,Handfläche::N,pihk,bos
33,Finger::N,sõrm,méar
34,Fingernagel::N,küüs,ionga
35,Nagel[Anatomie]::N,küüs,ionga
36,Zeh::N,varvas,ladhar
37,Fuß::N,jalg,cos
38,Fuß::N,jalg,troigh
39,Ferse::N,kand,sáil
40,Knie::N,põlv,glúin
41,Oberschenkel::N,reis,ceathrú
42,Bein::N,jalg,cos
43,Körper::N,ihu,corp
44,Körper::N,ihu,colainn
45,Körper::N,keha,corp
46,Körper::N,keha,colainn
47,Haut::N,nahk,cneas
48,Haut::N,nahk,craiceann
49,Blut::N,veri,fuil
50,Ader::N,veen,
51,Sehne::N,kõõlus,teannán
52,Sehne::N,kõõlus,féitheog
53,Knochen::N,luu,cnámh
54,Gehirn::N,aju,inchinn
55,Herz::N,süda,croí
56,Magen::N,magu,bolg
57,Magen::N,magu,goile
58,Leber::N,maks,ae
59,Atem::N,hingeõhk,anáil
60,Atem::N,hingamine,anáil
61,Hunger::N,nälg,ocras
62,Träne::N,pisar,deoir
63,Geschmack::N,maitse,blas
64,Geruch::N,lõhn,boladh
65,Schlaf::N,uni,suan
66,Schlaf::N,uni,codladh
67,Traum::N,unenägu,taibhreamh
68,Himmel::N,taevas,spéir
69,Sonne::N,päike,grian
70,Mond::N,kuu,ré
71,Mond::N,kuu,gealach
72,Stern::N,täht,rinn
73,Stern::N,täht,réalta
74,Luft::N,õhk,aer
75,Wind::N,tuul,gaoth
76,Welle::N,laine,tonn
77,Wasser::N,vesi,uisce
78,Stein::N,kivi,cloch
79,Boden::N,maa,talamh
80,Boden::N,pinnas,talamh
81,Erde::N,maa,cré
82,Erde::N,maa,ithir
83,Staub::N,põrm,dusta
84,Staub::N,põrm,deannach
85,Rauch::N,suits,toit
86,Rauch::N,suits,deatach
87,Funke::N,säde,drithle
88,Feuer::N,tuli,tine
89,Licht::N,valgus,solas
90,Schatten::N,vari,scáth
91,Wetter::N,ilm,aimsir
92,Nebel::N,udu,ceo
93,Wolke::N,pilv,néal
94,Wolke::N,pilv,scamall
95,Regen::N,sadu,báisteach
96,Regen::N,sadu,fearthainn
97,Schnee::N,lumi,sneachta
98,Eis::N,jää,oighear
99,Frost::N,pakane,sioc
100,Kälte::N,külm,fuacht
101,Kälte::N,külmus,fuacht
102,Hitze::N,kuumus,teas
103,Hitze::N,kuumus,teocht
104,Hitze::N,palavus,teas
105,Hitze::N,palavus,teocht
106,Raureif::N,härmatis,sioc bán
107,Regenbogen::N,vikerkaar,stua ceatha
108,Regenbogen::N,vikerkaar,bogha báistí
109,Donner::N,kõu,toirneach
110,Donner::N,müristamine,toirneach
111,Strömung::N,voolus,sruth
112,Strömung::N,jõevool,sruth
113,Tropfen::N,tilk,deoir
114,Schaum::N,vaht,cúr
115,Schmutz::N,pori,salachar
116,Schmutz::N,mustus,salachar
117,See::N,järv,loch
118,Sumpf::N,soo,portach
119,Moor::N,raba,caorán
120,Moor::N,raba,móinteán
121,Wiese::N,aas,cluain
122,Wiese::N,aas,móinéar
123,Wiese::N,nurm,cluain
124,Wiese::N,nurm,móinéar
125,Wald::N,mets,coill
126,Wald::N,mets,foraois
127,Hügel::N,küngas,ard
128,Anhöhe::N,küngas,ard
129,Anhöhe::N,küngas,ardán
130,Berg::N,mägi,sliabh
131,Gipfel::N,mäetipp,barr
132,Gipfel::N,mäetipp,mullach
133,Höhle::N,koobas,uaimh
134,Höhle::N,koobas,pluais
135,Abhang::N,nõlvak,fána
136,Quelle::N,allikas,foinse
137,Bach::N,oja,sruthán
138,Fluss::N,jõgi,abhainn
139,Ufer::N,kallas,bruach
140,Küste::N,rannik,cósta
141,Küste::N,rannik,cladach
142,Festland::N,mander,míntír
143,Festland::N,maismaa,míntír
144,Meer::N,meri,muir
145,Meer::N,meri,farraige
146,Bucht::N,laht,bá
147,Bucht::N,laht,cuan
148,Insel::N,saar,inis
149,Insel::N,saar,oileán
150,Blume::N,lill,bláth
151,Gras::N,rohi,féar
152,Wurzel::N,juur,rúta
153,Wurzel::N,juur,fréamh
154,Baum::N,puu,crann
155,Stamm::N,tüvi,stoc
156,Stamm::N,tüvi,tamhan
157,Rinde::N,koor,coirt
158,Rinde::N,koor,craiceann
159,Ast::N,oks,géag
160,Zweig::N,oks,géag
161,Zweig::N,oks,craobh
162,Blatt::N,leht,duille
163,Blatt::N,leht,duilleog
164,Birke::N,kask,beith
165,Birke::N,kask,crann beithe
166,Kiefer[Baum]::N,mänd,péine
167,Weide[Baum]::N,paju,saileach
168,Tanne::N,nulg,giúis
169,Horn::N,sarv,adharc
170,Feder::N,sulg,cleite
171,Fell::N,karvkate,clúmh
172,Fell::N,karusnahk,clúmh
173,Flügel::N,tiib,eite
174,Flügel::N,tiib,sciathán
175,Flügel::N,tiivik,eite
176,Flügel::N,tiivik,sciathán
