,Concept_ID,ro,se
0,Auge::N,ochi,tjelmie
1,Auge::N,ochi,tjalmme
2,Auge::N,ochi,čalbmi
3,Auge::N,ochi,čalme
4,Auge::N,ochi,čâ´lmm
5,Auge::N,ochi,ча̄лльм
6,Ohr::N,ureche,bieljie
7,Ohr::N,ureche,biellje
8,Ohr::N,ureche,beallji
9,Ohr::N,ureche,pelji
10,Ohr::N,ureche,pe´llj
11,Ohr::N,ureche,пе̄лльй
12,Nase::N,nas,njuenie
13,Nase::N,nas,njunnje
14,Nase::N,nas,njunni
15,Nase::N,nas,njuṇe
16,Nase::N,nas,njuu´nn
17,Nase::N,nas,нюннҍ
18,Mund::N,gură,njaelmie
19,Mund::N,gură,njálmme
20,Mund::N,gură,njálbmi
21,Mund::N,gură,njälmi
22,Mund::N,gură,njä´lmm
23,Mund::N,gură,ня̄лльм
24,Zahn::N,dinte,baenie
25,Zahn::N,dinte,bádne
26,Zahn::N,dinte,bátni
27,Zahn::N,dinte,pääṇi
28,Zahn::N,dinte,pää´nn
29,Zahn::N,dinte,па̄ннҍ
30,Zunge::N,limbă,njoektjeme
31,Zunge::N,limbă,njuovtjav
32,Zunge::N,limbă,njuovčča
33,Zunge::N,limbă,njuovčâ
34,Zunge::N,limbă,njuhččâm
35,Zunge::N,limbă,нюхчем
36,Lippe::N,buză,bangseme
37,Lippe::N,buză,njálmmerabdda
38,Lippe::N,buză,bavssa
39,Lippe::N,buză,poovsâ
40,Lippe::N,buză,põõus
41,Lippe::N,buză,пэ̄кс
42,Wange::N,bucă,skiehrie
43,Wange::N,bucă,nierra
44,Wange::N,bucă,muohtu
45,Wange::N,bucă,nieṛâ
46,Wange::N,bucă,njiõrr
47,Wange::N,bucă,нӣрр
48,Wange::N,obraz,skiehrie
49,Wange::N,obraz,nierra
50,Wange::N,obraz,muohtu
51,Wange::N,obraz,nieṛâ
52,Wange::N,obraz,njiõrr
53,Wange::N,obraz,нӣрр
54,Gesicht::N,față,ååredæjja
55,Gesicht::N,față,muohto
56,Gesicht::N,față,muođut
