,Concept_ID,ba,hr
0,Auge::N,күҙ,oko
1,Ohr::N,ҡолаҡ,uho
2,Nase::N,танау,nos
3,Mund::N,ауыҙ,usta
4,Zahn::N,теш,zub
5,Zunge::N,тел,jezik
6,Lippe::N,ирен,usna
7,Wange::N,яцаҡтар,obraz
8,Gesicht::N,бит,lice
9,Stirn::N,маңлай,čelo
10,Haar::N,сәс,kosa
11,Schnurrbart::N,мылтыҡ,brkovi
12,Bart::N,һаҡал,brada
13,Kinn::N,эйэк,brada
14,Kinn::N,эйэк,podbradak
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,čeljust
16,Kehle::N,тамаҡ,grlo
17,Hals::N,муйын,vrat
18,Genick::N,соңҡа,zatiljak
19,Kopf::N,баш,glava
20,Rücken::N,арҡа,leđa
21,Rücken::N,арҡа,hrbat
22,Bauch::N,ҡорһаҡ,trbuh
23,Nabel::N,кендек,pupak
24,Busen::N,күкрәк,sisa
25,Busen::N,күкрәк,njedra
26,Brust::N,түш,prsa
27,Schulter::N,яурын,rame
28,Schulter::N,яурын,pleći
29,Arm::N,ҡул,ruka
30,Ellenbogen::N,терһәк,lakat
31,Hand::N,ҡул,ruka
32,Hand::N,ҡул суғы,ruka
33,Handfläche::N,ус төбө,dlan
34,Finger::N,бармаҡ,prst
35,Fingernagel::N,тырнаҡ,nokat
36,Nagel[Anatomie]::N,тырнаҡ,nokat
37,Zeh::N,бармаҡ,nozni prst
38,Fuß::N,табан,noga
39,Fuß::N,табан,stopalo
40,Ferse::N,үксә,peta
41,Knie::N,тубыҡ,koljeno
42,Oberschenkel::N,сандыр,bedro
43,Bein::N,аяҡ,noga
44,Körper::N,тән,tijelo
45,Haut::N,тире,put
46,Haut::N,тире,koža
47,Blut::N,ҡан,krv
48,Ader::N,тамыр,žila
49,Sehne::N,һеңер,tetiva
50,Sehne::N,тарамыш,tetiva
51,Knochen::N,һойәк,kost
52,Gehirn::N,мейе,
53,Herz::N,йорәк,srce
54,Magen::N,ашҡаҙан,stomak
55,Magen::N,ашҡаҙан,želudac
56,Leber::N,бауыр,jetra
57,Atem::N,һулыш,dah
58,Hunger::N,аслыҡ,glad
