,Concept_ID,fi,bg
0,Auge::N,silmä,око
1,Ohr::N,korva,ухо
2,Nase::N,nenä,нос
3,Mund::N,suu,уста
4,Zahn::N,hammas,зъб
5,Zunge::N,kieli,език
6,Lippe::N,huuli,устна
7,Wange::N,poski,буза
8,Gesicht::N,naama,лице
9,Gesicht::N,naama,образ
10,Gesicht::N,kasvot,лице
11,Gesicht::N,kasvot,образ
12,Stirn::N,otsa,чело
13,Haar::N,hius,коса
14,Haar::N,hius,косъм
15,Haar::N,tukka,коса
16,Haar::N,tukka,косъм
17,Schnurrbart::N,viikset,мустаци
18,Bart::N,parta,брада
19,Kinn::N,leuka,брада
20,Kinn::N,leuka,брадичка
21,Kiefer[Anatomie]::N,leukaluu,челюст
22,Kehle::N,kurkku,гърло
23,Hals::N,kaula,врат
24,Genick::N,niska,тил
25,Kopf::N,pää,глава
26,Rücken::N,selkä,гръб
27,Bauch::N,maha,корем
28,Bauch::N,vatsa,корем
29,Nabel::N,napa,пъп
30,Busen::N,rinta,бозка
31,Brust::N,rinta,гръд
32,Schulter::N,olka,рамо
33,Schulter::N,olka,плещи
34,Schulter::N,hartia,рамо
35,Schulter::N,hartia,плещи
36,Schulter::N,olkapää,рамо
37,Schulter::N,olkapää,плещи
38,Arm::N,käsivarsi,ръка
39,Ellenbogen::N,kyynärpää,лакът
40,Hand::N,käsi,ръка
41,Hand::N,käsi,китка
42,Handfläche::N,kämmen,длан
43,Finger::N,sormi,пръст
44,Fingernagel::N,kynsi,нокът
45,Nagel[Anatomie]::N,kynsi,нокът
46,Zeh::N,varvas,пръст на крак
47,Fuß::N,jalka,крак
48,Fuß::N,jalka,нога
49,Ferse::N,kantapää,пета
50,Knie::N,polvi,коляно
51,Oberschenkel::N,reisi,бедро
52,Bein::N,jalka,крак
53,Bein::N,jalka,нога
54,Körper::N,keho,тяло
55,Körper::N,ruumis,тяло
56,Haut::N,iho,кожа
57,Blut::N,veri,кръв
58,Ader::N,suoni,вена
59,Ader::N,suoni,артерия
60,Sehne::N,jänne,жила
61,Sehne::N,jänne,сухожилие
62,Knochen::N,luu,кост
