,Concept_ID,kn,fr
0,Auge::N,ಕಣ್ಣು,œil
1,Ohr::N,ಕಿವಿ,oreille
2,Nase::N,ಮೂಗು,nez
3,Mund::N,ಬಾಯಿ,bouche
4,Zahn::N,ಹಲ್ಲು,dent
5,Zunge::N,ನಾಲಿಗೆ,langue
6,Lippe::N,ತುಟಿ,lèvre
7,Wange::N,ಗಲ್ಲ,joue
8,Gesicht::N,ಮುಖ,face
9,Gesicht::N,ಮುಖ,visage
10,Stirn::N,ಹಣೆ,front
11,Haar::N,ಕೂದಲು,cheveu
12,Schnurrbart::N,ಮೀಸೆ,moustache
13,Bart::N,ಗಡ್ಡ,barbe
14,Kinn::N,ಗದ್ದ,menton
15,Kiefer[Anatomie]::N,ದವಡೆ,mâchoire
16,Kehle::N,ಗಂಟಲು,gorge
17,Hals::N,ಕೊರಳು,cou
18,Genick::N,ಹಿಂಗತ್ತು,nuque
19,Kopf::N,ತಲೆ,tête
20,Rücken::N,ಬೆನ್ನು,dos
21,Bauch::N,ಹೊಟ್ಟೆ,ventre
22,Nabel::N,ಹೊಕ್ಕುಳು,nombril
23,Busen::N,ಸ್ತನ,sein
24,Brust::N,ಎದೆ,poitrine
25,Schulter::N,ಭುಜ,épaule
26,Arm::N,ತೋಳು,bras
27,Ellenbogen::N,ಮೊಣಕೈ,coude
28,Hand::N,ಕೈ,main
29,Handfläche::N,ಅಂಗೈ,paume
30,Finger::N,ಕೈಬೆರಳು,doigt
31,Fingernagel::N,ಉಗುರು,ongle
32,Nagel[Anatomie]::N,ಉಗುರು,ongle
33,Zeh::N,ಕಾಲ್ಬೆರಳು,orteil
34,Zeh::N,ಕಾಲ್ಬೆರಳು,doigt de pied
35,Fuß::N,ಪಾದ,pied
36,Ferse::N,ಹಿಮ್ಮಡಿ,talon
37,Knie::N,ಮಂಡಿ,genou
38,Oberschenkel::N,ತೊಡೆ,cuisse
39,Bein::N,ಕಾಲು,jambe
40,Körper::N,ದೇಹ,corps
41,Haut::N,ಚರ್ಮ,peau
42,Blut::N,ರಕ್ತ,sang
43,Ader::N,ನರ,veine
