,Concept_ID,ko,it
0,Auge::N,눈,occhio
1,Ohr::N,귀,orecchio
2,Nase::N,코,naso
3,Mund::N,입,bocca
4,Zahn::N,이,dente
5,Zunge::N,혀,lingua
6,Lippe::N,입술,labbro
7,Wange::N,뺨,guancia
8,Gesicht::N,얼굴,viso
9,Gesicht::N,얼굴,faccia
10,Stirn::N,이마,fronte
11,Haar::N,털,capello
12,Schnurrbart::N,윗수몀,baffi
13,Schnurrbart::N,윗수몀,mustacchi
14,Schnurrbart::N,코밑수염,baffi
15,Schnurrbart::N,코밑수염,mustacchi
16,Bart::N,수엄,barba
17,Kinn::N,아래턱,mento
18,Kiefer[Anatomie]::N,턱,mascella
19,Kehle::N,인후,gola
20,Hals::N,목,collo
21,Genick::N,먹덜이,nuca
22,Kopf::N,머리,capo
23,Kopf::N,머리,testa
24,Rücken::N,든,dorso
25,Rücken::N,든,schiena
26,Bauch::N,배,ventre
27,Nabel::N,배꼽,ombelico
28,Busen::N,가슴속,seno
29,Brust::N,가슴,petto
30,Schulter::N,어깨,spalla
31,Arm::N,팔,braccio
32,Ellenbogen::N,팔쿰치,gomito
33,Hand::N,손,mano
34,Handfläche::N,손바닥,palma
35,Finger::N,속가락,dito
36,Fingernagel::N,손톱,unghia
37,Nagel[Anatomie]::N,손톱,unghia
38,Zeh::N,발가락,dito del piede
39,Fuß::N,발,piede
40,Ferse::N,발꿈치,tallone
41,Ferse::N,발꿈치,calcagno
42,Knie::N,무릎,ginocchio
43,Oberschenkel::N,허벅다리,fèmore
44,Bein::N,다리,gamba
45,Körper::N,구간,corpo
46,Haut::N,살갗,pelle
47,Blut::N,피,sangue
48,Ader::N,정맥,vena
49,Sehne::N,현,tèndine
50,Knochen::N,뼈,osso
51,Gehirn::N,뇌,cervello
52,Gehirn::N,뇌수,cervello
53,Herz::N,염통,cuore
54,Magen::N,위,stòmaco
55,Leber::N,간,fegato
56,Atem::N,기식,fiato
57,Atem::N,기식,respiro
58,Hunger::N,공복,fame
59,Träne::N,눈물,làcrima
60,Geschmack::N,기호,gusto
61,Geschmack::N,기호,sapore
62,Geruch::N,냄새,odore
63,Schlaf::N,수면,sonno
64,Traum::N,쿰,sogno
65,Himmel::N,하늘,cielo
66,Sonne::N,해,sole
67,Mond::N,달,luna
68,Stern::N,별,stella
69,Luft::N,동준,aria
70,Luft::N,가스채,aria
71,Wind::N,바람,vento
72,Welle::N,물결,onda
73,Wasser::N,물,acqua
74,Stein::N,돌,sasso
75,Stein::N,돌,pietra
76,Boden::N,바닥,suolo
77,Boden::N,바닥,terreno
78,Erde::N,흙,terra
79,Staub::N,먼지,polvere
80,Rauch::N,연기,fumo
81,Funke::N,불티,scintilla
82,Feuer::N,불,fuoco
83,Licht::N,불,luce
84,Schatten::N,어스레함,ombra
85,Wetter::N,기상,tempo
86,Nebel::N,안개,nebbia
87,Wolke::N,구름,nube
88,Wolke::N,구름,nùvola
89,Regen::N,비,pioggia
90,Schnee::N,눈,neve
91,Eis::N,얼음,ghiaccio
92,Frost::N,혹한,gelo
93,Kälte::N,추위,freddo
94,Kälte::N,차가움,freddo
95,Hitze::N,고온,caldo
96,Hitze::N,고온,calura
97,Hitze::N,더위,caldo
98,Hitze::N,더위,calura
99,Regenbogen::N,무지개,arcobaleno
100,Donner::N,뇌명,tuono
101,Strömung::N,유동,corrente
102,Tropfen::N,물방울,goccia
103,Schaum::N,포말,spuma
104,Schaum::N,포말,schiuma
105,Schmutz::N,때,sudiciume
106,See::N,호수,lago
107,Sumpf::N,습지,palude
108,Moor::N,저습지,torbiera
109,Wiese::N,목초지,prato
110,Wald::N,숲,bosco
111,Wald::N,숲,foresta
112,Hügel::N,언덕,colle
113,Hügel::N,언덕,collina
114,Anhöhe::N,언덕,altura
115,Berg::N,산,monte
116,Berg::N,산,montagna
117,Gipfel::N,졀졍,cima
118,Höhle::N,공동,grotta
119,Höhle::N,공동,caverna
120,Abhang::N,몰매,pendìo
121,Quelle::N,근원,sorgente
122,Bach::N,내,ruscello
123,Fluss::N,강,fiume
124,Ufer::N,강변,riva
125,Ufer::N,바닷가,riva
126,Küste::N,해변,costa
127,Küste::N,해변가,costa
128,Festland::N,본토,terraferma
129,Meer::N,바다,mare
130,Bucht::N,협만,cala
131,Insel::N,섬,ìsola
132,Blume::N,꽃,fiore
133,Gras::N,풀,erba
134,Wurzel::N,뿌리,radice
135,Baum::N,나무,àlbero
136,Stamm::N,대,tronco
137,Rinde::N,나무껍질,corteccia
138,Ast::N,가지,ramo
139,Zweig::N,가지,ramo
140,Blatt::N,잎,foglia
141,Birke::N,자작나무,betulla
142,Kiefer[Baum]::N,소나무,pino
143,Weide[Baum]::N,쉬양버들,sàlice
144,Tanne::N,전나무,abete
145,Horn::N,뿔,corno
146,Feder::N,깃털,penna
147,Fell::N,피혁모피,manto
148,Fell::N,피혁모피,pelame
149,Flügel::N,날개,ala
150,Klaue::N,갈고리 발톺,grinfia
151,Kralle::N,발툭,unghia
152,Kralle::N,발툭,artiglio
153,Schwanz::N,꼬리,coda
154,Ei::N,알,uovo
155,Nest::N,보금자리,nido
156,Bau::N,굴,covo
157,Tier::N,짐승,bestia
158,Tier::N,짐승,animale
159,Herde::N,가축의떼,gregge
160,Kuh::N,암소,vacca
161,Bulle::N,황소,toro
162,Pferd::N,말,cavallo
163,Schaf::N,양,pècora
164,Schwein::N,돼지,porco
165,Schwein::N,돼지,maiale
166,Hund::N,개,cane
167,Katze::N,고양이,gatta
168,Bär::N,콤,orso
169,Eichhörnchen::N,다람쥐,scoiàttolo
170,Elch::N,고라니,alce
171,Fuchs::N,여우,volpe
172,Hase::N,토끼,lepre
173,Maus::N,쥐,topo
174,Maus::N,쥐,sorcio
175,Wolf::N,늑대,lupo
176,Vogel::N,새,uccello
177,Schwarm::N,뗴,stormo
178,Huhn::N,암탉,gallina
179,Hahn::N,수탉,gallo
180,Gans::N,거위,oca
181,Adler::N,수리,àquila
182,Ente::N,오리,ànatra
183,Eule::N,부엉이,gufo
184,Eule::N,부엉이,civetta
185,Kranich::N,두루미,gru
186,Krähe::N,까마귀,cornacchia
187,Kuckuck::N,뻐꾸기,cuccù
188,Kuckuck::N,뻐꾸기,cùculo
189,Schwan::N,배조,cigno
190,Fisch::N,물고기,pesce
191,Barsch::N,농어,pèrsico
192,Hecht::N,에속스,luccio
193,Schlange[Tier]::N,뱀,serpente
194,Wurm::N,벌레,baco
195,Wurm::N,벌레,verme
196,Spinne::N,거미,ragno
197,Ameise::N,개미,formica
198,Laus::N,이,pidocchio
199,Mücke::N,모기,zanzara
200,Fliege::N,날기,mosca
