,Concept_ID,es,hr
0,Auge::N,ojo,oko
1,Ohr::N,oreja,uho
2,Nase::N,nariz,nos
3,Mund::N,boca,usta
4,Zahn::N,diente,zub
5,Zunge::N,lengua,jezik
6,Lippe::N,labio,usna
7,Wange::N,mejilla,obraz
8,Gesicht::N,cara,lice
9,Stirn::N,frente,čelo
10,Haar::N,cabello,kosa
11,Schnurrbart::N,bigote,brkovi
12,Bart::N,barba,brada
13,Kinn::N,barbilla,brada
14,Kinn::N,barbilla,podbradak
15,Kiefer[Anatomie]::N,mandíbula,čeljust
16,Kehle::N,garganta,grlo
17,Hals::N,cuello,vrat
18,Genick::N,nuca,zatiljak
19,Genick::N,cerviz,zatiljak
20,Kopf::N,cabeza,glava
21,Rücken::N,espalda,leđa
22,Rücken::N,espalda,hrbat
23,Bauch::N,vientre,trbuh
24,Nabel::N,ombligo,pupak
25,Busen::N,pecho,sisa
26,Busen::N,pecho,njedra
27,Brust::N,pecho,prsa
28,Schulter::N,hombro,rame
29,Schulter::N,hombro,pleći
30,Arm::N,brazo,ruka
31,Ellenbogen::N,codo,lakat
32,Hand::N,mano,ruka
33,Handfläche::N,palma,dlan
34,Finger::N,dedo,prst
35,Fingernagel::N,uña,nokat
36,Nagel[Anatomie]::N,uña,nokat
37,Zeh::N,dedo del pie,nozni prst
38,Fuß::N,pie,noga
39,Fuß::N,pie,stopalo
40,Ferse::N,talón,peta
41,Knie::N,rodilla,koljeno
42,Oberschenkel::N,muslo,bedro
43,Bein::N,pierna,noga
44,Körper::N,cuerpo,tijelo
45,Haut::N,piel,put
46,Haut::N,piel,koža
47,Blut::N,sangre,krv
48,Ader::N,vena,žila
49,Sehne::N,tendón,tetiva
50,Knochen::N,hueso,kost
51,Gehirn::N,cerebro,
52,Gehirn::N,encéfalo,
53,Herz::N,corazón,srce
54,Magen::N,estómago,stomak
55,Magen::N,estómago,želudac
56,Leber::N,hígado,jetra
57,Atem::N,aliento,dah
58,Hunger::N,hambre,glad
59,Träne::N,lágrima,suza
60,Geschmack::N,gusto,ukus
61,Geruch::N,olor,njuh
62,Geruch::N,olor,miris
63,Schlaf::N,sueño,san
64,Traum::N,sueño,san
65,Traum::N,ensueño,san
66,Himmel::N,cielo,nebo
67,Sonne::N,sol,sunce
68,Mond::N,luna,mjesec
69,Stern::N,estrella,zvijezda
70,Luft::N,aire,zrak
71,Wind::N,viento,vjetar
72,Welle::N,ola,val
73,Welle::N,ola,talas
74,Welle::N,onda,val
75,Welle::N,onda,talas
76,Wasser::N,agua,voda
77,Stein::N,piedra,kamen
78,Boden::N,suelo,tlo
79,Boden::N,suelo,zemlja
80,Erde::N,tierra,zemlja
81,Staub::N,polvo,prah
82,Staub::N,polvo,prašina
83,Rauch::N,humo,dim
84,Funke::N,chispa,iskra
85,Funke::N,chispa,varnica
86,Feuer::N,fuego,vatra
87,Licht::N,luz,svjetlo
88,Schatten::N,sombra,hlad
89,Schatten::N,sombra,sjena
90,Wetter::N,tiempo,vrijeme
91,Nebel::N,niebla,magla
92,Wolke::N,nube,oblak
93,Regen::N,lluvia,kiša
94,Schnee::N,nieve,snijeg
95,Eis::N,hielo,led
96,Frost::N,helada,mraz
97,Kälte::N,frío,studen
98,Kälte::N,frío,hladnoća
99,Hitze::N,calor,vrućina
100,Raureif::N,escarcha,inje
101,Regenbogen::N,arco iris,duga
102,Donner::N,trueno,grom
103,Donner::N,trueno,grmljavina
104,Strömung::N,corriente,struja
105,Strömung::N,corriente,strujanje
106,Tropfen::N,gota,kap
107,Tropfen::N,gota,kaplja
108,Schaum::N,espuma,pjena
109,Schmutz::N,suciedad,nečistoća
110,Schmutz::N,suciedad,prljavština
111,See::N,lago,jezero
112,Sumpf::N,pantano,bara
113,Moor::N,turbera,močvara
114,Wiese::N,prado,livada
115,Wiese::N,pradera,livada
116,Wald::N,bosque,šuma
117,Hügel::N,colina,brijeg
118,Hügel::N,colina,brežuljak
119,Anhöhe::N,cerro,uzvišica
120,Berg::N,monte,brdo
121,Berg::N,montaña,brdo
122,Gipfel::N,cima,vrh
123,Gipfel::N,cumbre,vrh
124,Höhle::N,cueva,pećina
125,Höhle::N,cueva,spilja
126,Höhle::N,caverna,pećina
127,Höhle::N,caverna,spilja
128,Abhang::N,cuesta,obronak
129,Abhang::N,cuesta,nizbrdica
130,Abhang::N,declive,obronak
131,Abhang::N,declive,nizbrdica
132,Quelle::N,fuente,izvor
133,Quelle::N,fuente,vrelo
134,Quelle::N,manantial,izvor
135,Quelle::N,manantial,vrelo
136,Bach::N,arroyo,potok
137,Fluss::N,río,rijeka
138,Ufer::N,orilla,obala
139,Küste::N,costa,obala
140,Küste::N,costa,morska obala
141,Festland::N,tierra firme,kopno
142,Meer::N,mar,more
143,Bucht::N,cala,zaliv
144,Bucht::N,bahía,zaliv
145,Insel::N,isla,ada
146,Insel::N,isla,otok
147,Blume::N,flor,cvijet
148,Gras::N,hierba,trava
149,Wurzel::N,raíz,korijen
150,Baum::N,árbol,drvo
151,Baum::N,árbol,stablo
152,Stamm::N,tronco,deblo
153,Stamm::N,tronco,stablo
154,Rinde::N,corteza,kora
155,Ast::N,rama,grana
156,Zweig::N,ramo,grana
157,Blatt::N,hoja,list
158,Birke::N,abedul,breza
159,Kiefer[Baum]::N,pino,bor
160,Weide[Baum]::N,sauce,iva
161,Weide[Baum]::N,sauce,vŕba
162,Tanne::N,abeto,jela
163,Horn::N,asta,rog
164,Horn::N,cuerno,rog
165,Feder::N,pluma,pero
166,Fell::N,piel,koža
167,Flügel::N,ala,krilo
168,Klaue::N,garra,papak
169,Kralle::N,uña,pandža
170,Kralle::N,garra,pandža
171,Schwanz::N,cola,rep
172,Ei::N,huevo,jaje
173,Nest::N,nido,gnijezdo
174,Bau::N,madriguera,jazbina
175,Tier::N,animal,životinja
176,Herde::N,rebaño,krdo
177,Herde::N,rebaño,stado
178,Kuh::N,vaca,krava
179,Bulle::N,toro,bik
180,Pferd::N,caballo,konj
181,Schaf::N,oveja,ovca
182,Schwein::N,cerdo,svinja
183,Hund::N,perro,pas
184,Hund::N,perro,pseto
185,Katze::N,gato,mačka
186,Bär::N,oso,medvjed
187,Eichhörnchen::N,ardilla,vjeverica
188,Elch::N,alce,los
189,Fuchs::N,zorro,lisica
190,Hase::N,liebre,zec
191,Maus::N,ratón,miš
192,Wolf::N,lobo,vuk
193,Wolf::N,lobo,kurjak
194,Vogel::N,ave,ptica
195,Vogel::N,pájaro,ptica
196,Schwarm::N,bandada,roj
197,Schwarm::N,bandada,jato
198,Huhn::N,gallina,kokoš
199,Hahn::N,gallo,kokot
200,Hahn::N,gallo,pijevac
201,Gans::N,oca,guska
202,Gans::N,ganso,guska
203,Adler::N,águila,orao
204,Ente::N,pato,patka
205,Eule::N,lechuza,sova
206,Kranich::N,grulla,ždral
207,Krähe::N,corneja,vrana
208,Kuckuck::N,cuco,kukavica
209,Schwan::N,cisne,labud
210,Fisch::N,pez,riba
211,Barsch::N,perca,grgeč
212,Hecht::N,lucio,štuka
213,Schlange[Tier]::N,serpiente,guja
214,Schlange[Tier]::N,serpiente,zmija
215,Wurm::N,gusano,crv
216,Spinne::N,araña,pauk
217,Ameise::N,hormiga,mrav
218,Laus::N,piojo,uš
219,Mücke::N,mosquito,komarac
220,Fliege::N,mosca,muha
221,Schmetterling::N,mariposa,leptir
222,Beere::N,baya,boba
223,Beere::N,baya,bobica
224,Apfel::N,manzana,jabuka
225,Pilz::N,seta,pečurka
226,Pilz::N,hongo,pečurka
227,Zwiebel::N,cebolla,luk
228,Zwiebel::N,cebolla,kapula
229,Saat::N,siembra,sjemenje
230,Korn::N,grano,zrno
231,Heu::N,heno,sijeno
232,Schale::N,cáscara,kora
233,Schale::N,cáscara,ljuska
234,Grube::N,foso,jama
235,Falle::N,trampa,zamka
236,Falle::N,trampa,klopka
237,Schlinge::N,lazo,uzao
238,Schlinge::N,lazo,petlja
239,Spur::N,huella,trag
240,Spur::N,huella,slijed
241,Asche::N,ceniza,pepeo
242,Dreck::N,suciedad,blato
243,Eisen::N,hierro,željezo
244,Gold::N,oro,zlato
245,Silber::N,plata,srebro
246,Kohle::N,carbón,ugalj
247,Kohle::N,carbón,ugljen
248,Glas::N,vidrio,staklo
249,Glas::N,cristal,staklo
250,Lehm::N,barro,glina
251,Lehm::N,barro,ilovača
252,Sand::N,arena,pijesak
253,Mensch::N,hombre,čovjek
254,Mensch::N,ser humano,čovjek
255,Mann::N,hombre,muškarac
256,Frau::N,mujer,žena
257,Kind::N,niño,čedo
258,Kind::N,niño,dijete
259,Junge::N,chico,momče
260,Junge::N,chico,dječak
261,Junge::N,muchacho,momče
262,Junge::N,muchacho,dječak
263,Mädchen::N,chica,djevojka
264,Mädchen::N,chica,djevojčica
265,Mädchen::N,muchacha,djevojka
266,Mädchen::N,muchacha,djevojčica
267,Familie::N,familia,obitelj
268,Familie::N,familia,porodica
269,Großvater::N,abuelo,djed
270,Großmutter::N,abuela,baka
271,Eltern::N,padres,roditelji
272,Vater::N,padre,otac
273,Mutter::N,madre,majka
274,Sohn::N,hijo,sin
275,Tochter::N,hija,kći
276,Tochter::N,hija,kćerka
277,Bruder::N,hermano,brat
278,Schwester::N,hermana,sestra
279,Onkel::N,tío,čika
280,Onkel::N,tío,ujak
281,Tante::N,tía,ujna
282,Tante::N,tía,tetka
283,Ehemann::N,esposo,muž
284,Ehemann::N,esposo,suprug
285,Ehefrau::N,esposa,žena
286,Ehefrau::N,esposa,supruga
287,Freude::N,placer,radost
288,Freude::N,alegría,radost
289,Gelächter::N,risa,grohot
290,Gelächter::N,carcajada,grohot
291,Glück::N,felicidad,sreća
292,Kummer::N,pena,jad
293,Kummer::N,pena,briga
294,Wunsch::N,deseo,želja
295,Lust::N,ganas,volja
296,Geist::N,mente,duh
297,Geist::N,espíritu,duh
298,Gedanke::N,idea,misao
299,Gedanke::N,pensamiento,misao
300,Gedächtnis::N,memoria,pamćenje
301,Verstand::N,razón,um
302,Verstand::N,razón,razum
303,Verstand::N,entendimiento,um
304,Verstand::N,entendimiento,razum
305,Sinn::N,sentido,smisao
306,Sinn::N,sentido,značenje
307,Sinn::N,significado,smisao
308,Sinn::N,significado,značenje
309,Grund::N,causa,razlog
310,Wahrheit::N,verdad,istina
311,Gespräch::N,conversación,razgovor
312,Märchen::N,cuento,bajka
313,Erzählung::N,cuento,priča
314,Erzählung::N,cuento,pripovijest
315,Erzählung::N,narración,priča
316,Erzählung::N,narración,pripovijest
317,Nachricht::N,mensaje,vijest
318,Neuigkeit::N,noticia,novost
319,Name::N,nombre,ime
320,Rätsel::N,acertijo,zagonetka
321,Rätsel::N,adivinanza,zagonetka
322,Rede::N,discurso,govor
323,Rede::N,discurso,besjeda
324,Sprache::N,lengua,jezik
325,Stimme::N,voz,glas
326,Wort::N,palabra,riječ
327,Zeichen::N,señal,znak
328,Ruf::N,llamada,povik
329,Ruf::N,llamada,poklik
330,Lärm::N,ruido,buka
