,Concept_ID,mhr,eu
0,Auge::N,шинча́,begi
1,Ohr::N,пы́лыш,belarri
2,Nase::N,нер,sudur
3,Mund::N,умша́,aho
4,Zahn::N,пӱй,hortz
5,Zunge::N,йы́лме,mihi
6,Lippe::N,тӱ́рвӧ,ezpain
7,Wange::N,шӱ́ргӧ,masail
8,Gesicht::N,чури́й,aurpegi
9,Stirn::N,саҥга́,bekoki
10,Haar::N,ӱп,ile
11,Haar::N,ӱп,bilo
12,Schnurrbart::N,ӧ́рыш,bibote
13,Schnurrbart::N,ӧ́рыш,sudurpeko
14,Bart::N,понда́ш,bizar
15,Kinn::N,оҥыла́ш,kokots
16,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,masailezur
17,Kiefer[Anatomie]::N,пӱйората́,masailezur
18,Kehle::N,лога́р,eztarri
19,Hals::N,шӱй,sama
20,Genick::N,шӱйло́дыш,garondo
21,Kopf::N,вуй,buru
22,Rücken::N,туп,bizkar
23,Bauch::N,мӱ́шкыр,sabel
24,Nabel::N,кы́лымде,zilbor
25,Busen::N,чы́зе,titi
26,Busen::N,чы́зе,ugatz
27,Brust::N,оҥ,bular
28,Schulter::N,ва́че,besaburu
29,Arm::N,кид,beso
30,Ellenbogen::N,кынерву́й,ukondo
31,Hand::N,кид,esku
32,Hand::N,копа́,esku
33,Handfläche::N,со́во,ahur
34,Finger::N,парня́,hatz
35,Fingernagel::N,кидкӱ́ч,azazkal
36,Fingernagel::N,парнягӱ́ч,azazkal
37,Nagel[Anatomie]::N,кӱч,azazkal
38,Zeh::N,йолварня́,behatz
39,Fuß::N,йол,oin
40,Fuß::N,йолкопа́,oin
41,Ferse::N,тага́н,orpo
42,Ferse::N,тага́н,oinburu
43,Knie::N,пулву́й,belaun
44,Oberschenkel::N,э́рде,izter
45,Bein::N,йол,zango
46,Körper::N,кап,soin
47,Haut::N,кова́ште,azal
48,Blut::N,вӱр,odol
49,Ader::N,шӧн,zain
50,Sehne::N,шӧн,gihar-zain
51,Sehne::N,кӱсе́н,gihar-zain
52,Knochen::N,лу,hezur
