,Concept_ID,sah,ko
0,Auge::N,харах,눈
1,Ohr::N,кулгаах,귀
2,Nase::N,мурун,코
3,Mund::N,айах,입
4,Zahn::N,тиис,이
5,Zunge::N,тыл,혀
6,Lippe::N,уос,입술
7,Wange::N,иэдэс,뺨
8,Gesicht::N,сирэй,얼굴
9,Stirn::N,сүүс,이마
10,Haar::N,баттах,털
11,Schnurrbart::N,уос бытыга,윗수몀
12,Schnurrbart::N,уос бытыга,코밑수염
13,Bart::N,сэҥийэ бытыга,수엄
14,Kinn::N,сэҥийэ,아래턱
15,Kiefer[Anatomie]::N,сыҥаах,턱
16,Kehle::N,тамах,인후
17,Kehle::N,күөмэй,인후
18,Hals::N,моой,목
19,Genick::N,кэтэх,먹덜이
20,Kopf::N,бас,머리
21,Rücken::N,көҕүс,든
22,Bauch::N,ис,배
23,Nabel::N,киин,배꼽
24,Busen::N,эмиий,가슴속
25,Brust::N,түөс,가슴
26,Schulter::N,сарын,어깨
27,Arm::N,илии,팔
28,Ellenbogen::N,тоҕонох,팔쿰치
29,Hand::N,илии,손
30,Handfläche::N,ытыс,손바닥
31,Finger::N,тарбах,속가락
32,Fingernagel::N,тыҥырах,손톱
33,Nagel[Anatomie]::N,тыҥырах,손톱
34,Zeh::N,тарбах,발가락
35,Fuß::N,уллуҥах,발
36,Ferse::N,тилэх,발꿈치
37,Knie::N,тобук,무릎
38,Knie::N,дьилбэк,무릎
39,Oberschenkel::N,уллук,허벅다리
40,Oberschenkel::N,өттүк,허벅다리
41,Bein::N,атах,다리
42,Körper::N,бэйэ,구간
43,Haut::N,тирии,살갗
44,Blut::N,хаан,피
45,Ader::N,вена,정맥
46,Ader::N,күөх_тымыр,정맥
47,Sehne::N,иҥиир,현
48,Knochen::N,уҥуох,뼈
49,Knochen::N,уҥгуох,뼈
50,Gehirn::N,мэйии,뇌
51,Gehirn::N,мэйии,뇌수
52,Herz::N,сүрэх,염통
53,Magen::N,куртах,위
54,Leber::N,быар,간
55,Atem::N,тыын,기식
56,Hunger::N,аас,공복
57,Träne::N,харах уута,눈물
58,Geschmack::N,амтан,기호
59,Geruch::N,сыт,냄새
60,Schlaf::N,утуйуу,수면
61,Traum::N,түүл,쿰
62,Himmel::N,халлаан,하늘
63,Sonne::N,күн,해
64,Mond::N,ый,달
65,Stern::N,сулус,별
66,Luft::N,салгын,동준
67,Luft::N,салгын,가스채
68,Wind::N,тыал,바람
69,Welle::N,долгун,물결
70,Welle::N,балхаан,물결
71,Wasser::N,уу,물
72,Stein::N,таас,돌
73,Boden::N,сир,바닥
74,Erde::N,буор,흙
75,Staub::N,быыл,먼지
76,Rauch::N,буруо,연기
77,Funke::N,кыым,불티
78,Feuer::N,уот,불
79,Licht::N,уот,불
80,Schatten::N,күлүк,어스레함
81,Wetter::N,күн-дьыл,기상
82,Nebel::N,туман,안개
83,Wolke::N,былыт,구름
84,Regen::N,самыыр,비
85,Schnee::N,хаар,눈
86,Eis::N,муус,얼음
87,Frost::N,тымныы,혹한
88,Kälte::N,тымныы,추위
89,Kälte::N,тымныы,차가움
90,Hitze::N,куйаас,고온
91,Hitze::N,куйаас,더위
92,Raureif::N,кырыа,
93,Regenbogen::N,кустук,무지개
94,Donner::N,этиҥ,뇌명
95,Strömung::N,сүүрүк,유동
96,Tropfen::N,таммах,물방울
97,Tropfen::N,хааппыла,물방울
98,Schaum::N,күүгэн,포말
99,Schmutz::N,кир,때
100,See::N,күөл,호수
101,Sumpf::N,бадараан,습지
102,Moor::N,дьэбэрэ,저습지
103,Wiese::N,ходуһа,목초지
104,Wald::N,ойуур,숲
105,Hügel::N,булгунньах,언덕
106,Anhöhe::N,үрдэл,언덕
107,Berg::N,хайа,산
108,Gipfel::N,чыпчаал,졀졍
109,Höhle::N,хайа_хаспаҕа,공동
110,Höhle::N,көҥүс,공동
