,Concept_ID,sq,bg
0,Auge::N,sy,око
1,Ohr::N,vesh,ухо
2,Nase::N,hundë,нос
3,Mund::N,gojë,уста
4,Zahn::N,dhëmb,зъб
5,Zunge::N,gjuhë,език
6,Lippe::N,buzë,устна
7,Wange::N,faqe,буза
8,Wange::N,mollëz,буза
9,Gesicht::N,fytyrë,лице
10,Gesicht::N,fytyrë,образ
11,Stirn::N,ballë,чело
12,Haar::N,flokë,коса
13,Haar::N,flokë,косъм
14,Schnurrbart::N,mustaqe,мустаци
15,Bart::N,mjekër,брада
16,Kinn::N,mjekër,брада
17,Kinn::N,mjekër,брадичка
18,Kiefer[Anatomie]::N,nofull,челюст
19,Kehle::N,fyt,гърло
20,Kehle::N,grykë,гърло
21,Hals::N,qafë,врат
22,Genick::N,arrëz,тил
23,Kopf::N,kokë,глава
24,Rücken::N,kurriz,гръб
25,Bauch::N,bark,корем
26,Nabel::N,kërthizë,пъп
27,Busen::N,gji,бозка
28,Brust::N,gjoks,гръд
29,Brust::N,kraharor,гръд
30,Schulter::N,sup,рамо
31,Schulter::N,sup,плещи
32,Schulter::N,krah,рамо
33,Schulter::N,krah,плещи
34,Arm::N,krah,ръка
35,Ellenbogen::N,bërryl,лакът
36,Hand::N,dorë,ръка
37,Hand::N,dorë,китка
38,Handfläche::N,pëllëmbë,длан
39,Finger::N,gisht,пръст
40,Fingernagel::N,thua,нокът
41,Nagel[Anatomie]::N,thua,нокът
42,Zeh::N,gisht i këmbës,пръст на крак
43,Fuß::N,këmbë,крак
44,Fuß::N,këmbë,нога
45,Ferse::N,thembër,пета
46,Knie::N,gju,коляно
47,Oberschenkel::N,kofshë,бедро
48,Bein::N,këmbë,крак
49,Bein::N,këmbë,нога
50,Körper::N,trup,тяло
51,Haut::N,lëkurë,кожа
52,Blut::N,gjak,кръв
53,Ader::N,venë,вена
54,Ader::N,venë,артерия
55,Sehne::N,dell,жила
56,Sehne::N,dell,сухожилие
57,Knochen::N,asht,кост
58,Knochen::N,kockë,кост
59,Gehirn::N,tru,мозък
60,Herz::N,zemër,сърце
61,Magen::N,stomak,стомах
62,Leber::N,mëlçi,черен дроб
63,Atem::N,frymë,дишане
64,Hunger::N,uri,глад
65,Träne::N,lot,сълза
66,Geschmack::N,shije,вкус
67,Geruch::N,erë,миризма
68,Schlaf::N,gjumë,сън
69,Traum::N,ëndërr,сън
70,Himmel::N,qiell,небе
71,Sonne::N,diell,слънце
72,Mond::N,hënë,луна
73,Mond::N,hënë,месец
74,Stern::N,yll,звезда
75,Luft::N,ajër,въздух
76,Wind::N,erë,вятър
77,Welle::N,valë,вълна
78,Welle::N,dallgë,вълна
79,Wasser::N,ujë,вода
80,Stein::N,gur,камък
81,Boden::N,tokë,земя
82,Boden::N,tokë,почва
83,Boden::N,truall,земя
84,Boden::N,truall,почва
85,Erde::N,dhe,земя
86,Erde::N,dhe,почва
87,Erde::N,baltë,земя
88,Erde::N,baltë,почва
89,Staub::N,pluhur,прах
90,Rauch::N,tym,дим
91,Rauch::N,tym,пушек
92,Funke::N,xixë,искра
93,Funke::N,shkëndijë,искра
94,Feuer::N,zjarr,огън
95,Licht::N,dritë,светлина
96,Schatten::N,hije,сянка
97,Wetter::N,mot,време
98,Nebel::N,mjegull,мъгла
99,Wolke::N,re,облак
100,Regen::N,shi,дъжд
101,Schnee::N,borë,сняг
102,Eis::N,akull,лед
103,Frost::N,ngricë,мраз
104,Kälte::N,të ftohtë,студ
105,Hitze::N,vapë,жега
106,Hitze::N,vapë,горещина
107,Hitze::N,nxehtësi,жега
108,Hitze::N,nxehtësi,горещина
109,Raureif::N,cikmë,скреж
110,Raureif::N,cikmë,слана
111,Regenbogen::N,ylber,дъга
112,Donner::N,gjëmim,гръм
113,Donner::N,bubullimë,гръм
114,Strömung::N,rrymë,течение
115,Tropfen::N,pikë,капка
116,Schaum::N,shkumë,пяна
117,Schmutz::N,baltë,кал
118,Schmutz::N,baltë,мръсотия
119,See::N,liqen,езеро
