,Concept_ID,ml,uk
0,Auge::N,കണ്ണ്,око
1,Ohr::N,ചെവി,вухо
2,Nase::N,മൂക്ക്,ніс
3,Mund::N,വായ,рот
4,Zahn::N,പല്ല്,зуб
5,Zunge::N,നാക്ക്,язик
6,Lippe::N,ചുണ്ട്,губа
7,Wange::N,കവിൾത്തടം,щока
8,Gesicht::N,മുഖം,обличчя
9,Stirn::N,നെറ്റി,лоб
10,Haar::N,തലമുടി,волосся
11,Schnurrbart::N,മീശ,вуса
12,Bart::N,താടിരോമം,борода
13,Kinn::N,താടി,підборіддя
14,Kiefer[Anatomie]::N,താടിയെല്ല്,щелепа
15,Kehle::N,കണ്ഠനാളം,горло
16,Hals::N,കഴുത്ത്,шия
17,Genick::N,പിടലി,потилиця
18,Kopf::N,തല,голова
19,Rücken::N,മുതുക്,спина
20,Bauch::N,നയറ്,живіт
21,Nabel::N,നാഭി,пупок
22,Busen::N,സ്തനം,груди
23,Brust::N,സ്തനം,груди
24,Schulter::N,തോൾ,плече
25,Arm::N,കൈ,рука
26,Ellenbogen::N,കൈമുട്ട്,лікоть
27,Hand::N,കൈ,рука
28,Handfläche::N,ഉള്ളം കൈ,долоня
29,Finger::N,വിരൽ,палець
30,Fingernagel::N,നഖം,ніготь
31,Nagel[Anatomie]::N,നഖം,ніготь
32,Zeh::N,കാൽവിരൽ,палець на нозі
33,Fuß::N,കാൽപ്പാദം,нога
34,Ferse::N,ഉപ്പൂറ്റി,п’ятка
35,Knie::N,കാൽമുട്ട്,коліно
36,Oberschenkel::N,തുട,стегно
37,Bein::N,കാൽ,нога
38,Körper::N,ശരീരം,тіло
39,Haut::N,ചർമ്മം,шкіра
40,Blut::N,രക്തം,кров
41,Ader::N,ഞരമ്പ്,вена
42,Sehne::N,സ്നായു,сухожилля
43,Knochen::N,അസ്ഥി,кістка
44,Gehirn::N,തലച്ചോറ്,мозок
45,Herz::N,ഹൃദയം,серце
46,Magen::N,വയർ,шлунок
47,Leber::N,കരൾ,печінка
48,Atem::N,ശ്വാസം,дихання
49,Hunger::N,വിശപ്പ്,голод
50,Träne::N,കണ്ണീർ,сльоза
51,Geschmack::N,രുചി,смак
52,Geruch::N,ഗന്ധം,запах
53,Schlaf::N,ഉറകും,сон
54,Schlaf::N,ഉറകും,сплячка
55,Traum::N,സ്വപ്നം,сон
56,Himmel::N,ആകാശം,небо
57,Sonne::N,സൂര്യൻ,сонце
58,Mond::N,ചന്ദ്രൻ,місяць
59,Stern::N,നക്ഷത്രം,зірка
60,Luft::N,കാറ്റ്,повітря
61,Wind::N,കാറ്റ്,вітер
62,Welle::N,തിരമാല,хвиля
63,Wasser::N,വെള്ളം,вода
64,Stein::N,ശില,камінь
65,Stein::N,കല്ല്,камінь
66,Boden::N,തറ,ґрунт
67,Boden::N,നിലം,ґрунт
68,Erde::N,മണ്ണ്,земля
69,Staub::N,പൊടി,пил
70,Rauch::N,പുക,дим
71,Funke::N,തീപ്പൊരി,іскра
72,Feuer::N,തീ,вогонь
73,Licht::N,വിളക്ക്,світло
74,Licht::N,സൂര്യപ്രകാശം,світло
75,Schatten::N,തണൽ,тінь
76,Wetter::N,കാലാവസ്ഥ,погода
77,Nebel::N,മൂടൽമഞ്ഞ്,туман
78,Wolke::N,മേഘം,хмара
79,Regen::N,മഴ,дощ
80,Schnee::N,മഞ്ഞ്,сніг
81,Eis::N,ഐസ്,лід
82,Frost::N,മൂടൽമഞ്ഞ്,мороз
83,Kälte::N,തണുപ്പ്,холод
84,Hitze::N,ചൂട്,жар
85,Raureif::N,കോടമഞ്ഞ്,іній
86,Regenbogen::N,മഴവില്ല്,райдуга
87,Donner::N,ഇടി,грім
88,Strömung::N,പ്രവാഹം,струмина
89,Tropfen::N,തുള്ളി,крапля
90,Schaum::N,നുര,піна
91,Schmutz::N,അഴുക്ക്,бруд
92,See::N,തടാകം,озеро
93,Sumpf::N,ചതുപ്പുനിലം,драговина
94,Moor::N,പാഴ്നിലം,болото
95,Wiese::N,പുൽത്തകിടി,луг
96,Wiese::N,പുൽത്തകിടി,лука
97,Wald::N,വനം,ліс
98,Wald::N,കാട്,ліс
99,Hügel::N,കുന്ന്,горб
100,Anhöhe::N,ഉയർന്ന ഭൂമി,височина
101,Berg::N,പർവ്വതം,гора
102,Gipfel::N,ഉച്ചകോടി,вершина
103,Höhle::N,ഗുഹ,печера
104,Abhang::N,ചരിവ്,схил
105,Quelle::N,ഉറവിടം,джерело
106,Bach::N,അരുവി,струмок
107,Fluss::N,നദി,річка
108,Ufer::N,തീരം,берег
109,Küste::N,കടൽത്തീരം,узбережжя
110,Festland::N,കര,суша
111,Meer::N,കടൽ,море
112,Bucht::N,ഉൾക്കടല്,бухта
113,Bucht::N,ഉൾക്കടല്,затока
114,Insel::N,ദ്വീപ്,острів
115,Blume::N,പൂവ്,квітка
116,Gras::N,പുല്ല്,трава
117,Wurzel::N,വേര്,корінь
118,Baum::N,മരം,дерево
119,Stamm::N,തായ്ത്തടി,стовбур
120,Rinde::N,പട്ട,кора
