,Concept_ID,mn,tt
0,Auge::N,нүд,күз
1,Ohr::N,чих,колак
2,Nase::N,хамар,борын
3,Mund::N,ам,авыз
4,Mund::N,ам,тамак
5,Zahn::N,шүд,теш
6,Zunge::N,хэл,тел
7,Lippe::N,уруул,ирен
8,Wange::N,хацар,яңак
9,Gesicht::N,царай,йөз
10,Gesicht::N,нүүр,йөз
11,Stirn::N,дух,маңгай
12,Haar::N,үс,чәч
13,Schnurrbart::N,дээд сахал,мыек
14,Schnurrbart::N,живэр сахал,мыек
15,Bart::N,сахал,сакал
16,Kinn::N,эрүү,ияк
17,Kiefer[Anatomie]::N,эрүү,казналык
18,Kehle::N,хоолой,тамак
19,Hals::N,хүзүү,бугаз
20,Genick::N,шил,җилкә
21,Genick::N,хүзүү,җилкә
22,Kopf::N,толгой,баш
23,Rücken::N,ар,сырт
24,Rücken::N,нуруу,сырт
25,Bauch::N,хэвлий,корсак
26,Bauch::N,гэдэс,корсак
27,Nabel::N,хүйс,кендек
28,Busen::N,хөх,түш
29,Brust::N,цээж,имчәк
30,Brust::N,цээж,күкрәк
31,Schulter::N,мөр,иңбаш
32,Schulter::N,мөр,кулбаш
33,Schulter::N,бугалга,иңбаш
34,Schulter::N,бугалга,кулбаш
35,Arm::N,гар,кул
36,Ellenbogen::N,тохой,терсәк
37,Hand::N,гар,кул
38,Hand::N,алга,кул
39,Handfläche::N,алга,уч
40,Finger::N,хуруу,бармак
41,Fingernagel::N,хурууны хумс,тырнак
42,Nagel[Anatomie]::N,хумс,тырнак
43,Zeh::N,хуруу,бармак
44,Fuß::N,хөл,табан
45,Ferse::N,өсгий,үкчә
46,Knie::N,өвдөг,тез
47,Oberschenkel::N,гуя,бот
48,Bein::N,хөл,аяк
49,Körper::N,бие,тән
50,Körper::N,бие,җисем
51,Haut::N,арьс,тире
52,Blut::N,цус,кан
53,Ader::N,судас,тамыр
54,Sehne::N,бүлх,сеңер
55,Sehne::N,шандас,сеңер
56,Knochen::N,яс,сөяк
57,Gehirn::N,тархи,ми
58,Herz::N,зүрх,йөрәк
59,Magen::N,ходоод,ашказаны
60,Leber::N,элэг,бавыр
61,Atem::N,амьсгаа,сулыш
62,Hunger::N,өлсгөлөн,ачлык
63,Träne::N,нулимс,яшь
64,Geschmack::N,амт,тәм
65,Geschmack::N,амт,зәвык
66,Geruch::N,үнэр,ис
67,Schlaf::N,нойр,йокы
68,Traum::N,зүүд,төш
69,Himmel::N,тэнгэр,күк
70,Himmel::N,огторгуй,күк
71,Sonne::N,нар,кояш
72,Mond::N,сар,ай
73,Stern::N,од,йолдыз
74,Luft::N,агаар,һава
75,Wind::N,салхи,җил
76,Welle::N,долгио,дулкын
77,Welle::N,давалгаа,дулкын
78,Wasser::N,ус,су
79,Stein::N,чулуу,таш
80,Boden::N,хөрс,туфрак
81,Erde::N,газар,җир
82,Erde::N,шороо,җир
83,Staub::N,тоос,тузан
84,Rauch::N,утаа,төтен
85,Funke::N,оч,очкын
86,Feuer::N,гал,ут
87,Licht::N,гэрэл,якты
88,Licht::N,гэгээ,якты
89,Schatten::N,сүүдэр,күләгә
90,Wetter::N,тэнгэр,һава
91,Wetter::N,цаг уур,һава
92,Nebel::N,будан,томан
93,Wolke::N,үүл,болыт
94,Regen::N,бороо,яңгыр
95,Schnee::N,цас,кар
96,Eis::N,мөс,боз
97,Frost::N,хүйт,суык
98,Frost::N,хүйт,салкын
99,Kälte::N,хүйт,суык
100,Kälte::N,хүйт,салкын
101,Hitze::N,халуун,эсселек
102,Raureif::N,цан,бәс
103,Raureif::N,цан,сыкы
104,Raureif::N,хяруу,бәс
105,Raureif::N,хяруу,сыкы
106,Regenbogen::N,солонго,салават күпере
107,Donner::N,тэнгэрийн дуу,күкрәү
108,Strömung::N,урсгал,агыш'агым
109,Tropfen::N,дусал,тамчы
110,Schaum::N,хөөс,күбек
111,Schmutz::N,хир,пычрак
112,Schmutz::N,шавхай,пычрак
113,See::N,нуур,күл
114,Sumpf::N,намаг,саз
115,Sumpf::N,балчиг,саз
116,Moor::N,хүлрийн намаг,торфлык
117,Wiese::N,нуга,болын
118,Wald::N,ой,урман
119,Hügel::N,болдог,калку
120,Anhöhe::N,гүвээ,үр
121,Berg::N,уул,тау
122,Gipfel::N,орой,оч
123,Gipfel::N,оргил,оч
124,Höhle::N,агуй,мәгарә
125,Abhang::N,хүр,кабырга
126,Quelle::N,булаг,чишмә
127,Bach::N,горхи,елга
128,Fluss::N,гол,дәрья
129,Fluss::N,мөрөн,дәрья
130,Ufer::N,эрэг,су кырые
131,Küste::N,эрэг,яр буе
132,Festland::N,хуурай газар,коры җир
133,Meer::N,далай,диңгез
134,Meer::N,тэнгис,диңгез
135,Bucht::N,булан,бухта
136,Bucht::N,булан,култык
137,Bucht::N,далайн тохой,бухта
138,Bucht::N,далайн тохой,култык
139,Insel::N,арал,атау
140,Insel::N,арал,утрау
141,Blume::N,цэцэг,чәчкә
142,Gras::N,өвс,үлән
143,Gras::N,ногоо,үлән
144,Wurzel::N,үндэс,тамыр
145,Baum::N,мод,агач
146,Stamm::N,иш,кәүсә
147,Stamm::N,гуалин,кәүсә
148,Rinde::N,холтос,кабык
149,Ast::N,гишүү,ботак
150,Zweig::N,салаа,ботак
151,Zweig::N,салаа,тармак
152,Blatt::N,навч,яфрак
153,Birke::N,хус,каен
154,Kiefer[Baum]::N,нарс,нарат
155,Weide[Baum]::N,уд,тал
156,Weide[Baum]::N,бургас,тал
157,Tanne::N,гачуур,чыршы
158,Horn::N,эвэр,мөгез
159,Feder::N,өд,йон
160,Fell::N,арьс,тире
161,Flügel::N,жигүүр,канат
162,Flügel::N,далавч,канат
163,Klaue::N,савар,тырнак
164,Klaue::N,хумс,тырнак
165,Kralle::N,савар,тырнак
166,Schwanz::N,сүүл,койрык
167,Ei::N,өндөг,күкәй
168,Ei::N,өндөг,йомырка
169,Nest::N,үүр,оя
170,Bau::N,нүх,өн
171,Bau::N,элүү,өн
172,Tier::N,амьтан,хайван
173,Tier::N,адгуус,хайван
174,Herde::N,сүрэг,көтү
175,Kuh::N,үнээ,сыер
176,Bulle::N,бух,үгез
177,Pferd::N,морь,ат
178,Pferd::N,адуу,ат
179,Schaf::N,хонь,сарык
180,Schwein::N,гахай,дуңгыз
181,Hund::N,нохой,эт
182,Katze::N,муур,песи
183,Katze::N,мигуй,песи
184,Bär::N,баавгай,аю
185,Eichhörnchen::N,хэрэм,тиен
186,Elch::N,хандгай,поши
187,Fuchs::N,үнэг,төлке
188,Hase::N,туулай,куян
189,Maus::N,хулгана,тычкан
190,Wolf::N,чоно,бүре
191,Vogel::N,шувуу,кош
192,Schwarm::N,сүрэг,көтү
193,Huhn::N,тахиа,тавык
194,Hahn::N,эр тахиа,әтәч
195,Gans::N,галуу,каз
196,Adler::N,бүргэд,каракош
197,Ente::N,нугас,үрдәк
198,Eule::N,ууль,ябалак
199,Kranich::N,тогоруу,торна
200,Krähe::N,хэрээ,карга
201,Kuckuck::N,хөхөө,күке
202,Kuckuck::N,хөхөө,кәккүк
203,Schwan::N,хун,аккош
204,Fisch::N,загас,балык
205,Barsch::N,алгана,алабуга
206,Hecht::N,цурхай,чуртан
207,Schlange[Tier]::N,могой,елан
208,Wurm::N,өт,корт
209,Wurm::N,хорхой,корт
210,Spinne::N,аалз,үрмәкүч
211,Ameise::N,шоргоолж,кырмыска
212,Laus::N,бөөс,бет
213,Mücke::N,шумуул,черки
214,Mücke::N,шумуул,озынборын
215,Fliege::N,ялаа,чебен
216,Schmetterling::N,эрвээхэй,күбәләк
217,Beere::N,жимсгэнэ,җиләк
218,Apfel::N,алим,алма
219,Pilz::N,мөөг,гөмбә
220,Zwiebel::N,сонгино,суган
221,Zwiebel::N,сонгино,суганбаш
222,Saat::N,тариа,орлык
223,Korn::N,үр,иген
224,Korn::N,үр,орлык
225,Korn::N,мөхлөг,иген
226,Korn::N,мөхлөг,орлык
227,Heu::N,өвс,печән
228,Schale::N,хальс,кабык
229,Grube::N,алам,баз
230,Grube::N,алам,чокыр
231,Grube::N,нүх,баз
232,Grube::N,нүх,чокыр
233,Falle::N,хавх,тозак
234,Falle::N,хавх,капкын
235,Falle::N,занга,тозак
236,Falle::N,занга,капкын
237,Schlinge::N,урхи,элмәк
238,Spur::N,мөр,эз
239,Asche::N,үнс,көл
240,Dreck::N,хир,пычрак
241,Eisen::N,төмөр,тимер
242,Gold::N,алт,алтын
243,Silber::N,мөнгө,көмеш
244,Kohle::N,нүүрс,күмер
245,Glas::N,шил,пыяла
246,Lehm::N,шавар,балчык
247,Sand::N,элс,ком
248,Mensch::N,хүн,адәм
249,Mensch::N,хүн,инсан
250,Mann::N,эр,ир
251,Mann::N,эрэгтэй,ир
