,Concept_ID,mn,xal
0,Auge::N,нүд,нүдн
1,Ohr::N,чих,чикн
2,Nase::N,хамар,хамр
3,Mund::N,ам,амн
4,Zahn::N,шүд,шүдн
5,Zunge::N,хэл,келн
6,Lippe::N,уруул,урл
7,Wange::N,хацар,халх
8,Gesicht::N,царай,нүр
9,Gesicht::N,нүүр,нүр
10,Stirn::N,дух,маңна
11,Haar::N,үс,үсн
12,Schnurrbart::N,дээд сахал,сахл
13,Schnurrbart::N,живэр сахал,сахл
14,Bart::N,сахал,сахл
15,Bart::N,сахал,өргнә сахл
16,Kinn::N,эрүү,өргн
17,Kiefer[Anatomie]::N,эрүү,өргн
18,Kehle::N,хоолой,хол
19,Hals::N,хүзүү,күзүн
20,Genick::N,шил,гиҗг
21,Genick::N,хүзүү,гиҗг
22,Kopf::N,толгой,толһа
23,Rücken::N,ар,нурһн
24,Rücken::N,нуруу,нурһн
25,Bauch::N,хэвлий,гесн
26,Bauch::N,гэдэс,гесн
27,Nabel::N,хүйс,киисн
28,Busen::N,хөх,көкн
29,Brust::N,цээж,чееҗ
30,Schulter::N,мөр,ээм
31,Schulter::N,бугалга,ээм
32,Arm::N,гар,һар
33,Ellenbogen::N,тохой,тоха
34,Hand::N,гар,баһлцг
35,Hand::N,алга,баһлцг
36,Handfläche::N,алга,альхн
37,Finger::N,хуруу,хурһн
38,Finger::N,хуруу,һарин хурһн
39,Fingernagel::N,хурууны хумс,хумсн
40,Nagel[Anatomie]::N,хумс,хумсн
41,Zeh::N,хуруу,хурһн
42,Zeh::N,хуруу,көлин хурһн
43,Fuß::N,хөл,тавг
44,Ferse::N,өсгий,өскә
45,Knie::N,өвдөг,өвдг
46,Oberschenkel::N,гуя,һуй
47,Bein::N,хөл,көл
48,Körper::N,бие,махмуд
49,Haut::N,арьс,арсн
50,Blut::N,цус,цусн
51,Ader::N,судас,судцн
52,Sehne::N,бүлх,шүрүсн
53,Sehne::N,шандас,шүрүсн
54,Knochen::N,яс,ясн
55,Gehirn::N,тархи,экн
56,Herz::N,зүрх,зүркн
57,Magen::N,ходоод,гесн
58,Leber::N,элэг,элкн
59,Atem::N,амьсгаа,әмсхл
60,Hunger::N,өлсгөлөн,харһнлһн
61,Träne::N,нулимс,нульмсн
62,Geschmack::N,амт,амтн
63,Geruch::N,үнэр,үнр
64,Schlaf::N,нойр,нөр
65,Traum::N,зүүд,зүүдн
66,Himmel::N,тэнгэр,теңгр
67,Himmel::N,огторгуй,теңгр
68,Sonne::N,нар,нарн
69,Mond::N,сар,сар
70,Stern::N,од,одн
71,Luft::N,агаар,аһар
72,Wind::N,салхи,салькн
73,Welle::N,долгио,дольган
74,Welle::N,давалгаа,дольган
75,Wasser::N,ус,усн
76,Stein::N,чулуу,чолун
77,Boden::N,хөрс,Һазр
78,Erde::N,газар,Һазр
79,Erde::N,шороо,Һазр
80,Staub::N,тоос,тоосн
