,Concept_ID,eu,az
0,Auge::N,begi,göz
1,Ohr::N,belarri,qulaq
2,Nase::N,sudur,burun
3,Mund::N,aho,ağız
4,Zahn::N,hortz,diş
5,Zunge::N,mihi,dil
6,Lippe::N,ezpain,dodaq
7,Wange::N,masail,yanaq
8,Gesicht::N,aurpegi,üz
9,Stirn::N,bekoki,alın
10,Haar::N,ile,saç
11,Haar::N,bilo,saç
12,Schnurrbart::N,bibote,bığ
13,Schnurrbart::N,sudurpeko,bığ
14,Bart::N,bizar,saqqal
15,Kinn::N,kokots,çənə
16,Kiefer[Anatomie]::N,masailezur,çənə
17,Kehle::N,eztarri,boğaz
18,Hals::N,sama,boyun
19,Genick::N,garondo,ənsə
20,Kopf::N,buru,baş
21,Rücken::N,bizkar,bel
22,Bauch::N,sabel,qarın
23,Nabel::N,zilbor,göbək
24,Busen::N,titi,məmə
25,Busen::N,ugatz,məmə
26,Brust::N,bular,döş
27,Schulter::N,besaburu,çiyin
28,Arm::N,beso,qol
29,Ellenbogen::N,ukondo,dirsək
30,Hand::N,esku,əl
31,Handfläche::N,ahur,ovuc
32,Finger::N,hatz,barmaq
33,Fingernagel::N,azazkal,barmaq dırnağı
34,Nagel[Anatomie]::N,azazkal,dırnak
35,Zeh::N,behatz,ayaq barmağı
36,Fuß::N,oin,ayaq
37,Ferse::N,orpo,daban
38,Ferse::N,oinburu,daban
39,Knie::N,belaun,diz
40,Oberschenkel::N,izter,bud
41,Bein::N,zango,qıç
42,Körper::N,soin,əndam
43,Haut::N,azal,dəri
44,Blut::N,odol,qan
45,Ader::N,zain,damar
46,Sehne::N,gihar-zain,vətər
47,Knochen::N,hezur,sümük
48,Gehirn::N,garun,beyin
49,Gehirn::N,burmuin,beyin
50,Herz::N,bihotz,ürək
51,Magen::N,urdail,mədə
52,Leber::N,gibel,qara ciyər
53,Atem::N,hats,nəfəs
54,Atem::N,arnasa,nəfəs
55,Hunger::N,gose,aclıq
56,Träne::N,malko,göz yaşı
57,Geschmack::N,dasta,tam
58,Geschmack::N,dasta,ləzzət
59,Geruch::N,usain,qoxu
60,Schlaf::N,lo,yuxu
61,Traum::N,amets,röya
62,Himmel::N,zeru,göy
63,Himmel::N,zeru,səma
64,Sonne::N,eguzki,günəş
65,Mond::N,ilargi,ay
66,Stern::N,izar,ulduz
67,Luft::N,aire,hava
68,Wind::N,haize,yel
69,Wind::N,haize,külək
70,Welle::N,uhin,dalğa
71,Welle::N,olatu,dalğa
72,Wasser::N,ur,su
73,Stein::N,harri,daş
74,Boden::N,lur,yer
75,Boden::N,lur,zəmin
76,Boden::N,zoru,yer
77,Boden::N,zoru,zəmin
78,Erde::N,lur,yer torpaq
79,Staub::N,hauts,toz
80,Rauch::N,ke,tüstü
81,Funke::N,zirta,qığılcım
82,Funke::N,txinparta,qığılcım
83,Feuer::N,su,od
84,Licht::N,argi,işıq
85,Schatten::N,itzal,kölgə
86,Schatten::N,geriza,kölgə
87,Wetter::N,eguraldi,hava
88,Nebel::N,laino,duman
89,Wolke::N,hodei,bulud
90,Regen::N,euri,yağış
91,Regen::N,euri,yağmur
