,Concept_ID,udm,az
0,Auge::N,син,göz
1,Ohr::N,пель,qulaq
2,Nase::N,ныр,burun
3,Mund::N,ым,ağız
4,Zahn::N,пинь,diş
5,Zunge::N,кыл,dil
6,Lippe::N,ымдур,dodaq
7,Wange::N,бам,yanaq
8,Gesicht::N,ымныр,üz
9,Stirn::N,кымес,alın
10,Haar::N,йырси,saç
11,Schnurrbart::N,мыйык,bığ
12,Bart::N,туш,saqqal
13,Kinn::N,ангес,çənə
14,Kiefer[Anatomie]::N,ан,çənə
15,Kiefer[Anatomie]::N,анлы,çənə
16,Kehle::N,гульым,boğaz
17,Hals::N,чырты,boyun
18,Genick::N,йырбер,ənsə
19,Kopf::N,йыр,baş
20,Rücken::N,мыш,bel
21,Bauch::N,кӧт,qarın
22,Nabel::N,гогы,göbək
23,Busen::N,ноны,məmə
24,Brust::N,мӧля,döş
25,Schulter::N,пельпум,çiyin
26,Arm::N,суй,qol
27,Ellenbogen::N,гырпум,dirsək
28,Hand::N,ки,əl
29,Handfläche::N,ки пыдэс,ovuc
30,Handfläche::N,кырым пыдэс,ovuc
31,Finger::N,чиньы,barmaq
32,Fingernagel::N,гижы,barmaq dırnağı
33,Fingernagel::N,гиждӥнь,barmaq dırnağı
34,Nagel[Anatomie]::N,гижы,dırnak
35,Zeh::N,пыдчиньы,ayaq barmağı
36,Fuß::N,пыд,ayaq
37,Ferse::N,пыдбер,daban
38,Knie::N,пыдес,diz
39,Oberschenkel::N,макес,bud
40,Bein::N,пыд,qıç
41,Körper::N,мугор,əndam
42,Körper::N,вылтыр,əndam
43,Haut::N,ку,dəri
44,Blut::N,вир,qan
45,Ader::N,вирсэр,damar
46,Sehne::N,вуж,vətər
47,Knochen::N,лы,sümük
48,Gehirn::N,вим,beyin
49,Herz::N,сюлэм,ürək
50,Magen::N,ӝуш,mədə
51,Leber::N,мус,qara ciyər
52,Atem::N,лул,nəfəs
53,Atem::N,шокан,nəfəs
54,Hunger::N,кӧтсюман,aclıq
55,Träne::N,синкыли,göz yaşı
56,Geschmack::N,шӧм,tam
57,Geschmack::N,шӧм,ləzzət
58,Geruch::N,зын,qoxu
59,Schlaf::N,вӧт,yuxu
60,Traum::N,уйвӧт,röya
61,Himmel::N,ин,göy
62,Himmel::N,ин,səma
63,Sonne::N,шунды,günəş
64,Mond::N,толэзь,ay
65,Stern::N,кизили,ulduz
66,Luft::N,омыр,hava
67,Wind::N,тӧл,yel
68,Wind::N,тӧл,külək
69,Welle::N,тулкым,dalğa
70,Wasser::N,ву,su
71,Stein::N,из,daş
72,Boden::N,музъем,yer
73,Boden::N,музъем,zəmin
74,Erde::N,му,yer torpaq
75,Staub::N,пыль,toz
76,Rauch::N,ӵын,tüstü
77,Funke::N,гизьы,qığılcım
78,Feuer::N,тыл,od
79,Licht::N,тыл,işıq
80,Schatten::N,вужер,kölgə
81,Wetter::N,куазь,hava
