,Concept_ID,udm,de
0,Auge::N,син,Auge
1,Ohr::N,пель,Ohr
2,Nase::N,ныр,Nase
3,Mund::N,ым,Mund
4,Zahn::N,пинь,Zahn
5,Zunge::N,кыл,Zunge
6,Lippe::N,ымдур,Lippe
7,Wange::N,бам,Wange
8,Gesicht::N,ымныр,Gesicht
9,Stirn::N,кымес,Stirn
10,Haar::N,йырси,Haar
11,Schnurrbart::N,мыйык,Schnurrbart
12,Bart::N,туш,Bart
13,Kinn::N,ангес,Kinn
14,Kiefer[Anatomie]::N,ан,Kiefer
15,Kiefer[Anatomie]::N,анлы,Kiefer
16,Kehle::N,гульым,Kehle
17,Hals::N,чырты,Hals
18,Genick::N,йырбер,Genick
19,Kopf::N,йыр,Kopf
20,Rücken::N,мыш,Rücken
21,Bauch::N,кӧт,Bauch
22,Nabel::N,гогы,Nabel
23,Busen::N,ноны,Busen
24,Brust::N,мӧля,Brust
25,Schulter::N,пельпум,Schulter
26,Arm::N,суй,Arm
27,Ellenbogen::N,гырпум,Ellenbogen
28,Hand::N,ки,Hand
29,Handfläche::N,ки пыдэс,Handfläche
30,Handfläche::N,кырым пыдэс,Handfläche
31,Finger::N,чиньы,Finger
32,Fingernagel::N,гижы,Fingernagel
33,Fingernagel::N,гиждӥнь,Fingernagel
34,Nagel[Anatomie]::N,гижы,Nagel
35,Zeh::N,пыдчиньы,Zeh
36,Fuß::N,пыд,Fuß
37,Ferse::N,пыдбер,Ferse
38,Knie::N,пыдес,Knie
39,Oberschenkel::N,макес,Oberschenkel
40,Bein::N,пыд,Bein
41,Körper::N,мугор,Körper
42,Körper::N,вылтыр,Körper
43,Haut::N,ку,Haut
44,Blut::N,вир,Blut
45,Ader::N,вирсэр,Ader
46,Sehne::N,вуж,Sehne
47,Knochen::N,лы,Knochen
48,Gehirn::N,вим,Gehirn
49,Herz::N,сюлэм,Herz
50,Magen::N,ӝуш,Magen
51,Leber::N,мус,Leber
52,Atem::N,лул,Atem
53,Atem::N,шокан,Atem
54,Hunger::N,кӧтсюман,Hunger
55,Träne::N,синкыли,Träne
56,Geschmack::N,шӧм,Geschmack
57,Geruch::N,зын,Geruch
58,Schlaf::N,вӧт,Schlaf
59,Traum::N,уйвӧт,Traum
60,Himmel::N,ин,Himmel
61,Sonne::N,шунды,Sonne
62,Mond::N,толэзь,Mond
63,Stern::N,кизили,Stern
64,Luft::N,омыр,Luft
65,Wind::N,тӧл,Wind
