,Concept_ID,et,no
0,Auge::N,silm,øye
1,Ohr::N,kõrv,øre
2,Nase::N,nina,nese
3,Mund::N,suu,munn
4,Zahn::N,hammas,tann
5,Zunge::N,keel,tunge
6,Lippe::N,huul,leppe
7,Wange::N,põsk,kinn
8,Gesicht::N,nägu,fjes
9,Gesicht::N,nägu,ansikt
10,Stirn::N,otsmik,panne
11,Haar::N,juus,hår
12,Schnurrbart::N,vurrud,bart
13,Schnurrbart::N,vuntsid,bart
14,Bart::N,habe,skjegg
15,Kinn::N,lõug,hake
16,Kiefer[Anatomie]::N,lõualuu,kjeve
17,Kehle::N,kõri,strupe
18,Hals::N,kael,hals
19,Genick::N,kukal,nakke
20,Kopf::N,pea,hode
21,Rücken::N,selg,rygg
22,Bauch::N,kõht,buk
23,Bauch::N,kõht,mage
24,Nabel::N,naba,navle
25,Busen::N,rind,barm
26,Brust::N,rind,bryst
27,Schulter::N,õlg,skulder
28,Arm::N,käsivars,arm
29,Ellenbogen::N,küünarnukk,albue
30,Hand::N,käsi,hånd
31,Handfläche::N,pihk,håndflate
32,Finger::N,sõrm,finger
33,Fingernagel::N,küüs,fingernegl
34,Nagel[Anatomie]::N,küüs,negl
35,Zeh::N,varvas,tå
36,Fuß::N,jalg,fot
37,Ferse::N,kand,hæl
38,Knie::N,põlv,kne
39,Oberschenkel::N,reis,lår
40,Bein::N,jalg,bein
41,Körper::N,ihu,kropp
42,Körper::N,ihu,legeme
43,Körper::N,keha,kropp
44,Körper::N,keha,legeme
45,Haut::N,nahk,hud
46,Haut::N,nahk,skinn
47,Blut::N,veri,blod
48,Ader::N,veen,åre
49,Sehne::N,kõõlus,sene
50,Knochen::N,luu,bein
51,Knochen::N,luu,knokkel
52,Gehirn::N,aju,hjerne
53,Herz::N,süda,hjerte
54,Magen::N,magu,mage
55,Leber::N,maks,lever
56,Atem::N,hingeõhk,pust
57,Atem::N,hingamine,pust
58,Hunger::N,nälg,sult
59,Träne::N,pisar,tåre
60,Geschmack::N,maitse,smak
61,Geruch::N,lõhn,lukt
62,Schlaf::N,uni,søvn
63,Traum::N,unenägu,drøm
64,Himmel::N,taevas,himmel
65,Sonne::N,päike,sol
66,Mond::N,kuu,måne
67,Stern::N,täht,stjerne
68,Luft::N,õhk,luft
69,Wind::N,tuul,vind
70,Welle::N,laine,bølge
71,Wasser::N,vesi,vann
72,Stein::N,kivi,stein
73,Boden::N,maa,bakke
74,Boden::N,pinnas,bakke
75,Erde::N,maa,jord
76,Staub::N,põrm,støv
77,Rauch::N,suits,røyk
78,Funke::N,säde,gnist
79,Feuer::N,tuli,ild
80,Licht::N,valgus,lys
81,Schatten::N,vari,skygge
82,Wetter::N,ilm,vær
83,Nebel::N,udu,tåke
84,Wolke::N,pilv,sky
85,Regen::N,sadu,regn
86,Schnee::N,lumi,snø
87,Eis::N,jää,is
88,Frost::N,pakane,frost
89,Kälte::N,külm,kulde
90,Kälte::N,külmus,kulde
91,Hitze::N,kuumus,hete
92,Hitze::N,palavus,hete
93,Raureif::N,härmatis,rimfrost
94,Regenbogen::N,vikerkaar,regnbue
95,Donner::N,kõu,torden
96,Donner::N,müristamine,torden
97,Strömung::N,voolus,strømning
98,Strömung::N,jõevool,strømning
99,Tropfen::N,tilk,dråpe
100,Schaum::N,vaht,skum
101,Schmutz::N,pori,søl
102,Schmutz::N,pori,skitt
103,Schmutz::N,mustus,søl
104,Schmutz::N,mustus,skitt
105,See::N,järv,sjø
106,Sumpf::N,soo,sump
107,Sumpf::N,soo,myrlende
108,Moor::N,raba,myr
109,Moor::N,raba,myrhei
110,Wiese::N,aas,eng
111,Wiese::N,nurm,eng
112,Wald::N,mets,skog
113,Hügel::N,küngas,haug
114,Hügel::N,küngas,bakke
115,Anhöhe::N,küngas,haug
116,Anhöhe::N,küngas,bakke
117,Berg::N,mägi,berg
118,Berg::N,mägi,fjell
119,Gipfel::N,mäetipp,topp
120,Höhle::N,koobas,hule
121,Abhang::N,nõlvak,li
122,Abhang::N,nõlvak,skråning
123,Quelle::N,allikas,kilde
124,Bach::N,oja,bekk
125,Fluss::N,jõgi,elv
126,Ufer::N,kallas,bredd
127,Küste::N,rannik,kyst
128,Festland::N,mander,fastland
129,Festland::N,maismaa,fastland
130,Meer::N,meri,hav
131,Bucht::N,laht,bukt
132,Insel::N,saar,øy
133,Blume::N,lill,blomst
134,Gras::N,rohi,gress
135,Wurzel::N,juur,rot
136,Baum::N,puu,tre
137,Stamm::N,tüvi,stamme
138,Rinde::N,koor,bark
139,Ast::N,oks,gren
140,Zweig::N,oks,kvist
141,Blatt::N,leht,blad
142,Birke::N,kask,bjørk
143,Kiefer[Baum]::N,mänd,furu
144,Weide[Baum]::N,paju,selje
145,Weide[Baum]::N,paju,piletre
146,Tanne::N,nulg,gran
147,Horn::N,sarv,horn
148,Feder::N,sulg,fjær
149,Fell::N,karvkate,skinn
150,Fell::N,karusnahk,skinn
151,Flügel::N,tiib,vinge
152,Flügel::N,tiivik,vinge
153,Klaue::N,küüs,klauv
154,Kralle::N,küünis,klo
155,Schwanz::N,saba,hale
156,Ei::N,muna,egg
157,Nest::N,pesa,rede
158,Bau::N,urg,hi
