,Concept_ID,vep,lbe
0,Auge::N,sil'm,я
1,Ohr::N,korv,вичӏи
2,Nase::N,nena,май
3,Mund::N,su,кьацӏ
4,Zahn::N,pi,ккарччи
5,Zahn::N,hambaz,ккарччи
6,Zunge::N,kel',маз
7,Lippe::N,hul',мурччи
8,Wange::N,modpolišk,чӏав
9,Gesicht::N,mod,лажин
10,Stirn::N,oc,ненттабакӏ
11,Haar::N,tuk,чӏара
12,Haar::N,hibuz,чӏара
13,Schnurrbart::N,habinod,ссирссилтту
14,Bart::N,bard,чӏири
15,Kinn::N,löug,лунттубакӏ
16,Kiefer[Anatomie]::N,hambazlu,ххинчулул
17,Kehle::N,kurk,кьакьари
18,Hals::N,kagl,ссурссу
19,Genick::N,tagarai,махъабакӏ
20,Kopf::N,pä,бакӏ
21,Rücken::N,sel'g,ттиликӏ
22,Bauch::N,vac,лякьа
23,Bauch::N,koht,лякьа
24,Nabel::N,naba,цӏумуккутӏ
25,Busen::N,niža,ккукку
26,Brust::N,rind,хъазам
27,Schulter::N,oug,хъачӏ
28,Arm::N,käzi,ка
29,Ellenbogen::N,künambruz,ссюрхъ
30,Hand::N,käzi,бартка
31,Hand::N,käzitera,бартка
32,Handfläche::N,kämen,хъат
33,Handfläche::N,kämen,битӏянхъ
34,Finger::N,sor'm,кӏисса
35,Fingernagel::N,künz',михь
36,Nagel[Anatomie]::N,künz',михь
37,Zeh::N,barbaz,кӏисса
38,Fuß::N,jaug,чӏанччан
39,Ferse::N,kand,никъа
40,Knie::N,komb,ник
41,Knie::N,pol'v,ник
42,Oberschenkel::N,riiže,жира
43,Bein::N,jaug,ччан
44,Körper::N,hibj,чурх
45,Haut::N,nahk,бурчу
46,Blut::N,čak,оь
47,Blut::N,veri,оь
48,Ader::N,son',тунну
49,Sehne::N,jände,хьхьа
50,Knochen::N,lu,ттаркӏ
51,Gehirn::N,aivod,ня
52,Herz::N,südäin,дакӏ
53,Herz::N,südäin,къюкӏ
54,Magen::N,südäikoht,лякьа
55,Leber::N,maks,
56,Atem::N,hengaiduz,ссихӏ ласаву
57,Atem::N,hengaiduz,ссихӏ бигьаву
58,Hunger::N,näl'g,ккаши
59,Träne::N,kündal',макь
60,Geschmack::N,magu,тӏин
61,Geschmack::N,magu,тӏааьн
62,Geruch::N,haju,кьанкь
63,Schlaf::N,uni,шану
64,Traum::N,unikuva,макӏру
65,Himmel::N,taivaz,ссав
66,Sonne::N,päiväine,баргъ
67,Mond::N,kudmaine,барз
68,Stern::N,tähtaz,цӏуку
69,Luft::N,il'm,гьава
70,Wind::N,döl,марч
71,Wind::N,tullei,марч
72,Welle::N,ald,щатӏи
73,Welle::N,laineh,щатӏи
74,Wasser::N,vezi,щин
75,Stein::N,kivi,чару
76,Boden::N,ma,аьрщи
77,Boden::N,pohj,аьрщи
78,Erde::N,ma,аьрщи
79,Staub::N,pölü,ххит
80,Rauch::N,savu,пуркӏу
81,Funke::N,kibin,пиягь
82,Feuer::N,lämoi,цӏу
83,Licht::N,vauktuz,чани
84,Schatten::N,pil'vez,ххют
85,Schatten::N,kuvahaine,ххют
86,Wetter::N,sä,гьава
87,Nebel::N,sumeg,шархь ттурлу
88,Wolke::N,pil'v,ттурлу
89,Regen::N,vihm,гъарал
90,Schnee::N,lumi,марххала
91,Eis::N,jä,микӏ
92,Frost::N,hala,дяркъу
93,Frost::N,hala,замгьар
94,Frost::N,pakaine,дяркъу
95,Frost::N,pakaine,замгьар
96,Kälte::N,vilu,дяркъу
97,Hitze::N,räk,кӏиришиву
98,Raureif::N,hüde,сил
99,Raureif::N,hüde,бурса
100,Regenbogen::N,jumalanbembel',ссурул ккуртта
101,Donner::N,juru,къув
102,Donner::N,jumalanjuru,къув
103,Strömung::N,joksmuz,экьинанаву
104,Tropfen::N,tilkuine,кӏунтӏ
105,Schaum::N,vaht,хьама
106,Schmutz::N,redu,кьяркьи
107,Schmutz::N,pačak,кьяркьи
108,See::N,järv,бяр
109,Sumpf::N,so,кунцӏа
110,Moor::N,so,
111,Wiese::N,nit,кьан
112,Wald::N,mec,вацӏа
113,Hügel::N,kukaz,бакӏу
114,Anhöhe::N,kukaz,
115,Berg::N,mägi,зунтту
116,Gipfel::N,ladv,мицӏ
117,Höhle::N,mägionduz,нух
118,Abhang::N,paute,сун
119,Quelle::N,lähte,дайдихьу
120,Quelle::N,lähte,бакӏ
121,Bach::N,oja,чӏрир нех
122,Fluss::N,jogi,нех
123,Ufer::N,rand,зума
124,Küste::N,randišt,зумаинхалу
125,Küste::N,randišt,зуманицӏалу
126,Festland::N,kuivma,кьири
127,Meer::N,meri,хьхьири
128,Bucht::N,laht,
129,Insel::N,sar',жазира
130,Blume::N,änik,тӏутӏи
131,Gras::N,hein,уртту
132,Wurzel::N,jur',мархха
133,Baum::N,pu,мурхь
134,Stamm::N,tüvi,ттарцӏ
135,Rinde::N,kor',ккамара
136,Ast::N,oks,матӏи
137,Zweig::N,oks,къяртта
138,Zweig::N,barb,къяртта
139,Blatt::N,lehtez,чӏапӏи
140,Birke::N,koiv,кӏялахӏи
141,Birke::N,koiv,кӏялахӏилул мурхь
142,Kiefer[Baum]::N,pedai,ттар
143,Kiefer[Baum]::N,pedai,ттарлил мурхь
144,Weide[Baum]::N,raid,щавщи
145,Tanne::N,kuz',ттарлил мурхь
146,Horn::N,sar'v,хъи
147,Feder::N,höuneh,лелуххул тӏиму
148,Fell::N,nahk,бурчу
149,Flügel::N,suug,хъа
