,Concept_ID,hi,cv
0,Auge::N,आँख,куҫ
1,Auge::N,चक्षु,куҫ
2,Ohr::N,कान,хӑлха
3,Ohr::N,कर्ण,хӑлха
4,Nase::N,नाक,сӑмса
5,Nase::N,नासा,сӑмса
6,Mund::N,मुख,ҫӑвар
7,Mund::N,मुँह,ҫӑвар
8,Zahn::N,दंत,шӑл
9,Zahn::N,दाँत,шӑл
10,Zunge::N,जीभ,чӗлхе
11,Zunge::N,ज़बान,чӗлхе
12,Zunge::N,जिह्वा,чӗлхе
13,Lippe::N,ओंठ,тута
14,Lippe::N,होंठ,тута
15,Wange::N,गाल,пит ҫӑмарти
16,Wange::N,कपोल,пит ҫӑмарти
17,Gesicht::N,मुँह,пит
18,Gesicht::N,मुँह,пит-куҫ
19,Gesicht::N,चेहरा,пит
20,Gesicht::N,चेहरा,пит-куҫ
21,Stirn::N,माथा,ҫамка
22,Stirn::N,मस्तक,ҫамка
23,Haar::N,बाल,ҫӳҫ
24,Schnurrbart::N,मूँछें,усси
25,Bart::N,दाढ़ी,сухал
26,Kinn::N,चिबुक,янах
27,Kiefer[Anatomie]::N,जबड़ा,янах
28,Kehle::N,गला,пыр
29,Kehle::N,गला,карланкӑ
30,Hals::N,गला,пыр
31,Hals::N,गरदन,пыр
32,Genick::N,गरदन,ӗнсе
33,Genick::N,ग्रीवा,ӗнсе
34,Kopf::N,सिर,пуҫ
35,Kopf::N,शीर्ष,пуҫ
36,Rücken::N,पीठ,ҫурӑм
37,Bauch::N,उदर,
38,Nabel::N,नाभि,кӑвапа
39,Nabel::N,ढोंढी,кӑвапа
40,Busen::N,कुच,кӑкӑр
41,Busen::N,स्तन,кӑкӑр
42,Brust::N,वक्ष,умӗ
43,Schulter::N,कंधा,хул пуҫҫи
44,Schulter::N,स्कंध,хул пуҫҫи
45,Arm::N,बाँह,алӑ
46,Arm::N,बाज़ू,алӑ
47,Ellenbogen::N,कुहनी,чавса
48,Hand::N,हाथ,алӑ сыппи
49,Hand::N,हस्त,алӑ сыппи
