,Concept_ID,no,cy
0,Auge::N,øye,llygad
1,Ohr::N,øre,clust
2,Nase::N,nese,trwyn
3,Mund::N,munn,ceg
4,Zahn::N,tann,dant
5,Zunge::N,tunge,tafod
6,Lippe::N,leppe,gwefus
7,Wange::N,kinn,boch
8,Gesicht::N,fjes,wyneb
9,Gesicht::N,ansikt,wyneb
10,Stirn::N,panne,talcen
11,Haar::N,hår,blew
12,Schnurrbart::N,bart,mwstas
13,Bart::N,skjegg,barf
14,Kinn::N,hake,gên
15,Kiefer[Anatomie]::N,kjeve,gên
16,Kehle::N,strupe,gwddf
17,Hals::N,hals,gwddf
18,Genick::N,nakke,gwar
19,Genick::N,nakke,gwegil
20,Kopf::N,hode,pen
21,Rücken::N,rygg,cefn
22,Bauch::N,buk,bol
23,Bauch::N,mage,bol
24,Nabel::N,navle,bogail
25,Busen::N,barm,bron
26,Brust::N,bryst,brest
27,Schulter::N,skulder,ysgwydd
28,Arm::N,arm,braich
29,Ellenbogen::N,albue,penelin
30,Hand::N,hånd,llaw
31,Handfläche::N,håndflate,palf
32,Finger::N,finger,bys
33,Fingernagel::N,fingernegl,ewin
34,Nagel[Anatomie]::N,negl,ewin
35,Zeh::N,tå,bys troed
36,Fuß::N,fot,troed
37,Ferse::N,hæl,sawdl
38,Knie::N,kne,glin
39,Oberschenkel::N,lår,clun
40,Bein::N,bein,coes
41,Körper::N,kropp,corff
42,Körper::N,legeme,corff
43,Haut::N,hud,croen
44,Haut::N,skinn,croen
45,Blut::N,blod,gwaed
46,Ader::N,åre,gwythïen
47,Sehne::N,sene,gewyn
48,Knochen::N,bein,asgwrn
49,Knochen::N,knokkel,asgwrn
50,Gehirn::N,hjerne,ymennydd
51,Herz::N,hjerte,calon
52,Magen::N,mage,cylla
53,Magen::N,mage,stumog
54,Leber::N,lever,iau
55,Atem::N,pust,anadl
56,Hunger::N,sult,newyn
57,Träne::N,tåre,deigryn
58,Geschmack::N,smak,cyflas
59,Geruch::N,lukt,aroglau
60,Schlaf::N,søvn,cwsg
61,Traum::N,drøm,breuddwyd
62,Himmel::N,himmel,awyr
63,Sonne::N,sol,haul
64,Mond::N,måne,lleuad
65,Stern::N,stjerne,seren
66,Luft::N,luft,awyr
67,Wind::N,vind,gwynt
68,Welle::N,bølge,ton
69,Wasser::N,vann,dŵr
70,Stein::N,stein,carreg
71,Boden::N,bakke,llawr
72,Erde::N,jord,pridd
73,Staub::N,støv,llwch
74,Rauch::N,røyk,mwg
75,Funke::N,gnist,gwreichioni
76,Feuer::N,ild,tân
77,Licht::N,lys,golau
78,Schatten::N,skygge,cysgod
79,Wetter::N,vær,tywydd
80,Nebel::N,tåke,niwl
81,Wolke::N,sky,cwmwl
82,Regen::N,regn,glaw
83,Schnee::N,snø,ôd
84,Schnee::N,snø,eira
85,Eis::N,is,iâ
86,Frost::N,frost,rhew
87,Kälte::N,kulde,oerni
88,Kälte::N,kulde,annwyd
89,Hitze::N,hete,gwres
90,Raureif::N,rimfrost,barrug
91,Regenbogen::N,regnbue,enfys
92,Donner::N,torden,tyrfau
93,Strömung::N,strømning,cerrynt
94,Tropfen::N,dråpe,dafn
95,Tropfen::N,dråpe,diferyn
96,Schaum::N,skum,ewyn
97,Schmutz::N,søl,baw
98,Schmutz::N,søl,budreddi
99,Schmutz::N,skitt,baw
100,Schmutz::N,skitt,budreddi
101,See::N,sjø,llyn
102,Sumpf::N,sump,cors
103,Sumpf::N,myrlende,cors
104,Moor::N,myr,rhos
105,Moor::N,myrhei,rhos
106,Wiese::N,eng,dôl
107,Wald::N,skog,coedwig
108,Hügel::N,haug,bryn
109,Hügel::N,bakke,bryn
110,Anhöhe::N,haug,bryn
111,Anhöhe::N,bakke,bryn
112,Berg::N,berg,mynydd
113,Berg::N,fjell,mynydd
114,Gipfel::N,topp,copa
115,Höhle::N,hule,ogof
116,Abhang::N,li,llethr
117,Abhang::N,skråning,llethr
118,Quelle::N,kilde,tarddiad
119,Quelle::N,kilde,ffynhonnell
120,Bach::N,bekk,nant
121,Bach::N,bekk,afonig
122,Bach::N,bekk,cornant
123,Fluss::N,elv,afon
124,Ufer::N,bredd,glan
125,Küste::N,kyst,traeth
126,Küste::N,kyst,arfordir
127,Festland::N,fastland,tir
128,Meer::N,hav,môr
129,Bucht::N,bukt,bae
130,Insel::N,øy,ynys
131,Blume::N,blomst,blodyn
132,Gras::N,gress,glaswellt
133,Wurzel::N,rot,gwreiddyn
134,Baum::N,tre,coeden
135,Stamm::N,stamme,colfen
136,Stamm::N,stamme,boncyff
137,Rinde::N,bark,rhisgl
138,Ast::N,gren,cangen
139,Zweig::N,kvist,cainc
140,Zweig::N,kvist,cangen
141,Blatt::N,blad,deilen
142,Birke::N,bjørk,bedwen
143,Kiefer[Baum]::N,furu,pinwydden
144,Weide[Baum]::N,selje,helygen
145,Weide[Baum]::N,piletre,helygen
146,Tanne::N,gran,ffynidwydden
147,Horn::N,horn,corn
148,Feder::N,fjær,plufyn
149,Fell::N,skinn,ffwr
150,Flügel::N,vinge,adain
151,Klaue::N,klauv,crafanc
152,Kralle::N,klo,ewin
153,Schwanz::N,hale,cwt
154,Schwanz::N,hale,cynffon
155,Ei::N,egg,wy
156,Nest::N,rede,nyth
157,Bau::N,hi,ffau
158,Tier::N,dyr,anifail
159,Herde::N,flokk,praidd
160,Herde::N,flokk,diadell
161,Kuh::N,ku,buwch
