,Concept_ID,lv,cs
0,Auge::N,син,oko
1,Auge::N,acs,oko
2,Ohr::N,пель,ucho
3,Ohr::N,auss,ucho
4,Nase::N,ныр,nos
5,Nase::N,deguns,nos
6,Mund::N,вом,pusa
7,Mund::N,mute,pusa
8,Zahn::N,пинь,zub
9,Zahn::N,zobs,zub
10,Zunge::N,кыв,jazyk
11,Zunge::N,mēle,jazyk
12,Lippe::N,вом дор,ret
13,Lippe::N,lūpa,ret
14,Wange::N,бан,tvář
15,Wange::N,vaigs,tvář
16,Gesicht::N,чужӧм,obličej
17,Gesicht::N,seja,obličej
18,Gesicht::N,ģīmis,obličej
19,Stirn::N,плеш,čelo
20,Stirn::N,кымӧс,čelo
21,Stirn::N,piere,čelo
22,Haar::N,си,vlas
23,Haar::N,си,vlasy
24,Haar::N,юрси,vlas
25,Haar::N,юрси,vlasy
26,Haar::N,mats,vlas
27,Haar::N,mats,vlasy
28,Schnurrbart::N,ус,kníry
29,Schnurrbart::N,пыртсим,kníry
30,Schnurrbart::N,ūsas,kníry
31,Bart::N,тош,vousy
32,Bart::N,bārda,vousy
33,Kinn::N,тшӧка,brada
34,Kinn::N,zods,brada
35,Kinn::N,smakrs,brada
36,Kiefer[Anatomie]::N,черлы,čelist
37,Kiefer[Anatomie]::N,алака лы,čelist
38,Kiefer[Anatomie]::N,вомкӧтш лы,čelist
39,Kiefer[Anatomie]::N,žoklis,čelist
40,Kehle::N,голя,hrdlo
41,Kehle::N,rīkle,hrdlo
42,Hals::N,сьылі,krk
43,Hals::N,kakls,krk
44,Genick::N,юрбӧр,týl
45,Genick::N,балябӧж,týl
46,Genick::N,sprands,týl
47,Kopf::N,юр,hlava
48,Kopf::N,galva,hlava
49,Rücken::N,мыш,záda
50,Rücken::N,мыш,hřbet
51,Rücken::N,mugura,záda
52,Rücken::N,mugura,hřbet
53,Bauch::N,рушку,břicho
54,Bauch::N,vēders,břicho
55,Nabel::N,гӧг,pupek
56,Nabel::N,naba,pupek
57,Busen::N,морӧс,ňadra
58,Busen::N,krūts,ňadra
59,Brust::N,морӧс,prsa
60,Brust::N,krūts,prsa
61,Schulter::N,пельпом,plece
62,Schulter::N,пельпом,rameno
63,Schulter::N,plecs,plece
64,Schulter::N,plecs,rameno
65,Arm::N,ки,ruka
66,Arm::N,roka,ruka
67,Arm::N,delms,ruka
68,Ellenbogen::N,гырддза,loket
69,Ellenbogen::N,elkonis,loket
70,Hand::N,ки,ruka
71,Hand::N,roka,ruka
72,Hand::N,plauksta,ruka
73,Handfläche::N,ки пыдӧс,dlaň
74,Handfläche::N,delna,dlaň
75,Handfläche::N,plauksta,dlaň
76,Finger::N,чунь,prst
77,Finger::N,pirksts,prst
78,Fingernagel::N,гыж,nehet
79,Fingernagel::N,nags,nehet
80,Nagel[Anatomie]::N,гыж,nehet
81,Nagel[Anatomie]::N,nags,nehet
82,Zeh::N,кок чунь,prst u nohy
83,Zeh::N,pirksts,prst u nohy
84,Fuß::N,кок,noha
85,Fuß::N,kāja,noha
86,Ferse::N,кокбӧр,pata
87,Ferse::N,papēdis,pata
88,Knie::N,пидзӧс,koleno
89,Knie::N,celis,koleno
90,Oberschenkel::N,лядьвей,stehno
91,Oberschenkel::N,бек,stehno
92,Oberschenkel::N,ciska,stehno
93,Oberschenkel::N,augšstilbs,stehno
94,Bein::N,кок,noha
95,Bein::N,kāja,noha
96,Körper::N,туша,tělo
97,Körper::N,вывтыр,tělo
98,Körper::N,miesa,tělo
99,Körper::N,ķermenis,tělo
100,Haut::N,ку,kůže
101,Haut::N,āda,kůže
102,Blut::N,вир,krev
103,Blut::N,asins,krev
104,Ader::N,сӧн,céva
105,Ader::N,asinsvads,céva
106,Sehne::N,вез,šlacha
107,Sehne::N,dzīsla,šlacha
108,Knochen::N,лы,kost
109,Knochen::N,kauls,kost
110,Gehirn::N,вем,mozek
111,Gehirn::N,smadzenes,mozek
112,Herz::N,сьӧлӧм,srdce
113,Herz::N,sirds,srdce
114,Magen::N,кынӧм,žaludek
115,Magen::N,kuņģis,žaludek
116,Leber::N,мус,játra
117,Leber::N,aknas,játra
118,Atem::N,лов,dech
119,Atem::N,elpa,dech
120,Hunger::N,тшыг,hlad
121,Hunger::N,bads,hlad
122,Hunger::N,izsalkums,hlad
123,Träne::N,синва,slza
124,Träne::N,asara,slza
125,Geschmack::N,кӧр,vkus
126,Geschmack::N,чӧсмӧс,vkus
127,Geschmack::N,garša,vkus
128,Geruch::N,зын,vůně
129,Geruch::N,зын,zápach
130,Geruch::N,дук,vůně
131,Geruch::N,дук,zápach
132,Geruch::N,smaka,vůně
133,Geruch::N,smaka,zápach
134,Schlaf::N,узьӧм,spánek
135,Schlaf::N,miegs,spánek
136,Traum::N,вӧт,sen
137,Traum::N,вӧтасьӧм,sen
138,Traum::N,sapnis,sen
139,Himmel::N,енэж,nebe
140,Himmel::N,debess,nebe
141,Sonne::N,шонді,slunce
142,Sonne::N,saule,slunce
143,Mond::N,тӧлысь,měsíc
144,Mond::N,mēness,měsíc
145,Stern::N,кодзув,hvězda
146,Stern::N,zvaigzne,hvězda
147,Luft::N,сынӧд,vzduch
148,Luft::N,gaiss,vzduch
149,Wind::N,тӧв,vítr
150,Wind::N,vējš,vítr
151,Welle::N,гы,vlna
152,Welle::N,vilnis,vlna
153,Wasser::N,ва,voda
154,Wasser::N,ūdens,voda
155,Stein::N,из,kámen
156,Stein::N,akmens,kámen
157,Boden::N,му,půda
158,Boden::N,augsne,půda
159,Erde::N,му,země
160,Erde::N,му-ва,země
161,Erde::N,zeme,země
162,Staub::N,бус,prach
163,Staub::N,putekļi,prach
164,Rauch::N,тшын,dým
165,Rauch::N,тшын,kouř
166,Rauch::N,dūmi,dým
167,Rauch::N,dūmi,kouř
168,Funke::N,кинь,jiskra
169,Funke::N,би кинь,jiskra
170,Funke::N,dzirkstele,jiskra
171,Feuer::N,би,oheň
172,Feuer::N,uguns,oheň
173,Licht::N,югӧр,světlo
174,Licht::N,gaisma,světlo
175,Schatten::N,вуджӧр,stín
176,Schatten::N,ēna,stín
177,Wetter::N,поводдя,počasí
178,Wetter::N,laiks,počasí
179,Nebel::N,ру,mlha
180,Nebel::N,онь,mlha
181,Nebel::N,migla,mlha
182,Wolke::N,кымӧр,mrak
183,Wolke::N,кымӧр,oblak
184,Wolke::N,mākonis,mrak
185,Wolke::N,mākonis,oblak
186,Regen::N,зэр,déšť
187,Regen::N,lietus,déšť
188,Schnee::N,лым,sníh
189,Schnee::N,sniegs,sníh
190,Eis::N,йи,led
191,Eis::N,ledus,led
192,Frost::N,кӧдзыд,mráz
193,Frost::N,sals,mráz
194,Kälte::N,кӧдзыд,chlad
195,Kälte::N,saltums,chlad
196,Kälte::N,aukstums,chlad
197,Hitze::N,пӧсь,horko
198,Hitze::N,гожӧд,horko
199,Hitze::N,karstums,horko
200,Raureif::N,пуж,jinovatka
201,Raureif::N,гыӧр,jinovatka
202,Raureif::N,sarma,jinovatka
203,Regenbogen::N,ӧшкамӧшка,duha
204,Regenbogen::N,varavīksne,duha
205,Donner::N,гым,hrom
206,Donner::N,pērkons,hrom
207,Strömung::N,ва ныр,proudění
208,Strömung::N,визувтӧм,proudění
209,Strömung::N,straume,proudění
210,Strömung::N,strāvojums,proudění
211,Tropfen::N,войт,kapka
212,Tropfen::N,lāse,kapka
213,Schaum::N,быг,pěna
214,Schaum::N,быгзьӧм,pěna
215,Schaum::N,putas,pěna
216,Schmutz::N,няйт,špína
217,Schmutz::N,dubļi,špína
218,See::N,ты,jezero
219,See::N,ezers,jezero
220,Sumpf::N,гыбад,močál
221,Sumpf::N,гыбад,bažina
222,Sumpf::N,кад,močál
223,Sumpf::N,кад,bažina
224,Sumpf::N,dumbrājs,močál
225,Sumpf::N,dumbrājs,bažina
226,Sumpf::N,staignājs,močál
227,Sumpf::N,staignājs,bažina
