,Concept_ID,ps,udm
0,Auge::N,سترګه,син
1,Ohr::N,غوږ,пель
2,Nase::N,پوزه,ныр
3,Mund::N,خوله,ым
4,Zahn::N,غاښ,пинь
5,Zunge::N,جبه,кыл
6,Lippe::N,شونډه,ымдур
7,Wange::N,باړخو,бам
8,Gesicht::N,مخ,ымныр
9,Stirn::N,تندی,кымес
10,Stirn::N,وچولی,кымес
11,Haar::N,وېښته,йырси
12,Schnurrbart::N,برېت,мыйык
13,Bart::N,ږیره,туш
14,Kinn::N,زنه,ангес
15,Kiefer[Anatomie]::N,جامه,ан
16,Kiefer[Anatomie]::N,جامه,анлы
17,Kehle::N,غاړه,гульым
18,Hals::N,غاړه,чырты
19,Genick::N,ورمېږ,йырбер
20,Kopf::N,سر,йыр
21,Rücken::N,شا,мыш
22,Bauch::N,نس,кӧт
23,Bauch::N,ګېډه,кӧт
24,Nabel::N,نوم,гогы
25,Busen::N,تی,ноны
26,Brust::N,سینه,мӧля
27,Schulter::N,اوږه,пельпум
28,Arm::N,لاس,суй
29,Ellenbogen::N,څنګل,гырпум
30,Hand::N,لاس,ки
31,Handfläche::N,ورغوی,ки пыдэс
32,Handfläche::N,ورغوی,кырым пыдэс
33,Finger::N,ګوته,чиньы
34,Fingernagel::N,نوک,гижы
35,Fingernagel::N,نوک,гиждӥнь
36,Nagel[Anatomie]::N,نوک,гижы
37,Zeh::N,ګوته,пыдчиньы
38,Fuß::N,پښه,пыд
39,Ferse::N,پونده,пыдбер
40,Knie::N,زنګون,пыдес
41,Oberschenkel::N,پتون,макес
42,Bein::N,پښه,пыд
43,Körper::N,ځان,мугор
44,Körper::N,ځان,вылтыр
45,Haut::N,پوټکی,ку
46,Blut::N,وینه,вир
47,Ader::N,رګ,вирсэр
48,Sehne::N,پله,вуж
49,Knochen::N,هډوکی,лы
50,Gehirn::N,ماغزه,вим
51,Herz::N,زړه,сюлэм
52,Magen::N,معده,ӝуш
53,Leber::N,ينه,мус
54,Leber::N,ځیګر,мус
55,Atem::N,نفس,лул
56,Atem::N,نفس,шокан
57,Hunger::N,ولږه,кӧтсюман
58,Träne::N,اوښکه,синкыли
59,Geschmack::N,مزه,шӧм
60,Geschmack::N,خوند,шӧм
61,Geruch::N,بوی,зын
62,Schlaf::N,خوب,вӧт
63,Traum::N,خوب,уйвӧт
64,Himmel::N,اسمان,ин
65,Sonne::N,لمر,шунды
66,Mond::N,سپوږمۍ,толэзь
67,Stern::N,ستوری,кизили
68,Luft::N,هوا,омыр
69,Wind::N,ورښ,тӧл
70,Welle::N,موج,тулкым
71,Wasser::N,اوبه,ву
72,Stein::N,ډبره,из
73,Boden::N,مځکه,музъем
74,Erde::N,خاوره,му
75,Staub::N,ګرد,пыль
76,Staub::N,خاوره,пыль
77,Rauch::N,دود,ӵын
78,Rauch::N,لوګی,ӵын
79,Funke::N,سپرغۍ,гизьы
80,Feuer::N,اور,тыл
81,Licht::N,رڼا,тыл
82,Schatten::N,سیوری,вужер
83,Wetter::N,هوا,куазь
84,Nebel::N,لړه,бус
85,Wolke::N,ورېځ,пилем
86,Regen::N,وریا,зор
87,Regen::N,باران,зор
88,Schnee::N,واوره,лымы
89,Eis::N,یخ,йӧ
90,Eis::N,کنګل,йӧ
91,Frost::N,یخ,кезьыт
92,Kälte::N,ساړه,кезьыт
93,Hitze::N,تودوخي,пӧсь
94,Raureif::N,سپینه پرخه,гӧр
95,Regenbogen::N,بوډۍ ټال,вуюись
96,Regenbogen::N,سره زرغونه,вуюись
97,Donner::N,تالنده,гудыри
98,Strömung::N,بهېدنه,бызён
99,Tropfen::N,قطره,шапык
100,Tropfen::N,څاڅکی,шапык
101,Schaum::N,ځګ,шукы
102,Schmutz::N,ناپاکي,нӧд
103,Schmutz::N,ناپاکي,дэри
104,See::N,جهیل,ты
105,Sumpf::N,جبه,нюр
106,Moor::N,جبه,нюр
107,Wiese::N,چمن,возь
108,Wiese::N,چمن,возьвыл
109,Wiese::N,شنېلی,возь
