,Concept_ID,hr,hy
0,Auge::N,oko,աչք
1,Ohr::N,uho,ականջ
2,Nase::N,nos,քիթ
3,Mund::N,usta,բերան
4,Zahn::N,zub,ատամ
5,Zunge::N,jezik,լեզու
6,Lippe::N,usna,շրթունք
7,Wange::N,obraz,այտ
8,Wange::N,obraz,թուշ
9,Gesicht::N,lice,դեմք
10,Stirn::N,čelo,ճակատ
11,Haar::N,kosa,մազ
12,Schnurrbart::N,brkovi,բեղ
13,Bart::N,brada,մորուք
14,Kinn::N,brada,կզակ
15,Kinn::N,podbradak,կզակ
16,Kiefer[Anatomie]::N,čeljust,ծնոտ
17,Kehle::N,grlo,կոկորդ
18,Hals::N,vrat,վիզ
19,Hals::N,vrat,պարանոց
20,Genick::N,zatiljak,ծոծրակ
21,Kopf::N,glava,գլուխ
22,Rücken::N,leđa,մեջք
23,Rücken::N,hrbat,մեջք
24,Bauch::N,trbuh,փոր
25,Bauch::N,trbuh,որովայն
26,Nabel::N,pupak,պորտ
27,Busen::N,sisa,ծոց
28,Busen::N,njedra,ծոց
29,Brust::N,prsa,կուրծք
30,Schulter::N,rame,ուս
31,Schulter::N,pleći,ուս
32,Arm::N,ruka,թեւ
33,Arm::N,ruka,բազուկ
34,Ellenbogen::N,lakat,արմունկ
35,Hand::N,ruka,ձեռք
36,Handfläche::N,dlan,ափ
37,Finger::N,prst,մատ
38,Fingernagel::N,nokat,եղունգ
39,Nagel[Anatomie]::N,nokat,եղունգ
40,Zeh::N,nozni prst,ոտքի մատ
41,Fuß::N,noga,ոտք
42,Fuß::N,stopalo,ոտք
43,Ferse::N,peta,գարշապար
44,Knie::N,koljeno,ծունկ
45,Oberschenkel::N,bedro,ազդր
46,Bein::N,noga,ոտք
47,Körper::N,tijelo,մարմին
48,Haut::N,put,մաշկ
49,Haut::N,koža,մաշկ
50,Blut::N,krv,արյուն
51,Ader::N,žila,երակ
52,Sehne::N,tetiva,ջիղ
53,Sehne::N,tetiva,ձգտան
54,Knochen::N,kost,ոսկոր
55,Herz::N,srce,սիրտ
56,Magen::N,stomak,ստամոքս
57,Magen::N,želudac,ստամոքս
58,Leber::N,jetra,լյարդ
59,Atem::N,dah,շունչ
60,Hunger::N,glad,քաղց
61,Träne::N,suza,արտասուք
62,Geschmack::N,ukus,համ
63,Geschmack::N,ukus,բուրմունք
64,Geruch::N,njuh,հոտ
65,Geruch::N,njuh,բուրում
66,Geruch::N,miris,հոտ
67,Geruch::N,miris,բուրում
68,Schlaf::N,san,քուն
69,Traum::N,san,երազ
70,Himmel::N,nebo,երկինք
71,Sonne::N,sunce,արեւ
72,Mond::N,mjesec,լուսին
73,Stern::N,zvijezda,աստղ
74,Luft::N,zrak,օդ
75,Wind::N,vjetar,քամի
76,Welle::N,val,ալիք
77,Welle::N,talas,ալիք
78,Wasser::N,voda,ջուր
79,Stein::N,kamen,քար
80,Boden::N,tlo,գետին
81,Boden::N,zemlja,գետին
82,Erde::N,zemlja,հող
83,Staub::N,prah,փոշի
84,Staub::N,prašina,փոշի
85,Rauch::N,dim,ծուխ
86,Funke::N,iskra,կայծ
87,Funke::N,varnica,կայծ
88,Feuer::N,vatra,կրակ
89,Feuer::N,vatra,հրդեհ
90,Licht::N,svjetlo,լույս
91,Schatten::N,hlad,ստվեր
92,Schatten::N,sjena,ստվեր
93,Wetter::N,vrijeme,եղանակ
94,Nebel::N,magla,մեգ
95,Nebel::N,magla,մառախուղ
96,Wolke::N,oblak,ամպ
97,Regen::N,kiša,անձրև
98,Schnee::N,snijeg,ձյուն
99,Eis::N,led,սառույց
100,Frost::N,mraz,սառնամանիք
101,Kälte::N,studen,դող
102,Kälte::N,hladnoća,դող
103,Hitze::N,vrućina,շոգ
104,Raureif::N,inje,ցօղեղեամ
105,Regenbogen::N,duga,ծիածան
106,Donner::N,grom,որոտ
107,Donner::N,grmljavina,որոտ
108,Strömung::N,struja,հոսանք
109,Strömung::N,strujanje,հոսանք
110,Tropfen::N,kap,կաթիլ
111,Tropfen::N,kaplja,կաթիլ
112,Schaum::N,pjena,փրփուր
113,Schmutz::N,nečistoća,կեղտ
114,Schmutz::N,prljavština,կեղտ
115,See::N,jezero,լիճ
116,Sumpf::N,bara,ճահիճ
117,Moor::N,močvara,ճահիճ
118,Wiese::N,livada,մարգագետին
119,Wald::N,šuma,անտառ
120,Hügel::N,brijeg,բլուր
121,Hügel::N,brežuljak,բլուր
122,Anhöhe::N,uzvišica,բարձունք
123,Berg::N,brdo,լեռ
124,Gipfel::N,vrh,գագաթ
125,Gipfel::N,vrh,կատար
126,Höhle::N,pećina,քարայր
127,Höhle::N,spilja,քարայր
128,Abhang::N,obronak,լանջ
129,Abhang::N,obronak,զառիվայր
130,Abhang::N,nizbrdica,լանջ
131,Abhang::N,nizbrdica,զառիվայր
132,Quelle::N,izvor,աղբյուր
133,Quelle::N,vrelo,աղբյուր
134,Bach::N,potok,վտակ
135,Fluss::N,rijeka,գետ
136,Ufer::N,obala,ծովափ
137,Küste::N,obala,ափ
138,Küste::N,obala,ծովափ
139,Küste::N,morska obala,ափ
140,Küste::N,morska obala,ծովափ
141,Festland::N,kopno,ցամաք
142,Meer::N,more,ծով
143,Bucht::N,zaliv,հաչիւն
144,Insel::N,ada,վղզի
145,Insel::N,otok,վղզի
146,Blume::N,cvijet,ծաղիկ
147,Gras::N,trava,խոտ
148,Wurzel::N,korijen,արմատ
149,Baum::N,drvo,ծառ
150,Baum::N,stablo,ծառ
151,Stamm::N,deblo,իրան
152,Stamm::N,stablo,իրան
153,Rinde::N,kora,կեղեւ
154,Rinde::N,kora,հաչոց
155,Ast::N,grana,ճյուղ
156,Zweig::N,grana,ճյուղ
157,Blatt::N,list,տերեւ
158,Birke::N,breza,ցարասի
159,Kiefer[Baum]::N,bor,սոճի
160,Weide[Baum]::N,iva,ուռենի
161,Weide[Baum]::N,vŕba,ուռենի
162,Tanne::N,jela,եղեւին
163,Horn::N,rog,
164,Feder::N,pero,փետուր
165,Fell::N,koža,մորթի
166,Flügel::N,krilo,թեւ
167,Klaue::N,papak,չանչ
168,Kralle::N,pandža,ճանկ
169,Schwanz::N,rep,պոչ
170,Ei::N,jaje,ձու
171,Nest::N,gnijezdo,բույն
172,Bau::N,jazbina,որջ
173,Bau::N,jazbina,բայոց
174,Tier::N,životinja,կենդանի
175,Herde::N,krdo,հոտ
176,Herde::N,stado,հոտ
177,Kuh::N,krava,կով
178,Bulle::N,bik,ցուլ
179,Pferd::N,konj,ձի
180,Schaf::N,ovca,ոչխար
181,Schwein::N,svinja,խոզ
182,Hund::N,pas,շուն
183,Hund::N,pseto,շուն
184,Katze::N,mačka,կատու
185,Bär::N,medvjed,արջ
186,Eichhörnchen::N,vjeverica,սկյուռ
187,Elch::N,los,հիւսիսային եղջերու
188,Fuchs::N,lisica,աղվես
189,Hase::N,zec,նապաստակ
190,Maus::N,miš,մուկ
191,Wolf::N,vuk,գայլ
192,Wolf::N,kurjak,գայլ
193,Vogel::N,ptica,թռչուն
194,Schwarm::N,roj,երամ
195,Schwarm::N,jato,երամ
196,Huhn::N,kokoš,հավ
197,Hahn::N,kokot,աքաղաղ
198,Hahn::N,pijevac,աքաղաղ
199,Gans::N,guska,սագ
200,Adler::N,orao,արծիվ
201,Ente::N,patka,բադ
202,Eule::N,sova,բու
203,Kranich::N,ždral,կռունկ
204,Krähe::N,vrana,ագռավ
205,Kuckuck::N,kukavica,կուկու
206,Schwan::N,labud,կարապ
207,Fisch::N,riba,ձուկ
208,Barsch::N,grgeč,պերկես
209,Hecht::N,štuka,գայլաձուկ
210,Schlange[Tier]::N,guja,օձ
211,Schlange[Tier]::N,zmija,օձ
212,Wurm::N,crv,որդ
213,Wurm::N,crv,ճիճու
214,Spinne::N,pauk,սարդ
215,Ameise::N,mrav,միջյուն
216,Laus::N,uš,ոջիլ
217,Mücke::N,komarac,մժղուկ
218,Fliege::N,muha,ճանճ
219,Schmetterling::N,leptir,թիթեռ
220,Beere::N,boba,հատապտուղ
221,Beere::N,bobica,հատապտուղ
222,Apfel::N,jabuka,խնձոր
223,Pilz::N,pečurka,սունկ
224,Zwiebel::N,luk,սոխ
225,Zwiebel::N,kapula,սոխ
226,Saat::N,sjemenje,սերմ
227,Korn::N,zrno,հատիկ
228,Heu::N,sijeno,խոտ
229,Schale::N,kora,կեղեւ
230,Schale::N,ljuska,կեղեւ
231,Grube::N,jama,փոս
232,Falle::N,zamka,ծուղակ
233,Falle::N,klopka,ծուղակ
234,Schlinge::N,uzao,խեղդան
235,Schlinge::N,petlja,խեղդան
236,Spur::N,trag,հետք
237,Spur::N,slijed,հետք
238,Asche::N,pepeo,մոխիր
239,Dreck::N,blato,աղտ
240,Eisen::N,željezo,երկաթ
241,Gold::N,zlato,ոսկի
242,Silber::N,srebro,արծաթ
243,Kohle::N,ugalj,քարածուխ
244,Kohle::N,ugljen,քարածուխ
245,Glas::N,staklo,ապակի
246,Lehm::N,glina,կավ
247,Lehm::N,ilovača,կավ
248,Sand::N,pijesak,ավազ
249,Mensch::N,čovjek,մարդ
250,Mann::N,muškarac,մարդ
251,Mann::N,muškarac,տղամարդ
252,Frau::N,žena,կին
253,Kind::N,čedo,զավակ
254,Kind::N,dijete,զավակ
255,Junge::N,momče,տղա
256,Junge::N,dječak,տղա
257,Mädchen::N,djevojka,աղջիկ
258,Mädchen::N,djevojčica,աղջիկ
259,Familie::N,obitelj,ընտանիք
260,Familie::N,porodica,ընտանիք
261,Großvater::N,djed,պապ
262,Großmutter::N,baka,տատ
263,Eltern::N,roditelji,ծնողներ
264,Vater::N,otac,հայր
265,Mutter::N,majka,մայր
266,Sohn::N,sin,որդի
267,Tochter::N,kći,աղջիկ
268,Tochter::N,kći,դուստր
269,Tochter::N,kćerka,աղջիկ
270,Tochter::N,kćerka,դուստր
271,Bruder::N,brat,եղբայր
272,Schwester::N,sestra,քույր
273,Onkel::N,čika,քեռի
274,Onkel::N,čika,հորեղբայր
275,Onkel::N,ujak,քեռի
276,Onkel::N,ujak,հորեղբայր
277,Tante::N,ujna,մորաքույր
278,Tante::N,tetka,մորաքույր
279,Ehemann::N,muž,մարդ
280,Ehemann::N,muž,ամուսին
281,Ehemann::N,suprug,մարդ
282,Ehemann::N,suprug,ամուսին
283,Ehefrau::N,žena,կին ամուսին
284,Ehefrau::N,supruga,կին ամուսին
285,Freude::N,radost,ուրախություն
286,Gelächter::N,grohot,ծիծաղ
287,Glück::N,sreća,երջանկություն
288,Kummer::N,jad,վիշտ
289,Kummer::N,briga,վիշտ
290,Wunsch::N,želja,ցանկություն
291,Lust::N,volja,փափագ
292,Lust::N,volja,իղձ
293,Geist::N,duh,ոգի
294,Gedanke::N,misao,միտք
295,Gedächtnis::N,pamćenje,հիշողություն
296,Verstand::N,um,խելք
297,Verstand::N,razum,խելք
298,Sinn::N,smisao,իմաստ
299,Sinn::N,značenje,իմաստ
300,Grund::N,razlog,պատճառ
301,Wahrheit::N,istina,ճշմարտություն
302,Gespräch::N,razgovor,զրույց
303,Märchen::N,bajka,պայիկի պատմություն
304,Erzählung::N,priča,պատմվածք
305,Erzählung::N,priča,պատմություն
306,Erzählung::N,pripovijest,պատմվածք
307,Erzählung::N,pripovijest,պատմություն
308,Nachricht::N,vijest,հաղորդագրություն
309,Neuigkeit::N,novost,լուր
310,Neuigkeit::N,novost,նորություն
311,Name::N,ime,անուն
312,Rätsel::N,zagonetka,բարդ խնդիր
313,Rede::N,govor,ճառ
314,Rede::N,govor,ելույթ
315,Rede::N,besjeda,ճառ
316,Rede::N,besjeda,ելույթ
317,Sprache::N,jezik,լեզու
318,Stimme::N,glas,ձայն
319,Wort::N,riječ,բառ
320,Zeichen::N,znak,նշան
321,Ruf::N,povik,կոչ
322,Ruf::N,povik,կանչ
323,Ruf::N,poklik,կոչ
324,Ruf::N,poklik,կանչ
325,Lärm::N,buka,աղմուկ
326,Lärm::N,galama,աղմուկ
327,Laut::N,zvuk,հնչյուն
328,Laut::N,zvuk,ձայն
329,Ton::N,ton,տոն
330,Lied::N,pjesma,երգ
331,Ruhe::N,tišina,անդորրություն
332,Ruhe::N,počinak,անդորրություն
333,Leute::N,ljudi,մարդիկ
334,Volk::N,puk,ազգ
335,Volk::N,narod,ազգ
336,Arbeit::N,rad,գործ
337,Arbeit::N,rad,աշխատանք
338,Arbeit::N,posao,գործ
339,Arbeit::N,posao,աշխատանք
340,Gast::N,gost,հյուր
341,Geschenk::N,dar,նվեր
342,Geschenk::N,poklon,նվեր
343,Spiel::N,igra,խաղ
344,Gesellschaft::N,društvo,ընկերություն
345,Gesellschaft::N,kompanija,ընկերություն
346,Hilfe::N,pomoć,օգնությթուն
347,Freund::N,prijatelj,ընկեր
348,Freund::N,prijatelj,բարեկամ
349,Kamerad::N,drug,ուղեկից
350,Kamerad::N,drugar,ուղեկից
351,Angelegenheit::N,posao,բան
352,Angelegenheit::N,posao,գործ
353,Anzahl::N,broj,քանակ
354,Anzahl::N,broj,գումար
355,Anzahl::N,brojnost,քանակ
356,Anzahl::N,brojnost,գումար
357,Art::N,vid,տեսակ
358,Art::N,vrst,տեսակ
359,Stück::N,komad,կտոր
360,Teil::N,dio,մաս
361,Hälfte::N,polovina,կես
362,Kreis::N,krug,շիջանակ
363,Kreuz::N,križ,խաչ
364,Linie::N,crta,գիծ
365,Strich::N,crta,գիծ
366,Abstand::N,razmak,անջրպետ
367,Abstand::N,odstojanje,անջրպետ
368,Entfernung::N,udaljenost,հեռավորություն
369,Gegend::N,kraj,շրջան
370,Gegend::N,predeo,շրջան
371,Platz::N,mjesto,տարածություն
372,Ort::N,mjesto,տեղ
373,Ort::N,mjesto,վայր
374,Seite::N,bok,կողմ
375,Seite::N,strana,կողմ
376,Mitte::N,sredina,մեջտեղ
377,Gegenstand::N,predmet,առարկա
378,Sache::N,posao,բան
379,Rand::N,rub,վերջք
380,Rand::N,kraj,վերջք
381,Kante::N,brid,եզր
382,Kante::N,ivica,եզր
383,Ecke::N,ugao,անկյուն
384,Spitze::N,vrh,ծայր
385,Spitze::N,šiljak,ծայր
386,Ende::N,konac,ծայր
387,Loch::N,rupa,անցք
388,Winkel::N,kut,անկյուն
389,Winkel::N,ugao,անկյուն
390,Muster::N,uzor,օրինակ
391,Größe::N,veličina,մեծություն
392,Länge::N,duljina,երկարություն
393,Höhe::N,visina,բարձրություն
394,Gewicht::N,težina,կշիռ
395,Menge::N,mnoštvo,քանակ
396,Menge::N,količina,քանակ
397,Haufen::N,hrpa,դեզ
398,Haufen::N,hrpa,կույտ
399,Haufen::N,gomila,դեզ
400,Haufen::N,gomila,կույտ
401,Reihe::N,red,շարք
402,Reihe::N,red,կարգ
403,Boot::N,čun,նավակ
404,Boot::N,čamac,նավակ
405,Ruder::N,veslo,թի
406,Ruder::N,veslo,թիակ
407,Schlitten::N,saone,բալխիր
408,Ski::N,ski,դահուկ
409,Ski::N,smučka,դահուկ
410,Lagerfeuer::N,logorska vatra,բացօդեայ կրակ
411,Last::N,tovar,բեռ
412,Gang::N,hod,զբոսանք
413,Schritt::N,korak,քայլ
414,Norden::N,sjever,հյուսիս
415,Süden::N,jug,հարավ
416,Westen::N,zapad,արեւմուտք
417,Osten::N,istok,արեւելք
418,Holz::N,drvo,փայտ
419,Brett::N,daska,տախտակ
420,Platte::N,ploča,թիթեղ
421,Stütze::N,potpora,նեցուկ
422,Stange::N,motka,ձող
423,Stock::N,štap,փայտ
424,Stock::N,palica,փայտ
425,Stab::N,štap,ցուպ
426,Stab::N,štap,գավազան
427,Stab::N,šipka,ցուպ
428,Stab::N,šipka,գավազան
429,Rohr::N,cijev,խողովակ
430,Haus::N,kuća,տուն
431,Heim::N,dom,տուն
432,Ofen::N,peć,վառարան
433,Fußboden::N,pod,հատակ
434,Tisch::N,stol,սեղան
435,Tisch::N,trpeza,սեղան
436,Stuhl::N,stolac,աթոռ
437,Stuhl::N,stolica,աթոռ
438,Wiege::N,kolijevka,օրորոց
439,Bett::N,krevet,անկողին
440,Bett::N,postelja,անկողին
441,Regal::N,polica,դարակ
442,Kiste::N,sanduk,տուփ
443,Fenster::N,prozor,պատուհան
444,Tür::N,vrata,դուռ
445,Tor::N,vrata,դարպաս
446,Tor::N,kapija,դարպաս
447,Zaun::N,plot,ցանկապատ
448,Zaun::N,ograda,ցանկապատ
449,Dach::N,krov,տանիք
450,Dach::N,krov,կտուր
451,Leiter::N,ljestve,սանդուղք
452,Leiter::N,ljestvice,սանդուղք
453,Besen::N,metla,ավել
454,Spaten::N,ašov,բահ
455,Schaufel::N,lopata,թի
456,Gabel::N,viljuška,պատառաքաղ
457,Löffel::N,žlica,գդալ
458,Messer::N,nož,դանակ
459,Nagel::N,čavao,մեխ
460,Netz::N,mreža,ցանց
461,Haken::N,kuka,կարթ
462,Griff::N,držak,կոթ
463,Griff::N,držak,բռնակ
464,Griff::N,ručica,կոթ
465,Griff::N,ručica,բռնակ
466,Schloss::N,brava,կողպեք
467,Bild::N,slika,նկար
468,Bild::N,slika,պատկեր
469,Figur::N,figura,քանդակ
470,Figur::N,figura,պատկեր
471,Puppe::N,lutka,տիկնիկ
472,Beutel::N,kesa,տոպրակ
473,Bündel::N,snop,կապոց
474,Bündel::N,svežanj,կապոց
475,Tasche::N,torba,պայուսակ
476,Tasche::N,taška,պայուսակ
477,Eimer::N,kabao,դույլ
478,Deckel::N,poklopac,կափարիչ
479,Geschirr::N,suđe,ամանեղեն
480,Geschirr::N,posuđe,ամանեղեն
481,Sack::N,džak,պարկ
482,Sack::N,džak,տոպրակ
483,Sack::N,vreća,պարկ
484,Sack::N,vreća,տոպրակ
485,Tasse::N,šalica,թաս
486,Tasse::N,šalica,գավաթ
487,Topf::N,lonac,անոթ
488,Kessel::N,kazan,կաթսա
