,Concept_ID,te,bg
0,Auge::N,కన్ను,око
1,Ohr::N,చెవి,ухо
2,Nase::N,ముక్కు,нос
3,Mund::N,నోరు,уста
4,Zahn::N,పల్లు,зъб
5,Zunge::N,నాలుక,език
6,Lippe::N,పెదవి,устна
7,Wange::N,చెంప,буза
8,Gesicht::N,ముఖము,лице
9,Gesicht::N,ముఖము,образ
10,Stirn::N,నుదురు,чело
11,Haar::N,వెండ్రుక,коса
12,Haar::N,వెండ్రుక,косъм
13,Schnurrbart::N,మీసము,мустаци
14,Bart::N,గడ్డము,брада
15,Kinn::N,గడ్డము,брада
16,Kinn::N,గడ్డము,брадичка
17,Kiefer[Anatomie]::N,దౌడ,челюст
18,Kehle::N,గొంతు,гърло
19,Hals::N,మెడ,врат
20,Genick::N,మూపు,тил
21,Kopf::N,తల,глава
22,Rücken::N,వెన్ను,гръб
23,Bauch::N,కడుపు,корем
24,Nabel::N,బొడ్డు,пъп
25,Busen::N,స్తనము,бозка
26,Brust::N,ఱొమ్ము,гръд
27,Schulter::N,భుజము,рамо
28,Schulter::N,భుజము,плещи
29,Arm::N,చేయి,ръка
30,Ellenbogen::N,మోచేయి,лакът
31,Hand::N,చేయి,ръка
32,Hand::N,చేయి,китка
33,Handfläche::N,అరచేయు,длан
34,Finger::N,చేతిప్రేలు,пръст
35,Fingernagel::N,గోరు,нокът
36,Nagel[Anatomie]::N,గోరు,нокът
37,Zeh::N,కాలిప్రేలు,пръст на крак
38,Fuß::N,అడుగు,крак
39,Fuß::N,అడుగు,нога
40,Ferse::N,మడమ,пета
41,Knie::N,మోకాలు,коляно
42,Oberschenkel::N,తొడ,бедро
43,Bein::N,కాలు,крак
44,Bein::N,కాలు,нога
45,Körper::N,కాయము,тяло
46,Haut::N,చర్మము,кожа
47,Blut::N,రక్తము,кръв
48,Ader::N,సిర,вена
49,Ader::N,సిర,артерия
50,Sehne::N,స్నాయువు,жила
51,Sehne::N,స్నాయువు,сухожилие
52,Knochen::N,ఎముక,кост
53,Gehirn::N,మెదడు,мозък
54,Herz::N,హృదయము,сърце
55,Magen::N,కడుపు,стомах
56,Leber::N,కాలేయము,черен дроб
57,Atem::N,ఉపిరి,дишане
58,Hunger::N,ఆకలి,глад
59,Träne::N,కన్నీటిచుక్క,сълза
60,Geschmack::N,రుచి,вкус
61,Geruch::N,వాసన,миризма
62,Schlaf::N,నిద్ర,сън
63,Traum::N,కల,сън
64,Himmel::N,ఆకాశము,небе
65,Sonne::N,సూర్యుడు,слънце
66,Mond::N,చంద్రుడు,луна
67,Mond::N,చంద్రుడు,месец
68,Stern::N,నక్షత్రము,звезда
69,Luft::N,గాలి,въздух
70,Wind::N,వీచుచున్నగాలి,вятър
71,Welle::N,అల,вълна
72,Wasser::N,నీరు,вода
73,Stein::N,ఱాయి,камък
74,Boden::N,నేల,земя
75,Boden::N,నేల,почва
76,Erde::N,మన్ను,земя
77,Erde::N,మన్ను,почва
78,Staub::N,దుమ్ము,прах
79,Rauch::N,పొగ,дим
80,Rauch::N,పొగ,пушек
81,Funke::N,అగ్నికణము,искра
82,Feuer::N,అగ్ని,огън
83,Licht::N,కాంతి,светлина
84,Schatten::N,నీడ,сянка
85,Wetter::N,వాతావరణ స్థితి,време
86,Nebel::N,పొగమంచు,мъгла
87,Wolke::N,మేఘము,облак
88,Regen::N,వాన,дъжд
89,Schnee::N,హిమము,сняг
90,Eis::N,మంచుగడ్డ,лед
91,Frost::N,పేరిన మంచు,мраз
92,Kälte::N,చలి,студ
93,Hitze::N,వేడిమి,жега
94,Hitze::N,వేడిమి,горещина
95,Raureif::N,మంచు,скреж
96,Raureif::N,మంచు,слана
97,Regenbogen::N,ఇంద్రధనుస్సు,дъга
98,Donner::N,ఉరుము,гръм
99,Strömung::N,ప్రవాహము,течение
100,Tropfen::N,చుక్క,капка
101,Schaum::N,నురుగు,пяна
102,Schmutz::N,మైల,кал
103,Schmutz::N,మైల,мръсотия
104,See::N,సరస్సు,езеро
105,Sumpf::N,చిత్తడినేల,блато
106,Moor::N,చిత్తడినేల,мочурище
107,Wiese::N,పచ్చిక బయలు,ливада
108,Wald::N,అడవి,гора
109,Hügel::N,చివ్నకొండ,рид
110,Hügel::N,చివ్నకొండ,хълм
111,Anhöhe::N,కొండ,могила
112,Anhöhe::N,కొండ,възвишение
113,Berg::N,పర్వతము,планина
114,Gipfel::N,శిఖరము,връх
115,Höhle::N,గుహ,пещера
116,Abhang::N,ఏటవాలు,склон
117,Abhang::N,ఏటవాలు,стръмнина
118,Quelle::N,మూలము,извор
119,Bach::N,కాలువ,поток
120,Fluss::N,నది,река
121,Ufer::N,తీరము,бряг
122,Küste::N,తీరము,бряг
123,Küste::N,తీరము,крайбрежие
124,Festland::N,భూమి,суша
125,Meer::N,సముద్రము,море
126,Bucht::N,మరుగు,залив
127,Insel::N,దీవి,остров
128,Blume::N,పుష్పము,цвете
129,Gras::N,పచ్చగడ్డి,трева
130,Wurzel::N,వేరు,корен
131,Baum::N,చెట్టు,дърво
132,Stamm::N,చెట్టుబోదె,стъбло
133,Rinde::N,చెట్టుపట్ట,кора
134,Ast::N,కొమ్మ,клон
135,Zweig::N,చివుకు,клон
136,Blatt::N,ఆకు,лист
137,Birke::N,తరహా చెట్టు,бреза
138,Kiefer[Baum]::N,దేవదారు చెట్టు,бор
139,Weide[Baum]::N,జాతిచెట్టు,върба
140,Tanne::N,దేవదారుచెట్టు,ела
141,Horn::N,కొమ్ము,рог
142,Feder::N,ఈక,перо
143,Fell::N,తోలు,кожа
144,Flügel::N,ఱెక్క,крило
145,Klaue::N,వంకరగోరు,нокът
146,Kralle::N,వంకరగోరు,нокът
147,Schwanz::N,తోక,опашка
148,Ei::N,గ్రుడ్డు,яйце
149,Nest::N,పక్షిగూడు,гнездо
150,Bau::N,గుహ,дупка
151,Tier::N,జంతువు,животно
152,Herde::N,మంద,стадо
153,Kuh::N,ఆవు,крава
154,Bulle::N,గిత్త,бик
155,Pferd::N,గుఱ్ఱము,кон
156,Schaf::N,గొఱ్ఱె,овца
157,Schwein::N,పంది,свиня
158,Hund::N,కుక్క,куче
159,Katze::N,పిల్లి,котка
160,Bär::N,ఎలుగుబంటి,мечка
161,Eichhörnchen::N,ఉడుత,катерица
162,Elch::N,కణంజు,лос
163,Fuchs::N,గుంటనక్క,лисица
164,Hase::N,కుందేలు,заек
165,Maus::N,చిట్టెలుక,мишка
166,Wolf::N,తోడేలు,вълк
167,Vogel::N,పక్షి,птица
168,Schwarm::N,గుంపు,рой
169,Schwarm::N,గుంపు,рояк
170,Huhn::N,కోడిపిల్ల,кокошка
171,Hahn::N,కోడివుంజు,петел
172,Gans::N,ఆడుబాతు,гъска
173,Adler::N,గ్రద్ద,орел
174,Ente::N,పాట్టిబాతు,патица
175,Eule::N,గ్రుడ్లగూబ,сова
176,Kranich::N,కొంగ,жерав
177,Krähe::N,కాకి,врана
178,Kuckuck::N,కోయల,кукувица
179,Schwan::N,హంస,лебед
180,Fisch::N,చేప,риба
181,Barsch::N,ఒకచేఁప,костур
182,Hecht::N,గండుమీను,щука
183,Schlange[Tier]::N,పాము,змия
184,Wurm::N,పురుగు,червей
185,Spinne::N,సాలె పురుగు,паяк
186,Ameise::N,చీమ,мравка
187,Laus::N,పేను,въшка
188,Mücke::N,చీకటీగ,комар
189,Fliege::N,ఈగ,муха
190,Schmetterling::N,సీతాకోకచిలుక,пеперуда
191,Beere::N,కాయ,плод
192,Apfel::N,ఆపిల్ పండు,ябълка
193,Pilz::N,కుక్కగొడుగు,гъба
194,Zwiebel::N,నీరుల్లి,лук
195,Zwiebel::N,నీరుల్లి,кромид
196,Saat::N,విత్తనము,семе
197,Korn::N,గింజ,зърно
198,Heu::N,ఎండుగడ్డి,сено
199,Schale::N,పొట్టు,кора
200,Grube::N,గొయ్యి,яма
201,Grube::N,గొయ్యి,дупка
202,Falle::N,బోను,примка
203,Schlinge::N,ఉరి,клуп
204,Spur::N,జాడ,диря
