,Concept_ID,el,ba
0,Auge::N,μάτι,күҙ
1,Auge::N,οφθαλμός,күҙ
2,Ohr::N,αυτί,ҡолаҡ
3,Nase::N,μύτη,танау
4,Mund::N,στόμα,ауыҙ
5,Zahn::N,δόντι,теш
6,Zunge::N,γλώσσα,тел
7,Lippe::N,χείλος,ирен
8,Wange::N,παρειά,яцаҡтар
9,Wange::N,μάγουλο,яцаҡтар
10,Gesicht::N,πρόσωπο,бит
11,Stirn::N,μέτωπο,маңлай
12,Haar::N,μαλλιά,сәс
13,Schnurrbart::N,μουστάκι,мылтыҡ
14,Bart::N,γένια,һаҡал
15,Kinn::N,πιγούνι,эйэк
16,Kiefer[Anatomie]::N,σαγόνι,яңаҡ һөйәге
17,Kehle::N,λαρύγγι,тамаҡ
18,Hals::N,λαιμός,муйын
19,Genick::N,σβέρκος,соңҡа
20,Kopf::N,κεφάλι,баш
21,Rücken::N,ράχη,арҡа
22,Bauch::N,κοιλιά,ҡорһаҡ
23,Nabel::N,αφαλός,кендек
24,Busen::N,στήθος,күкрәк
25,Brust::N,στήθος,түш
26,Schulter::N,ώμος,яурын
27,Arm::N,χέρι,ҡул
28,Arm::N,μπράτςο,ҡул
29,Ellenbogen::N,αγκώνας,терһәк
30,Hand::N,χέρι,ҡул
31,Hand::N,χέρι,ҡул суғы
32,Handfläche::N,παλάμη,ус төбө
33,Finger::N,δάχτυλο,бармаҡ
34,Fingernagel::N,νύχι,тырнаҡ
35,Nagel[Anatomie]::N,νύχι,тырнаҡ
36,Zeh::N,δάχτυλο του ποδιού,бармаҡ
37,Fuß::N,πόδι,табан
38,Ferse::N,φτέρνα,үксә
39,Knie::N,γόνατο,тубыҡ
40,Oberschenkel::N,μηρός,сандыр
41,Bein::N,πόδι,аяҡ
42,Körper::N,σώμα,тән
43,Körper::N,κορμί,тән
44,Haut::N,πετσί,тире
45,Blut::N,αίμα,ҡан
46,Ader::N,φλέβα,тамыр
47,Sehne::N,νεύρο,һеңер
48,Sehne::N,νεύρο,тарамыш
49,Sehne::N,τένοντας,һеңер
50,Sehne::N,τένοντας,тарамыш
51,Knochen::N,οστό,һойәк
52,Knochen::N,κόκκαλο,һойәк
53,Gehirn::N,μυαλό,мейе
54,Gehirn::N,εγκέφαλος,мейе
55,Herz::N,καρδιά,йорәк
56,Magen::N,στομάχι,ашҡаҙан
57,Leber::N,ήπαρ,бауыр
58,Leber::N,συκωτί,бауыр
59,Atem::N,αναπνοή,һулыш
60,Hunger::N,πείνα,аслыҡ
61,Träne::N,δάκρυ,күҙ иәше
62,Geschmack::N,γεύση,тәм
63,Geruch::N,οσμή,еҫ
64,Geruch::N,μυρωδία,еҫ
65,Schlaf::N,ύπνος,йоҡлау
66,Traum::N,όνειρο,төш
67,Himmel::N,ουρανός,күк
68,Sonne::N,ήλιος,ҡояш
69,Mond::N,σελήνη,ай
70,Mond::N,φεγγάρι,ай
71,Stern::N,άστρο,йондоҙ
72,Stern::N,αστέρι,йондоҙ
73,Luft::N,αέρας,һауа
74,Wind::N,αέρας,ел
75,Wind::N,άνεμος,ел
76,Welle::N,κύμα,тулҡын
77,Wasser::N,νερό,һыу
78,Stein::N,πέτρα,таш
79,Boden::N,χώμα,тупраҡ
80,Erde::N,γη,балсҡ
81,Staub::N,σκόνη,туҙан
82,Rauch::N,καπνός,төтөн
83,Funke::N,σπίθα,осҡон
84,Funke::N,σπινθήρας,осҡон
85,Feuer::N,φωτιά,ут
86,Licht::N,φως,яҡтылыҡ
87,Schatten::N,σκιά,күләгә
88,Schatten::N,ίσκιος,күләгә
89,Wetter::N,καιρός,һауа торошо
90,Nebel::N,ομίχλη,төман
91,Wolke::N,σύννεφο,болот
92,Regen::N,βροχή,ямғыр
93,Schnee::N,χιόνι,ҡар
94,Eis::N,πάγος,боҙ
95,Frost::N,παγωνία,һалҡын
96,Kälte::N,κρύο,һыуыҡ
97,Kälte::N,ψύχος,һыуыҡ
98,Hitze::N,ζέστη,томра
99,Hitze::N,ζέστη,эҫелек
100,Raureif::N,πάχνη,ҡырау
101,Regenbogen::N,ουράνιο τόξο,йәйғор
102,Donner::N,βροντή,күк күкрәү
103,Strömung::N,ρεύμα,ағым
104,Tropfen::N,στάλα,тамсы
105,Schaum::N,αφρός,күбек
106,Schmutz::N,βρωμιά,батҡаҡ
107,See::N,λίμνη,күл
108,Sumpf::N,βάλτος,һаҙлык
109,Moor::N,έλος,һаҙ
110,Wiese::N,λιβάδι,болон
111,Wald::N,δάσος,урман
112,Hügel::N,λόφος,түбә
113,Anhöhe::N,ύψωμα,түбә
114,Anhöhe::N,ύψωμα,ҡалҡыулыҡ
115,Berg::N,όρος,тау
116,Berg::N,βουνό,тау
117,Gipfel::N,κορυφή,түбә
118,Höhle::N,σπηλιά,мәмерйә
