,Concept_ID,tr,bn
0,Auge::N,göz,চক্ষু
1,Ohr::N,kulak,কর্ণ
2,Nase::N,burun,নাক
3,Mund::N,ağız,মুখ
4,Zahn::N,diş,দাঁত
5,Zunge::N,dil,জিহবা
6,Lippe::N,dudak,অধর
7,Wange::N,yanak,গণ্ড
8,Gesicht::N,yüz,মুখমণ্ডল
9,Stirn::N,alın,কপাল
10,Haar::N,saç,চুল
11,Schnurrbart::N,bıyık,গোঁফ
12,Bart::N,sakal,শ্মশ্রু
13,Kinn::N,çene,চিবুক
14,Kiefer[Anatomie]::N,çene,চোয়াল
15,Kehle::N,boğaz,কণ্ঠ
16,Hals::N,boyun,গল
17,Hals::N,gerdan,গল
18,Genick::N,ense,ঘাড়
19,Kopf::N,baş,মাথা
20,Kopf::N,kafa,মাথা
21,Rücken::N,arka,পৃষ্ঠ
22,Bauch::N,karın,উদর
23,Nabel::N,göbek,নাভি
24,Busen::N,koyun,স্তন
25,Brust::N,göğüs,বুক
26,Schulter::N,omuz,স্কন্ধ
27,Arm::N,kol,বাহু
28,Ellenbogen::N,dirsek,কনুই
29,Hand::N,el,হাত
30,Handfläche::N,avuç,করতল
31,Handfläche::N,el ayası,করতল
32,Finger::N,parmak,আঙ্গুল
33,Fingernagel::N,el tırnağı,হাতের নখ
34,Nagel[Anatomie]::N,tırnak,নখ
35,Zeh::N,ayak parmağı,আঙ্গুল
36,Fuß::N,ayak,পা
37,Ferse::N,topuk,গোড়ালি
38,Knie::N,diz,হাঁটু
39,Oberschenkel::N,uyluk,ঊরু
40,Bein::N,bacak,পা
41,Körper::N,vücut,দেহ
42,Haut::N,cilt,ত্বক
43,Blut::N,kan,রক্ত
44,Ader::N,damar,শিরা
45,Sehne::N,kiriş,কণ্ডরা
46,Knochen::N,kemik,অস্থি
47,Gehirn::N,beyin,মস্তিষ্ক
48,Herz::N,kalp,হৃৎপিণ্ড
49,Herz::N,yürek,হৃৎপিণ্ড
50,Magen::N,mide,পাকস্থলী
51,Leber::N,karaciğer,যকৃৎ
52,Atem::N,nefes,শ্বাস
53,Hunger::N,açlık,ক্ষুধা
54,Träne::N,gözyaşı,অশ্রু
55,Geschmack::N,tat,স্বাদ
56,Geschmack::N,lezzet,স্বাদ
57,Geruch::N,koku,গন্ধ
58,Schlaf::N,uyku,ঘুম
59,Traum::N,düş,স্বপ্ন
60,Traum::N,rüya,স্বপ্ন
61,Himmel::N,gök,আকাশ
62,Sonne::N,güneş,সূর্য
63,Mond::N,ay,চন্দ্র
64,Stern::N,yıldız,নক্ষত্র
65,Luft::N,hava,বায়ু
66,Wind::N,yel,বাতাস
67,Wind::N,rüzgâr,বাতাস
68,Welle::N,dalga,ঢেউ
69,Welle::N,dalga,তরঙ্গ
70,Wasser::N,su,জল
71,Stein::N,taş,ঢিল
72,Stein::N,taş,প্রস্তর
73,Boden::N,yer,ভূতল
74,Boden::N,zemin,ভূতল
75,Erde::N,toprak,ভূমি
76,Staub::N,toz,ধুলা
77,Rauch::N,duman,ধোঁয়া
78,Funke::N,kıvılcım,স্ফুলিঙ্গ
79,Feuer::N,ateş,অগ্নি
80,Licht::N,ışık,আলো
81,Schatten::N,gölge,ছায়া
82,Wetter::N,hava,আবহাওয়া
83,Nebel::N,pus,কুহেলিকা
84,Wolke::N,bulut,মেঘ
85,Regen::N,yağmur,বৃষ্টি
86,Schnee::N,kar,তুষার
87,Eis::N,buz,বরফ
88,Frost::N,don,তুষার
89,Kälte::N,soğukluk,শৈত্য
90,Hitze::N,sıcaklık,তাপ
91,Raureif::N,kırç,তুহিন
92,Regenbogen::N,gökkuşağı,রামধনু
93,Donner::N,gök gürlemesi,বজ্রধ্বনি
94,Strömung::N,akıntı,স্রোত
95,Strömung::N,cereyan,স্রোত
96,Tropfen::N,damla,ফোঁটা
97,Schaum::N,köpük,ফেনা
98,Schmutz::N,çamur,ধুলা
99,Schmutz::N,pislik,ধুলা
100,See::N,göl,হ্রদ
101,Sumpf::N,batak,জলা
102,Moor::N,cılgıt,মাঠ
103,Wiese::N,çimen,তৃণভূমি
104,Wald::N,koru,বন
105,Wald::N,orman,বন
106,Hügel::N,tepe,পাহাড়
107,Anhöhe::N,tümsek,টিলা
108,Anhöhe::N,yükseklik,টিলা
109,Berg::N,dağ,পর্বত
110,Gipfel::N,zirve,শীর্ষ
111,Höhle::N,in,গুহা
112,Höhle::N,mağara,গুহা
113,Abhang::N,bayır,ঢাল
114,Quelle::N,pınar,উৎস
115,Quelle::N,kaynak,উৎস
116,Bach::N,çay,ক্ষুদ্র নদী
117,Bach::N,dere,ক্ষুদ্র নদী
118,Fluss::N,nehir,নদী
119,Ufer::N,kıyı,উপকূল
120,Ufer::N,sahil,উপকূল
121,Küste::N,kıyı,তীর
122,Küste::N,sahil,তীর
123,Festland::N,kara,ভূমি
124,Meer::N,deniz,সমুদ্র
125,Bucht::N,koy,উপসাগর
126,Bucht::N,körfez,উপসাগর
127,Insel::N,ada,দ্বীপ
128,Blume::N,çiçek,ফুল
129,Gras::N,ot,ঘাস
130,Gras::N,çim,ঘাস
131,Wurzel::N,kök,শিকড়
132,Baum::N,ağaç,গাছ
133,Stamm::N,gövde,স্কন্ধ
134,Rinde::N,kabuk,বল্কল
135,Ast::N,dal,শাখা
136,Ast::N,budak,শাখা
137,Zweig::N,dal,ডাল
138,Blatt::N,yaprak,পর্ণ
139,Birke::N,huş,ভুর্জ
140,Kiefer[Baum]::N,çam,পাইন গাছ
141,Weide[Baum]::N,söğüt,উইলো
142,Tanne::N,çam,দেবদারূ গাছ
143,Tanne::N,köknar,দেবদারূ গাছ
144,Horn::N,boynuz,শিং
145,Feder::N,tüy,পালক
146,Fell::N,post,রোম
147,Flügel::N,kanat,ডানা
148,Klaue::N,pençe,নখর
149,Kralle::N,tırnak,নখর
150,Schwanz::N,kuyruk,লেজ
151,Ei::N,yumurta,ডিম
152,Nest::N,yuva,কুলায়
153,Bau::N,in,ডেরা
154,Tier::N,hayvan,জন্তু
155,Herde::N,sürü,ঝাঁক
156,Kuh::N,inek,গোরু
157,Bulle::N,boğa,বৃষ
158,Pferd::N,at,ঘোড়া
159,Pferd::N,beygir,ঘোড়া
160,Schaf::N,koyun,ভেড়া
161,Schwein::N,domuz,শূকর
162,Hund::N,it,কুকুর
163,Hund::N,köpek,কুকুর
164,Katze::N,kedi,বেড়াল
165,Bär::N,ayı,ভল্লুক
166,Eichhörnchen::N,sincap,কাঠবিড়াল
167,Elch::N,büyük kuzey geyiği,হরিণবিশেষ
168,Fuchs::N,tilki,পাঁতিশিয়াল
169,Hase::N,tavşan,শশক
170,Maus::N,fare,নেংটি ইঁদুর
171,Maus::N,sıçan,নেংটি ইঁদুর
172,Wolf::N,kurt,নেকড়ে
173,Vogel::N,kuş,পক্ষী
174,Schwarm::N,sürü,ঝাঁক
175,Huhn::N,tavuk,মোরগ
176,Hahn::N,horoz,কুক্কুট
177,Gans::N,kaz,হংসী
178,Adler::N,kartal,ইগল
179,Adler::N,karakuş,ইগল
180,Ente::N,ördek,হংসী
181,Eule::N,baykuş,পেচক
182,Kranich::N,turna,সারস
183,Krähe::N,karga,কাক
184,Kuckuck::N,guguk,কোকিল
185,Schwan::N,kuğu,মরাল
186,Fisch::N,balık,মাছ
187,Barsch::N,hani,মৎন্যবিশেষ
188,Barsch::N,levrek,মৎন্যবিশেষ
189,Hecht::N,turnabalığı,বানমাছ
190,Schlange[Tier]::N,yılan,সর্প
191,Wurm::N,kurt,কীট
192,Wurm::N,solucan,কীট
193,Spinne::N,örümcek,মাকড়সা
194,Ameise::N,karınca,পিপীলিকা
195,Laus::N,bit,উকুন
196,Mücke::N,sivrisinek,মশা
197,Fliege::N,sinek,মাছি
198,Schmetterling::N,kelebek,প্রজাপতি
199,Beere::N,tane,বেরি
200,Apfel::N,elma,আপেল
201,Pilz::N,mantar,ছত্রক
202,Zwiebel::N,soğan,পিয়াজ
203,Saat::N,ekin,বীজ
