,Concept_ID,ml,mdf
0,Auge::N,കണ്ണ്,сельме
1,Ohr::N,ചെവി,пиле
2,Nase::N,മൂക്ക്,шалхка
3,Mund::N,വായ,курга
4,Zahn::N,പല്ല്,пей
5,Zunge::N,നാക്ക്,кяль
6,Lippe::N,ചുണ്ട്,търва́
7,Wange::N,കവിൾത്തടം,щёка
8,Gesicht::N,മുഖം,шама
9,Stirn::N,നെറ്റി,коня
10,Haar::N,തലമുടി,шя́ярь
11,Schnurrbart::N,മീശ,уса́
12,Bart::N,താടിരോമം,сакал
13,Kinn::N,താടി,ула
14,Kiefer[Anatomie]::N,താടിയെല്ല്,саласка
15,Kehle::N,കണ്ഠനാളം,кълдома
16,Kehle::N,കണ്ഠനാളം,кърга́парь
17,Hals::N,കഴുത്ത്,сялдаз
18,Genick::N,പിടലി,шовонь
19,Kopf::N,തല,пря
20,Rücken::N,മുതുക്,копорь
21,Bauch::N,നയറ്,пеке
22,Nabel::N,നാഭി,по́кон
23,Busen::N,സ്തനം,потя
24,Brust::N,സ്തനം,мяште
25,Schulter::N,തോൾ,лафту
26,Arm::N,കൈ,кядь
27,Ellenbogen::N,കൈമുട്ട്,кенерьба́карь
28,Hand::N,കൈ,кядь
29,Handfläche::N,ഉള്ളം കൈ,кядьлапш
30,Finger::N,വിരൽ,сур
31,Fingernagel::N,നഖം,кенже
32,Nagel[Anatomie]::N,നഖം,кенже
33,Zeh::N,കാൽവിരൽ,пильгосу́р
34,Fuß::N,കാൽപ്പാദം,пильге
35,Fuß::N,കാൽപ്പാദം,пильгелапа
36,Ferse::N,ഉപ്പൂറ്റി,кочкяря
37,Knie::N,കാൽമുട്ട്,эль
38,Knie::N,കാൽമുട്ട്,пълма́нжа
39,Oberschenkel::N,തുട,пильгепукша
40,Bein::N,കാൽ,пильге
41,Körper::N,ശരീരം,ро́нга
42,Körper::N,ശരീരം,по́нда
43,Haut::N,ചർമ്മം,киське
44,Blut::N,രക്തം,вер
45,Ader::N,ഞരമ്പ്,сан
46,Ader::N,ഞരമ്പ്,верза́н
47,Sehne::N,സ്നായു,коське сан
48,Knochen::N,അസ്ഥി,пакарь
