,Concept_ID,ja,hi
0,Auge::N,目,आँख
1,Auge::N,目,चक्षु
2,Ohr::N,耳,कान
3,Ohr::N,耳,कर्ण
4,Nase::N,鼻,नाक
5,Nase::N,鼻,नासा
6,Mund::N,口,मुख
7,Mund::N,口,मुँह
8,Zahn::N,歯,दंत
9,Zahn::N,歯,दाँत
10,Zunge::N,舌,जीभ
11,Zunge::N,舌,ज़बान
12,Zunge::N,舌,जिह्वा
13,Lippe::N,唇,ओंठ
14,Lippe::N,唇,होंठ
15,Wange::N,頬,गाल
16,Wange::N,頬,कपोल
17,Gesicht::N,顔,मुँह
18,Gesicht::N,顔,चेहरा
19,Stirn::N,額,माथा
20,Stirn::N,額,मस्तक
21,Haar::N,髪,बाल
22,Schnurrbart::N,口髭,मूँछें
23,Bart::N,髭,दाढ़ी
24,Kinn::N,顎,चिबुक
25,Kiefer[Anatomie]::N,顎,जबड़ा
26,Kehle::N,喉,गला
27,Hals::N,首,गला
28,Hals::N,首,गरदन
29,Genick::N,首,गरदन
30,Genick::N,首,ग्रीवा
31,Kopf::N,頭,सिर
32,Kopf::N,頭,शीर्ष
33,Rücken::N,背中,पीठ
34,Bauch::N,腹,उदर
35,Bauch::N,お腹,उदर
36,Nabel::N,へそ,नाभि
37,Nabel::N,へそ,ढोंढी
38,Busen::N,乳房,कुच
39,Busen::N,乳房,स्तन
40,Brust::N,胸,वक्ष
41,Schulter::N,肩,कंधा
42,Schulter::N,肩,स्कंध
43,Arm::N,腕,बाँह
44,Arm::N,腕,बाज़ू
45,Ellenbogen::N,肘,कुहनी
46,Hand::N,手,हाथ
47,Hand::N,手,हस्त
48,Handfläche::N,手のひら,हथेली
49,Finger::N,指,उँगली
50,Finger::N,指,अँगुली
51,Fingernagel::N,爪,नख
52,Fingernagel::N,爪,नाख़ून
53,Nagel[Anatomie]::N,爪,नख
54,Nagel[Anatomie]::N,爪,नाख़ून
55,Zeh::N,足の指,उँगली
56,Zeh::N,足の指,पाँव की उँगली
57,Fuß::N,足,चरण
58,Fuß::N,足,पाँव
59,Ferse::N,かかと,एड़ी
60,Knie::N,膝,जानु
61,Knie::N,膝,घुटना
62,Oberschenkel::N,上腿,उरु
63,Bein::N,足,टाँग
64,Körper::N,体,तन
65,Körper::N,体,देह
66,Körper::N,体,शरीर
67,Haut::N,皮膚,चर्म
68,Haut::N,皮膚,त्वचा
69,Blut::N,血,लहू
70,Blut::N,血,ख़ून
71,Ader::N,血管,रग
72,Ader::N,血管,शिरा
73,Sehne::N,腱,कंडरा
74,Sehne::N,腱,स्नायु
75,Knochen::N,骨,अस्थि
76,Gehirn::N,脳,दिमाग़
77,Gehirn::N,脳,मस्तिष्क
78,Herz::N,心,दिल
79,Herz::N,心,हृदय
80,Herz::N,心臓,दिल
81,Herz::N,心臓,हृदय
82,Magen::N,胃,मेदा
83,Magen::N,胃,अमाशय
84,Leber::N,肝臓,जिगर
85,Leber::N,肝臓,यकृत्
86,Atem::N,息,दम
87,Atem::N,息,साँस
88,Atem::N,息,श्वास
89,Atem::N,呼吸,दम
90,Atem::N,呼吸,साँस
91,Atem::N,呼吸,श्वास
92,Hunger::N,空腹,भूख
93,Hunger::N,空腹,क्षुधा
94,Träne::N,涙,आँसू
95,Träne::N,涙,अश्रु
96,Geschmack::N,味,स्वाद
97,Geschmack::N,味,ज़ायक़ा
98,Geruch::N,匂い,बू
99,Geruch::N,匂い,गंध
100,Schlaf::N,睡眠,नींद
101,Schlaf::N,睡眠,निद्रा
102,Traum::N,夢,सपना
103,Traum::N,夢,स्वप्न
104,Himmel::N,空,आकाश
105,Himmel::N,空,आसमान
106,Sonne::N,太陽,रवि
107,Sonne::N,太陽,सूरज
108,Sonne::N,太陽,सूर्य
109,Mond::N,月,चाँद
110,Mond::N,月,चंद्र
111,Stern::N,星,तारा
112,Stern::N,星,सितारा
113,Luft::N,空気,हवा
114,Luft::N,空気,वायु
115,Wind::N,風,पाद
116,Welle::N,波,लहर
117,Welle::N,波,तरंग
118,Wasser::N,水,जल
119,Wasser::N,水,पानी
120,Stein::N,石,पत्थर
121,Boden::N,土地,मिट्टी
122,Erde::N,土,भूमि
123,Erde::N,土,ज़मीन
124,Staub::N,埃,धूल
125,Rauch::N,煙,धूआँ
126,Rauch::N,煙,धुम्र
127,Funke::N,火花,चिनगारी
128,Funke::N,火花,स्फुलिंग
129,Feuer::N,火,आग
130,Feuer::N,火,आतिश
131,Feuer::N,火,अग्नि
132,Licht::N,光,रोशनी
133,Licht::N,光,प्रकाश
134,Schatten::N,陰,छाया
135,Schatten::N,陰,परछाई
136,Wetter::N,天気,ऋतु
137,Wetter::N,天気,मौसम
138,Nebel::N,霧,धुँध
139,Nebel::N,霧,कुहरा
140,Wolke::N,雲,मेघ
141,Wolke::N,雲,अभ्र
142,Regen::N,雨,मेंह
143,Regen::N,雨,बारिश
144,Schnee::N,雪,हिम
145,Schnee::N,雪,बर्फ़
146,Eis::N,氷,हिम
147,Eis::N,氷,बर्फ़
148,Frost::N,霜,ठंड
149,Kälte::N,寒さ,सर्दी
150,Kälte::N,寒さ,शीतलता
151,Hitze::N,暑さ,ताप
152,Hitze::N,暑さ,गरमी
153,Raureif::N,霧氷,पाला
154,Regenbogen::N,虹,इंद्र-धनुष
155,Donner::N,雷,गरज
156,Donner::N,雷,मेघ-गर्जन
157,Strömung::N,流れ,बहाव
158,Strömung::N,流れ,प्रवाह
159,Tropfen::N,滴,बूँद
160,Schaum::N,泡,झाग
161,Schmutz::N,汚れ,गंद
162,Schmutz::N,汚れ,कीचड़
163,See::N,湖,झील
164,See::N,湖,सरोवर
165,Sumpf::N,沼,दलदल
166,Sumpf::N,沼,धँसान
167,Moor::N,湿原,झाबर
168,Moor::N,湿原,धँसान
169,Wiese::N,草原,घास-स्थल
170,Wald::N,森,जंगल
171,Hügel::N,丘,टीला
172,Hügel::N,丘,पहाड़
173,Anhöhe::N,高み,टीला
174,Anhöhe::N,高み,पहाड़ी
175,Berg::N,山,पहाड़
176,Gipfel::N,頂上,शिखर
177,Höhle::N,洞窟,गुहा
178,Höhle::N,洞窟,गुफ़ा
179,Abhang::N,斜面,ढाल
180,Abhang::N,斜面,ढलान
181,Quelle::N,泉,चश्मा
182,Bach::N,小川,सोता
183,Bach::N,小川,नदिका
184,Fluss::N,川,नदी
185,Fluss::N,川,सरिता
