,Concept_ID,cy,ps
0,Auge::N,llygad,سترګه
1,Ohr::N,clust,غوږ
2,Nase::N,trwyn,پوزه
3,Mund::N,ceg,خوله
4,Zahn::N,dant,غاښ
5,Zunge::N,tafod,جبه
6,Lippe::N,gwefus,شونډه
7,Wange::N,boch,باړخو
8,Gesicht::N,wyneb,مخ
9,Stirn::N,talcen,تندی
10,Stirn::N,talcen,وچولی
11,Haar::N,blew,وېښته
12,Schnurrbart::N,mwstas,برېت
13,Bart::N,barf,ږیره
14,Kinn::N,gên,زنه
15,Kiefer[Anatomie]::N,gên,جامه
16,Kehle::N,gwddf,غاړه
17,Hals::N,gwddf,غاړه
18,Genick::N,gwar,ورمېږ
19,Genick::N,gwegil,ورمېږ
20,Kopf::N,pen,سر
21,Rücken::N,cefn,شا
22,Bauch::N,bol,نس
23,Bauch::N,bol,ګېډه
24,Nabel::N,bogail,نوم
25,Busen::N,bron,تی
26,Brust::N,brest,سینه
27,Schulter::N,ysgwydd,اوږه
28,Arm::N,braich,لاس
29,Ellenbogen::N,penelin,څنګل
30,Hand::N,llaw,لاس
31,Handfläche::N,palf,ورغوی
32,Finger::N,bys,ګوته
33,Fingernagel::N,ewin,نوک
34,Nagel[Anatomie]::N,ewin,نوک
35,Zeh::N,bys troed,ګوته
36,Fuß::N,troed,پښه
37,Ferse::N,sawdl,پونده
38,Knie::N,glin,زنګون
39,Oberschenkel::N,clun,پتون
40,Bein::N,coes,پښه
41,Körper::N,corff,ځان
42,Haut::N,croen,پوټکی
43,Blut::N,gwaed,وینه
44,Ader::N,gwythïen,رګ
45,Sehne::N,gewyn,پله
46,Knochen::N,asgwrn,هډوکی
47,Gehirn::N,ymennydd,ماغزه
48,Herz::N,calon,زړه
49,Magen::N,cylla,معده
50,Magen::N,stumog,معده
51,Leber::N,iau,ينه
52,Leber::N,iau,ځیګر
53,Atem::N,anadl,نفس
54,Hunger::N,newyn,ولږه
55,Träne::N,deigryn,اوښکه
56,Geschmack::N,cyflas,مزه
57,Geschmack::N,cyflas,خوند
58,Geruch::N,aroglau,بوی
59,Schlaf::N,cwsg,خوب
60,Traum::N,breuddwyd,خوب
61,Himmel::N,awyr,اسمان
62,Sonne::N,haul,لمر
63,Mond::N,lleuad,سپوږمۍ
64,Stern::N,seren,ستوری
65,Luft::N,awyr,هوا
66,Wind::N,gwynt,ورښ
67,Welle::N,ton,موج
68,Wasser::N,dŵr,اوبه
69,Stein::N,carreg,ډبره
70,Boden::N,llawr,مځکه
71,Erde::N,pridd,خاوره
72,Staub::N,llwch,ګرد
73,Staub::N,llwch,خاوره
74,Rauch::N,mwg,دود
75,Rauch::N,mwg,لوګی
76,Funke::N,gwreichioni,سپرغۍ
77,Feuer::N,tân,اور
78,Licht::N,golau,رڼا
79,Schatten::N,cysgod,سیوری
80,Wetter::N,tywydd,هوا
81,Nebel::N,niwl,لړه
82,Wolke::N,cwmwl,ورېځ
83,Regen::N,glaw,وریا
