,Concept_ID,zh,zh
0,Auge::N,眼睛,眼睛
1,Ohr::N,耳朵,耳朵
2,Nase::N,鼻子,鼻子
3,Mund::N,嘴,嘴
4,Zahn::N,牙齿,牙齿
5,Zunge::N,舌头,舌头
6,Lippe::N,嘴唇,嘴唇
7,Wange::N,面颊,面颊
8,Gesicht::N,脸,脸
9,Stirn::N,额,额
10,Haar::N,头发,头发
11,Schnurrbart::N,髭须,髭须
12,Bart::N,胡子,胡子
13,Kinn::N,下巴,下巴
14,Kiefer[Anatomie]::N,颌,颌
15,Kehle::N,嗓子,嗓子
16,Hals::N,颈,颈
17,Genick::N,后颈,后颈
18,Kopf::N,头,头
19,Rücken::N,背,背
20,Bauch::N,肚子,肚子
21,Nabel::N,肚脐,肚脐
22,Busen::N,胸脯,胸脯
23,Brust::N,胸,胸
24,Schulter::N,肩膀,肩膀
25,Arm::N,臂膀,臂膀
26,Ellenbogen::N,肘,肘
27,Hand::N,手,手
28,Handfläche::N,手掌,手掌
29,Finger::N,手指,手指
30,Fingernagel::N,指甲,指甲
31,Nagel[Anatomie]::N,指甲,指甲
32,Zeh::N,脚趾,脚趾
33,Fuß::N,脚,脚
34,Ferse::N,后跟,后跟
35,Knie::N,膝,膝
36,Oberschenkel::N,大腿,大腿
37,Bein::N,腿,腿
38,Körper::N,身体,身体
39,Haut::N,皮肤,皮肤
40,Blut::N,血,血
41,Ader::N,血管,血管
42,Sehne::N,腱,腱
43,Knochen::N,骨,骨
44,Gehirn::N,脑,脑
45,Herz::N,心,心
46,Magen::N,胃,胃
47,Leber::N,肝,肝
48,Atem::N,呼吸,呼吸
49,Hunger::N,饿,饿
50,Träne::N,眼泪,眼泪
51,Geschmack::N,味道,味道
52,Geruch::N,气味,气味
53,Schlaf::N,睡眠,睡眠
54,Traum::N,梦,梦
55,Himmel::N,天空,天空
56,Sonne::N,太阳,太阳
57,Mond::N,月亮,月亮
58,Stern::N,星,星
59,Luft::N,空气,空气
60,Wind::N,风,风
61,Welle::N,波,波
62,Wasser::N,水,水
63,Stein::N,石头,石头
64,Boden::N,地面,地面
65,Erde::N,地,地
66,Staub::N,灰尘,灰尘
67,Rauch::N,烟,烟
68,Funke::N,火花,火花
69,Feuer::N,火,火
70,Licht::N,光,光
