,Concept_ID,pt,ml
0,Auge::N,olho,കണ്ണ്
1,Ohr::N,orelha,ചെവി
2,Nase::N,nariz,മൂക്ക്
3,Mund::N,boca,വായ
4,Zahn::N,dente,പല്ല്
5,Zunge::N,língua,നാക്ക്
6,Lippe::N,lábio,ചുണ്ട്
7,Wange::N,face,കവിൾത്തടം
8,Gesicht::N,cara,മുഖം
9,Gesicht::N,rosto,മുഖം
10,Stirn::N,testa,നെറ്റി
11,Haar::N,cabelo,തലമുടി
12,Schnurrbart::N,bigode,മീശ
13,Bart::N,barba,താടിരോമം
14,Kinn::N,queixo,താടി
15,Kiefer[Anatomie]::N,maxila,താടിയെല്ല്
16,Kiefer[Anatomie]::N,mandíbula,താടിയെല്ല്
17,Kehle::N,garganta,കണ്ഠനാളം
18,Hals::N,colo,കഴുത്ത്
19,Hals::N,pescoço,കഴുത്ത്
20,Genick::N,nuca,പിടലി
21,Kopf::N,cabeça,തല
22,Rücken::N,dorso,മുതുക്
23,Rücken::N,costas,മുതുക്
24,Bauch::N,ventre,നയറ്
25,Bauch::N,barriga,നയറ്
26,Nabel::N,umbigo,നാഭി
27,Busen::N,seio,സ്തനം
28,Brust::N,peito,സ്തനം
29,Schulter::N,ombro,തോൾ
30,Arm::N,braço,കൈ
31,Ellenbogen::N,cotovelo,കൈമുട്ട്
32,Hand::N,mão,കൈ
33,Handfläche::N,palma,ഉള്ളം കൈ
34,Handfläche::N,palma da mão,ഉള്ളം കൈ
35,Finger::N,dedo,വിരൽ
36,Fingernagel::N,unha,നഖം
37,Nagel[Anatomie]::N,unha,നഖം
38,Zeh::N,dedo do pé,കാൽവിരൽ
39,Fuß::N,pé,കാൽപ്പാദം
40,Ferse::N,calcanhar,ഉപ്പൂറ്റി
41,Knie::N,joelho,കാൽമുട്ട്
42,Oberschenkel::N,coxa,തുട
43,Bein::N,perna,കാൽ
44,Körper::N,corpo,ശരീരം
45,Haut::N,pele,ചർമ്മം
46,Blut::N,sangue,രക്തം
47,Ader::N,veia,ഞരമ്പ്
48,Sehne::N,tendão,സ്നായു
49,Knochen::N,osso,അസ്ഥി
50,Gehirn::N,cérebro,തലച്ചോറ്
51,Herz::N,coração,ഹൃദയം
52,Magen::N,estômago,വയർ
53,Leber::N,fígado,കരൾ
54,Atem::N,fôlego,ശ്വാസം
55,Hunger::N,fome,വിശപ്പ്
56,Träne::N,lágrima,കണ്ണീർ
57,Geschmack::N,gosto,രുചി
58,Geruch::N,odor,ഗന്ധം
59,Geruch::N,cheiro,ഗന്ധം
60,Schlaf::N,sono,ഉറകും
61,Traum::N,sonho,സ്വപ്നം
62,Himmel::N,céu,ആകാശം
63,Sonne::N,sol,സൂര്യൻ
64,Mond::N,lua,ചന്ദ്രൻ
65,Stern::N,estrela,നക്ഷത്രം
66,Luft::N,ar,കാറ്റ്
67,Wind::N,vento,കാറ്റ്
68,Welle::N,onda,തിരമാല
69,Wasser::N,água,വെള്ളം
70,Stein::N,pedra,ശില
71,Stein::N,pedra,കല്ല്
72,Boden::N,solo,തറ
73,Boden::N,solo,നിലം
74,Erde::N,terra,മണ്ണ്
75,Staub::N,pó,പൊടി
76,Rauch::N,fumo,പുക
77,Funke::N,faísca,തീപ്പൊരി
78,Funke::N,centelha,തീപ്പൊരി
79,Feuer::N,fogo,തീ
80,Licht::N,luz,വിളക്ക്
81,Licht::N,luz,സൂര്യപ്രകാശം
82,Schatten::N,sombra,തണൽ
83,Wetter::N,tempo,കാലാവസ്ഥ
84,Nebel::N,nevoeiro,മൂടൽമഞ്ഞ്
85,Wolke::N,nuvem,മേഘം
86,Regen::N,chuva,മഴ
87,Schnee::N,neve,മഞ്ഞ്
88,Eis::N,gelo,ഐസ്
89,Frost::N,gelo,മൂടൽമഞ്ഞ്
90,Frost::N,geada,മൂടൽമഞ്ഞ്
91,Kälte::N,frio,തണുപ്പ്
92,Hitze::N,ardor,ചൂട്
93,Raureif::N,geada,കോടമഞ്ഞ്
94,Regenbogen::N,arco-iris,മഴവില്ല്
95,Donner::N,trovão,ഇടി
96,Strömung::N,corrente,പ്രവാഹം
97,Tropfen::N,gota,തുള്ളി
98,Schaum::N,espuma,നുര
99,Schmutz::N,sujidade,അഴുക്ക്
100,Schmutz::N,imundície,അഴുക്ക്
101,See::N,lago,തടാകം
102,Sumpf::N,charco,ചതുപ്പുനിലം
103,Sumpf::N,pântano,ചതുപ്പുനിലം
104,Moor::N,pântano,പാഴ്നിലം
105,Wiese::N,prado,പുൽത്തകിടി
106,Wald::N,bosque,വനം
107,Wald::N,bosque,കാട്
108,Wald::N,floresta,വനം
109,Wald::N,floresta,കാട്
110,Hügel::N,colina,കുന്ന്
111,Anhöhe::N,alto,ഉയർന്ന ഭൂമി
112,Anhöhe::N,outeiro,ഉയർന്ന ഭൂമി
113,Berg::N,monte,പർവ്വതം
114,Berg::N,montanha,പർവ്വതം
115,Gipfel::N,pico,ഉച്ചകോടി
116,Höhle::N,caverna,ഗുഹ
117,Abhang::N,encosta,ചരിവ്
118,Quelle::N,fonte,ഉറവിടം
119,Bach::N,regato,അരുവി
120,Bach::N,ribeiro,അരുവി
121,Fluss::N,rio,നദി
122,Ufer::N,beira,തീരം
123,Küste::N,costa,കടൽത്തീരം
124,Festland::N,terra firme,കര
125,Meer::N,mar,കടൽ
126,Bucht::N,baía,ഉൾക്കടല്
127,Insel::N,ilha,ദ്വീപ്
128,Blume::N,flor,പൂവ്
129,Gras::N,erva,പുല്ല്
130,Wurzel::N,raiz,വേര്
131,Baum::N,árvore,മരം
132,Stamm::N,tronco,തായ്ത്തടി
133,Rinde::N,casca,പട്ട
134,Ast::N,ramo,ശാഖ
135,Zweig::N,galho,ശാഖ
136,Blatt::N,folha,ഇല
137,Birke::N,bétula,പൂവരശ്
138,Kiefer[Baum]::N,pinheiro,പൈൻമരം
139,Weide[Baum]::N,salgueiro,വില്ലോ
140,Tanne::N,abeto,ദേവദാരു
141,Horn::N,corno,മൃഗത്തിൻറെ കൊമ്പ്
142,Horn::N,chifre,മൃഗത്തിൻറെ കൊമ്പ്
143,Feder::N,pena,തൂവൽ
144,Fell::N,pele,മൃദുരോമം
145,Flügel::N,asa,ചിറക്
146,Klaue::N,pata,നഖം
147,Kralle::N,unha,നഖം
148,Kralle::N,garra,നഖം
149,Schwanz::N,rabo,വാൽ
