,Concept_ID,sk,ml
0,Auge::N,oko,കണ്ണ്
1,Ohr::N,ucho,ചെവി
2,Nase::N,nos,മൂക്ക്
3,Mund::N,ústa,വായ
4,Zahn::N,zub,പല്ല്
5,Zunge::N,jazyk,നാക്ക്
6,Lippe::N,pera,ചുണ്ട്
7,Wange::N,líce,കവിൾത്തടം
8,Gesicht::N,tvár,മുഖം
9,Gesicht::N,obličaj,മുഖം
10,Stirn::N,čelo,നെറ്റി
11,Haar::N,vlas,തലമുടി
12,Schnurrbart::N,fúzy,മീശ
13,Bart::N,brada,താടിരോമം
14,Kinn::N,brada,താടി
15,Kiefer[Anatomie]::N,čeľusť,താടിയെല്ല്
16,Kehle::N,hrdlo,കണ്ഠനാളം
17,Hals::N,krk,കഴുത്ത്
18,Genick::N,väzy,പിടലി
19,Kopf::N,hlava,തല
20,Rücken::N,chrbát,മുതുക്
21,Bauch::N,brucho,നയറ്
22,Nabel::N,pupok,നാഭി
23,Busen::N,prsia,സ്തനം
24,Brust::N,hruď,സ്തനം
25,Schulter::N,plece,തോൾ
26,Arm::N,rameno,കൈ
27,Ellenbogen::N,lakeť,കൈമുട്ട്
28,Hand::N,ruka,കൈ
29,Handfläche::N,dlaň,ഉള്ളം കൈ
30,Finger::N,prst,വിരൽ
31,Fingernagel::N,necht,നഖം
32,Nagel[Anatomie]::N,necht,നഖം
33,Zeh::N,prst na nohe,കാൽവിരൽ
34,Fuß::N,noha,കാൽപ്പാദം
35,Ferse::N,päta,ഉപ്പൂറ്റി
36,Knie::N,koleno,കാൽമുട്ട്
37,Oberschenkel::N,stehno,തുട
38,Bein::N,noha,കാൽ
39,Körper::N,telo,ശരീരം
40,Haut::N,koža,ചർമ്മം
41,Blut::N,krv,രക്തം
42,Ader::N,žila,ഞരമ്പ്
43,Sehne::N,šľacha,സ്നായു
44,Knochen::N,kosť,അസ്ഥി
45,Gehirn::N,mozog,തലച്ചോറ്
46,Herz::N,srdce,ഹൃദയം
47,Magen::N,žalúdok,വയർ
48,Leber::N,pečeň,കരൾ
49,Atem::N,dych,ശ്വാസം
50,Hunger::N,hlad,വിശപ്പ്
51,Träne::N,slza,കണ്ണീർ
52,Geschmack::N,chuť,രുചി
53,Geruch::N,pach,ഗന്ധം
54,Schlaf::N,spánok,ഉറകും
55,Traum::N,sen,സ്വപ്നം
56,Himmel::N,nebo,ആകാശം
57,Sonne::N,slnko,സൂര്യൻ
58,Mond::N,mesiac,ചന്ദ്രൻ
59,Stern::N,hviezda,നക്ഷത്രം
60,Luft::N,vzduch,കാറ്റ്
61,Wind::N,vietor,കാറ്റ്
62,Welle::N,vlna,തിരമാല
63,Wasser::N,voda,വെള്ളം
64,Stein::N,kameň,ശില
65,Stein::N,kameň,കല്ല്
66,Boden::N,zem,തറ
67,Boden::N,zem,നിലം
68,Boden::N,pôda,തറ
69,Boden::N,pôda,നിലം
70,Erde::N,zem,മണ്ണ്
71,Staub::N,prach,പൊടി
72,Rauch::N,dym,പുക
73,Funke::N,iskra,തീപ്പൊരി
74,Feuer::N,oheň,തീ
75,Licht::N,svetlo,വിളക്ക്
76,Licht::N,svetlo,സൂര്യപ്രകാശം
77,Schatten::N,tieň,തണൽ
78,Wetter::N,počasie,കാലാവസ്ഥ
79,Nebel::N,hmla,മൂടൽമഞ്ഞ്
80,Wolke::N,oblak,മേഘം
81,Wolke::N,mračno,മേഘം
82,Regen::N,dážď,മഴ
83,Schnee::N,sneh,മഞ്ഞ്
84,Eis::N,ľad,ഐസ്
85,Frost::N,mráz,മൂടൽമഞ്ഞ്
86,Kälte::N,zima,തണുപ്പ്
87,Kälte::N,chlad,തണുപ്പ്
88,Hitze::N,horúčava,ചൂട്
89,Raureif::N,srieň,കോടമഞ്ഞ്
90,Raureif::N,inovať,കോടമഞ്ഞ്
91,Regenbogen::N,dúha,മഴവില്ല്
92,Donner::N,hrom,ഇടി
93,Strömung::N,prúdenie,പ്രവാഹം
94,Tropfen::N,kvapka,തുള്ളി
95,Schaum::N,pena,നുര
96,Schmutz::N,špina,അഴുക്ക്
97,Schmutz::N,nečistota,അഴുക്ക്
98,See::N,jazero,തടാകം
99,Sumpf::N,bahno,ചതുപ്പുനിലം
100,Moor::N,močiar,പാഴ്നിലം
101,Wiese::N,lúka,പുൽത്തകിടി
102,Wald::N,les,വനം
103,Wald::N,les,കാട്
104,Wald::N,hora,വനം
105,Wald::N,hora,കാട്
106,Hügel::N,vŕšok,കുന്ന്
107,Anhöhe::N,výšina,ഉയർന്ന ഭൂമി
108,Anhöhe::N,vyvýšenina,ഉയർന്ന ഭൂമി
109,Berg::N,hora,പർവ്വതം
110,Gipfel::N,vrchol,ഉച്ചകോടി
111,Höhle::N,jaskyňa,ഗുഹ
112,Abhang::N,úbočie,ചരിവ്
113,Quelle::N,prameň,ഉറവിടം
114,Bach::N,potok,അരുവി
115,Fluss::N,rieka,നദി
116,Ufer::N,breh,തീരം
117,Küste::N,pobrežie,കടൽത്തീരം
118,Festland::N,pevnina,കര
119,Meer::N,more,കടൽ
120,Bucht::N,záliv,ഉൾക്കടല്
121,Bucht::N,zátoka,ഉൾക്കടല്
122,Insel::N,ostrov,ദ്വീപ്
123,Blume::N,kvet,പൂവ്
124,Blume::N,kvetina,പൂവ്
125,Gras::N,tráva,പുല്ല്
126,Wurzel::N,koreň,വേര്
127,Baum::N,strom,മരം
128,Stamm::N,kmeň,തായ്ത്തടി
129,Rinde::N,kôra,പട്ട
130,Ast::N,konár,ശാഖ
131,Zweig::N,vetva,ശാഖ
132,Blatt::N,list,ഇല
133,Birke::N,breza,പൂവരശ്
134,Kiefer[Baum]::N,sosna,പൈൻമരം
135,Kiefer[Baum]::N,borovica,പൈൻമരം
136,Weide[Baum]::N,vŕba,വില്ലോ
137,Tanne::N,jedľa,ദേവദാരു
138,Horn::N,roh,മൃഗത്തിൻറെ കൊമ്പ്
139,Feder::N,pero,തൂവൽ
140,Fell::N,koža,മൃദുരോമം
141,Fell::N,kožušina,മൃദുരോമം
142,Flügel::N,krídlo,ചിറക്
143,Klaue::N,paznecht,നഖം
144,Kralle::N,pazúr,നഖം
145,Schwanz::N,chvost,വാൽ
146,Ei::N,vajce,മുട്ട
147,Ei::N,vajíčko,മുട്ട
148,Nest::N,hniezdo,കൂട്
149,Bau::N,nora,മാളം
150,Tier::N,zviera,മൃഗം
151,Herde::N,stádo,കൂട്ടം
152,Kuh::N,krava,പശു
153,Bulle::N,býk,കാള
154,Pferd::N,kôň,കുതിര
155,Schaf::N,ovca,ആട്
156,Schwein::N,sviňa,പന്നി
157,Hund::N,pes,നായ്
158,Katze::N,mačka,പൂച്ച
159,Bär::N,medveď,കരടി
160,Eichhörnchen::N,veverička,അണ്ണാൻ
161,Elch::N,los,കടമാന്
162,Fuchs::N,líška,കുറുക്കൻ
163,Hase::N,zajac,മുയൽ
164,Maus::N,myš,ചുണ്ടലി
165,Wolf::N,vlk,ചെന്നായ
166,Vogel::N,vták,പക്ഷി
167,Schwarm::N,roj,കൂട്ടം
168,Huhn::N,kurča,കോഴി
169,Huhn::N,sliepka,കോഴി
170,Hahn::N,kohút,പൂവൻകോഴി
171,Gans::N,hus,അരയന്നം
172,Adler::N,orol,കഴുകൻ
173,Ente::N,kačka,താറാവ്
174,Ente::N,kačica,താറാവ്
175,Eule::N,sova,മൂങ്ങ
176,Kranich::N,žeriav,കൊക്ക്
177,Krähe::N,vrana,കാക്ക
178,Kuckuck::N,kukučka,കുയിൽ
179,Schwan::N,labuť,അരയന്നം
180,Fisch::N,ryba,മത്സ്യം
181,Barsch::N,ostriež,ഒരിനം മത്സ്യം
182,Hecht::N,šťuka,ഒരു മത്സ്യം
183,Schlange[Tier]::N,had,പാമ്പ്
184,Wurm::N,červ,വിര
185,Spinne::N,pavúk,ചിലന്തി
186,Ameise::N,mravec,ഉറുമ്പ്
187,Laus::N,voš,പേന്
188,Mücke::N,komár,മശകം
189,Fliege::N,mucha,ഈച്ച
190,Schmetterling::N,motýľ,ചിത്രശലഭം
191,Beere::N,bobuľa,ബെറി
192,Apfel::N,jablko,ആപ്പിൾ
193,Pilz::N,hríb,കൂൺ
194,Zwiebel::N,cibuľa,സവാള
195,Saat::N,osivo,വിത്ത്
196,Korn::N,zrno,ധാന്യം
197,Heu::N,seno,വയ്ക്കോൽ
198,Schale::N,šupa,തൊലി
199,Schale::N,škrupina,തൊലി
200,Grube::N,jama,കുഴി
201,Falle::N,pasca,കെണി
