,Concept_ID,la,es
0,Auge::N,oculus,ojo
1,Ohr::N,auris,oreja
2,Nase::N,nasus,nariz
3,Mund::N,os,boca
4,Zahn::N,dens,diente
5,Zunge::N,lingua,lengua
6,Lippe::N,labrum,labio
7,Wange::N,gena,mejilla
8,Gesicht::N,vultus,cara
9,Stirn::N,frons,frente
10,Haar::N,capillus,cabello
11,Schnurrbart::N,barba labri superioris,bigote
12,Bart::N,barba,barba
13,Kinn::N,mentum,barbilla
14,Kiefer[Anatomie]::N,mala,mandíbula
15,Kehle::N,iugulums,garganta
16,Hals::N,collum,cuello
17,Genick::N,cervices,nuca
18,Genick::N,cervices,cerviz
19,Kopf::N,caput,cabeza
20,Rücken::N,tergum,espalda
21,Bauch::N,venter,vientre
22,Nabel::N,umbilicus,ombligo
23,Busen::N,sinus,pecho
24,Brust::N,pectus,pecho
25,Schulter::N,umerus,hombro
26,Arm::N,bracchium,brazo
27,Ellenbogen::N,cubitum,codo
28,Hand::N,manus,mano
29,Handfläche::N,palma,palma
30,Finger::N,digitus,dedo
31,Fingernagel::N,unguiculus,uña
32,Nagel[Anatomie]::N,unguis,uña
33,Zeh::N,digitus,dedo del pie
34,Fuß::N,pes,pie
35,Ferse::N,calx,talón
36,Knie::N,genu,rodilla
37,Oberschenkel::N,femur,muslo
38,Bein::N,crus,pierna
39,Körper::N,corpus,cuerpo
40,Haut::N,cutis,piel
41,Haut::N,pellis,piel
42,Blut::N,sanguis,sangre
43,Ader::N,vena,vena
44,Sehne::N,nervus,tendón
45,Knochen::N,os,hueso
46,Gehirn::N,cerebrum,cerebro
47,Gehirn::N,cerebrum,encéfalo
48,Herz::N,cor,corazón
49,Herz::N,animus,corazón
50,Magen::N,stomachus,estómago
51,Leber::N,iecur,hígado
52,Atem::N,spiritus,aliento
53,Hunger::N,fames,hambre
54,Träne::N,lacrima,lágrima
55,Geschmack::N,sapor,gusto
56,Geschmack::N,gustus,gusto
57,Geruch::N,odor,olor
58,Schlaf::N,somnus,sueño
59,Traum::N,somnium,sueño
60,Traum::N,somnium,ensueño
61,Himmel::N,caelum,cielo
62,Sonne::N,sol,sol
63,Mond::N,luna,luna
64,Stern::N,sidus,estrella
65,Stern::N,stella,estrella
66,Luft::N,aer,aire
67,Wind::N,ventus,viento
68,Welle::N,unda,ola
69,Welle::N,unda,onda
70,Wasser::N,aqua,agua
71,Stein::N,lapis,piedra
72,Boden::N,solum,suelo
73,Erde::N,terra,tierra
74,Staub::N,pulvis,polvo
75,Rauch::N,fumus,humo
76,Funke::N,scintilla,chispa
77,Feuer::N,ignis,fuego
78,Licht::N,lux,luz
79,Licht::N,lumen,luz
80,Schatten::N,umbra,sombra
81,Wetter::N,caelum,tiempo
82,Wetter::N,tempestas,tiempo
83,Nebel::N,nebula,niebla
84,Wolke::N,nubes,nube
85,Regen::N,imber,lluvia
86,Regen::N,pluvia,lluvia
87,Schnee::N,nix,nieve
88,Eis::N,glacies,hielo
89,Frost::N,gelu,helada
90,Kälte::N,frigus,frío
91,Hitze::N,calor,calor
92,Hitze::N,aestus,calor
93,Raureif::N,pruina,escarcha
94,Regenbogen::N,arcus,arco iris
95,Donner::N,tonitrus,trueno
96,Strömung::N,fluctus,corriente
97,Tropfen::N,gutta,gota
98,Schaum::N,spuma,espuma
99,Schmutz::N,sordes,suciedad
100,Schmutz::N,squalor,suciedad
101,See::N,lacus,lago
102,Sumpf::N,palus,pantano
103,Moor::N,palus,turbera
104,Wiese::N,pratum,prado
105,Wiese::N,pratum,pradera
106,Wald::N,silva,bosque
107,Hügel::N,collis,colina
108,Anhöhe::N,specula,cerro
109,Berg::N,mons,monte
110,Berg::N,mons,montaña
111,Gipfel::N,vertex,cima
112,Gipfel::N,vertex,cumbre
113,Höhle::N,caverna,cueva
114,Höhle::N,caverna,caverna
115,Höhle::N,spelunca,cueva
116,Höhle::N,spelunca,caverna
117,Abhang::N,declivum,cuesta
118,Abhang::N,declivum,declive
119,Quelle::N,fons,fuente
120,Quelle::N,fons,manantial
121,Bach::N,rivus,arroyo
122,Fluss::N,flumen,río
123,Ufer::N,ripa,orilla
124,Küste::N,litus,costa
125,Festland::N,continens,tierra firme
126,Meer::N,mare,mar
127,Bucht::N,sinus,cala
128,Bucht::N,sinus,bahía
129,Insel::N,insula,isla
130,Blume::N,flos,flor
131,Gras::N,herba,hierba
132,Gras::N,gramen,hierba
133,Wurzel::N,radix,raíz
134,Baum::N,arbor,árbol
135,Stamm::N,truncus,tronco
136,Rinde::N,cortex,corteza
137,Ast::N,ramus,rama
138,Zweig::N,ramus,ramo
139,Blatt::N,folium,hoja
140,Birke::N,betulla,abedul
141,Kiefer[Baum]::N,pinus,pino
142,Weide[Baum]::N,salix,sauce
143,Tanne::N,abies,abeto
144,Horn::N,cornu,asta
145,Horn::N,cornu,cuerno
146,Feder::N,penna,pluma
147,Fell::N,pellis,piel
148,Flügel::N,ala,ala
149,Klaue::N,unguis,garra
150,Kralle::N,unguis,uña
151,Kralle::N,unguis,garra
152,Schwanz::N,cauda,cola
153,Ei::N,ovum,huevo
154,Nest::N,nidus,nido
155,Bau::N,cavum,madriguera
156,Bau::N,latibulum,madriguera
157,Tier::N,bestia,animal
158,Herde::N,grex,rebaño
159,Kuh::N,vacca,vaca
160,Bulle::N,taurus,toro
161,Pferd::N,equus,caballo
162,Schaf::N,ovis,oveja
163,Schwein::N,sus,cerdo
164,Schwein::N,porcus,cerdo
165,Hund::N,canis,perro
166,Katze::N,felis,gato
167,Bär::N,ursus,oso
168,Eichhörnchen::N,sciurus,ardilla
169,Elch::N,alces,alce
170,Fuchs::N,vulpes,zorro
171,Hase::N,lepus,liebre
172,Maus::N,mus,ratón
173,Wolf::N,lupus,lobo
174,Vogel::N,avis,ave
175,Vogel::N,avis,pájaro
176,Schwarm::N,examen,bandada
177,Huhn::N,gallina,gallina
178,Hahn::N,gallus,gallo
179,Gans::N,anser,oca
180,Gans::N,anser,ganso
181,Adler::N,aquila,águila
182,Ente::N,anas,pato
183,Eule::N,ulula,lechuza
184,Eule::N,noctua,lechuza
185,Kranich::N,grus,grulla
186,Krähe::N,cornix,corneja
187,Kuckuck::N,cuculus,cuco
188,Schwan::N,olor,cisne
189,Schwan::N,cycnus,cisne
190,Fisch::N,piscis,pez
191,Barsch::N,perca,perca
192,Hecht::N,esox,lucio
193,Schlange[Tier]::N,serpens,serpiente
194,Wurm::N,vermis,gusano
195,Spinne::N,aranea,araña
196,Ameise::N,formica,hormiga
197,Laus::N,pediculus,piojo
198,Mücke::N,culex,mosquito
199,Fliege::N,musca,mosca
200,Schmetterling::N,papilio,mariposa
201,Beere::N,baca,baya
202,Apfel::N,malum,manzana
203,Pilz::N,fungus,seta
204,Pilz::N,fungus,hongo
205,Zwiebel::N,cepa,cebolla
206,Saat::N,seges,siembra
207,Korn::N,granum,grano
208,Heu::N,faenum,heno
209,Schale::N,putamen,cáscara
210,Grube::N,fovea,foso
211,Falle::N,pedica,trampa
212,Schlinge::N,laqueus,lazo
213,Spur::N,vestigium,huella
214,Asche::N,cinis,ceniza
215,Dreck::N,lutum,suciedad
216,Eisen::N,ferrum,hierro
217,Gold::N,aurum,oro
218,Silber::N,argentum,plata
219,Kohle::N,carbo,carbón
220,Glas::N,vitrum,vidrio
221,Glas::N,vitrum,cristal
222,Lehm::N,lutum,barro
223,Sand::N,arena,arena
224,Mensch::N,homo,hombre
225,Mensch::N,homo,ser humano
226,Mann::N,vir,hombre
227,Frau::N,mulier,mujer
228,Kind::N,puer,niño
229,Kind::N,infans,niño
230,Junge::N,puer,chico
231,Junge::N,puer,muchacho
232,Mädchen::N,puella,chica
233,Mädchen::N,puella,muchacha
234,Familie::N,familia,familia
235,Großvater::N,avus,abuelo
236,Großmutter::N,avia,abuela
237,Eltern::N,parentes,padres
238,Vater::N,pater,padre
239,Mutter::N,mater,madre
240,Sohn::N,filius,hijo
241,Tochter::N,filia,hija
242,Bruder::N,frater,hermano
243,Schwester::N,soror,hermana
244,Onkel::N,patruus,tío
245,Onkel::N,avunculus,tío
246,Tante::N,amita,tía
247,Ehemann::N,maritus,esposo
248,Ehefrau::N,uxor,esposa
249,Freude::N,gaudium,placer
250,Freude::N,gaudium,alegría
251,Freude::N,laetitia,placer
252,Freude::N,laetitia,alegría
253,Gelächter::N,risus,risa
254,Gelächter::N,risus,carcajada
255,Glück::N,felicitas,felicidad
256,Kummer::N,aegritudo,pena
257,Wunsch::N,voluntas,deseo
258,Wunsch::N,desiderium,deseo
259,Lust::N,libido,ganas
260,Lust::N,voluptas,ganas
261,Geist::N,mens,mente
262,Geist::N,mens,espíritu
263,Geist::N,animus,mente
264,Geist::N,animus,espíritu
265,Gedanke::N,sententia,idea
266,Gedanke::N,sententia,pensamiento
267,Gedächtnis::N,memoria,memoria
268,Verstand::N,ratio,razón
269,Verstand::N,ratio,entendimiento
270,Verstand::N,ingenium,razón
271,Verstand::N,ingenium,entendimiento
272,Sinn::N,sensus,sentido
273,Sinn::N,sensus,significado
274,Grund::N,causa,causa
275,Wahrheit::N,veritas,verdad
276,Gespräch::N,sermo,conversación
277,Märchen::N,fabula,cuento
278,Erzählung::N,fabula,cuento
279,Erzählung::N,fabula,narración
280,Erzählung::N,narratio,cuento
281,Erzählung::N,narratio,narración
282,Nachricht::N,nuntius,mensaje
283,Neuigkeit::N,novitas,noticia
284,Name::N,nomen,nombre
285,Rätsel::N,aenigma,acertijo
286,Rätsel::N,aenigma,adivinanza
287,Rede::N,oratio,discurso
288,Sprache::N,lingua,lengua
289,Stimme::N,vox,voz
290,Wort::N,verbum,palabra
291,Wort::N,vocabulum,palabra
292,Zeichen::N,signum,señal
293,Ruf::N,clamor,llamada
294,Lärm::N,strepitus,ruido
295,Lärm::N,strepitus,barullo
296,Laut::N,sonus,sonido
297,Ton::N,sonus,tono
298,Lied::N,carmen,canción
299,Ruhe::N,quies,calma
300,Ruhe::N,quies,silencio
301,Leute::N,homines,gente
302,Volk::N,populus,pueblo
303,Arbeit::N,labor,trabajo
304,Gast::N,hospes,huésped
305,Gast::N,hospes,invitado
306,Gast::N,conviva,huésped
307,Gast::N,conviva,invitado
308,Geschenk::N,munus,regalo
309,Spiel::N,ludus,juego
310,Gesellschaft::N,societas,compañía
311,Hilfe::N,auxilium,ayuda
312,Hilfe::N,auxilium,socorro
313,Hilfe::N,subsidium,ayuda
314,Hilfe::N,subsidium,socorro
315,Freund::N,amicus,amigo
316,Kamerad::N,socius,camarada
317,Kamerad::N,socius,compañero
318,Angelegenheit::N,res,asunto
319,Anzahl::N,numerus,cantidad
320,Art::N,genus,tipo
321,Art::N,genus,clase
322,Stück::N,frustum,pieza
323,Stück::N,fragmentum,pieza
324,Teil::N,pars,parte
325,Hälfte::N,dimidium,mitad
326,Kreis::N,orbis,círculo
327,Kreis::N,circus,círculo
328,Kreuz::N,crux,cruz
329,Linie::N,linea,línea
330,Strich::N,lineamentum,raya
331,Strich::N,lineamentum,trazo
332,Abstand::N,intervallum,distancia
333,Entfernung::N,spatium,distancia
334,Gegend::N,loca,región
335,Gegend::N,loca,comarca
336,Gegend::N,regio,región
337,Gegend::N,regio,comarca
338,Platz::N,locus,espacio
339,Ort::N,locus,sitio
340,Seite::N,latus,lado
341,Seite::N,latus,costado
342,Mitte::N,medium,medio
343,Mitte::N,medium,centro
344,Gegenstand::N,res,objeto
345,Sache::N,res,cosa
346,Rand::N,margo,borde
347,Kante::N,angulus,borde
348,Ecke::N,angulus,esquina
349,Spitze::N,cacumen,punta
350,Ende::N,caput,cabo
351,Ende::N,caput,extremo
352,Loch::N,foramen,agujero
353,Loch::N,foramen,abertura
354,Winkel::N,angulus,ángulo
355,Muster::N,exemplum,dibujo
