,Concept_ID,br,mdf
0,Auge::N,lagad,сельме
1,Ohr::N,skouarn,пиле
2,Nase::N,fri,шалхка
3,Mund::N,genoù,курга
4,Zahn::N,dant,пей
5,Zunge::N,teod,кяль
6,Lippe::N,muzell,търва́
7,Wange::N,chot,щёка
8,Gesicht::N,dremm,шама
9,Stirn::N,tal,коня
10,Haar::N,blev,шя́ярь
11,Schnurrbart::N,mourenn,уса́
12,Bart::N,barv,сакал
13,Kinn::N,groñj,ула
14,Kiefer[Anatomie]::N,javed,саласка
15,Kehle::N,gouzoug,кълдома
16,Kehle::N,gouzoug,кърга́парь
17,Hals::N,gouzoug,сялдаз
18,Genick::N,choug,шовонь
19,Kopf::N,penn,пря
20,Rücken::N,kein,копорь
21,Bauch::N,kof,пеке
22,Nabel::N,begel,по́кон
23,Busen::N,bronn,потя
24,Brust::N,bruched,мяште
25,Schulter::N,skoaz,лафту
26,Arm::N,brec'h,кядь
27,Ellenbogen::N,ilin,кенерьба́карь
28,Hand::N,dorn,кядь
29,Handfläche::N,palv,кядьлапш
30,Finger::N,biz,сур
31,Fingernagel::N,ivin,кенже
32,Nagel[Anatomie]::N,ivin,кенже
33,Zeh::N,biz-troad,пильгосу́р
34,Fuß::N,troad,пильге
35,Fuß::N,troad,пильгелапа
36,Ferse::N,seul,кочкяря
37,Knie::N,glin,эль
38,Knie::N,glin,пълма́нжа
39,Oberschenkel::N,morzhed,пильгепукша
40,Bein::N,gar,пильге
41,Körper::N,korf,ро́нга
42,Körper::N,korf,по́нда
43,Haut::N,kroc'hen,киське
44,Blut::N,gwad,вер
45,Ader::N,gwazhi,сан
46,Ader::N,gwazhi,верза́н
47,Sehne::N,stir,коське сан
48,Knochen::N,askorn,пакарь
49,Gehirn::N,empenn,уй
50,Herz::N,kalon,седи
51,Magen::N,stomog,коткърдазь
52,Leber::N,avu,макса
53,Atem::N,anal,лекома
54,Atem::N,anal,ваймонь тарксема
55,Hunger::N,naon,вачеши
56,Träne::N,daer,сельмове́дь
57,Geschmack::N,blaz,таньф
58,Geruch::N,c'hwezh,шине
59,Schlaf::N,kousked,удома́
60,Traum::N,hune,он
61,Himmel::N,oabl,менель
62,Sonne::N,heol,ши
63,Mond::N,loar,ков
64,Stern::N,steredenn,тяште
65,Luft::N,aer,кожф
66,Wind::N,avel,варма
67,Welle::N,houlenn,тавла
68,Wasser::N,dour,ведь
69,Stein::N,maen,кев
70,Boden::N,tachenn,мода
71,Boden::N,tachenn,потмакс
72,Erde::N,douar,мода
73,Erde::N,douar,мастор
74,Staub::N,poultr,пуль
75,Rauch::N,moged,качам
76,Funke::N,ful,ця́тка
77,Feuer::N,tan,тол
78,Licht::N,gouloù,ва́лда
79,Schatten::N,disheol,цильф
80,Wetter::N,amzer,уша
81,Nebel::N,brumenn,тума́н
82,Wolke::N,koumoulenn,ковол
83,Regen::N,glav,пизем
84,Schnee::N,erc'h,лов
85,Eis::N,skorn,эй
86,Frost::N,rev,ке́льме
87,Kälte::N,yen,якшама
88,Hitze::N,tommder,пси
89,Raureif::N,frim,леш
90,Regenbogen::N,gwareg-ar-glav,а́тямъёнга
91,Donner::N,kurun,атям
92,Strömung::N,red,шудема́
93,Tropfen::N,bannac'h,путькс
94,Tropfen::N,bannac'h,пътняфкс
95,Tropfen::N,takenn,путькс
96,Tropfen::N,takenn,пътняфкс
97,Schaum::N,spoum,шов
98,Schmutz::N,fank,ърда́з
99,See::N,lenn,эрьхке
100,Sumpf::N,gwern,шяй
101,Moor::N,taouarc'heg,шяй
102,Wiese::N,prad,луга
103,Wald::N,koad,вирь
104,Hügel::N,torgenn,губо́р
105,Hügel::N,torgenn,пандоня
106,Anhöhe::N,run,губо́р
107,Berg::N,menez,панда
108,Gipfel::N,barr,пря
109,Höhle::N,kav,у́нда
110,Abhang::N,naou,па́нда ша́ма
111,Quelle::N,feunteun,эшиня
112,Bach::N,gwazh,шудерькс
113,Fluss::N,stêr,ляй
114,Ufer::N,ribl,търва́
115,Küste::N,aod,ляйтърва́
116,Festland::N,douar,мода
117,Meer::N,mor,моря
118,Bucht::N,mor-bihan,ведьуське
119,Insel::N,enez,цёнга
120,Blume::N,bleunienn,панчф
121,Gras::N,geot,тише
122,Wurzel::N,gwrizienn,юр
123,Wurzel::N,gwrizienn,ункс
124,Baum::N,gwezenn,шуфта
125,Stamm::N,kef,ро́нга
126,Rinde::N,rusk,кер
127,Ast::N,barr,морга
128,Zweig::N,bod,тарад
129,Blatt::N,delienn,лопа
130,Birke::N,bezvenn,ке́лу
131,Kiefer[Baum]::N,pinenn,пиче
132,Weide[Baum]::N,halegenn,каль
133,Tanne::N,sapenn,куз
134,Horn::N,korn,сюра
135,Feder::N,pluñv,толга
136,Fell::N,kreoñ,кедь
137,Flügel::N,askell,паця
138,Klaue::N,skilf,кенже
139,Kralle::N,skilf,кенже
140,Schwanz::N,lost,пула
141,Ei::N,vi,ал
142,Nest::N,neizh,пиза
143,Bau::N,douarenn,пиза
144,Tier::N,loen,жува́та
145,Herde::N,tropell,нал
146,Herde::N,tropell,стада
