,Concept_ID,cs,lv
0,Auge::N,oko,син
1,Auge::N,oko,acs
2,Ohr::N,ucho,пель
3,Ohr::N,ucho,auss
4,Nase::N,nos,ныр
5,Nase::N,nos,deguns
6,Mund::N,pusa,вом
7,Mund::N,pusa,mute
8,Zahn::N,zub,пинь
9,Zahn::N,zub,zobs
10,Zunge::N,jazyk,кыв
11,Zunge::N,jazyk,mēle
12,Lippe::N,ret,вом дор
13,Lippe::N,ret,lūpa
14,Wange::N,tvář,бан
15,Wange::N,tvář,vaigs
16,Gesicht::N,obličej,чужӧм
17,Gesicht::N,obličej,seja
18,Gesicht::N,obličej,ģīmis
19,Stirn::N,čelo,плеш
20,Stirn::N,čelo,кымӧс
21,Stirn::N,čelo,piere
22,Haar::N,vlas,си
23,Haar::N,vlas,юрси
24,Haar::N,vlas,mats
25,Haar::N,vlasy,си
26,Haar::N,vlasy,юрси
27,Haar::N,vlasy,mats
28,Schnurrbart::N,kníry,ус
29,Schnurrbart::N,kníry,пыртсим
30,Schnurrbart::N,kníry,ūsas
31,Bart::N,vousy,тош
32,Bart::N,vousy,bārda
33,Kinn::N,brada,тшӧка
34,Kinn::N,brada,zods
35,Kinn::N,brada,smakrs
36,Kiefer[Anatomie]::N,čelist,черлы
37,Kiefer[Anatomie]::N,čelist,алака лы
38,Kiefer[Anatomie]::N,čelist,вомкӧтш лы
39,Kiefer[Anatomie]::N,čelist,žoklis
40,Kehle::N,hrdlo,голя
41,Kehle::N,hrdlo,rīkle
42,Hals::N,krk,сьылі
43,Hals::N,krk,kakls
44,Genick::N,týl,юрбӧр
45,Genick::N,týl,балябӧж
46,Genick::N,týl,sprands
47,Kopf::N,hlava,юр
48,Kopf::N,hlava,galva
49,Rücken::N,záda,мыш
50,Rücken::N,záda,mugura
51,Rücken::N,hřbet,мыш
52,Rücken::N,hřbet,mugura
53,Bauch::N,břicho,рушку
54,Bauch::N,břicho,vēders
55,Nabel::N,pupek,гӧг
56,Nabel::N,pupek,naba
57,Busen::N,ňadra,морӧс
58,Busen::N,ňadra,krūts
59,Brust::N,prsa,морӧс
60,Brust::N,prsa,krūts
61,Schulter::N,plece,пельпом
62,Schulter::N,plece,plecs
63,Schulter::N,rameno,пельпом
64,Schulter::N,rameno,plecs
65,Arm::N,ruka,ки
66,Arm::N,ruka,roka
67,Arm::N,ruka,delms
68,Ellenbogen::N,loket,гырддза
69,Ellenbogen::N,loket,elkonis
70,Hand::N,ruka,ки
71,Hand::N,ruka,roka
72,Hand::N,ruka,plauksta
73,Handfläche::N,dlaň,ки пыдӧс
74,Handfläche::N,dlaň,delna
75,Handfläche::N,dlaň,plauksta
76,Finger::N,prst,чунь
77,Finger::N,prst,pirksts
78,Fingernagel::N,nehet,гыж
79,Fingernagel::N,nehet,nags
80,Nagel[Anatomie]::N,nehet,гыж
81,Nagel[Anatomie]::N,nehet,nags
82,Zeh::N,prst u nohy,кок чунь
83,Zeh::N,prst u nohy,pirksts
84,Fuß::N,noha,кок
85,Fuß::N,noha,kāja
86,Ferse::N,pata,кокбӧр
87,Ferse::N,pata,papēdis
88,Knie::N,koleno,пидзӧс
89,Knie::N,koleno,celis
90,Oberschenkel::N,stehno,лядьвей
91,Oberschenkel::N,stehno,бек
92,Oberschenkel::N,stehno,ciska
93,Oberschenkel::N,stehno,augšstilbs
94,Bein::N,noha,кок
95,Bein::N,noha,kāja
96,Körper::N,tělo,туша
97,Körper::N,tělo,вывтыр
98,Körper::N,tělo,miesa
99,Körper::N,tělo,ķermenis
100,Haut::N,kůže,ку
101,Haut::N,kůže,āda
102,Blut::N,krev,вир
103,Blut::N,krev,asins
104,Ader::N,céva,сӧн
105,Ader::N,céva,asinsvads
106,Sehne::N,šlacha,вез
107,Sehne::N,šlacha,dzīsla
108,Knochen::N,kost,лы
109,Knochen::N,kost,kauls
110,Gehirn::N,mozek,вем
111,Gehirn::N,mozek,smadzenes
112,Herz::N,srdce,сьӧлӧм
113,Herz::N,srdce,sirds
114,Magen::N,žaludek,кынӧм
115,Magen::N,žaludek,kuņģis
116,Leber::N,játra,мус
117,Leber::N,játra,aknas
118,Atem::N,dech,лов
119,Atem::N,dech,elpa
120,Hunger::N,hlad,тшыг
121,Hunger::N,hlad,bads
122,Hunger::N,hlad,izsalkums
123,Träne::N,slza,синва
124,Träne::N,slza,asara
125,Geschmack::N,vkus,кӧр
126,Geschmack::N,vkus,чӧсмӧс
127,Geschmack::N,vkus,garša
128,Geruch::N,vůně,зын
129,Geruch::N,vůně,дук
130,Geruch::N,vůně,smaka
131,Geruch::N,zápach,зын
132,Geruch::N,zápach,дук
133,Geruch::N,zápach,smaka
134,Schlaf::N,spánek,узьӧм
135,Schlaf::N,spánek,miegs
136,Traum::N,sen,вӧт
137,Traum::N,sen,вӧтасьӧм
138,Traum::N,sen,sapnis
139,Himmel::N,nebe,енэж
140,Himmel::N,nebe,debess
141,Sonne::N,slunce,шонді
142,Sonne::N,slunce,saule
143,Mond::N,měsíc,тӧлысь
144,Mond::N,měsíc,mēness
145,Stern::N,hvězda,кодзув
146,Stern::N,hvězda,zvaigzne
147,Luft::N,vzduch,сынӧд
148,Luft::N,vzduch,gaiss
149,Wind::N,vítr,тӧв
150,Wind::N,vítr,vējš
151,Welle::N,vlna,гы
152,Welle::N,vlna,vilnis
153,Wasser::N,voda,ва
154,Wasser::N,voda,ūdens
155,Stein::N,kámen,из
156,Stein::N,kámen,akmens
157,Boden::N,půda,му
158,Boden::N,půda,augsne
159,Erde::N,země,му
160,Erde::N,země,му-ва
161,Erde::N,země,zeme
162,Staub::N,prach,бус
163,Staub::N,prach,putekļi
164,Rauch::N,dým,тшын
165,Rauch::N,dým,dūmi
166,Rauch::N,kouř,тшын
167,Rauch::N,kouř,dūmi
168,Funke::N,jiskra,кинь
169,Funke::N,jiskra,би кинь
170,Funke::N,jiskra,dzirkstele
171,Feuer::N,oheň,би
172,Feuer::N,oheň,uguns
173,Licht::N,světlo,югӧр
174,Licht::N,světlo,gaisma
175,Schatten::N,stín,вуджӧр
176,Schatten::N,stín,ēna
177,Wetter::N,počasí,поводдя
178,Wetter::N,počasí,laiks
179,Nebel::N,mlha,ру
180,Nebel::N,mlha,онь
181,Nebel::N,mlha,migla
182,Wolke::N,mrak,кымӧр
183,Wolke::N,mrak,mākonis
184,Wolke::N,oblak,кымӧр
185,Wolke::N,oblak,mākonis
186,Regen::N,déšť,зэр
187,Regen::N,déšť,lietus
188,Schnee::N,sníh,лым
189,Schnee::N,sníh,sniegs
190,Eis::N,led,йи
191,Eis::N,led,ledus
192,Frost::N,mráz,кӧдзыд
193,Frost::N,mráz,sals
194,Kälte::N,chlad,кӧдзыд
195,Kälte::N,chlad,saltums
196,Kälte::N,chlad,aukstums
197,Hitze::N,horko,пӧсь
198,Hitze::N,horko,гожӧд
199,Hitze::N,horko,karstums
200,Raureif::N,jinovatka,пуж
201,Raureif::N,jinovatka,гыӧр
202,Raureif::N,jinovatka,sarma
203,Regenbogen::N,duha,ӧшкамӧшка
204,Regenbogen::N,duha,varavīksne
205,Donner::N,hrom,гым
206,Donner::N,hrom,pērkons
207,Strömung::N,proudění,ва ныр
208,Strömung::N,proudění,визувтӧм
209,Strömung::N,proudění,straume
210,Strömung::N,proudění,strāvojums
211,Tropfen::N,kapka,войт
212,Tropfen::N,kapka,lāse
213,Schaum::N,pěna,быг
214,Schaum::N,pěna,быгзьӧм
215,Schaum::N,pěna,putas
216,Schmutz::N,špína,няйт
217,Schmutz::N,špína,dubļi
218,See::N,jezero,ты
219,See::N,jezero,ezers
220,Sumpf::N,močál,гыбад
221,Sumpf::N,močál,кад
222,Sumpf::N,močál,dumbrājs
223,Sumpf::N,močál,staignājs
224,Sumpf::N,bažina,гыбад
225,Sumpf::N,bažina,кад
226,Sumpf::N,bažina,dumbrājs
227,Sumpf::N,bažina,staignājs
228,Moor::N,bažina,нюр
229,Moor::N,bažina,purvs
230,Moor::N,bažina,muklājs
231,Moor::N,slatina,нюр
232,Moor::N,slatina,purvs
233,Moor::N,slatina,muklājs
234,Wiese::N,louka,видз
235,Wiese::N,louka,pļava
236,Wald::N,les,вӧр
237,Wald::N,les,mežs
238,Hügel::N,kopec,дзиб
239,Hügel::N,kopec,мыльк
240,Hügel::N,kopec,нӧрыс
241,Hügel::N,kopec,paugurs
242,Anhöhe::N,pahorek,мыльк
243,Anhöhe::N,pahorek,нӧрыс
244,Anhöhe::N,pahorek,paugurs
245,Berg::N,hora,чой
246,Berg::N,hora,керӧс
247,Berg::N,hora,kalns
248,Gipfel::N,vrchol,чук
249,Gipfel::N,vrchol,virsotne
250,Höhle::N,jeskyně,рудӧг
251,Höhle::N,jeskyně,ala
252,Abhang::N,svah,ньывк
253,Abhang::N,svah,бокша
254,Abhang::N,svah,nogāze
255,Abhang::N,stráň,ньывк
256,Abhang::N,stráň,бокша
257,Abhang::N,stráň,nogāze
258,Quelle::N,pramen,ӧшмӧс
259,Quelle::N,pramen,avots
260,Bach::N,potok,шор
261,Bach::N,potok,urga
262,Bach::N,potok,strauts
263,Fluss::N,řeka,ю
264,Fluss::N,řeka,upe
265,Ufer::N,břeh,вадор
266,Ufer::N,břeh,krasts
267,Küste::N,pobřeží,вадор
268,Küste::N,pobřeží,piekraste
269,Festland::N,souš,му
270,Festland::N,souš,sauszeme
271,Festland::N,pevnina,му
272,Festland::N,pevnina,sauszeme
273,Meer::N,moře,саридз
274,Meer::N,moře,jūra
275,Bucht::N,záliv,куръя
276,Bucht::N,záliv,līcis
277,Bucht::N,zátoka,куръя
278,Bucht::N,zátoka,līcis
279,Insel::N,ostrov,ді
280,Insel::N,ostrov,sala
281,Blume::N,květina,дзоридз
282,Blume::N,květina,puķe
283,Blume::N,květina,zieds
284,Gras::N,tráva,турун
285,Gras::N,tráva,zāle
286,Wurzel::N,kořen,вуж
287,Wurzel::N,kořen,sakne
288,Baum::N,strom,пу
289,Baum::N,strom,koks
290,Stamm::N,kmen,пучер
291,Stamm::N,kmen,stumbrs
292,Rinde::N,kůra,кырсь
293,Rinde::N,kůra,miza
294,Ast::N,větev,ув
295,Ast::N,větev,zars
296,Zweig::N,větev,вож
297,Zweig::N,větev,nozare
298,Blatt::N,lupen,кор
299,Blatt::N,lupen,lapa
300,Birke::N,bříza,кыдз
301,Birke::N,bříza,bērzs
302,Kiefer[Baum]::N,sosna,пожӧм
303,Kiefer[Baum]::N,sosna,priede
304,Kiefer[Baum]::N,borovice,пожӧм
305,Kiefer[Baum]::N,borovice,priede
306,Weide[Baum]::N,vrba,бадь
307,Weide[Baum]::N,vrba,kārkls
308,Tanne::N,jedle,коз
309,Tanne::N,jedle,egle
310,Horn::N,roh,сюр
311,Horn::N,roh,rags
312,Feder::N,pero,гӧн
