,Concept_ID,ta,kv
0,Auge::N,கண்,син
1,Ohr::N,காது,пель
2,Nase::N,மூக்கு,ныр
3,Mund::N,வாய்,ӧм
4,Zahn::N,பல்,пинь
5,Zunge::N,நாக்கு,кыв
6,Lippe::N,உதடு,тырп
7,Wange::N,கன்னம்,рожабан
8,Gesicht::N,முகம்,бан
9,Stirn::N,முன்னெற்றி,кымӧс
10,Haar::N,முடி,юрси
11,Schnurrbart::N,மீசை,уссэз
12,Bart::N,தாடி,тош
13,Kinn::N,கீழதாடை,тшӧка
14,Kiefer[Anatomie]::N,தாடை,ан
15,Kehle::N,தொண்டை,юан
16,Hals::N,கழுத்து,юан
17,Genick::N,கழுத்து,юр бӧр
18,Kopf::N,தலை,юр
19,Rücken::N,முதுகு,мышк
20,Bauch::N,வயிறு,кынӧм
21,Nabel::N,தொப்புள்,гӧг
22,Busen::N,மார்பகம்,морос
23,Brust::N, மார்பு,морос
24,Schulter::N,தோள்பட்டை,пельпон
25,Arm::N,கரம்,ки
26,Ellenbogen::N,முழங்கை,гырдзза
27,Hand::N,கை,кикар
28,Handfläche::N,உள்ளங்கை,ки пыдӧс
29,Finger::N,விரல்,чунь
30,Fingernagel::N,விரல் நகம்,гыж
31,Nagel[Anatomie]::N,நகம்,гыж
32,Zeh::N,கால்விரல்,чунь
33,Fuß::N,கால்,кокпыдӧс
34,Ferse::N,குதிகால்,кокдзир
35,Knie::N,முழங்கால்,пидзӧс
36,Oberschenkel::N,தொடை,лядьбей
37,Bein::N,கால்,кок
38,Körper::N,உடல்,вывтыр
39,Haut::N,சருமம்,кучик
40,Blut::N,இரத்தம்,вир
41,Ader::N,நாளம்,сӧн
42,Sehne::N,தசைநார்,жила
43,Knochen::N,எலுமபு,коска
44,Gehirn::N,மூனை,вем
45,Herz::N,இதயம,сьӧлӧм
46,Magen::N,வயிறு,жӧвдӧк
47,Leber::N,கல்லீரல்,мус
48,Atem::N,மூச்சு,лолалӧм
49,Hunger::N,பசி,тшыг
50,Träne::N,கண்ணீர்,синва
51,Geschmack::N,நறுமணம்,кӧр
52,Geruch::N,துர்நாற்றம்,дук
53,Schlaf::N,தூக்கம்,он
54,Traum::N,கனவு,вӧт
55,Himmel::N,வானம்,небо
56,Sonne::N,சூரியன்,шондi
57,Mond::N,சந்திரன்,тӧлiсь
58,Stern::N,நட்சத்திரம்,кӧдзыв
59,Luft::N,காறறு,ру
60,Wind::N,காற்று,тӧв
61,Welle::N,அலை,гы
62,Wasser::N,நீர்,ва
63,Stein::N,கல்,из
64,Boden::N,தரை,му
65,Erde::N,மண்,му
66,Staub::N,தூசி,бус
67,Rauch::N,புகை,тшын
68,Funke::N,தீப்பொறி,бичир
69,Feuer::N,தீ,би
70,Licht::N,வெளிச்சம்,би
71,Schatten::N,நிழல்,вуджӧр
72,Wetter::N,வானிலை,погоддя
73,Nebel::N,பனிமூட்டம்,туман
74,Wolke::N,மேகம்,кымӧр
75,Regen::N,மழை,зэр
76,Schnee::N,உறைபனி,лым
77,Eis::N,பனிக்கட்டி,йы
78,Frost::N,உறைபனி,мороз
79,Kälte::N,குளிர்ந்த,кӧдзыт
80,Hitze::N,சூடு,ӧд
81,Raureif::N,உறைபனி வெண்திரை,кижа
82,Regenbogen::N,வானவில்,енӧшка
83,Donner::N,இடி,гым
84,Strömung::N,நீரோட்டம்,визывтӧм
85,Tropfen::N,துளி,тёп
86,Schaum::N,நுரை,быг
87,Schmutz::N,அழுக்கு,нять
88,See::N,ஏரி,ты
89,Sumpf::N,சதுப்பு நிலம்,арай
90,Moor::N,முட்புதற்காடு,нюр
91,Wiese::N,பசும் புல்தரை,видз
92,Wald::N,காடு,вӧр
93,Hügel::N,குன்று,мыльк
94,Anhöhe::N,பதுக்கை,вывтас
95,Anhöhe::N,பதுக்கை,вылынін
96,Berg::N,மலை,керӧс
97,Gipfel::N,உச்சி மாநாடு,йыв
98,Höhle::N,குகை,нора
99,Abhang::N,சரிவு,покат
100,Quelle::N,மூலம்,больган
101,Bach::N,ஓடை,шор
102,Fluss::N,ஆறு,ю
103,Ufer::N,நீர்க்கரை,берег
104,Küste::N,கடற்கரை,берег
105,Festland::N,நிலம்,му
106,Meer::N,கடல்,море
107,Bucht::N,சிறுகுடா,курья
108,Insel::N,தீவு,
109,Blume::N,பூ,цветок
110,Gras::N,புல்தரை,турун
111,Wurzel::N,வேர்,вуж
112,Baum::N,மரம்,пу
113,Stamm::N,அடிமரம்,мыр
114,Stamm::N,அடிமரம்,кер
115,Rinde::N,பட்டை,кач
116,Rinde::N,மரப்பட்டை,кач
117,Ast::N,கினை,ув
118,Zweig::N,குச்சி,ув
119,Blatt::N,இலை,лист
120,Birke::N,பிர்ச் மரம்,кыдз
121,Kiefer[Baum]::N,தேவதாரு மரம்,пожум
122,Weide[Baum]::N,மர வகைகளுள் ஒன்று,бадь
123,Tanne::N,சாதிக்கய்,кӧз
124,Horn::N,கொம்பு,сюр
125,Feder::N,இறகு,гӧн
126,Fell::N,மென்முடி,кучик
127,Flügel::N,இறக்கை,борд
128,Klaue::N,நகம்,гыж
129,Kralle::N,நகம்,кабыр
130,Schwanz::N,வால்,бӧж
131,Ei::N,முட்டை,кольть
132,Nest::N,கூடு,поз
133,Bau::N,குகை,осьта
134,Bau::N,குகை,нора
135,Tier::N,விலங்கு,зверь
136,Herde::N,கூட்டம்,гурт
137,Kuh::N,பசு,мӧс
138,Bulle::N,காளை,ӧшка
139,Pferd::N,குதிரை,вӧв
140,Schaf::N,செம்மறிஆடு,баля
141,Schwein::N,பன்றி,порсь
142,Hund::N,நாய்,пон
143,Katze::N,பூனை,кань
144,Bär::N,கரடி,ош
145,Eichhörnchen::N,அணில்,ур
146,Elch::N,கடம்பை,вӧр мӧс
147,Fuchs::N,நரி,руч
148,Hase::N,முயல்,кӧч
149,Maus::N,எலி,шыр
150,Wolf::N,ஓநாய்,кӧин
151,Vogel::N,பறவை,кай
152,Schwarm::N,தொகுதி,стая
153,Schwarm::N,தொகுதி,чукӧр
154,Huhn::N,கோழிக்குஞசு,курӧг
155,Hahn::N,சேவல்,петух
156,Hahn::N,சேவல்,ай курӧг
157,Gans::N,பெண் வாத்து,дзодзог
158,Adler::N,பருநது,куч
159,Adler::N,பருநது,кутш
160,Ente::N,வாத்து,утка
161,Eule::N,ஆந்தை,тупка
162,Kranich::N,நாரை,тури
163,Krähe::N,காகம்,рака
164,Kuckuck::N,குயில்,кӧк
165,Schwan::N,அன்னம்,юсь
166,Fisch::N,மீன்,чери
167,Barsch::N,பேர்ச்,ёкыш
168,Hecht::N,கோலாச்சி மீன்,сирпинь
169,Schlange[Tier]::N,பாம்பு,змей
170,Wurm::N,புழு,номыр
171,Spinne::N,சிலந்தி,черань
172,Ameise::N,எறும்பு,кӧдзывкар
