,Concept_ID,de,uk
0,Auge::N,Auge,око
1,Ohr::N,Ohr,вухо
2,Nase::N,Nase,ніс
3,Mund::N,Mund,рот
4,Zahn::N,Zahn,зуб
5,Zunge::N,Zunge,язик
6,Lippe::N,Lippe,губа
7,Wange::N,Wange,щока
8,Gesicht::N,Gesicht,обличчя
9,Stirn::N,Stirn,лоб
10,Haar::N,Haar,волосся
11,Schnurrbart::N,Schnurrbart,вуса
12,Bart::N,Bart,борода
13,Kinn::N,Kinn,підборіддя
14,Kiefer[Anatomie]::N,Kiefer,щелепа
15,Kehle::N,Kehle,горло
16,Hals::N,Hals,шия
17,Genick::N,Genick,потилиця
18,Kopf::N,Kopf,голова
19,Rücken::N,Rücken,спина
20,Bauch::N,Bauch,живіт
21,Nabel::N,Nabel,пупок
22,Busen::N,Busen,груди
23,Brust::N,Brust,груди
24,Schulter::N,Schulter,плече
25,Arm::N,Arm,рука
26,Ellenbogen::N,Ellenbogen,лікоть
27,Hand::N,Hand,рука
28,Handfläche::N,Handfläche,долоня
29,Finger::N,Finger,палець
30,Fingernagel::N,Fingernagel,ніготь
31,Nagel[Anatomie]::N,Nagel,ніготь
32,Zeh::N,Zeh,палець на нозі
33,Fuß::N,Fuß,нога
34,Ferse::N,Ferse,п’ятка
35,Knie::N,Knie,коліно
36,Oberschenkel::N,Oberschenkel,стегно
37,Bein::N,Bein,нога
38,Körper::N,Körper,тіло
39,Haut::N,Haut,шкіра
40,Blut::N,Blut,кров
41,Ader::N,Ader,вена
42,Sehne::N,Sehne,сухожилля
43,Knochen::N,Knochen,кістка
44,Gehirn::N,Gehirn,мозок
45,Herz::N,Herz,серце
46,Magen::N,Magen,шлунок
47,Leber::N,Leber,печінка
48,Atem::N,Atem,дихання
49,Hunger::N,Hunger,голод
50,Träne::N,Träne,сльоза
51,Geschmack::N,Geschmack,смак
52,Geruch::N,Geruch,запах
53,Schlaf::N,Schlaf,сон
54,Schlaf::N,Schlaf,сплячка
55,Traum::N,Traum,сон
56,Himmel::N,Himmel,небо
57,Sonne::N,Sonne,сонце
58,Mond::N,Mond,місяць
59,Stern::N,Stern,зірка
60,Luft::N,Luft,повітря
61,Wind::N,Wind,вітер
62,Welle::N,Welle,хвиля
63,Wasser::N,Wasser,вода
64,Stein::N,Stein,камінь
65,Boden::N,Boden,ґрунт
66,Erde::N,Erde,земля
67,Staub::N,Staub,пил
68,Rauch::N,Rauch,дим
69,Funke::N,Funke,іскра
70,Feuer::N,Feuer,вогонь
71,Licht::N,Licht,світло
72,Schatten::N,Schatten,тінь
73,Wetter::N,Wetter,погода
74,Nebel::N,Nebel,туман
75,Wolke::N,Wolke,хмара
76,Regen::N,Regen,дощ
77,Schnee::N,Schnee,сніг
78,Eis::N,Eis,лід
79,Frost::N,Frost,мороз
80,Kälte::N,Kälte,холод
81,Hitze::N,Hitze,жар
82,Raureif::N,Raureif,іній
83,Regenbogen::N,Regenbogen,райдуга
84,Donner::N,Donner,грім
85,Strömung::N,Strömung,струмина
86,Tropfen::N,Tropfen,крапля
87,Schaum::N,Schaum,піна
88,Schmutz::N,Schmutz,бруд
89,See::N,See,озеро
90,Sumpf::N,Sumpf,драговина
91,Moor::N,Moor,болото
92,Wiese::N,Wiese,луг
93,Wiese::N,Wiese,лука
94,Wald::N,Wald,ліс
95,Hügel::N,Hügel,горб
96,Anhöhe::N,Anhöhe,височина
97,Berg::N,Berg,гора
98,Gipfel::N,Gipfel,вершина
99,Höhle::N,Höhle,печера
100,Abhang::N,Abhang,схил
101,Quelle::N,Quelle,джерело
102,Bach::N,Bach,струмок
103,Fluss::N,Fluss,річка
104,Ufer::N,Ufer,берег
105,Küste::N,Küste,узбережжя
106,Festland::N,Festland,суша
107,Meer::N,Meer,море
108,Bucht::N,Bucht,бухта
109,Bucht::N,Bucht,затока
110,Insel::N,Insel,острів
