,Concept_ID,de,ta
0,Auge::N,Auge,கண்
1,Ohr::N,Ohr,காது
2,Nase::N,Nase,மூக்கு
3,Mund::N,Mund,வாய்
4,Zahn::N,Zahn,பல்
5,Zunge::N,Zunge,நாக்கு
6,Lippe::N,Lippe,உதடு
7,Wange::N,Wange,கன்னம்
8,Gesicht::N,Gesicht,முகம்
9,Stirn::N,Stirn,முன்னெற்றி
10,Haar::N,Haar,முடி
11,Schnurrbart::N,Schnurrbart,மீசை
12,Bart::N,Bart,தாடி
13,Kinn::N,Kinn,கீழதாடை
14,Kiefer[Anatomie]::N,Kiefer,தாடை
15,Kehle::N,Kehle,தொண்டை
16,Hals::N,Hals,கழுத்து
17,Genick::N,Genick,கழுத்து
18,Kopf::N,Kopf,தலை
19,Rücken::N,Rücken,முதுகு
20,Bauch::N,Bauch,வயிறு
21,Nabel::N,Nabel,தொப்புள்
22,Busen::N,Busen,மார்பகம்
23,Brust::N,Brust, மார்பு
24,Schulter::N,Schulter,தோள்பட்டை
25,Arm::N,Arm,கரம்
26,Ellenbogen::N,Ellenbogen,முழங்கை
27,Hand::N,Hand,கை
28,Handfläche::N,Handfläche,உள்ளங்கை
29,Finger::N,Finger,விரல்
30,Fingernagel::N,Fingernagel,விரல் நகம்
31,Nagel[Anatomie]::N,Nagel,நகம்
32,Zeh::N,Zeh,கால்விரல்
33,Fuß::N,Fuß,கால்
34,Ferse::N,Ferse,குதிகால்
35,Knie::N,Knie,முழங்கால்
36,Oberschenkel::N,Oberschenkel,தொடை
37,Bein::N,Bein,கால்
38,Körper::N,Körper,உடல்
39,Haut::N,Haut,சருமம்
40,Blut::N,Blut,இரத்தம்
41,Ader::N,Ader,நாளம்
42,Sehne::N,Sehne,தசைநார்
43,Knochen::N,Knochen,எலுமபு
44,Gehirn::N,Gehirn,மூனை
45,Herz::N,Herz,இதயம
46,Magen::N,Magen,வயிறு
47,Leber::N,Leber,கல்லீரல்
48,Atem::N,Atem,மூச்சு
49,Hunger::N,Hunger,பசி
50,Träne::N,Träne,கண்ணீர்
51,Geschmack::N,Geschmack,நறுமணம்
52,Geruch::N,Geruch,துர்நாற்றம்
53,Schlaf::N,Schlaf,தூக்கம்
54,Traum::N,Traum,கனவு
55,Himmel::N,Himmel,வானம்
56,Sonne::N,Sonne,சூரியன்
57,Mond::N,Mond,சந்திரன்
58,Stern::N,Stern,நட்சத்திரம்
59,Luft::N,Luft,காறறு
60,Wind::N,Wind,காற்று
61,Welle::N,Welle,அலை
62,Wasser::N,Wasser,நீர்
63,Stein::N,Stein,கல்
64,Boden::N,Boden,தரை
65,Erde::N,Erde,மண்
66,Staub::N,Staub,தூசி
67,Rauch::N,Rauch,புகை
68,Funke::N,Funke,தீப்பொறி
69,Feuer::N,Feuer,தீ
70,Licht::N,Licht,வெளிச்சம்
71,Schatten::N,Schatten,நிழல்
72,Wetter::N,Wetter,வானிலை
73,Nebel::N,Nebel,பனிமூட்டம்
74,Wolke::N,Wolke,மேகம்
75,Regen::N,Regen,மழை
76,Schnee::N,Schnee,உறைபனி
77,Eis::N,Eis,பனிக்கட்டி
78,Frost::N,Frost,உறைபனி
79,Kälte::N,Kälte,குளிர்ந்த
80,Hitze::N,Hitze,சூடு
81,Raureif::N,Raureif,உறைபனி வெண்திரை
82,Regenbogen::N,Regenbogen,வானவில்
83,Donner::N,Donner,இடி
84,Strömung::N,Strömung,நீரோட்டம்
85,Tropfen::N,Tropfen,துளி
86,Schaum::N,Schaum,நுரை
87,Schmutz::N,Schmutz,அழுக்கு
88,See::N,See,ஏரி
89,Sumpf::N,Sumpf,சதுப்பு நிலம்
90,Moor::N,Moor,முட்புதற்காடு
91,Wiese::N,Wiese,பசும் புல்தரை
92,Wald::N,Wald,காடு
