,Concept_ID,ro,ku
191,Adler::N,vultur,eylo
192,Ente::N,rață,werdek
193,Eule::N,bufniță,bûm
194,Eule::N,bufniță,kund
195,Kranich::N,cocor,quling
196,Krähe::N,cioară,qijik
197,Kuckuck::N,cuc,pepûk
198,Schwan::N,lebădă,qû
199,Fisch::N,pește,masî
200,Barsch::N,biban,okûn
201,Hecht::N,știucă,mesîyê lûf
202,Schlange[Tier]::N,șarpe,mar
203,Wurm::N,vierme,kurm
204,Spinne::N,păianjen,pîrê
205,Ameise::N,furnică,mîro
206,Ameise::N,furnică,gêrîk
207,Laus::N,păduche,spi
208,Mücke::N,țânțar,mêş
209,Fliege::N,muscă,mêş
210,Schmetterling::N,fluture,perperîk
211,Beere::N,boabă,hirç
212,Apfel::N,măr,sêv
213,Pilz::N,burete,bîrov
214,Pilz::N,ciupercă,bîrov
215,Zwiebel::N,ceapă,pîvaz
216,Saat::N,semănătură,tov
217,Korn::N,grâu,dexl
218,Heu::N,fân,sap
219,Schale::N,coajă,qaşik
220,Grube::N,groapă,çahl
221,Falle::N,cursă,dafik
222,Falle::N,capcană,dafik
223,Schlinge::N,laț,dahf
224,Spur::N,dâră,rêç
225,Asche::N,cenușă,xweli
226,Dreck::N,noroi,gemarî
227,Dreck::N,murdărie,gemarî
228,Eisen::N,fier,hesing
229,Gold::N,aur,zêr
230,Silber::N,argint,zîv
231,Kohle::N,cărbune,komir
232,Glas::N,sticlă,qedeh
233,Lehm::N,lut,kelpîç
234,Lehm::N,humă,kelpîç
235,Sand::N,nisip,qûm
236,Mensch::N,om,mirov
237,Mensch::N,persoană,mirov
238,Mann::N,om,mêr
239,Mann::N,bărbat,mêr
240,Frau::N,femeie,jin
241,Kind::N,copil,zarok
242,Junge::N,băiat,kur
243,Junge::N,flăcău,kur
244,Mädchen::N,fată,keç
245,Mädchen::N,fată,keçik
246,Familie::N,familie,malbat
247,Großvater::N,bunic,bapîr
248,Großvater::N,tată mare,bapîr
249,Großmutter::N,bunică,pîrik
250,Großmutter::N,mamă mare,pîrik
251,Eltern::N,părinți,bavudê
252,Vater::N,tată,bav
253,Vater::N,părinte,bav
254,Mutter::N,mamă,dê
255,Mutter::N,mamă,dayik
256,Sohn::N,fiu,kur
257,Sohn::N,fecior,kur
258,Tochter::N,fiică,keç
259,Bruder::N,frate,bira
260,Schwester::N,soră,xweh
261,Onkel::N,unchi,am
262,Onkel::N,unchi,xal
263,Tante::N,mătușă,metik
264,Tante::N,mătușă,xaltîk
265,Ehemann::N,soț,mêr
266,Ehemann::N,bărbat,mêr
267,Ehefrau::N,soție,kulfet
268,Freude::N,bucurie,kêfxweşî
269,Gelächter::N,râset,pîrqînî
270,Glück::N,fericire,bext
271,Kummer::N,mâhnire,derd
272,Wunsch::N,dorință,daxwaz
273,Wunsch::N,dorință,xwestek
274,Wunsch::N,deziderat,daxwaz
275,Wunsch::N,deziderat,xwestek
276,Lust::N,poftă,şewq
277,Lust::N,înclinare,şewq
278,Geist::N,duh,aqil
279,Geist::N,minte,aqil
280,Geist::N,suflet,aqil
281,Gedanke::N,gând,fikir
282,Gedanke::N,cuget,fikir
283,Gedächtnis::N,memorie,aqil
284,Verstand::N,minte,fêm
285,Verstand::N,intelect,fêm
286,Sinn::N,sens,aqil
287,Sinn::N,înțeles,aqil
288,Grund::N,cauză,asas
289,Grund::N,pricină,asas
290,Wahrheit::N,adevăr,rastî
291,Gespräch::N,convorbire,guftûgo
292,Gespräch::N,conversație,guftûgo
293,Märchen::N,basm,çirok
294,Märchen::N,poveste,çirok
295,Erzählung::N,poveste,çirok
296,Erzählung::N,poveste,vegotin
297,Nachricht::N,veste,nûçe
298,Neuigkeit::N,noutate,hewal
299,Neuigkeit::N,actualitate,hewal
300,Name::N,nume,nav
301,Name::N,nume,paşnav
302,Rätsel::N,ghicitoare,tiştonek
303,Rede::N,discurs,gotar
304,Rede::N,discurs,axavtin
305,Sprache::N,limbă,ziman
306,Sprache::N,limbaj,ziman
307,Stimme::N,glas,pejn
308,Wort::N,cuvânt,gotin
309,Zeichen::N,semn,şanek
310,Zeichen::N,semnal,şanek
311,Ruf::N,chemare,hawar
312,Lärm::N,zgomot,xarbalix
313,Lärm::N,tărăboi,xarbalix
314,Laut::N,sunet,deng
315,Laut::N,sunet,hês
316,Ton::N,ton,awaz
317,Lied::N,cântec,sitran
318,Ruhe::N,odihnă,rihetî
319,Ruhe::N,liniște,rihetî
320,Leute::N,lume,xelk
321,Leute::N,oameni,xelk
322,Volk::N,popor,xelk
323,Volk::N,națiune,xelk
324,Arbeit::N,lucru,xebat
325,Gast::N,musafir,mêvan
326,Geschenk::N,dar,diyarî
327,Geschenk::N,cadou,diyarî
328,Spiel::N,joc,lîstik
329,Gesellschaft::N,societate,komal
330,Hilfe::N,ajutor,alîkarî
331,Freund::N,amic,heval
332,Freund::N,prieten,heval
333,Kamerad::N,tovarăș,heval
334,Angelegenheit::N,afacere,pirsgirêk
335,Anzahl::N,număr,çend
336,Anzahl::N,cantitate,çend
337,Art::N,fel,çeh
338,Art::N,specie,çeh
339,Stück::N,bucată,lib
340,Stück::N,bucată,parçe
341,Teil::N,parte,parçe
342,Teil::N,porție,parçe
343,Hälfte::N,jumătate,nîvî
344,Kreis::N,cerc,çemil
345,Kreuz::N,cruce,xaç
346,Linie::N,linie,xezik
347,Strich::N,linie,xezik
348,Strich::N,trăsătură,xezik
349,Abstand::N,distanță,dûrahî
350,Abstand::N,depărtare,dûrahî
351,Entfernung::N,distanță,dûrahî
352,Entfernung::N,depărtare,dûrahî
353,Gegend::N,regiune,dever
354,Platz::N,loc,çih
355,Ort::N,loc,dever
356,Seite::N,latură,rûpel
357,Mitte::N,centru,nav
358,Mitte::N,centru,nabênê
359,Gegenstand::N,obiect,tişt
360,Sache::N,lucru,tişt
361,Sache::N,chestie,tişt
362,Rand::N,bordură,kevî
363,Kante::N,muchie,kevî
364,Kante::N,bordură,kevî
365,Ecke::N,colț,qunç
366,Spitze::N,vârf,derzî
367,Spitze::N,creștet,derzî
368,Ende::N,capăt,talî
369,Loch::N,gaură,qul
370,Winkel::N,colț,kurnîşk
371,Muster::N,desen,desen
372,Größe::N,mărime,mezinî
373,Länge::N,lungime,dirêjahî
374,Höhe::N,înălțime,bilindayî
375,Gewicht::N,greutate,giranî
376,Menge::N,cantitate,qas
377,Haufen::N,grămadă,lod
378,Reihe::N,șir,rêz
379,Reihe::N,rând,rêz
380,Boot::N,barcă,kelek
381,Boot::N,luntre,kelek
382,Ruder::N,vâslă,bêrik
383,Ruder::N,lopată,bêrik
