,Concept_ID,mn,lez
0,Auge::N,нүд,вил
1,Ohr::N,чих,яб
2,Nase::N,хамар,нер
3,Mund::N,ам,сив
4,Zahn::N,шүд,сас
5,Zahn::N,шүд,свах
6,Zunge::N,хэл,мез
7,Lippe::N,уруул,пӏуз
8,Wange::N,хацар,хъвехъ
9,Gesicht::N,царай,ччин
10,Gesicht::N,нүүр,ччин
11,Stirn::N,дух,пел
12,Haar::N,үс,чӏар
13,Schnurrbart::N,дээд сахал,спел
14,Schnurrbart::N,дээд сахал,спелар
15,Schnurrbart::N,живэр сахал,спел
16,Schnurrbart::N,живэр сахал,спелар
17,Bart::N,сахал,ччуру
18,Kinn::N,эрүү,чене
19,Kiefer[Anatomie]::N,эрүү,чене
20,Kehle::N,хоолой,туьд
21,Hals::N,хүзүү,гардан
22,Genick::N,шил,кьам
23,Genick::N,хүзүү,кьам
24,Kopf::N,толгой,кьил
25,Rücken::N,ар,далу
26,Rücken::N,нуруу,далу
27,Bauch::N,хэвлий,руфун
28,Bauch::N,гэдэс,руфун
29,Nabel::N,хүйс,пицӏ
30,Busen::N,хөх,мам
31,Brust::N,цээж,хур
32,Schulter::N,мөр,къуьн
33,Schulter::N,бугалга,къуьн
34,Arm::N,гар,гъил
35,Ellenbogen::N,тохой,кьуьнт
36,Hand::N,гар,капаш
37,Hand::N,алга,капаш
38,Handfläche::N,алга,капан юкь
39,Finger::N,хуруу,тӏуб
40,Fingernagel::N,хурууны хумс,кек
41,Nagel[Anatomie]::N,хумс,кек
42,Zeh::N,хуруу,кул
43,Fuß::N,хөл,кӏвач
44,Ferse::N,өсгий,дабан
45,Knie::N,өвдөг,мет
46,Oberschenkel::N,гуя,
47,Bein::N,хөл,кӏвач
48,Körper::N,бие,беден
49,Haut::N,арьс,хам
50,Blut::N,цус,иви
51,Ader::N,судас,дамар
52,Sehne::N,бүлх,кьуру дамар
53,Sehne::N,шандас,кьуру дамар
54,Knochen::N,яс,кӏараб
55,Gehirn::N,тархи,мефт
56,Herz::N,зүрх,рикӏ
57,Magen::N,ходоод,хук
58,Leber::N,элэг,лекь
59,Atem::N,амьсгаа,ял
60,Atem::N,амьсгаа,нефес
61,Hunger::N,өлсгөлөн,каш
62,Träne::N,нулимс,вилин нагъв
63,Geschmack::N,амт,дад
64,Geschmack::N,амт,тӏям
65,Geruch::N,үнэр,ни
66,Schlaf::N,нойр,ахвар
67,Traum::N,зүүд,ахвар
68,Himmel::N,тэнгэр,цав
69,Himmel::N,огторгуй,цав
70,Sonne::N,нар,рагъ
71,Mond::N,сар,варз
72,Stern::N,од,гъед
73,Luft::N,агаар,гьава
74,Wind::N,салхи,гар
75,Welle::N,долгио,лепе
76,Welle::N,давалгаа,лепе
77,Wasser::N,ус,яд
78,Stein::N,чулуу,къван
79,Boden::N,хөрс,накьв
80,Erde::N,газар,ччил
81,Erde::N,шороо,ччил
82,Staub::N,тоос,руг
83,Rauch::N,утаа,гум
84,Funke::N,оч,цӏелхем
85,Feuer::N,гал,цӏай
86,Licht::N,гэрэл,экв
87,Licht::N,гэгээ,экв
88,Schatten::N,сүүдэр,серин
89,Wetter::N,тэнгэр,гьава
90,Wetter::N,цаг уур,гьава
91,Nebel::N,будан,ччилин циф
92,Wolke::N,үүл,циф
93,Regen::N,бороо,марф
94,Schnee::N,цас,жив
95,Eis::N,мөс,мурк
96,Frost::N,хүйт,аяз
97,Kälte::N,хүйт,мекь
98,Kälte::N,хүйт,мекьивал
99,Hitze::N,халуун,зегьем
100,Raureif::N,цан,къирав
101,Raureif::N,хяруу,къирав
102,Regenbogen::N,солонго,яргъируш
103,Donner::N,тэнгэрийн дуу,цавун ван
104,Strömung::N,урсгал,
