,Concept_ID,os,myv
0,Auge::N,цӕст,сельме
1,Ohr::N,хъус,пиле
2,Nase::N,фындз,судо
3,Mund::N,дзых,курго
4,Zahn::N,дӕндаг,пей
5,Zunge::N,ӕвзаг,кель
6,Lippe::N,был,турва
7,Wange::N,рус,чамабока
8,Wange::N,рус,чамаумарь
9,Wange::N,уадул,чамабока
10,Wange::N,уадул,чамаумарь
11,Wange::N,ӕхсӕрфарс,чамабока
12,Wange::N,ӕхсӕрфарс,чамаумарь
13,Gesicht::N,цӕсгом,чама
14,Stirn::N,ных,коня
15,Haar::N,хил,черь
16,Schnurrbart::N,рихи,ус
17,Schnurrbart::N,рихи,муюк
18,Bart::N,зачъе,сакал
19,Kinn::N,роцъо,уло
20,Kiefer[Anatomie]::N,ӕфсӕр,пейпакар
21,Kiefer[Anatomie]::N,ӕфсӕр,пейловажа
22,Kehle::N,хъуыр,кирьгапарь
23,Hals::N,къубал,кирьга
24,Genick::N,къӕбут,човонь
25,Kopf::N,сӕр,пря
26,Rücken::N,фӕсонтӕ,копорь
27,Bauch::N,гуыбын,пеке
28,Nabel::N,бикъ,почо
29,Busen::N,дзидзи,поте
30,Brust::N,риу,меште
31,Schulter::N,уӕхск,лавтов
32,Arm::N,цонг,кедь
33,Ellenbogen::N,рæмбын,кенерепакарь
34,Hand::N,къух,кедь
35,Handfläche::N,армытъӕпӕн,кедькуншка
36,Handfläche::N,армытъӕпӕн,кедьлапушка
37,Finger::N,ӕнруылдз,сур
38,Fingernagel::N,ных,кенже
39,Nagel[Anatomie]::N,ных,кенже
40,Zeh::N,къух,пильге сур
41,Fuß::N,фад,пильге
42,Ferse::N,зӕвӕт,кочкаря
43,Knie::N,уӕраг,эле
44,Knie::N,уӕраг,эзне
45,Knie::N,уӕраг,кумажа
46,Oberschenkel::N,агъд,качо
47,Bein::N,зӕнг,пильге
48,Körper::N,буар,рунго
49,Haut::N,царм,киське
50,Blut::N,туг,верь
51,Ader::N,дадзин,сан
52,Ader::N,тугдадзин,сан
53,Sehne::N,хъиутæ,коське сан
54,Sehne::N,нуар,коське сан
55,Knochen::N,стӕг,пакарь
56,Gehirn::N,магъз,удем
57,Herz::N,зӕрдӕ,седей
58,Magen::N,ахсӕн,пеке
59,Leber::N,игæр,максо
60,Atem::N,улӕфт,лексема
61,Atem::N,улӕфт,оймень таргсема
62,Hunger::N,стонг,вачочи
63,Träne::N,цæссыг,селведь
64,Geschmack::N,ад,тансть
65,Geruch::N,смаг,чине
66,Schlaf::N,хуыссӕг,удома
67,Traum::N,фын,он
68,Himmel::N,арв,менель
69,Himmel::N,уӕларв,менель
70,Sonne::N,хур,чи
71,Mond::N,мӕй,ков
72,Stern::N,стъалы,теште
73,Luft::N,уӕлдӕф,кошт
74,Wind::N,дымгӕ,варма
75,Welle::N,уылӕн,толкун
76,Wasser::N,дон,ведь
77,Stein::N,дур,кев
78,Boden::N,зӕхх,мода
79,Erde::N,сыджыт,мастор
80,Staub::N,рыг,пуль
81,Rauch::N,фӕздӕг,качамо
82,Funke::N,цӕхӕр,сятко
83,Feuer::N,зынг,тол
84,Licht::N,рухс,валдо
85,Schatten::N,аууон,сулей
86,Schatten::N,аууон,сулейкс
87,Wetter::N,боныхъӕд,ушо
88,Nebel::N,мигъ,сув
89,Wolke::N,ӕврагъ,пель
90,Regen::N,уарын,пиземс
91,Schnee::N,мит,лов
92,Eis::N,их,эй
93,Frost::N,ихæн,кельме
94,Kälte::N,уазал,якшамо
95,Hitze::N,ӕнтӕф,пси
96,Raureif::N,халас,лекш
97,Regenbogen::N,арвырон,пурьгинечирьке
98,Regenbogen::N,арвырон,пурьгинеёнкс
99,Regenbogen::N,арвырдын,пурьгинечирьке
100,Regenbogen::N,арвырдын,пурьгинеёнкс
101,Donner::N,æрвнæрын,пурьгине
102,Strömung::N,цыд,чудема
103,Strömung::N,цыд,чудевкс
104,Tropfen::N,æртах,петнявкс
105,Schaum::N,фынк,чов
106,Schmutz::N,цъыф,рудаз
107,See::N,цад,эрьке
108,Sumpf::N,цъыфдзаст,чей
109,Moor::N,цъыфдзаст,чей
110,Wiese::N,уыгӕрдӕн,луга
111,Wald::N,хъӕд,вирь
112,Hügel::N,обау,губорь
113,Hügel::N,обау,пандыне
114,Hügel::N,къуыбыр,губорь
115,Hügel::N,къуыбыр,пандыне
116,Anhöhe::N,уæлвæз,губорь
117,Anhöhe::N,уæлвæз,пандыне
118,Anhöhe::N,уæлхох,губорь
119,Anhöhe::N,уæлхох,пандыне
120,Berg::N,хох,пандо
121,Gipfel::N,цъупп,пря
122,Höhle::N,лӕгӕт,пещера
123,Abhang::N,къул,пандочама
124,Quelle::N,суадон,ушодкс
125,Bach::N,мӕсчъыдон,чудикерькс
126,Fluss::N,дон,лей
127,Fluss::N,цӕугӕдон,лей
128,Ufer::N,был,чире
129,Küste::N,донбыл,лейчире
130,Festland::N,сурзæхх,мода
131,Meer::N,денджыз,моря
132,Bucht::N,донбакæлæн,усия
133,Insel::N,сакъадах,усия
134,Blume::N,дидинӕг,цеця
135,Gras::N,кӕрдӕг,тикше
136,Wurzel::N,уидаг,юр
137,Wurzel::N,уидаг,ундокс
138,Baum::N,бӕлас,чувто
139,Stamm::N,хӕтӕл,рунго
140,Rinde::N,цъар,суд
141,Rinde::N,цъар,керь
142,Ast::N,арх,морго
143,Zweig::N,къалиу,тарад
144,Blatt::N,сыф,лопа
145,Birke::N,бæрз,килей
146,Kiefer[Baum]::N,нӕзы,пиче
147,Weide[Baum]::N,хӕрис,каль
148,Tanne::N,наз,куз
149,Horn::N,сыкъа,сюро
150,Feder::N,сис,толга
151,Fell::N,царм,пона
152,Flügel::N,базыр,сёлмо
153,Klaue::N,ных,кенже
154,Kralle::N,дзӕмбы,кенже
155,Schwanz::N,къӕдзил,пуло
156,Ei::N,айк,ал
157,Nest::N,ахстон,пизэ
158,Bau::N,хуынкъ,варя
159,Bau::N,хуынкъ,пизе
160,Tier::N,сырд,ракша
161,Tier::N,цӕрӕгой,ракша
162,Herde::N,дзуг,стада
163,Herde::N,рӕгъау,стада
164,Kuh::N,хъуг,скал
165,Bulle::N,гал,бука
166,Pferd::N,бӕх,лишме
167,Schaf::N,фыс,реве
168,Schwein::N,хуы,туво
169,Hund::N,куыдз,пине
170,Hund::N,куыдз,киска
171,Katze::N,гӕды,псака
172,Bär::N,арс,овто
173,Eichhörnchen::N,æхсæрæг,ур
174,Elch::N,цæгатаг саг,сярдо
175,Fuchs::N,рувас,ривезь
176,Hase::N,тæрхъус,нумоло
177,Maus::N,мыст,чеерь
178,Wolf::N,бирӕгъ,верьгиз
179,Vogel::N,цъиу,нармунь
180,Vogel::N,маргъ,нармунь
181,Schwarm::N,бал,полк
182,Schwarm::N,бал,стада
183,Huhn::N,карк,сараз
184,Hahn::N,уасӕг,атякш
185,Gans::N,хъаз,гала
186,Gans::N,хъаз,мацей
187,Adler::N,цӕргӕс,куцькан
188,Adler::N,цӕргӕс,тумоатякш
189,Ente::N,ацц,яксярго
190,Eule::N, уыг,корж
191,Eule::N,сидахъ,корж
192,Kranich::N,зырнæг,карго
193,Kranich::N,хърихъупп,карго
194,Krähe::N,халон,варака
195,Kuckuck::N,гаккук,куко
196,Schwan::N,доныхъаз,локсей
197,Fisch::N,кӕсаг,кал
198,Barsch::N,окунь,окунь
199,Hecht::N,хихор кӕсаг,щука
200,Schlange[Tier]::N,калм,гуй
201,Wurm::N,зулкъ,сукс
202,Wurm::N,къуыдыргалм,сукс
203,Spinne::N,хӕлуарӕг,шанжав
204,Ameise::N,мæлдзыг,коткудав
205,Laus::N,сыст,сий
206,Mücke::N,къогъо,сеське
207,Fliege::N,бындз,карво
208,Schmetterling::N,гæлæбу,нимиляв
209,Beere::N,гагадыргъ,умарь
210,Apfel::N,фӕткъуы,умарь
211,Pilz::N,зокъо,панго
212,Pilz::N,къозо,панго
213,Zwiebel::N,хъӕдындз,чурька
214,Saat::N,тауинаг,видьметь
215,Saat::N,мыггаг,видьметь
216,Korn::N,мыггаг,сюро
217,Korn::N,тауинаг,сюро
218,Heu::N,хос,тикше
219,Schale::N,цъар,кедь
220,Schale::N,цъар,ваткавкс
221,Grube::N,урм,латко
222,Grube::N,къахт,латко
223,Grube::N,дзыхъхъ,латко
