,Concept_ID,se,ko
0,Auge::N,tjelmie,눈
1,Auge::N,tjalmme,눈
2,Auge::N,čalbmi,눈
3,Auge::N,čalme,눈
4,Auge::N,čâ´lmm,눈
5,Auge::N,ча̄лльм,눈
6,Ohr::N,bieljie,귀
7,Ohr::N,biellje,귀
8,Ohr::N,beallji,귀
9,Ohr::N,pelji,귀
10,Ohr::N,pe´llj,귀
11,Ohr::N,пе̄лльй,귀
12,Nase::N,njuenie,코
13,Nase::N,njunnje,코
14,Nase::N,njunni,코
15,Nase::N,njuṇe,코
16,Nase::N,njuu´nn,코
17,Nase::N,нюннҍ,코
18,Mund::N,njaelmie,입
19,Mund::N,njálmme,입
20,Mund::N,njálbmi,입
21,Mund::N,njälmi,입
22,Mund::N,njä´lmm,입
23,Mund::N,ня̄лльм,입
24,Zahn::N,baenie,이
25,Zahn::N,bádne,이
26,Zahn::N,bátni,이
27,Zahn::N,pääṇi,이
28,Zahn::N,pää´nn,이
29,Zahn::N,па̄ннҍ,이
30,Zunge::N,njoektjeme,혀
31,Zunge::N,njuovtjav,혀
32,Zunge::N,njuovčča,혀
33,Zunge::N,njuovčâ,혀
34,Zunge::N,njuhččâm,혀
35,Zunge::N,нюхчем,혀
36,Lippe::N,bangseme,입술
37,Lippe::N,njálmmerabdda,입술
38,Lippe::N,bavssa,입술
39,Lippe::N,poovsâ,입술
40,Lippe::N,põõus,입술
41,Lippe::N,пэ̄кс,입술
42,Wange::N,skiehrie,뺨
43,Wange::N,nierra,뺨
44,Wange::N,muohtu,뺨
45,Wange::N,nieṛâ,뺨
46,Wange::N,njiõrr,뺨
47,Wange::N,нӣрр,뺨
48,Gesicht::N,ååredæjja,얼굴
49,Gesicht::N,muohto,얼굴
50,Gesicht::N,muođut,얼굴
51,Gesicht::N,ámadadju,얼굴
52,Gesicht::N,muáđuh,얼굴
53,Gesicht::N,muâđ,얼굴
54,Gesicht::N,ка̄ссв,얼굴
55,Stirn::N,gaalloe,이마
56,Stirn::N,gállo,이마
57,Stirn::N,gállu,이마
58,Stirn::N,kállu,이마
59,Stirn::N,käll,이마
60,Stirn::N,вуэххьц,이마
61,Haar::N,voepte,털
62,Haar::N,vuoppta,털
63,Haar::N,vuokta,털
64,Haar::N,vuop'tâ,털
65,Haar::N,vuõpt,털
66,Haar::N,вӯппт,털
67,Schnurrbart::N,bijjie-skaavtjoe,윗수몀
68,Schnurrbart::N,bijjie-skaavtjoe,코밑수염
69,Schnurrbart::N,njunjevuolskávttjá,윗수몀
70,Schnurrbart::N,njunjevuolskávttjá,코밑수염
71,Schnurrbart::N,seamu,윗수몀
72,Schnurrbart::N,seamu,코밑수염
73,Schnurrbart::N,siämu,윗수몀
74,Schnurrbart::N,siämu,코밑수염
75,Schnurrbart::N,ää´bben,윗수몀
76,Schnurrbart::N,ää´bben,코밑수염
77,Schnurrbart::N,о̄а̄бпан,윗수몀
78,Schnurrbart::N,о̄а̄бпан,코밑수염
79,Bart::N,skaavtja,수엄
80,Bart::N,skaavtjoe,수엄
81,Bart::N,skávttjá,수엄
82,Bart::N,seamu,수엄
83,Bart::N,siämu,수엄
84,Bart::N,seäm,수엄
85,Bart::N,ся̄м,수엄
86,Kinn::N,gaejpie,아래턱
87,Kinn::N,gájbbe,아래턱
88,Kinn::N,gáibi,아래턱
89,Kinn::N,käibi,아래턱
90,Kinn::N,käi´bb,아래턱
91,Kinn::N,ка̄ййп,아래턱
92,Kiefer[Anatomie]::N,gaejpie,턱
93,Kiefer[Anatomie]::N,oalol,턱
94,Kiefer[Anatomie]::N,oaloldákte,턱
95,Kiefer[Anatomie]::N,gáibi,턱
96,Kiefer[Anatomie]::N,uá'lultähti,턱
