,Concept_ID,bn,ku
0,Auge::N,চক্ষু,çav
1,Ohr::N,কর্ণ,guh
2,Nase::N,নাক,bêvil
3,Mund::N,মুখ,dev
4,Zahn::N,দাঁত,didan
5,Zunge::N,জিহবা,ziman
6,Lippe::N,অধর,lêv
7,Wange::N,গণ্ড,dêm
8,Wange::N,গণ্ড,hinarik
9,Gesicht::N,মুখমণ্ডল,rû
10,Stirn::N,কপাল,enî
11,Haar::N,চুল,por
12,Schnurrbart::N,গোঁফ,simbêl
13,Bart::N,শ্মশ্রু,rih
14,Kinn::N,চিবুক,zenî
15,Kiefer[Anatomie]::N,চোয়াল,arguşk
16,Kehle::N,কণ্ঠ,qirik
17,Hals::N,গল,stû
18,Hals::N,গল,qirik
19,Genick::N,ঘাড়,stû
20,Kopf::N,মাথা,serî
21,Rücken::N,পৃষ্ঠ,pişt
22,Bauch::N,উদর,ûr
23,Bauch::N,উদর,zik
24,Nabel::N,নাভি,navik
25,Busen::N,স্তন,sîng
26,Brust::N,বুক,sîng
27,Schulter::N,স্কন্ধ,mil
28,Arm::N,বাহু,çepil
29,Ellenbogen::N,কনুই,enîşk
30,Hand::N,হাত,dest
31,Handfläche::N,করতল,kefadest
32,Finger::N,আঙ্গুল,tilî
33,Fingernagel::N,হাতের নখ,neynuk
34,Nagel[Anatomie]::N,নখ,bizmar
35,Zeh::N,আঙ্গুল,tilî linga
36,Fuß::N,পা,ling
37,Ferse::N,গোড়ালি,pahnî
38,Knie::N,হাঁটু,kabok
39,Oberschenkel::N,ঊরু,rahn
40,Bein::N,পা,çip
41,Körper::N,দেহ,laş
42,Körper::N,দেহ,gowde
43,Haut::N,ত্বক,çerm
44,Blut::N,রক্ত,xwîn
45,Ader::N,শিরা,reh
46,Sehne::N,কণ্ডরা,reh
47,Knochen::N,অস্থি,hestî
48,Gehirn::N,মস্তিষ্ক,mêjî
49,Herz::N,হৃৎপিণ্ড,dil
50,Magen::N,পাকস্থলী,navêş
51,Leber::N,যকৃৎ,kezeb
52,Atem::N,শ্বাস,hilm
53,Hunger::N,ক্ষুধা,birçîtî
54,Träne::N,অশ্রু,hêstir
55,Geschmack::N,স্বাদ,tam
56,Geruch::N,গন্ধ,bêhn
57,Schlaf::N,ঘুম,xew
58,Traum::N,স্বপ্ন,xewn
59,Himmel::N,আকাশ,ezman
60,Sonne::N,সূর্য,roj
61,Mond::N,চন্দ্র,heyv
62,Stern::N,নক্ষত্র,stêrk
63,Luft::N,বায়ু,ba
64,Wind::N,বাতাস,ba
65,Welle::N,ঢেউ,şewl
66,Welle::N,তরঙ্গ,şewl
67,Wasser::N,জল,av
68,Stein::N,ঢিল,kevir
69,Stein::N,প্রস্তর,kevir
70,Boden::N,ভূতল,herd
71,Erde::N,ভূমি,ax
72,Staub::N,ধুলা,toz
73,Rauch::N,ধোঁয়া,dû
74,Funke::N,স্ফুলিঙ্গ,çirûşk
75,Feuer::N,অগ্নি,agir
76,Licht::N,আলো,ronahî
77,Schatten::N,ছায়া,sî
78,Wetter::N,আবহাওয়া,hewa
79,Nebel::N,কুহেলিকা,mij
80,Wolke::N,মেঘ,ewr
81,Regen::N,বৃষ্টি,baran
82,Schnee::N,তুষার,berf
83,Eis::N,বরফ,qeşa
84,Frost::N,তুষার,xûsik
85,Kälte::N,শৈত্য,serma
86,Hitze::N,তাপ,germayî
87,Raureif::N,তুহিন,şext
88,Regenbogen::N,রামধনু,heftreng
89,Donner::N,বজ্রধ্বনি,gire-gir
90,Strömung::N,স্রোত,şewl
91,Tropfen::N,ফোঁটা,dilop
92,Schaum::N,ফেনা,kef
93,Schmutz::N,ধুলা,gemar
94,See::N,হ্রদ,gol
95,Sumpf::N,জলা,hezek
96,Moor::N,মাঠ,mafêl
97,Wiese::N,তৃণভূমি,sûrik
98,Wald::N,বন,çiya
99,Wald::N,বন,daristan
100,Hügel::N,পাহাড়,gir
