,Concept_ID,no,eu
0,Auge::N,øye,begi
1,Ohr::N,øre,belarri
2,Nase::N,nese,sudur
3,Mund::N,munn,aho
4,Zahn::N,tann,hortz
5,Zunge::N,tunge,mihi
6,Lippe::N,leppe,ezpain
7,Wange::N,kinn,masail
8,Gesicht::N,fjes,aurpegi
9,Gesicht::N,ansikt,aurpegi
10,Stirn::N,panne,bekoki
11,Haar::N,hår,ile
12,Haar::N,hår,bilo
13,Schnurrbart::N,bart,bibote
14,Schnurrbart::N,bart,sudurpeko
15,Bart::N,skjegg,bizar
16,Kinn::N,hake,kokots
17,Kiefer[Anatomie]::N,kjeve,masailezur
18,Kehle::N,strupe,eztarri
19,Hals::N,hals,sama
20,Genick::N,nakke,garondo
21,Kopf::N,hode,buru
22,Rücken::N,rygg,bizkar
23,Bauch::N,buk,sabel
24,Bauch::N,mage,sabel
25,Nabel::N,navle,zilbor
26,Busen::N,barm,titi
27,Busen::N,barm,ugatz
28,Brust::N,bryst,bular
29,Schulter::N,skulder,besaburu
30,Arm::N,arm,beso
31,Ellenbogen::N,albue,ukondo
32,Hand::N,hånd,esku
33,Handfläche::N,håndflate,ahur
34,Finger::N,finger,hatz
35,Fingernagel::N,fingernegl,azazkal
36,Nagel[Anatomie]::N,negl,azazkal
37,Zeh::N,tå,behatz
38,Fuß::N,fot,oin
39,Ferse::N,hæl,orpo
40,Ferse::N,hæl,oinburu
41,Knie::N,kne,belaun
42,Oberschenkel::N,lår,izter
43,Bein::N,bein,zango
44,Körper::N,kropp,soin
45,Körper::N,legeme,soin
46,Haut::N,hud,azal
47,Haut::N,skinn,azal
48,Blut::N,blod,odol
49,Ader::N,åre,zain
50,Sehne::N,sene,gihar-zain
51,Knochen::N,bein,hezur
52,Knochen::N,knokkel,hezur
53,Gehirn::N,hjerne,garun
54,Gehirn::N,hjerne,burmuin
55,Herz::N,hjerte,bihotz
56,Magen::N,mage,urdail
57,Leber::N,lever,gibel
58,Atem::N,pust,hats
59,Atem::N,pust,arnasa
60,Hunger::N,sult,gose
61,Träne::N,tåre,malko
62,Geschmack::N,smak,dasta
63,Geruch::N,lukt,usain
64,Schlaf::N,søvn,lo
65,Traum::N,drøm,amets
66,Himmel::N,himmel,zeru
67,Sonne::N,sol,eguzki
68,Mond::N,måne,ilargi
69,Stern::N,stjerne,izar
70,Luft::N,luft,aire
71,Wind::N,vind,haize
72,Welle::N,bølge,uhin
73,Welle::N,bølge,olatu
74,Wasser::N,vann,ur
75,Stein::N,stein,harri
76,Boden::N,bakke,lur
77,Boden::N,bakke,zoru
78,Erde::N,jord,lur
79,Staub::N,støv,hauts
80,Rauch::N,røyk,ke
81,Funke::N,gnist,zirta
82,Funke::N,gnist,txinparta
83,Feuer::N,ild,su
84,Licht::N,lys,argi
85,Schatten::N,skygge,itzal
86,Schatten::N,skygge,geriza
87,Wetter::N,vær,eguraldi
