,Concept_ID,br,tr
0,Auge::N,lagad,göz
1,Ohr::N,skouarn,kulak
2,Nase::N,fri,burun
3,Mund::N,genoù,ağız
4,Zahn::N,dant,diş
5,Zunge::N,teod,dil
6,Lippe::N,muzell,dudak
7,Wange::N,chot,yanak
8,Gesicht::N,dremm,yüz
9,Stirn::N,tal,alın
10,Haar::N,blev,saç
11,Schnurrbart::N,mourenn,bıyık
12,Bart::N,barv,sakal
13,Kinn::N,groñj,çene
14,Kiefer[Anatomie]::N,javed,çene
15,Kehle::N,gouzoug,boğaz
16,Hals::N,gouzoug,boyun
17,Hals::N,gouzoug,gerdan
18,Genick::N,choug,ense
19,Kopf::N,penn,baş
20,Kopf::N,penn,kafa
21,Rücken::N,kein,arka
22,Bauch::N,kof,karın
23,Nabel::N,begel,göbek
24,Busen::N,bronn,koyun
25,Brust::N,bruched,göğüs
26,Schulter::N,skoaz,omuz
27,Arm::N,brec'h,kol
28,Ellenbogen::N,ilin,dirsek
29,Hand::N,dorn,el
30,Handfläche::N,palv,avuç
31,Handfläche::N,palv,el ayası
32,Finger::N,biz,parmak
33,Fingernagel::N,ivin,el tırnağı
34,Nagel[Anatomie]::N,ivin,tırnak
35,Zeh::N,biz-troad,ayak parmağı
36,Fuß::N,troad,ayak
37,Ferse::N,seul,topuk
38,Knie::N,glin,diz
39,Oberschenkel::N,morzhed,uyluk
40,Bein::N,gar,bacak
41,Körper::N,korf,vücut
42,Haut::N,kroc'hen,cilt
43,Blut::N,gwad,kan
44,Ader::N,gwazhi,damar
45,Sehne::N,stir,kiriş
46,Knochen::N,askorn,kemik
47,Gehirn::N,empenn,beyin
48,Herz::N,kalon,kalp
49,Herz::N,kalon,yürek
50,Magen::N,stomog,mide
51,Leber::N,avu,karaciğer
52,Atem::N,anal,nefes
53,Hunger::N,naon,açlık
54,Träne::N,daer,gözyaşı
55,Geschmack::N,blaz,tat
56,Geschmack::N,blaz,lezzet
57,Geruch::N,c'hwezh,koku
58,Schlaf::N,kousked,uyku
59,Traum::N,hune,düş
60,Traum::N,hune,rüya
61,Himmel::N,oabl,gök
62,Sonne::N,heol,güneş
63,Mond::N,loar,ay
64,Stern::N,steredenn,yıldız
65,Luft::N,aer,hava
66,Wind::N,avel,yel
67,Wind::N,avel,rüzgâr
68,Welle::N,houlenn,dalga
69,Wasser::N,dour,su
70,Stein::N,maen,taş
71,Boden::N,tachenn,yer
72,Boden::N,tachenn,zemin
73,Erde::N,douar,toprak
74,Staub::N,poultr,toz
75,Rauch::N,moged,duman
76,Funke::N,ful,kıvılcım
77,Feuer::N,tan,ateş
78,Licht::N,gouloù,ışık
79,Schatten::N,disheol,gölge
80,Wetter::N,amzer,hava
81,Nebel::N,brumenn,pus
82,Wolke::N,koumoulenn,bulut
83,Regen::N,glav,yağmur
84,Schnee::N,erc'h,kar
85,Eis::N,skorn,buz
86,Frost::N,rev,don
87,Kälte::N,yen,soğukluk
88,Hitze::N,tommder,sıcaklık
89,Raureif::N,frim,kırç
90,Regenbogen::N,gwareg-ar-glav,gökkuşağı
91,Donner::N,kurun,gök gürlemesi
92,Strömung::N,red,akıntı
93,Strömung::N,red,cereyan
94,Tropfen::N,bannac'h,damla
95,Tropfen::N,takenn,damla
96,Schaum::N,spoum,köpük
97,Schmutz::N,fank,çamur
98,Schmutz::N,fank,pislik
99,See::N,lenn,göl
100,Sumpf::N,gwern,batak
101,Moor::N,taouarc'heg,cılgıt
102,Wiese::N,prad,çimen
103,Wald::N,koad,koru
104,Wald::N,koad,orman
105,Hügel::N,torgenn,tepe
106,Anhöhe::N,run,tümsek
107,Anhöhe::N,run,yükseklik
108,Berg::N,menez,dağ
109,Gipfel::N,barr,zirve
110,Höhle::N,kav,in
111,Höhle::N,kav,mağara
112,Abhang::N,naou,bayır
113,Quelle::N,feunteun,pınar
114,Quelle::N,feunteun,kaynak
115,Bach::N,gwazh,çay
116,Bach::N,gwazh,dere
117,Fluss::N,stêr,nehir
118,Ufer::N,ribl,kıyı
119,Ufer::N,ribl,sahil
120,Küste::N,aod,kıyı
121,Küste::N,aod,sahil
122,Festland::N,douar,kara
123,Meer::N,mor,deniz
124,Bucht::N,mor-bihan,koy
125,Bucht::N,mor-bihan,körfez
126,Insel::N,enez,ada
127,Blume::N,bleunienn,çiçek
128,Gras::N,geot,ot
129,Gras::N,geot,çim
130,Wurzel::N,gwrizienn,kök
131,Baum::N,gwezenn,ağaç
132,Stamm::N,kef,gövde
