,Concept_ID,se,uz
0,Auge::N,tjelmie,ko'z
1,Auge::N,tjalmme,ko'z
2,Auge::N,čalbmi,ko'z
3,Auge::N,čalme,ko'z
4,Auge::N,čâ´lmm,ko'z
5,Auge::N,ча̄лльм,ko'z
6,Ohr::N,bieljie,quloq
7,Ohr::N,biellje,quloq
8,Ohr::N,beallji,quloq
9,Ohr::N,pelji,quloq
10,Ohr::N,pe´llj,quloq
11,Ohr::N,пе̄лльй,quloq
12,Nase::N,njuenie,burun
13,Nase::N,njunnje,burun
14,Nase::N,njunni,burun
15,Nase::N,njuṇe,burun
16,Nase::N,njuu´nn,burun
17,Nase::N,нюннҍ,burun
18,Mund::N,njaelmie,og'iz
19,Mund::N,njálmme,og'iz
20,Mund::N,njálbmi,og'iz
21,Mund::N,njälmi,og'iz
22,Mund::N,njä´lmm,og'iz
23,Mund::N,ня̄лльм,og'iz
24,Zahn::N,baenie,tish
25,Zahn::N,bádne,tish
26,Zahn::N,bátni,tish
27,Zahn::N,pääṇi,tish
28,Zahn::N,pää´nn,tish
29,Zahn::N,па̄ннҍ,tish
30,Zunge::N,njoektjeme,til
31,Zunge::N,njuovtjav,til
32,Zunge::N,njuovčča,til
33,Zunge::N,njuovčâ,til
34,Zunge::N,njuhččâm,til
35,Zunge::N,нюхчем,til
36,Lippe::N,bangseme,dudoq
37,Lippe::N,njálmmerabdda,dudoq
38,Lippe::N,bavssa,dudoq
39,Lippe::N,poovsâ,dudoq
40,Lippe::N,põõus,dudoq
41,Lippe::N,пэ̄кс,dudoq
42,Wange::N,skiehrie,bet
43,Wange::N,nierra,bet
44,Wange::N,muohtu,bet
45,Wange::N,nieṛâ,bet
46,Wange::N,njiõrr,bet
47,Wange::N,нӣрр,bet
48,Gesicht::N,ååredæjja,yuz
49,Gesicht::N,muohto,yuz
50,Gesicht::N,muođut,yuz
51,Gesicht::N,ámadadju,yuz
52,Gesicht::N,muáđuh,yuz
53,Gesicht::N,muâđ,yuz
54,Gesicht::N,ка̄ссв,yuz
55,Stirn::N,gaalloe,manglay
56,Stirn::N,gállo,manglay
57,Stirn::N,gállu,manglay
58,Stirn::N,kállu,manglay
59,Stirn::N,käll,manglay
60,Stirn::N,вуэххьц,manglay
61,Haar::N,voepte,soch
62,Haar::N,vuoppta,soch
63,Haar::N,vuokta,soch
64,Haar::N,vuop'tâ,soch
65,Haar::N,vuõpt,soch
66,Haar::N,вӯппт,soch
67,Schnurrbart::N,bijjie-skaavtjoe,mo'ylov
68,Schnurrbart::N,njunjevuolskávttjá,mo'ylov
69,Schnurrbart::N,seamu,mo'ylov
70,Schnurrbart::N,siämu,mo'ylov
71,Schnurrbart::N,ää´bben,mo'ylov
72,Schnurrbart::N,о̄а̄бпан,mo'ylov
73,Bart::N,skaavtja,soqol
74,Bart::N,skaavtjoe,soqol
75,Bart::N,skávttjá,soqol
76,Bart::N,seamu,soqol
77,Bart::N,siämu,soqol
78,Bart::N,seäm,soqol
79,Bart::N,ся̄м,soqol
80,Kinn::N,gaejpie,ängak
81,Kinn::N,gájbbe,ängak
82,Kinn::N,gáibi,ängak
83,Kinn::N,käibi,ängak
84,Kinn::N,käi´bb,ängak
85,Kinn::N,ка̄ййп,ängak
86,Kiefer[Anatomie]::N,gaejpie,iyak
87,Kiefer[Anatomie]::N,oalol,iyak
88,Kiefer[Anatomie]::N,oaloldákte,iyak
89,Kiefer[Anatomie]::N,gáibi,iyak
90,Kiefer[Anatomie]::N,uá'lultähti,iyak
91,Kiefer[Anatomie]::N,vuâl'lõš,iyak
92,Kiefer[Anatomie]::N,вуаллнешш,iyak
93,Kehle::N,gealoe,bo'g'iz
94,Kehle::N,tjåttå,bo'g'iz
95,Kehle::N,njiello,bo'g'iz
96,Kehle::N,čotta,bo'g'iz
97,Kehle::N,čuudâ,bo'g'iz
98,Kehle::N,čoodd,bo'g'iz
99,Kehle::N,чонт,bo'g'iz
100,Kehle::N,кэ̄ҏс,bo'g'iz
101,Hals::N,tjeapohke,bo'yin
102,Hals::N,tjiebet,bo'yin
103,Hals::N,čeabet,bo'yin
104,Hals::N,čiäppát,bo'yin
105,Hals::N,čeäppat,bo'yin
106,Hals::N,ча̄пэх,bo'yin
107,Genick::N,tjovrese,gardan
108,Genick::N,nisske,gardan
109,Genick::N,niehkki,gardan
110,Genick::N,niski,gardan
111,Genick::N,niek'ki,gardan
112,Genick::N,nji´šǩǩmaadd,gardan
113,Genick::N,нышшькмоант,gardan
114,Kopf::N,åejjie,bosh
115,Kopf::N,oajvve,bosh
116,Kopf::N,oaivi,bosh
117,Kopf::N,uái'vi,bosh
118,Kopf::N,vuei´vv,bosh
119,Kopf::N,вуэййв,bosh
120,Rücken::N,rudtje,orqa
121,Rücken::N,hárddo,orqa
122,Rücken::N,tjavelk,orqa
123,Rücken::N,sealgi,orqa
124,Rücken::N,selgi,orqa
125,Rücken::N,čielgi,orqa
126,Rücken::N,seä´lǧǧ,orqa
127,Rücken::N,се̄лльк,orqa
128,Bauch::N,tjåejjie,qorin
129,Bauch::N,tjoajvve,qorin
130,Bauch::N,čoavji,qorin
131,Bauch::N,čuáv'ji,qorin
132,Bauch::N,čåu´jj,qorin
133,Bauch::N,чо̄ввьй,qorin
134,Nabel::N,naepie,kindik
135,Nabel::N,náhpe,kindik
136,Nabel::N,náhpi,kindik
137,Nabel::N,nääpi,kindik
138,Nabel::N,nää´pp,kindik
139,Nabel::N,на̄бпь,kindik
140,Busen::N,boenge,ämchak
141,Busen::N,bållå,ämchak
142,Busen::N,čižži,ämchak
143,Busen::N,njamma,ämchak
144,Busen::N,njižže,ämchak
145,Busen::N,nje´ǯǯ,ämchak
146,Busen::N,раннҍт,ämchak
147,Brust::N,mïelke,ko'krak
148,Brust::N,radde,ko'krak
149,Brust::N,mielgga,ko'krak
150,Brust::N,raddi,ko'krak
151,Brust::N,radde,ko'krak
152,Brust::N,râ´dd,ko'krak
153,Brust::N,раннҍт,ko'krak
154,Schulter::N,åelkie,elka
155,Schulter::N,oalgge,elka
156,Schulter::N,hárdu,elka
157,Schulter::N,ärdee,elka
158,Schulter::N,uál'gi,elka
159,Schulter::N,a´rddi,elka
160,Schulter::N,vuä´lǧǧ,elka
161,Schulter::N,вуэллык,elka
162,Arm::N,gïete,bilak
163,Arm::N,giehta,bilak
164,Arm::N,giehta,bilak
165,Arm::N,kietâ,bilak
166,Arm::N,kie'tâkaaṿâ,bilak
167,Arm::N,ǩiõtt,bilak
168,Arm::N,кӣдт,bilak
169,Ellenbogen::N,gernjere,tirsak
170,Ellenbogen::N,garŋŋel,tirsak
171,Ellenbogen::N,gargŋil,tirsak
172,Ellenbogen::N,käŋŋir,tirsak
173,Ellenbogen::N,kõõnjâr,tirsak
174,Ellenbogen::N,карьнэль,tirsak
175,Hand::N,gïete,qo'l
176,Hand::N,giehta,qo'l
177,Hand::N,giehta,qo'l
178,Hand::N,kietâ,qo'l
179,Hand::N,ǩiõtt,qo'l
180,Hand::N,кӣдт,qo'l
181,Handfläche::N,gïeten-låapoe,kaft
182,Handfläche::N,giehtavuodo,kaft
183,Handfläche::N,tjårmmåvuodo,kaft
184,Handfläche::N,giehtaloahpu,kaft
185,Handfläche::N,kiämád,kaft
186,Handfläche::N,kuámmir,kaft
187,Handfläche::N,kuä´m'mer,kaft
188,Handfläche::N,ǩiõttǩeä´m'men,kaft
189,Handfläche::N,ко̄а̄ллдэгк,kaft
190,Handfläche::N,кӣдткоалдэгк,kaft
191,Finger::N,soerme,barmoq
192,Finger::N,tjuvdde,barmoq
193,Finger::N,suorbma,barmoq
194,Finger::N,čuvde,barmoq
195,Finger::N,suor'mâ,barmoq
196,Finger::N,suõrmm,barmoq
197,Finger::N,це̄ххп,barmoq
198,Fingernagel::N,gadtse,tirnoq
199,Fingernagel::N,guehpere,tirnoq
200,Fingernagel::N,gadtsa,tirnoq
201,Fingernagel::N,gazza,tirnoq
202,Fingernagel::N,kozzâ,tirnoq
203,Fingernagel::N,kõʒʒ,tirnoq
204,Fingernagel::N,кэ̄ннц,tirnoq
205,Nagel[Anatomie]::N,gadtse,tirnoq
206,Nagel[Anatomie]::N,guehpere,tirnoq
207,Nagel[Anatomie]::N,gadtsa,tirnoq
208,Nagel[Anatomie]::N,gazza,tirnoq
209,Nagel[Anatomie]::N,kozzâ,tirnoq
210,Nagel[Anatomie]::N,kõʒʒ,tirnoq
211,Nagel[Anatomie]::N,кэ̄ннц,tirnoq
212,Zeh::N,tjiehtjere,oyoq barmog'i
213,Zeh::N,juolggetjuvdde,oyoq barmog'i
214,Zeh::N,juolgesuorbma,oyoq barmog'i
215,Zeh::N,jyel'gisuor'mâ,oyoq barmog'i
216,Zeh::N,jue´lǧǧsuõrmm,oyoq barmog'i
