,Concept_ID,sah,az
0,Auge::N,харах,göz
1,Ohr::N,кулгаах,qulaq
2,Nase::N,мурун,burun
3,Mund::N,айах,ağız
4,Zahn::N,тиис,diş
5,Zunge::N,тыл,dil
6,Lippe::N,уос,dodaq
7,Wange::N,иэдэс,yanaq
8,Gesicht::N,сирэй,üz
9,Stirn::N,сүүс,alın
10,Haar::N,баттах,saç
11,Schnurrbart::N,уос бытыга,bığ
12,Bart::N,сэҥийэ бытыга,saqqal
13,Kinn::N,сэҥийэ,çənə
14,Kiefer[Anatomie]::N,сыҥаах,çənə
15,Kehle::N,тамах,boğaz
16,Kehle::N,күөмэй,boğaz
17,Hals::N,моой,boyun
18,Genick::N,кэтэх,ənsə
19,Kopf::N,бас,baş
20,Rücken::N,көҕүс,bel
21,Bauch::N,ис,qarın
22,Nabel::N,киин,göbək
23,Busen::N,эмиий,məmə
24,Brust::N,түөс,döş
25,Schulter::N,сарын,çiyin
26,Arm::N,илии,qol
27,Ellenbogen::N,тоҕонох,dirsək
28,Hand::N,илии,əl
29,Handfläche::N,ытыс,ovuc
30,Finger::N,тарбах,barmaq
31,Fingernagel::N,тыҥырах,barmaq dırnağı
32,Nagel[Anatomie]::N,тыҥырах,dırnak
33,Zeh::N,тарбах,ayaq barmağı
34,Fuß::N,уллуҥах,ayaq
35,Ferse::N,тилэх,daban
36,Knie::N,тобук,diz
37,Knie::N,дьилбэк,diz
38,Oberschenkel::N,уллук,bud
39,Oberschenkel::N,өттүк,bud
40,Bein::N,атах,qıç
41,Körper::N,бэйэ,əndam
42,Haut::N,тирии,dəri
43,Blut::N,хаан,qan
44,Ader::N,вена,damar
45,Ader::N,күөх_тымыр,damar
46,Sehne::N,иҥиир,vətər
47,Knochen::N,уҥуох,sümük
48,Knochen::N,уҥгуох,sümük
49,Gehirn::N,мэйии,beyin
50,Herz::N,сүрэх,ürək
51,Magen::N,куртах,mədə
52,Leber::N,быар,qara ciyər
53,Atem::N,тыын,nəfəs
54,Hunger::N,аас,aclıq
55,Träne::N,харах уута,göz yaşı
56,Geschmack::N,амтан,tam
57,Geschmack::N,амтан,ləzzət
58,Geruch::N,сыт,qoxu
59,Schlaf::N,утуйуу,yuxu
60,Traum::N,түүл,röya
61,Himmel::N,халлаан,göy
62,Himmel::N,халлаан,səma
63,Sonne::N,күн,günəş
64,Mond::N,ый,ay
65,Stern::N,сулус,ulduz
66,Luft::N,салгын,hava
67,Wind::N,тыал,yel
68,Wind::N,тыал,külək
69,Welle::N,долгун,dalğa
70,Welle::N,балхаан,dalğa
71,Wasser::N,уу,su
72,Stein::N,таас,daş
73,Boden::N,сир,yer
74,Boden::N,сир,zəmin
75,Erde::N,буор,yer torpaq
76,Staub::N,быыл,toz
77,Rauch::N,буруо,tüstü
78,Funke::N,кыым,qığılcım
79,Feuer::N,уот,od
80,Licht::N,уот,işıq
81,Schatten::N,күлүк,kölgə
82,Wetter::N,күн-дьыл,hava
83,Nebel::N,туман,duman
84,Wolke::N,былыт,bulud
85,Regen::N,самыыр,yağış
86,Regen::N,самыыр,yağmur
87,Schnee::N,хаар,qar
88,Eis::N,муус,buz
89,Frost::N,тымныы,ayaz
90,Kälte::N,тымныы,soyuq
91,Hitze::N,куйаас,coşğunluq
92,Raureif::N,кырыа,qırov
93,Regenbogen::N,кустук,göy qurşağı
94,Donner::N,этиҥ,göy gurultusu
95,Strömung::N,сүүрүк,axın
96,Tropfen::N,таммах,damcı
97,Tropfen::N,хааппыла,damcı
98,Schaum::N,күүгэн,köpük
99,Schmutz::N,кир,çamır
100,See::N,күөл,göl
101,Sumpf::N,бадараан,bataqlıq
102,Moor::N,дьэбэрэ,bataqlıq
103,Wiese::N,ходуһа,çəmən
104,Wald::N,ойуур,meşə
105,Hügel::N,булгунньах,təpə
106,Anhöhe::N,үрдэл,təpə
107,Berg::N,хайа,dağ
108,Gipfel::N,чыпчаал,zirvə
109,Höhle::N,хайа_хаспаҕа,mağara
110,Höhle::N,көҥүс,mağara
111,Abhang::N,эниэ,yamac
112,Quelle::N,дьүүктэ,bulaq
113,Bach::N,үрүйэ,kiçik çay
114,Fluss::N,өрүс,çay
115,Ufer::N,биэрэк,kənar
116,Küste::N,кытыл,sahil
117,Festland::N,кураанах сир,materik
118,Meer::N,муора,dəniz
119,Bucht::N,хомо,körfəz
120,Bucht::N,бухта,körfəz
121,Insel::N,арыы,ada
122,Blume::N,сибэкки,çiçək
123,Gras::N,от,ot
124,Wurzel::N,силис,kök
125,Baum::N,мас,ağac
126,Stamm::N,умнас,gövdə
127,Rinde::N,хатырык,qabıq
128,Ast::N,мутук,şax
129,Zweig::N,лабаа,budaq
130,Blatt::N,сэбирдэх,yarpaq
131,Birke::N,хатыҥ,tozağacı
132,Kiefer[Baum]::N,бэс,şam
133,Weide[Baum]::N,үөт,söyüd
134,Weide[Baum]::N,талах,söyüd
135,Tanne::N,харыйа,küknar
136,Horn::N,муос,buynuz
137,Feder::N,куорсун,tük
138,Feder::N,куорсун,lələk
139,Fell::N,тирии,xəz
140,Flügel::N,кынат,qanad
141,Klaue::N,тыҥырах,pəncə
142,Kralle::N,баппаҕай,dırnaq
143,Schwanz::N,кутурук,quyruq
144,Ei::N,сымыыт,yumurta
145,Nest::N,уйа,yuva
146,Bau::N,хороон,yuva
147,Tier::N,кыыл,heyvan
148,Tier::N,харамай,heyvan
149,Herde::N,үөр,sürü
150,Kuh::N,ынах,inək
151,Bulle::N,оҕус,öküz
152,Pferd::N,сылгы,at
153,Schaf::N,овца,qoyun
154,Schwein::N,сибиинньэ,donuz
155,Hund::N,ыт,it
156,Hund::N,ыт,köpək
157,Katze::N,куоска,pişik
158,Bär::N,эһэ,ayı
159,Eichhörnchen::N,тииҥ,dələ
160,Elch::N,тайах,sığın
161,Fuchs::N,саһыл,tülkü
162,Hase::N,куобах,dovşan
163,Maus::N,кутуйах,siçan
164,Wolf::N,бөрө,qurd
165,Vogel::N,көтөр,quş
166,Schwarm::N,бөлөх,sürü
167,Huhn::N,куурусса,toyuq
168,Hahn::N,бөтүүк,xoruz
169,Gans::N,хаас,qaz
170,Adler::N,хотой,qartal
171,Adler::N,хотой,qaraquş
172,Ente::N,кус,ördək
173,Eule::N,мэкчиргэ,bayquş
174,Kranich::N,туруйа,durna
175,Krähe::N,тураах,qarğa
176,Kuckuck::N,кэҕэ,ququ
177,Schwan::N,куба,qu quşu
178,Fisch::N,балык,balıq
179,Barsch::N,алыһар,tar
180,Hecht::N,сордон,durnabalığı
181,Schlange[Tier]::N,моҕой,ilan
182,Schlange[Tier]::N,эриэн үөн,ilan
183,Wurm::N,үөн,qurd
184,Spinne::N,ооҕуй,hörümçək
185,Ameise::N,кымырдаҕас,qarışqa
186,Laus::N,быт,bit
187,Mücke::N,кумаар,ağcaqanad
188,Fliege::N,сахсырҕа,milçək
189,Schmetterling::N,лыах,kəpənək
190,Schmetterling::N,үрүмэччи,kəpənək
191,Beere::N,отон,gilə
192,Apfel::N,яблоко,alma
193,Pilz::N,тэллэй,göbələk
194,Zwiebel::N,луук,soğan
195,Saat::N,сиэмэ,əkin
196,Korn::N,сиэмэ,taxıl
197,Heu::N,от,quru ot
198,Schale::N,хах,qabıq
199,Grube::N,дьаама,çuxur
200,Falle::N,сохсо,tələ
201,Falle::N,сохсо,duzaq
202,Schlinge::N,уктаа,ilmək
203,Spur::N,суол,iz
204,Asche::N,күл,kül
205,Dreck::N,бадараан,kir
206,Eisen::N,тимир,dəmir
207,Gold::N,көмүс,altun
208,Gold::N,кыһыл көмүс,altun
209,Silber::N,көмүс,gümüş
210,Silber::N,үрүҥ көмүс,gümüş
211,Kohle::N,чох,kömür
212,Glas::N,өстүөкүлэ,şüşə
213,Lehm::N,туой,gil
214,Lehm::N,туой,palçıq
215,Sand::N,кумах,qum
216,Mensch::N,киһи,adam
217,Mensch::N,киһи,insan
218,Mann::N,эр,kişi
219,Frau::N,дьахтар,qadın
220,Kind::N,оҕо,uşaq
221,Junge::N,уол,oğlan
222,Mädchen::N,кыыс оҕо,qız
223,Familie::N,кэргэн,ailə
224,Großvater::N,эһэ,baba
225,Großmutter::N,эбэ,nənə
226,Eltern::N,аҕа-ийэ,valideyn
227,Vater::N,аҕа,ata
228,Mutter::N,ийэ,ana
229,Sohn::N,уол,oğul
230,Tochter::N,кыыс,qız
231,Bruder::N,убай,qardaş
232,Bruder::N,быраат,qardaş
233,Schwester::N,аҕас,bacı
234,Schwester::N,балыс,bacı
235,Onkel::N,таай,əmi
236,Onkel::N,таай,dayı
237,Onkel::N,абаҕа,əmi
238,Onkel::N,абаҕа,dayı
239,Tante::N,эдьиий,bibi
240,Ehemann::N,эр,ər
241,Ehefrau::N,ойох,arvad
242,Freude::N,үөрүү,nəşə
243,Freude::N,үөрүү,sevinc
244,Gelächter::N,күлүү,gülüş
245,Gelächter::N,күлүү,qəhqəhə
246,Glück::N,дьол,səadət
247,Glück::N,дьол,xoşbəxtlik
248,Glück::N,соргу,səadət
249,Glück::N,соргу,xoşbəxtlik
250,Kummer::N,кутурҕан,qəm
251,Kummer::N,кутурҕан,kədər
252,Wunsch::N,баҕарыы,arzu
253,Lust::N,баҕа,həvəs
254,Geist::N,тыын,ruh
255,Gedanke::N,санаа,fikir
256,Gedanke::N,санаа,düşüncə
257,Gedächtnis::N,өй,xatir
258,Gedächtnis::N,өй,hafizə
259,Verstand::N,өй,ağıl
260,Sinn::N,суолта,məna
261,Grund::N,төрүөт,səbəb
262,Wahrheit::N,кырдьык,haqq
263,Wahrheit::N,кырдьык,doğruluq
264,Gespräch::N,бэсиэдэ,söhbət
265,Gespräch::N,бэсиэдэ,qonuşma
266,Gespräch::N,кэпсэтии,söhbət
267,Gespräch::N,кэпсэтии,qonuşma
268,Märchen::N,остуоруйа,nağıl
269,Erzählung::N,кэпсээн,hekayə
270,Nachricht::N,биллэриллии,xəbər
271,Neuigkeit::N,сонун,xəbər
272,Neuigkeit::N,сонун,yenilik
273,Name::N,аат,ad
274,Rätsel::N,таабырын,tapmaca
275,Rede::N,этии,nitq
276,Sprache::N,тыл,dil
277,Stimme::N,куолас,səs
278,Wort::N,тыл,söz
279,Wort::N,тыл,kəlmə
280,Zeichen::N,бэлиэ,nişan
281,Ruf::N,ыҥырыы,çığırtı
282,Lärm::N,айдаан,gurultu
283,Laut::N,тыас,səs
284,Ton::N,дорҕоон,ton
285,Lied::N,ырыа,mahnı
286,Ruhe::N,уу чуумпу,sakitlik
287,Leute::N,дьон,xalq
288,Volk::N,дьон,millət
289,Volk::N,норуот,millət
290,Arbeit::N,үлэ,iş
291,Arbeit::N,үлэ,əmək
292,Gast::N,ыалдьыт,qonaq
293,Gast::N,ыалдьыт,müsafir
294,Geschenk::N,бэлэх,hədiyyə
295,Spiel::N,оонньуу,oyun
296,Spiel::N,оонньуу,tamaşa
297,Gesellschaft::N,общество,cəmiyyet
298,Hilfe::N,көмө,kömək
299,Hilfe::N,көмө,yardım
300,Freund::N,доҕор,dost
301,Kamerad::N,атас,yoldaş
302,Angelegenheit::N,дьыала,iş
303,Anzahl::N,ахсаан,say
304,Art::N,биис,çeşid
305,Stück::N,кырбас,dənə
306,Stück::N,кырбас,parça
307,Teil::N,ирээт,qisim
308,Hälfte::N,аҥар,yarım
309,Kreis::N,төгүрүк,dairə
310,Kreis::N,төгүрүмтэ,dairə
311,Kreuz::N,кириэс,xaç
312,Linie::N,сурааһын,xətt
313,Strich::N,сурааһын,cızıq
314,Abstand::N,арыт,məsafə
315,Entfernung::N,ыраах,məsafə
316,Entfernung::N,ыраах,uzaqlıq
317,Gegend::N,сир,bölgə
318,Platz::N,арыт,yer
319,Ort::N,сир,yer
320,Seite::N,өрүт,yan
321,Seite::N,өрүт,tərəf
322,Seite::N,сирэй,yan
323,Seite::N,сирэй,tərəf
324,Mitte::N,орто,orta
325,Gegenstand::N,предмет,şey
326,Sache::N,мал,şey
327,Rand::N,кытыы,kənar
328,Rand::N,ойоҕос,kənar
329,Kante::N,кырыы,tiyə
330,Kante::N,кырыы,kənar
331,Ecke::N,муннук,bucaq
332,Spitze::N,чыпчаал,uc
333,Ende::N,төбө,son
334,Ende::N,төбө,axır
335,Loch::N,тэһэҕэс,deşik
336,Loch::N,дьөлөҕөс,deşik
337,Winkel::N,муннук,guşə
338,Muster::N,оһуор,ülgü
339,Größe::N,кээмэй,böyüklük
340,Länge::N,уста,uzunluq
341,Höhe::N,үрдүк,yüksəklik
342,Gewicht::N,ыйааһын,çəki
343,Gewicht::N,ыйааһын,ağırlıq
344,Menge::N,ахсаан,miqdar
345,Haufen::N,чөмчөх,yığın
346,Reihe::N,кэккэ,səf
347,Reihe::N,кэккэ,sıra
348,Boot::N,оҥочо,qayıq
349,Ruder::N,эрдии,kürək
350,Schlitten::N,сыарҕа,kirşə
351,Ski::N,хайыһар,xizək
352,Lagerfeuer::N,кутаа,düşərgə tonqalı
353,Last::N,ыарахан,yük
354,Gang::N,хаамыы,yeriş
355,Schritt::N,хардыы,addım
356,Norden::N,хоту,şimal
357,Süden::N,соҕуруу,cənub
358,Westen::N,арҕаа,qərb
359,Osten::N,илин,şərq
360,Holz::N,мас,ağac
361,Holz::N,мас,taxta
362,Brett::N,дуоска,taxta
363,Brett::N,хаптаһын,taxta
364,Platte::N,билиитэ,lövhə
365,Stütze::N,тулааһын,dayaq
366,Stütze::N,тулааһын,dəstək
367,Stange::N,ураҕас,şüvül
368,Stock::N,мас,dəyənək
369,Stock::N,баалкы,dəyənək
370,Stab::N,ураҕас,əsa
371,Stab::N,ураҕас,şüvül
372,Rohr::N,турба,boru
373,Rohr::N,турба,truba
374,Haus::N,дьиэ,ev
375,Heim::N,дьиэ,ev
376,Ofen::N,оһох,peç
377,Ofen::N,оһох,soba
378,Fußboden::N,муоста,döşəmə
379,Tisch::N,остуол,masa
380,Stuhl::N,устуул,stul
381,Wiege::N,биһик,beşik
382,Bett::N,кырабаат,yataq
383,Regal::N,долбуур,rəf
384,Kiste::N,дьааһык,yeşik
385,Kiste::N,дьааһык,sandıq
386,Fenster::N,түннүк,pəncərə
387,Tür::N,аан,qapı
388,Tor::N,аан,darvaza
389,Zaun::N,соппулуот,çəpər
390,Dach::N,кырыыса,dam
391,Leiter::N,кирилиэс,nərdivan
392,Besen::N,миинньик,süpürgə
393,Spaten::N,күрдьэх,kürək
394,Schaufel::N,күрдьэх,kürək
395,Gabel::N,биилкэ,çəngəl
396,Löffel::N,луоска,qaşıq
397,Messer::N,быһах,bıçaq
398,Nagel::N,тоһоҕо,mıx
399,Netz::N,илим,tor
400,Haken::N,көхө,çəngəl
401,Griff::N,ук,qulp
402,Griff::N,ук,tutacaq
403,Griff::N,тутаах,qulp
404,Griff::N,тутаах,tutacaq
405,Schloss::N,күлүүс,qıfıl
406,Bild::N,хартыына,rəsm
407,Figur::N,фигура,şəkil
408,Figur::N,фигура,heykəl
409,Puppe::N,куукула,kukla
410,Puppe::N,куукула,gəlincik
411,Beutel::N,мөһөөччук,kisə
412,Beutel::N,мөһөөччук,torba
413,Bündel::N,баайыы,bağlama
414,Tasche::N,суумка,çanta
415,Eimer::N,биэдэрэ,vedrə
416,Eimer::N,биэдэрэ,çəllək
417,Deckel::N,хаппах,qapaq
418,Geschirr::N,иһит,qab-qazan
419,Sack::N,куул,çuval
420,Tasse::N,сэлиэнэй,fincan
421,Topf::N,көстүрүүҥкэ,qazan
422,Kessel::N,хочуол,qazan
423,Essen::N,аһылык,yemək
424,Nahrung::N,ас,qida
425,Speise::N,аһылык,xörək
426,Fleisch::N,эт,ət
427,Getreide::N,злактар,taxıl
428,Brei::N,хааһы,aş
429,Brei::N,хааһы,sıyıq
430,Brot::N,килиэп,çörək
431,Scheibe::N,куһуок,dilim
432,Fett::N,сыа,yağ
433,Butter::N,арыы,kərə yağı
434,Öl::N,арыы,yağ
435,Salz::N,туус,duz
436,Suppe::N,мин,şorba
437,Honig::N,мүөт,bal
438,Milch::N,үүт,süd
439,Tee::N,чэй,çay
440,Leder::N,тирии,dəri
441,Wolle::N,түү,yun
442,Stoff::N,таҥас,qumaş
443,Nadel::N,иннэ,iynə
444,Faden::N,сап,sap
445,Knopf::N,тимэх,düymə
446,Knoten::N,түмүк,düyün
447,Farbe::N,кырааска,boya
448,Kleidung::N,таҥас,geyim
449,Hemd::N,ырбаахы,köynək
450,Kragen::N,саҕа,yaxa
451,Ärmel::N,сиэх,qol
452,Hose::N,ыстаан,şalvar
453,Hose::N,бүрүүкэ,şalvar
454,Gürtel::N,кур,kəmər
455,Mütze::N,бэргэһэ,şapka
456,Schuh::N,бачыыҥка,tufli
457,Schuh::N,бачыыҥка,ayaqqabı
458,Stiefel::N,саппыкы,çəkmə
459,Ring::N,биһилэх,üzük
460,Band::N,лиэнтэ,lent
461,Kamm::N,тараах,daraq
462,Spiegel::N,сиэркилэ,güzgü
463,Riemen::N,кур,qayış
464,Schnur::N,быа,ip
465,Leine::N,тэһиин,kəmsik
466,Decke::N,суорҕан,ədyal
467,Decke::N,суорҕан,yorğan
468,Kissen::N,сыттык,yastıq
469,Tuch::N,былаат,şarf
470,Tuch::N,былаат,kaşne
471,Handtuch::N,соттор,dəsmal
472,Kraft::N,сыра,güc
473,Stärke::N,күүс,qüvvət
474,Gesundheit::N,доруобуйа,sağlamlıq
475,Krankheit::N,ыарыы,xəstəlik
476,Schmerz::N,ыарыы,ağrı
477,Schmerz::N,ыарыы,sancı
478,Wunde::N,баас,yara
479,Fieber::N,түрүлгэн,isitmə
480,Fieber::N,түрүлгэн,qızdırma
481,Fieber::N,лихорадка,isitmə
482,Fieber::N,лихорадка,qızdırma
483,Fieber::N,температура,isitmə
484,Fieber::N,температура,qızdırma
485,Arznei::N,эмп,ilaç
486,Arznei::N,эмп,dərman
487,Brücke::N,күргэ,körpü
488,Brunnen::N,холуодьас,quyu
489,Weide::N,мэччирэҥ,otlaq
490,Pfad::N,ыллык,cığır
491,Weg::N,суол,yol
492,Straße::N,суол,küçə
493,Dorf::N,дэриэбинэ,kənd
494,Stadt::N,куорат,şəhər
495,Brief::N,сурук,məktub
496,Buch::N,кинигэ,kitab
497,Buchstabe::N,буква,hərf
498,Zeitung::N,хаһыат,qəzet
499,Leben::N,тыын,həyat
500,Tod::N,өлүү,ölüm
501,Grab::N,иин,qəbir
502,Kirche::N,таҥара дьиэтэ,kilsə
503,Sünde::N,айыы,günah
504,Gott::N,тангара,tanrı
505,Arbeiter::N,үлэһит,işçi
506,Chef::N,баһылык,şef
507,Chef::N,баһылык,rəis
508,Chef::N,начальник,şef
509,Chef::N,начальник,rəis
510,Meister::N,уус,usta
511,Meister::N,маастар,usta
512,Arzt::N,врач,həkim
513,Arzt::N,врач,doktor
514,Lehrer::N,учуутал,müəllim
515,Geld::N,харчы,pul
516,Geschäft::N,идэ,ticarət
517,Laden::N,маҕаһыын,dükan
518,Preis::N,сыана,qiymət
519,Ware::N,табаар,mal
520,Nutzen::N,туһа,fayda
521,Reichtum::N,баай,zənginlik
522,Welt::N,аан дойду,aləm
523,Welt::N,аан дойду,dünya
524,Land::N,дойду,ölkə
525,Staat::N,государство,dövlət
526,König::N,король,kral
527,König::N,король,məlik
528,Macht::N,былаас,qüdrət
529,Grenze::N,кыраныысса,hüdud
530,Grenze::N,кыраныысса,sərhət
531,Krieg::N,сэрии,hərb
532,Krieg::N,сэрии,müharibə
533,Feind::N,өстөөх,düşmən
534,Gewalt::N,күүһүлээһин,cəbr
535,Kampf::N,охсуһуу,savaş
536,Bogen[Waffe]::N,ох,yay
537,Pfeil::N,ох,ox
538,Gewehr::N,саа,tüfəng
539,Fehler::N,сыыһа,xəta
540,Lüge::N,сымыйа,yalan
541,Schaden::N,хоромньу,ziyan
542,Unglück::N,алдьархай,bəla
543,Schuld::N,буруй,təqsir
544,Alter::N,саас,yaş
545,Schluss::N,тиһэх,son
546,Zeit::N,бириэмэ,vaxt
547,Zeit::N,бириэмэ,zaman
548,Tag::N,күн,gün
549,Morgen::N,сарсыарда,sabah
550,Mittag::N,күн ортото,günorta
551,Abend::N,киэһэ,axşam
552,Nacht::N,түүн,gecə
553,Woche::N,нэдиэлэ,həftə
554,Monat::N,ый,ay
555,Jahr::N,сыл,il
556,Jahr::N,дьыл,il
557,Frühling::N,саас,yaz
558,Frühling::N,саас,bahar
559,Sommer::N,сайын,yay
560,Herbst::N,күһүн,payız
561,Winter::N,кыһын,qış
562,Januar::N,тохсунньу,Janvar
563,Februar::N,олунньу,Fevral
564,März::N,кулун тутар,Mart
565,April::N,муус устар ый,Aprel
566,Mai::N,ыам ыйа,May
567,Juni::N,бэс ыйа,İyun
568,Juli::N,от ыйа,İyul
569,August::N,атырдьах ыйа,Avqust
570,September::N,балаҕан ыйа,Sentyabr
571,Oktober::N,алтынньы,Oktyabr
572,November::N,сэтинньи,Noyabr
573,Dezember::N,ахсынньы,Dekabr
574,Montag::N,бэнидиэнньик,bazar ertəsi
575,Dienstag::N,оптуорунньук,çərşənbə axşamı
576,Mittwoch::N,сэрэдэ,çərşənbə
577,Donnerstag::N,чэппиэр,cüme axşamı
578,Freitag::N,бээтинсэ,cüme
579,Samstag::N,субуота,şənbə
580,Sonntag::N,баскыһыанньа,bazar
581,groß::A,бөдөҥ,böyük
582,groß::A,улахан,böyük
583,klein::A,кыр,kiçik
584,lang::A,уһун,uzun
585,kurz::A,кылгас,qısa
586,breit::A,кэтит,enli
587,breit::A,кэтит,geniş
588,schmal::A,кыараҕас,dar
589,dicht::A,хойуу,sıx
590,dick[Gegenstand]::A,суон,qalın
591,dick[Gegenstand]::A,хойуу,qalın
592,dünn::A,чараас,nazik
593,fein::A,бытархай,incə
594,fein::A,синньигес,incə
595,fest::A,бөҕө,bərk
596,fest::A,бөҕө,möhkəm
597,fest::A,кытаанах,bərk
598,fest::A,кытаанах,möhkəm
599,flach::A,хаптаҕай,düz
600,glatt::A,кылааккай,hamar
601,hart::A,хатан,sərt
602,hart::A,кытаанах,sərt
603,weich::A,сымнаҕас,yumşaq
604,rund::A,төгүрүк,yuvarlaq
605,spitz::A,сытыы,uclu
606,spitz::A,сытыы,sivri
607,spitz::A,уһуктаах,uclu
608,spitz::A,уһуктаах,sivri
609,scharf::A,сытыы,kəskin
610,stumpf::A,сыппах,küt
611,schwer::A,ыарахан,ağır
612,schön::A,кыраһыабай,gözəl
613,schön::A,кыраһыабай,gəşəng
614,heiß::A,итии,isti
615,warm::A,ичигэс,ilıq
616,kalt::A,тымныы,soyuq
617,kühl::A,сөрүүн,sərin
618,frisch::A,ыраас,təzə
