,Concept_ID,ko,ce
0,Auge::N,눈,бӏаьрг
1,Ohr::N,귀,лерг
2,Nase::N,코,мара
3,Mund::N,입,бага
4,Zahn::N,이,церг
5,Zunge::N,혀,мотт
6,Lippe::N,입술,балда
7,Wange::N,뺨,бесни
8,Gesicht::N,얼굴,юьхь
9,Stirn::N,이마,хьаж
10,Haar::N,털,мас
11,Schnurrbart::N,윗수몀,мекх
12,Schnurrbart::N,코밑수염,мекх
13,Bart::N,수엄,маж
14,Kinn::N,아래턱,чӏениг
15,Kiefer[Anatomie]::N,턱,мочхал
16,Kehle::N,인후,къамкъарг
17,Hals::N,목,ворта
18,Genick::N,먹덜이,кӏесаркӏаг
19,Kopf::N,머리,корта
20,Rücken::N,든,букъ
21,Bauch::N,배,кийра
22,Nabel::N,배꼽,цӏонга
23,Busen::N,가슴속,зударийн накха
24,Brust::N,가슴,накха
25,Schulter::N,어깨,белш
26,Arm::N,팔,пхьарс
27,Ellenbogen::N,팔쿰치,пхьаьрсан гола
28,Hand::N,손,куьг
29,Handfläche::N,손바닥,кераюкъ
30,Finger::N,속가락,пӏелг
31,Fingernagel::N,손톱,мӏара
32,Nagel[Anatomie]::N,손톱,мӏара
33,Zeh::N,발가락,кога пӏелг
34,Fuß::N,발,ког
35,Ferse::N,발꿈치,кӏажа
36,Knie::N,무릎,гола
37,Oberschenkel::N,허벅다리,варе
38,Bein::N,다리,ког
39,Körper::N,구간,хӏума
40,Haut::N,살갗,чкъор
41,Blut::N,피,цӏий
42,Ader::N,정맥,пха
43,Sehne::N,현,хьорзам
44,Knochen::N,뼈,даьӏахк
45,Gehirn::N,뇌,хье
46,Gehirn::N,뇌수,хье
47,Herz::N,염통,дог
48,Magen::N,위,зорх
49,Leber::N,간,доӏах
50,Atem::N,기식,садеӏар
51,Hunger::N,공복,мацалла
52,Träne::N,눈물,бӏаьрхи
53,Geschmack::N,기호,чам
54,Geruch::N,냄새,хьожа
55,Schlaf::N,수면,наб
56,Traum::N,쿰,гӏан
57,Himmel::N,하늘,стигал
58,Sonne::N,해,малх
59,Mond::N,달,бутт
60,Stern::N,별,седа
61,Luft::N,동준,xӏаваъ
62,Luft::N,가스채,xӏаваъ
63,Wind::N,바람,мох
64,Welle::N,물결,тулгӏе
65,Wasser::N,물,хи
66,Stein::N,돌,тӏулг
67,Boden::N,바닥,цӏенкъа
68,Erde::N,흙,латта
69,Staub::N,먼지,чан
70,Rauch::N,연기,кӏур
71,Funke::N,불티,суй
72,Feuer::N,불,цӏе
73,Licht::N,불,серло
74,Schatten::N,어스레함,ӏиндагӏ
75,Wetter::N,기상,хенан хӏоттам
76,Nebel::N,안개,дохк
77,Wolke::N,구름,марха
78,Regen::N,비,догӏа
79,Schnee::N,눈,ло
80,Eis::N,얼음,ша
81,Frost::N,혹한,шело
82,Kälte::N,추위,шело
83,Kälte::N,차가움,шело
84,Hitze::N,고온,йовхо
85,Hitze::N,더위,йовхо
86,Regenbogen::N,무지개,стелаӏад
87,Donner::N,뇌명,ткъес
88,Strömung::N,유동,дӏаэхар
89,Strömung::N,유동,дӏасалелар
90,Tropfen::N,물방울,тӏадам
91,Schaum::N,포말,чопа
92,Schmutz::N,때,хатт
93,See::N,호수,ӏам
94,Sumpf::N,습지,уьшал
95,Moor::N,저습지,уьшал
96,Wiese::N,목초지,бай
97,Wald::N,숲,хьун
98,Hügel::N,언덕,гу
99,Hügel::N,언덕,шу
100,Hügel::N,언덕,барз
101,Anhöhe::N,언덕,акъари
102,Berg::N,산,лам
103,Gipfel::N,졀졍,бохь
104,Höhle::N,공동,хьех
105,Abhang::N,몰매,басе
106,Quelle::N,근원,шовда
107,Bach::N,내,татол
108,Fluss::N,강,хи
109,Ufer::N,강변,хийист
110,Ufer::N,바닷가,хийист
111,Küste::N,해변,йист
112,Küste::N,해변가,йист
113,Festland::N,본토,латта
114,Meer::N,바다,xӏорд
115,Bucht::N,협만,чож
116,Insel::N,섬,гӏайре
117,Blume::N,꽃,зезаг
118,Gras::N,풀,буц
119,Wurzel::N,뿌리,орам
120,Baum::N,나무,дитт
121,Stamm::N,대,гӏад
122,Stamm::N,대,тайпа
123,Rinde::N,나무껍질,кевстиг
124,Ast::N,가지,га
125,Zweig::N,가지,га
126,Blatt::N,잎,гӏа
127,Birke::N,자작나무,дакх
128,Kiefer[Baum]::N,소나무,бага
129,Weide[Baum]::N,쉬양버들,дак
130,Tanne::N,전나무,база
