,Concept_ID,ga,ro
0,Auge::N,súil,ochi
1,Ohr::N,cluas,ureche
2,Nase::N,soc,nas
3,Mund::N,béal,gură
4,Zahn::N,fiacail,dinte
5,Zunge::N,teanga,limbă
6,Lippe::N,liopa,buză
7,Wange::N,grua,bucă
8,Wange::N,grua,obraz
9,Wange::N,leiceann,bucă
10,Wange::N,leiceann,obraz
11,Gesicht::N,éadan,față
12,Gesicht::N,éadan,figură
13,Gesicht::N,aghaidh,față
14,Gesicht::N,aghaidh,figură
15,Stirn::N,baithis,frunte
16,Stirn::N,clár éadain,frunte
17,Haar::N,gruaig,păr
18,Schnurrbart::N,croiméal,mustață
19,Bart::N,féasóg,barbă
20,Kinn::N,smig,bărbie
21,Kiefer[Anatomie]::N,giall,falcă
22,Kehle::N,scornach,beregată
23,Hals::N,muinéal,gât
24,Genick::N,baic,ceafă
25,Kopf::N,ceann,cap
26,Rücken::N,droim,dos
27,Rücken::N,droim,spate
28,Rücken::N,droim,spinare
29,Bauch::N,bolg,burtă
30,Bauch::N,bolg,pântece
31,Nabel::N,imleacán,buric
32,Busen::N,cíoch,sân
33,Brust::N,brollach,piept
34,Schulter::N,gualainn,umăr
35,Schulter::N,gualainn,spate
36,Arm::N,lámh,braț
37,Ellenbogen::N,uillinn,cot
38,Hand::N,lámh,mână
39,Handfläche::N,bos,palmă
40,Finger::N,méar,deget
41,Fingernagel::N,ionga,unghie
42,Nagel[Anatomie]::N,ionga,unghie
43,Zeh::N,ladhar,deget de la picior
44,Fuß::N,cos,picior
45,Fuß::N,troigh,picior
46,Ferse::N,sáil,călcâi
47,Knie::N,glúin,genunchi
48,Oberschenkel::N,ceathrú,coapsă
49,Bein::N,cos,picior
50,Körper::N,corp,corp
51,Körper::N,colainn,corp
52,Haut::N,cneas,piele
53,Haut::N,craiceann,piele
54,Blut::N,fuil,sânge
55,Sehne::N,teannán,tendon
56,Sehne::N,féitheog,tendon
57,Knochen::N,cnámh,os
58,Gehirn::N,inchinn,creier
59,Herz::N,croí,inimă
60,Magen::N,bolg,stomac
61,Magen::N,goile,stomac
62,Leber::N,ae,ficat
63,Atem::N,anáil,răsuflare
64,Atem::N,anáil,respirație
65,Hunger::N,ocras,foame
66,Träne::N,deoir,lacrimă
67,Geschmack::N,blas,gust
68,Geruch::N,boladh,miros
69,Schlaf::N,suan,somn
70,Schlaf::N,codladh,somn
71,Traum::N,taibhreamh,vis
72,Himmel::N,spéir,cer
73,Sonne::N,grian,soare
74,Mond::N,ré,lună
75,Mond::N,gealach,lună
76,Stern::N,rinn,stea
77,Stern::N,réalta,stea
78,Luft::N,aer,aer
79,Wind::N,gaoth,vânt
80,Welle::N,tonn,val
81,Welle::N,tonn,undă
82,Wasser::N,uisce,apă
83,Stein::N,cloch,piatră
84,Boden::N,talamh,sol
85,Boden::N,talamh,pământ
86,Erde::N,cré,pământ
87,Erde::N,ithir,pământ
88,Staub::N,dusta,praf
89,Staub::N,deannach,praf
90,Rauch::N,toit,fum
91,Rauch::N,deatach,fum
92,Funke::N,drithle,scânteie
93,Feuer::N,tine,foc
94,Licht::N,solas,lumină
95,Schatten::N,scáth,umbră
96,Wetter::N,aimsir,timp
97,Wetter::N,aimsir,vreme
98,Nebel::N,ceo,ceață
99,Nebel::N,ceo,negură
100,Wolke::N,néal,nor
101,Wolke::N,scamall,nor
102,Regen::N,báisteach,ploaie
103,Regen::N,fearthainn,ploaie
104,Schnee::N,sneachta,zăpadă
105,Eis::N,oighear,gheață
106,Frost::N,sioc,ger
107,Kälte::N,fuacht,frig
108,Hitze::N,teas,arșiță
109,Hitze::N,teas,căldură
110,Hitze::N,teocht,arșiță
111,Hitze::N,teocht,căldură
112,Raureif::N,sioc bán,chiciură
113,Regenbogen::N,stua ceatha,curcubeu
114,Regenbogen::N,bogha báistí,curcubeu
115,Donner::N,toirneach,tunet
116,Strömung::N,sruth,curent
117,Tropfen::N,deoir,picătură
118,Schaum::N,cúr,spumă
119,Schmutz::N,salachar,murdărie
120,See::N,loch,lac
121,Sumpf::N,portach,mlaștină
122,Moor::N,caorán,bărăgan
123,Moor::N,móinteán,bărăgan
124,Wiese::N,cluain,fânaț
125,Wiese::N,cluain,livadă
126,Wiese::N,móinéar,fânaț
127,Wiese::N,móinéar,livadă
128,Wald::N,coill,codru
129,Wald::N,coill,pădure
130,Wald::N,foraois,codru
131,Wald::N,foraois,pădure
132,Hügel::N,ard,deal
133,Hügel::N,ard,movilă
134,Anhöhe::N,ard,deal
135,Anhöhe::N,ard,ridicătură
136,Anhöhe::N,ardán,deal
137,Anhöhe::N,ardán,ridicătură
138,Berg::N,sliabh,munte
139,Gipfel::N,barr,pisc
140,Gipfel::N,mullach,pisc
141,Höhle::N,uaimh,peșteră
142,Höhle::N,pluais,peșteră
143,Abhang::N,fána,pantă
144,Abhang::N,fána,versant
145,Quelle::N,foinse,izvor
146,Bach::N,sruthán,gârlă
147,Fluss::N,abhainn,râu
148,Fluss::N,abhainn,fluviu
149,Ufer::N,bruach,mal
150,Ufer::N,bruach,țărm
151,Küste::N,cósta,coastă
152,Küste::N,cladach,coastă
153,Festland::N,míntír,uscat
154,Meer::N,muir,mare
155,Meer::N,farraige,mare
156,Bucht::N,bá,golf
157,Bucht::N,cuan,golf
158,Insel::N,inis,insulă
159,Insel::N,oileán,insulă
