,Concept_ID,et,nl
0,Auge::N,silm,oog
1,Ohr::N,kõrv,oor
2,Nase::N,nina,neus
3,Mund::N,suu,mond
4,Zahn::N,hammas,tand
5,Zunge::N,keel,tong
6,Lippe::N,huul,lip
7,Wange::N,põsk,wang
8,Gesicht::N,nägu,gelaat
9,Gesicht::N,nägu,gezicht
10,Stirn::N,otsmik,voorhoofd
11,Haar::N,juus,haar
12,Schnurrbart::N,vurrud,snor
13,Schnurrbart::N,vuntsid,snor
14,Bart::N,habe,baard
15,Kinn::N,lõug,kin
16,Kiefer[Anatomie]::N,lõualuu,kaak
17,Kehle::N,kõri,keel
18,Kehle::N,kõri,strot
19,Hals::N,kael,hals
20,Genick::N,kukal,nek
21,Kopf::N,pea,hoofd
22,Rücken::N,selg,rug
23,Bauch::N,kõht,buik
24,Nabel::N,naba,navel
25,Busen::N,rind,boezem
26,Brust::N,rind,borst
27,Schulter::N,õlg,schouder
28,Arm::N,käsivars,arm
29,Ellenbogen::N,küünarnukk,elleboog
30,Hand::N,käsi,hand
31,Handfläche::N,pihk,handpalm
32,Finger::N,sõrm,vinger
33,Fingernagel::N,küüs,nagel
34,Nagel[Anatomie]::N,küüs,nagel
35,Zeh::N,varvas,teen
36,Fuß::N,jalg,voet
37,Ferse::N,kand,hak
38,Ferse::N,kand,hiel
39,Knie::N,põlv,knie
40,Oberschenkel::N,reis,dij
41,Bein::N,jalg,been
42,Körper::N,ihu,lichaam
43,Körper::N,keha,lichaam
44,Haut::N,nahk,huid
45,Blut::N,veri,bloed
46,Ader::N,veen,ader
47,Sehne::N,kõõlus,pees
48,Knochen::N,luu,bot
49,Knochen::N,luu,been
50,Knochen::N,luu,knook
51,Gehirn::N,aju,hersenen
52,Herz::N,süda,hart
53,Magen::N,magu,maag
54,Leber::N,maks,lever
55,Atem::N,hingeõhk,adem
56,Atem::N,hingamine,adem
57,Hunger::N,nälg,honger
58,Träne::N,pisar,traan
59,Geschmack::N,maitse,smaak
60,Geruch::N,lõhn,geur
61,Schlaf::N,uni,slaap
62,Traum::N,unenägu,droom
63,Himmel::N,taevas,hemel
64,Sonne::N,päike,zon
65,Mond::N,kuu,maan
66,Stern::N,täht,ster
67,Luft::N,õhk,lucht
68,Wind::N,tuul,wind
69,Welle::N,laine,golf
70,Wasser::N,vesi,water
71,Stein::N,kivi,steen
72,Boden::N,maa,grond
73,Boden::N,pinnas,grond
74,Erde::N,maa,aarde
75,Staub::N,põrm,stof
76,Rauch::N,suits,rook
77,Funke::N,säde,vonk
78,Feuer::N,tuli,vuur
79,Licht::N,valgus,licht
80,Schatten::N,vari,schaduw
81,Wetter::N,ilm,weer
82,Nebel::N,udu,mist
83,Nebel::N,udu,nevel
84,Wolke::N,pilv,wolk
85,Regen::N,sadu,regen
86,Schnee::N,lumi,sneeuw
87,Eis::N,jää,ijs
88,Frost::N,pakane,vorst
89,Kälte::N,külm,kou
90,Kälte::N,külm,koude
91,Kälte::N,külmus,kou
92,Kälte::N,külmus,koude
93,Hitze::N,kuumus,hitte
94,Hitze::N,palavus,hitte
95,Raureif::N,härmatis,rijp
96,Regenbogen::N,vikerkaar,regenboog
97,Donner::N,kõu,donder
98,Donner::N,müristamine,donder
99,Strömung::N,voolus,stroming
100,Strömung::N,jõevool,stroming
101,Tropfen::N,tilk,druppel
102,Schaum::N,vaht,schuim
103,Schmutz::N,pori,vuil
104,Schmutz::N,mustus,vuil
105,See::N,järv,meer
106,Sumpf::N,soo,moeras
107,Moor::N,raba,veen
108,Wiese::N,aas,wei
109,Wiese::N,aas,weide
110,Wiese::N,nurm,wei
111,Wiese::N,nurm,weide
112,Wald::N,mets,bos
113,Hügel::N,küngas,heuvel
114,Anhöhe::N,küngas,hoogte
115,Berg::N,mägi,berg
116,Gipfel::N,mäetipp,top
117,Höhle::N,koobas,hol
118,Abhang::N,nõlvak,helling
119,Quelle::N,allikas,bron
120,Bach::N,oja,beek
121,Fluss::N,jõgi,stroom
122,Ufer::N,kallas,wal
123,Ufer::N,kallas,oever
124,Küste::N,rannik,kust
125,Festland::N,mander,vasteland
126,Festland::N,maismaa,vasteland
127,Meer::N,meri,zee
128,Bucht::N,laht,baai
129,Bucht::N,laht,inham
130,Insel::N,saar,eiland
131,Blume::N,lill,bloem
132,Gras::N,rohi,gras
133,Wurzel::N,juur,wortel
134,Baum::N,puu,boom
135,Stamm::N,tüvi,stam
136,Rinde::N,koor,schors
137,Ast::N,oks,tak
138,Zweig::N,oks,twijg
139,Blatt::N,leht,blad
140,Birke::N,kask,berk
141,Kiefer[Baum]::N,mänd,den
142,Weide[Baum]::N,paju,wilg
143,Tanne::N,nulg,spar
144,Horn::N,sarv,hoorn
145,Feder::N,sulg,veer
146,Feder::N,sulg,pluim
147,Fell::N,karvkate,vel
148,Fell::N,karusnahk,vel
149,Flügel::N,tiib,vleugel
150,Flügel::N,tiivik,vleugel
151,Klaue::N,küüs,klauw
152,Kralle::N,küünis,klauw
153,Schwanz::N,saba,staart
154,Ei::N,muna,ei
155,Nest::N,pesa,nest
156,Bau::N,urg,hol
157,Tier::N,loom,dier
158,Herde::N,kari,kudde
159,Kuh::N,lehm,koe
160,Bulle::N,pull,stier
161,Pferd::N,hobune,paard
162,Schaf::N,lammas,schaap
163,Schwein::N,siga,varken
164,Hund::N,koer,hond
165,Katze::N,kass,kat
166,Bär::N,karu,beer
167,Eichhörnchen::N,orav,eekhoorntje
168,Elch::N,põder,eland
169,Fuchs::N,rebane,vos
170,Hase::N,jänes,haas
171,Maus::N,hiir,muis
172,Wolf::N,hunt,wolf
173,Vogel::N,lind,vogel
174,Schwarm::N,parv,zwerm
175,Huhn::N,kana,kip
176,Huhn::N,kana,hoen
177,Hahn::N,kukk,haan
178,Gans::N,hani,gans
179,Adler::N,kotkas,arend
180,Ente::N,part,eend
181,Eule::N,kakk,uil
182,Eule::N,öökull,uil
183,Kranich::N,kurg,kraanvogel
184,Krähe::N,vares,kraai
185,Kuckuck::N,kägu,koekoek
186,Schwan::N,luik,zwaan
187,Fisch::N,kala,vis
188,Barsch::N,ahven,baars
189,Hecht::N,haug,snoek
190,Schlange[Tier]::N,uss,slang
191,Wurm::N,uss,worm
192,Wurm::N,vagel,worm
193,Spinne::N,ämblik,spin
194,Ameise::N,sipelgas,mier
195,Laus::N,täi,luis
196,Mücke::N,sääsk,mug
197,Fliege::N,kärbes,vlieg
198,Schmetterling::N,liblikas,vlinder
199,Beere::N,mari,bes
200,Apfel::N,õun,appel
201,Pilz::N,seen,paddestoel
202,Zwiebel::N,sibul,ui
203,Saat::N,seeme,zaad
204,Korn::N,iva,graan
205,Korn::N,iva,korrel
206,Korn::N,tera,graan
207,Korn::N,tera,korrel
208,Heu::N,hein,hooi
209,Schale::N,koor,schil
210,Grube::N,kaevand,kuil
211,Falle::N,lõks,val
212,Falle::N,püünis,val
213,Schlinge::N,aas,strop
214,Spur::N,jälg,spoor
215,Asche::N,tuhk,as
216,Dreck::N,saast,drek
217,Dreck::N,mustus,drek
218,Eisen::N,raud,ijzer
219,Gold::N,kuld,goud
220,Silber::N,hõbe,zilver
221,Kohle::N,süsi,kool
222,Glas::N,klaas,glas
223,Lehm::N,savi,klei
224,Sand::N,liiv,zand
225,Mensch::N,inimene,mens
226,Mann::N,mees,man
227,Frau::N,naine,vrouw
228,Kind::N,laps,kind
229,Junge::N,poiss,jongen
230,Mädchen::N,tüdruk,meisje
231,Familie::N,perekond,gezin
232,Familie::N,perekond,familie
233,Großvater::N,vanaisa,grootvader
234,Großmutter::N,vanaema,grootmoeder
235,Eltern::N,vanemad,ouders
236,Vater::N,isa,vader
237,Mutter::N,ema,moeder
238,Sohn::N,poeg,zoon
239,Tochter::N,tütar,dochter
240,Bruder::N,vend,broer
241,Bruder::N,vend,broeder
242,Schwester::N,õde,zus
243,Schwester::N,õde,zuster
244,Onkel::N,onu,oom
245,Tante::N,tädi,tante
246,Ehemann::N,mees,echtgenoot
247,Ehemann::N,abikaasa,echtgenoot
248,Ehefrau::N,naine,echtgenote
249,Ehefrau::N,abikaasa,echtgenote
250,Freude::N,rõõm,vreugde
251,Gelächter::N,naer,gelach
252,Glück::N,õnn,geluk
253,Kummer::N,mure,verdriet
254,Kummer::N,kurbus,verdriet
255,Wunsch::N,soov,wens
256,Wunsch::N,soov,verlangen
257,Lust::N,himu,zin
258,Lust::N,himu,lust
259,Geist::N,vaim,geest
260,Gedanke::N,mõte,gedachte
261,Gedächtnis::N,mälu,geheugen
262,Verstand::N,aru,verstand
263,Verstand::N,mõistus,verstand
264,Sinn::N,tähendus,betekenis
265,Grund::N,põhjus,reden
266,Wahrheit::N,tõde,waarheid
